input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,webserver,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_expired
api.dasfn.rabobank.com,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,191.232.0.0/13,api.dasfn.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-18T00:00:00Z,2023-05-18T23:59:59Z,"CN=api.dasfn.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.dasfn.rabobank.com,Cooperatieve Rabobank U.A.,api.dasfn.rabobank.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,0b43c377b6accd36000cc72eb3cca529,b887c3c3299b8627335558b984091409d47554cf270bbd54d53daea2805e42e2,ctls,api.dasfn.rabobank.com,azure,443,https://api.dasfn.rabobank.com:443,https,application/json,GET,191.233.28.160,/,-326256188,,191.233.28.160,,1,False,True,,,,,
api.powerplatform.rabobank.nl,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.20.28.0/23,api.powerplatform.rabobank.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2023-12-14T23:59:59Z,"CN=api.powerplatform.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",api.powerplatform.rabobank.nl,Cooperatieve Rabobank U.A.,api.powerplatform.rabobank.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf914b54be4c362bbfda9459695eb37e,671e35554c284966c76e0f898a5e0c8b0d8938ed7d817513e93bd53219b84e06,ctls,api.powerplatform.rabobank.nl,,443,https://api.powerplatform.rabobank.nl:443,https,application/json,GET,20.13.160.37,/,-326256188,,20.13.160.37,,1,False,,,,,,
apigw-dev.integration.rabobank.nl,,401,75,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,apigw-dev.integration.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=apigw-dev.integration.rabobank.nl, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",apigw-dev.integration.rabobank.nl,Cooperatieve Rabobank U.A.,apigw-staging.integration.rabobank.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c14021237b7e6558b45d49a7b2f84b00,57a394fd264a1ede2bcec3d4777a7ab6c1f66fa683c9e90daba9fde73179ea19,ctls,apigw-dev.integration.rabobank.nl,,443,https://apigw-dev.integration.rabobank.nl:443,https,application/problem+json,GET,2.16.187.65,/,-95944647,,2a02:26f0:ab00::5c7a:d72a,HSTS,1,False,,AkamaiGHost,,,,
apin-acpt.rabobank.nl,Access Denied,403,138,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,apin-acpt.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-11T00:00:00Z,2023-11-14T23:59:59Z,"CN=apin-acpt.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",apin-acpt.rabobank.nl,Cooperatieve Rabobank U.A.,oauth-acpt.rabobank.nl,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,7f088367e8b01025d8652df0f7b9e135,506545bd5dd2ad916082475551f9b51d71a29f8bea9ee0dfd7a479bcf63a1b4d,ctls,apin-acpt.rabobank.nl,,443,https://apin-acpt.rabobank.nl:443,https,text/html,GET,2.16.187.146,/,767997347,,2a02:26f0:ab00::214:8e41,HSTS,7,False,,,,,,
apremote-a-sis.rabobank.com,BIG-IP logout page,200,5274,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,apremote-a-sis.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,apremote-a-sis.rabobank.com,,443,https://apremote-a-sis.rabobank.com:443,https,text/html,GET,118.201.85.122,/,878647854,https://apremote-a-sis.rabobank.com/my.logout.php3?errorcode=19,118.201.85.122,F5 BigIP,131,False,,BigIP,,True,,
apremote-cnhkg.rabobank.com,BIG-IP logout page,200,5274,AS7473,SINGTEL-AS-AP Singapore Telecommunications Ltd,SG,203.208.160.0/23,apremote-cnhkg.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,apremote-cnhkg.rabobank.com,,443,https://apremote-cnhkg.rabobank.com:443,https,text/html,GET,203.208.160.38,/,878647854,https://apremote-cnhkg.rabobank.com/my.logout.php3?errorcode=19,203.208.160.38,F5 BigIP,131,False,,BigIP,,True,,
apremote.rabobank.com,BIG-IP logout page,200,5274,AS3758,SINGNET SingNet,SG,203.127.128.0/17,apremote.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,apremote.rabobank.com,,443,https://apremote.rabobank.com:443,https,text/html,GET,203.127.99.154,/,878647854,https://apremote.rabobank.com/my.logout.php3?errorcode=19,203.127.99.154,F5 BigIP,131,False,,BigIP,,,,
atdc-acc.rabobank.nl,Sign in to your account,200,207441,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,51.138.0.0/16,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,azure,443,https://atdc-acc.rabobank.nl:443,https,text/html,GET,51.138.110.161,/,-631610740,https://login.microsoftonline.com/6e93a626-8aca-4dc1-9191-ce291b4b75a1/oauth2/v2.0/authorize?client_id=0a1a0685-8d33-45be-858a-d253eb305c71&redirect_uri=https%3A%2F%2Fatdc-acc.rabobank.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638193033451197194.YzVlZjEwOTItZTRlZi00YjlhLTg3MmQtMDU5Y2RjOTA0YzcwYmYwYzNmOTctYjBmZS00NjgwLWJiZWQtMThmZGZkMGFiNTc0&client_info=1&x-client-brkrver=IDWeb.1.25.3.0&state=CfDJ8HL0uaVjzS1OhTLMhS92e0Ifhhu0zw1jGEfR9E1Lo5CSWXYb79V9SncKJHu8l-2NPlSNG5A2wxzwfSuWwBAEfilDbEcg80ZATvFpvlVKRhm5FoyWjNjmxIH56FssRy8vG02YBSRWUZuwO47a51I5aaHu59rVCVOt4MyQpxvGPILUeNJp3kF9zv4nnBAfO9L606sTdNDdsZfWPXobQ0_QxM-b4j9rjV1mSZi_WAuar3MpHZQJbtPR3FpWsLMgv7n0VW2cBDtSciHMDZp74uOXQE-2JDBPy9UJ_mmBKMnRE8tb&x-client-SKU=ID_NET6_0&x-client-ver=6.23.1.0,51.138.110.161,HSTS,173,False,True,,,,,
atdc.test.rabobank.nl,Sign in to your account,200,203668,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,azure,443,https://atdc.test.rabobank.nl:443,https,text/html,GET,104.45.72.252,/,-631610740,https://login.microsoftonline.com/6e93a626-8aca-4dc1-9191-ce291b4b75a1/oauth2/v2.0/authorize?client_id=e816348d-bbdb-467a-9c43-e88a67839b5d&redirect_uri=https%3A%2F%2Fatdc.test.rabobank.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638193033453489271.Mzc0ZGY2YzEtMTg5Ny00ZGY4LWE0YjUtNjQxZGVkNjUwOTk0NzFiOGMxMzktNThjNi00OWU5LWI3NTAtNDM5NzI5OTNmMWQ4&client_info=1&x-client-brkrver=IDWeb.1.25.3.0&state=CfDJ8HKHddZJmL9OsBY3OeF5Nhuilb61c0Yb7jIqSxaPewcHgq9oPKX7d_6qKIIZWZdO9iSzqEVED_9SnHnsKd4HlCiCPIbvOSj7Le-1LJ-Y5Jmx_KM7cS2fRrDTw6tTD5S7iprcQ87ErCn_f0qKfb3HsuavBZikf-uX3vNmBxOk1PxJmOGBhNtpLGw_JokVJ_ovWnKuwRt3P5BmB5ia0tYEzCyp7zvgxgvW4s8sTWFUi7MuGUVJSw2Byh_QgWJMZ6GqPQ_VVadIbg8hNddDuUL11Aj-3nHNMgKO27s1KxOMvaFp&x-client-SKU=ID_NET6_0&x-client-ver=6.23.1.0,104.45.72.252,HSTS,173,False,True,,,,,
atrc-dev.test.rabobank.nl,Sign in to your account,200,205060,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,azure,443,https://atrc-dev.test.rabobank.nl:443,https,text/html,GET,13.80.29.26,/,-631610740,https://login.microsoftonline.com/6e93a626-8aca-4dc1-9191-ce291b4b75a1/oauth2/v2.0/authorize?client_id=332cb651-290b-4f23-a219-b63159e01445&redirect_uri=https%3A%2F%2Fatrc-dev.test.rabobank.nl%2F&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3Dz2do49bircClwcqTzx3zHtfYaCflER75ihqVg55MMAU38h6mvHRYNINEQ8b62eQE71SrZWLabhncmNzE3XiuRXHUVyPxwi6Z1pKqfTPZP9SorRKMFzQN5sorvNGOIOb-LKgAVHmGm7EzezR3o_ZfLQ3hKSoN9BqRg1l6WgyVix6LcZJdPM2ZaEvm5XfHivWiqXy3TbGvSz_SxEQjOwSLTmkI-yeJZXz8iV00EBoOXZA&response_mode=form_post&nonce=638193033447247632.YTllYmUxOTQtODY5OC00MzYyLTg4YTAtM2VjNDdhMGY5MTMyZmRkNWIyMDYtMTM0NS00MzUwLTk3OWYtNDdkN2Y4NTY0MzFl&x-client-SKU=ID_NET472&x-client-ver=6.25.1.0,13.80.29.26,HSTS,174,False,True,,,,,
atrc.rabobank.nl,Sign in to your account,200,207082,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,,443,https://atrc.rabobank.nl:443,https,text/html,GET,20.126.142.220,/,-631610740,https://login.microsoftonline.com/6e93a626-8aca-4dc1-9191-ce291b4b75a1/oauth2/v2.0/authorize?client_id=1fd30949-b571-4816-832e-3ed0f19e26ea&redirect_uri=https%3A%2F%2Fatrc.rabobank.nl%2F&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DP3p42zXZq5MxemeB6gz3iyK-2T4RnIcgzMoJtowryVpsfED7c6GiE0r9Puee4BeFkjxK9tQmU__T2XoqZb3jzKV1X-nV6OxpzyCfaIMdPKDew3JAZJAKQDD9nXjwYFktCfRcbuRIOt68UC83_TKNeekZCrNdo7B41u53lGSzh_-12Cq4Wi18EQYVKo-ZO2bjFAdLFtSEVk6sHPklJQq6zw&response_mode=form_post&nonce=638193033447324545.YjY2NjIxNTgtN2Q0Ni00YTYxLTlmMDYtYzA0YjFhYjA1MjE3ODA5NTE1ZDQtODc2OS00ZjkwLWFiMzctMzViZGI0YjQyZTEy&x-client-SKU=ID_NET472&x-client-ver=6.25.1.0,20.126.142.220,HSTS,173,False,,,,,,
