new,host,a,cname,soa,status_code,cdn,cdn-name,txt,ns,has_internal_ips,internal_ips,mx,caa,aaaa
[x],api.b.ue1az.gotinder.com,"35.169.141.177, 54.236.230.55, 18.234.21.125, 50.16.33.102, 50.17.152.180, 54.209.23.28, 52.1.54.141, 54.224.223.249",,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.c.as1.gotinder.com,"13.235.166.138, 15.206.31.35",,"ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1527.awsdns-62.org, ns-1834.awsdns-37.co.uk, ns-249.awsdns-31.com, ns-611.awsdns-12.net",,,,,
[x],api.c.ue1az.gotinder.com,"52.54.136.116, 3.227.47.152, 23.23.201.244, 52.204.141.66, 54.85.217.144, 35.173.40.116, 54.86.195.215, 23.21.224.187",,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.d.ue1az.gotinder.com,"18.214.35.219, 54.156.81.83, 3.210.187.122, 100.24.111.60, 34.192.196.185, 54.85.69.137, 23.21.171.201, 174.129.65.100",,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1371.awsdns-43.org, ns-1543.awsdns-00.co.uk, ns-449.awsdns-56.com, ns-786.awsdns-34.net",,,,,
[x],api.s11.tstaging.com,"108.156.2.62, 108.156.2.56, 108.156.2.19, 108.156.2.72",,"ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],api.staging.k8s.tinderops.net,54.208.158.214,staging-c-apiendpo-1ixiqqksf057q-810303152.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.ue1.d1.tstaging.com,"54.85.224.205, 34.235.56.55",,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1374.awsdns-43.org, ns-2011.awsdns-59.co.uk, ns-496.awsdns-62.com, ns-694.awsdns-22.net",,,,,
[x],api.ue1.d2.tstaging.com,,,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d2-ue1,external-dns/resource=service/ingress-nginx/api-ingress",,,,,,
[x],api.ue1.d3.tstaging.com,"34.237.90.215, 3.228.152.58",,"ns-761.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d3-ue1,external-dns/resource=service/midgresspxy/api",,,,,,
[x],api.ue1.d4.tstaging.com,"3.208.132.40, 3.225.177.118",,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.ue1.stg1.tstaging.com,"18.244.146.63, 18.244.146.118, 18.244.146.4, 18.244.146.14, 205.251.194.198",d1vqle1riguo70.cloudfront.net,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1030.awsdns-00.org, ns-710.awsdns-24.net, ns-309.awsdns-38.com, ns-2004.awsdns-58.co.uk",,,,,
[x],api2.geotest.gotinder.com,,d2xd6j8rw4is6u.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],apisecondary.prodv2-c.k8s.tinderops.net,"10.10.21.224, 10.10.4.210, 10.10.37.218",prodv2-c-apisecondary-3b28ac140b908e3d.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.10.21.224, 10.10.4.210, 10.10.37.218",,,
[x],as1.tinderops.net,,,"ns-539.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1132.awsdns-13.org, ns-2000.awsdns-58.co.uk, ns-374.awsdns-46.com, ns-539.awsdns-03.net",,,,,
[x],assets-ssl.gotinder.com,"18.165.242.109, 18.165.242.6, 18.165.242.50, 18.165.242.14",,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1115.awsdns-11.org, ns-1990.awsdns-56.co.uk, ns-335.awsdns-41.com, ns-751.awsdns-29.net",,,,,
[x],bastion.gotinder.com,"10.13.2.165, 10.13.0.60, 10.13.1.246",bastion-prod-aws1-58832a464a6ad635.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.13.2.165, 10.13.0.60, 10.13.1.246",,,
[x],bastion.prodv2.k8s.tinderops.net,"35.168.164.222, 18.208.7.228",,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1.cloudhub.tstaging.tools,"54.157.167.43, 18.213.249.210",,"ns-1570.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1.d1.tstaging.tools,"54.80.101.232, 52.2.135.21",,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1.databricks.tstaging.tools,"54.80.91.161, 52.206.160.236",,"ns-2033.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1.mobile.tstaging.tools,"54.237.68.78, 54.225.91.133",,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1073.awsdns-06.org, ns-1582.awsdns-05.co.uk, ns-228.awsdns-28.com, ns-836.awsdns-40.net",,,,,
[x],bastion.ue1.s10.tstaging.tools,"10.32.11.182, 10.32.8.93, 10.32.4.119, 10.32.3.219, 10.32.7.221, 10.32.0.46",bastion-s10-ue1-b4169ef8cd3fd607.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.32.11.182, 10.32.8.93, 10.32.4.119, 10.32.3.219, 10.32.7.221, 10.32.0.46",,,
[x],bastion.ue1.s12.tstaging.tools,"52.72.138.131, 54.84.103.89",bastion-1984295688.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1.staging-master.tstaging.tools,"10.13.4.146, 10.13.6.102, 10.13.5.93",bastion-staging-master-ue1-96a1927d014b6cb0.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.13.4.146, 10.13.6.102, 10.13.5.93",,,
[x],bastion.ue1.staging-membership.tstaging.tools,"10.13.9.19, 10.13.10.208, 10.13.8.35",bastion-staging-membership-ue1-0ba82bbe68513543.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.13.9.19, 10.13.10.208, 10.13.8.35",,,
[x],bastion.ue1.stg1.tstaging.tools,"52.20.68.58, 3.84.166.101",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.ue1az.tinderops.net,"34.193.244.8, 107.23.25.135",,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.uw1.neteng.tstaging.tools,"13.57.93.17, 52.8.142.107",,"ns-1687.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bastion.uw2.tinderops.net,"44.228.40.41, 44.239.161.186",bastion-1684115281.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bazel.ue1.mobile.tstaging.tools,"54.152.168.191, 34.227.202.91",,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blog.gotinder.com,"18.165.201.120, 18.165.201.35, 18.165.201.85, 18.165.201.27",,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1115.awsdns-11.org, ns-1990.awsdns-56.co.uk, ns-335.awsdns-41.com, ns-751.awsdns-29.net",,,,,
[x],botrank-cequence.ue1az.gotinder.com,"3.215.140.254, 52.203.210.138",,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],botrank-staging.gotinder.com,"3.214.92.241, 23.23.217.39",tinder-production-portal-610239984.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],botrank.gotinder.com,"54.225.9.11, 34.192.161.156","botrank.ue1az.gotinder.com, tinder-prod-botrank-558801159.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],botrank.ue1.d2.tstaging.com,,,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d2-ue1,external-dns/resource=service/ingress-nginx/botrank-ingress",,,,,,
[x],botrank.ue1.d4.tstaging.com,"3.95.51.24, 54.87.148.27, 54.84.142.35",,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d4-ue1,external-dns/resource=service/ingress-nginx/botrank-ingress",,,,,,
[x],botrank.ue1.stg1.tstaging.com,"174.129.116.114, 34.224.133.107, 34.236.25.26",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],botrank.ue1az.gotinder.com,"34.192.161.156, 54.225.9.11",tinder-prod-botrank-558801159.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cauldronloader-alb.ue1.d2.tstaging.tools,"52.86.30.108, 52.44.209.127",cauldronloader-alb-661176755.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cauldronloader-alb.ue1.d4.tstaging.tools,"44.216.9.6, 54.156.165.12, 23.20.119.148",cauldronloader-alb-15909115.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net, ns-1219.awsdns-24.org, ns-1854.awsdns-39.co.uk, ns-22.awsdns-02.com, ns-658.awsdns-18.net",,,,,
[x],cauldronloader-alb.ue1.stg1.tstaging.tools,"34.194.135.148, 54.175.25.13, 54.85.252.134",cauldronloader-alb-1005281161.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,
[x],cauldronloader-alb.ue1az.tinderops.net,"34.202.169.85, 3.209.220.219, 54.236.66.33, 34.197.52.150",cauldronloader-alb-1508674993.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cequence.ue1.d1.tstaging.tools,"52.3.138.130, 107.21.47.185",,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cequence.ue1.d2.tstaging.tools,"34.203.45.209, 34.230.190.166",,"ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1391.awsdns-45.org, ns-1725.awsdns-23.co.uk, ns-443.awsdns-55.com, ns-954.awsdns-55.net",,,,,
[x],cequence.ue1.stg1.tstaging.tools,"34.196.161.69, 3.233.83.22, 3.228.86.228",,"ns-95.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1514.awsdns-61.org, ns-1848.awsdns-39.co.uk, ns-792.awsdns-35.net, ns-95.awsdns-11.com",,,,,
[x],cerebro.gotinder.com,"54.226.153.240, 54.83.72.161",,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.prodv2.k8s.tinderops.net,"3.212.9.130, 52.86.252.193, 52.1.21.255",,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.staging.k8s.tinderops.net,54.163.91.230,cerebro-1781318702.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.staging4.k8s.tinderops.net,,cerebro-980130233.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.d1.tstaging.tools,"107.21.47.185, 52.3.138.130",,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.d2.tstaging.tools,"34.203.45.209, 34.230.190.166",,"ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.d3.tstaging.tools,52.3.39.30,,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.d4.tstaging.tools,"52.55.118.193, 34.230.141.52, 54.237.1.25",,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.s10.tstaging.tools,"3.223.38.190, 50.16.52.216, 34.195.160.19, 54.80.52.150, 3.232.236.246, 3.218.223.21","noncust-tools.ue1.s10.tstaging.tools, noncust-tools-s10-ue1-1955187222.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.ue1.s12.tstaging.tools,"34.229.2.184, 3.231.20.187","noncust-tools.ue1.s12.tstaging.tools, noncust-tools-s12-ue1-997130479.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cerebro.uw2.tinderops.net,"52.26.105.251, 52.39.218.51, 54.214.248.222","noncust-tools.uw2.tinderops.net, noncust-tools-prd-uw2-2071995703.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],chaos.tinderops.net,"52.203.220.116, 54.158.198.143, 44.206.68.133, 34.195.105.164",chaos.ue1az.tinderops.net,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1096.awsdns-09.org, ns-1815.awsdns-34.co.uk, ns-390.awsdns-48.com, ns-882.awsdns-46.net, ns-1244.awsdns-27.org, ns-1645.awsdns-13.co.uk, ns-402.awsdns-50.com, ns-586.awsdns-09.net",,,,,
[x],chaos.ue1az.tinderops.net,,,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cicdagent.ue1.d1.tstaging.com,"18.235.205.162, 3.213.89.197",,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1374.awsdns-43.org, ns-2011.awsdns-59.co.uk, ns-496.awsdns-62.com, ns-694.awsdns-22.net",,,,,
[x],cicdagent.ue1.d4.tstaging.com,"34.205.57.217, 54.198.49.95, 18.215.212.206",,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d4-ue1,external-dns/resource=ingress/cicdagent/alb-ingress",,,,,,
[x],clientmodels.ue1.d1.tstaging.com,"18.66.248.73, 18.66.248.126, 18.66.248.91, 18.66.248.44",,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cmak.prodv2.k8s.tinderops.net,"52.86.252.193, 3.212.9.130, 52.1.21.255",,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cmak.ue1az.tinderops.net,"44.206.68.133, 54.158.198.143, 34.195.105.164, 52.203.220.116",,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cmp.tinderwebstaging.com,"13.227.219.118, 13.227.219.69, 13.227.219.93, 13.227.219.31",,"ns-71.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],crossfire-data-alb.ue1.d1.tstaging.tools,"3.225.157.18, 52.73.213.183",crossfire-data-alb-1728091354.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],crossfire-data-alb.ue1.d2.tstaging.tools,"3.219.150.40, 18.207.147.202",crossfire-data-alb-49472697.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d2.tstaging.com,,,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-173.awsdns-21.com, ns-534.awsdns-02.net, ns-1054.awsdns-03.org, ns-1714.awsdns-22.co.uk",,,,,
[x],d2.tstaging.tools,,,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-120.awsdns-15.com, ns-668.awsdns-19.net, ns-1080.awsdns-07.org, ns-1823.awsdns-35.co.uk",,,,,
[x],d4.tstaging.com,,,"ns-560.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1820.awsdns-35.co.uk, ns-282.awsdns-35.com, ns-560.awsdns-06.net, ns-1531.awsdns-63.org",,,,,
[x],d99.tstaging.com,,,"ns-70.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1964.awsdns-53.co.uk, ns-70.awsdns-08.com, ns-906.awsdns-49.net, ns-1033.awsdns-01.org",,,,,
