new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],enterprise.vlerick.com,193.190.150.11,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],enterpriseenrollment.vlerick.com,52.236.189.96,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],enterpriseregistration.vlerick.com,20.190.135.40,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net","internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],games.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],healthcare.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],hrblog.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],imex-asia.vlerick.com,207.46.150.57,,imexasia01.eastasia.cloudapp.azure.com,"ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],imex01.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],imex02.vlerick.com,,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],info.vlerick.com,193.190.150.59,,redirect.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],knowledge.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],learning-content.vlerick.com,,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",comforting-bunny-1b4ff4.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
[x],learning.vlerick.com,"34.240.46.18, 52.16.235.24, 54.194.223.19",,"vlerick-vanity.instructure.com, canvas-dub-prod-c15-1048620776.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],link.vlerick.com,40.85.92.142,,"elink-eu.azuresend.com, azuresendeventseu.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],login.uat.vlerick.com,35.244.242.18,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,True,google,,,,,,
[x],login.vlerick.com,34.160.47.2,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,True,google,,,,,,
[x],lunchbar.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],lync-web.vlerick.com,,,,,NOERROR,,,,,,,,
[x],m.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],mag.vlerick.com,193.190.150.40,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],marketingblog.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],mastersblog.vlerick.com,185.86.18.193,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],msoid.vlerick.com,"40.126.32.136, 40.126.32.72, 40.126.32.134, 40.126.32.133, 40.126.32.138, 20.190.160.22, 40.126.32.76, 40.126.32.74",,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.next.a.prd.aadg.akadns.net, dub2.next.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,
[x],mylogin.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],myvdp.vlerick.com,193.190.150.57,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],officient.vlerick.com,52.51.126.129,,ssl.selfservice.officient.io,"ns-491.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],oktamail.vlerick.com,,,u45915.wl166.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,mx.sendgrid.net,v=spf1 ip4:159.183.193.109 ip4:159.183.200.101 ip4:159.183.213.105 ip4:159.183.213.107 ip4:159.183.213.204 ip4:159.183.214.96 ip4:167.89.110.192 ip4:167.89.126.180 ip4:50.31.57.204 -all,,,,
[x],onlinemba.vlerick.com,193.190.150.59,,redirect.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],partnerstoday.vlerick.com,34.91.151.1,,s1.instantmagazine.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
[x],partnerstoday2.vlerick.com,34.91.151.1,,s1.foleon.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
[x],portal.mylogin.vlerick.com,193.190.150.62,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],portal.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],printers.vlerick.com,193.190.150.53,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],printme.vlerick.com,"10.0.22.48, 193.190.150.59",,print.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,True,10.0.22.48,
[x],prodweb.vlerick.com,193.190.150.57,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],profilechecker.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],public.vlerick.com,193.190.150.57,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],redirect.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],remoteapps.vlerick.com,193.190.150.41,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],repository.vlerick.com,52.208.117.227,,vlerick.openrepository.com,"ns.bnamed.eu, hostmaster.bnamed.eu",NOERROR,,,,,,,,
[x],salesclub.vlerick.com,193.190.150.59,,"sec.vlerick.com, redirect.vlerick.com","ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],sec.vlerick.com,193.190.150.59,,redirect.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],servicedesk.uat.vlerick.com,193.190.150.56,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],services-test.vlerick.com,193.190.150.57,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],services.vlerick.com,193.190.150.51,,web03.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],simulations.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],social.vlerick.com,"54.152.84.146, 3.229.85.189, 3.213.246.48, 54.157.165.183",,login-vlerick-com.uc16.janrain.ws,"ns-1815.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,mail-bouncer.janrain.com,,,,,
[x],spice.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],spock.vlerick.com,"104.17.25.241, 104.17.26.241, 104.17.27.241, 104.17.28.241, 104.17.29.241","2606:4700::6811:1bf1, 2606:4700::6811:1cf1, 2606:4700::6811:1df1, 2606:4700::6811:19f1, 2606:4700::6811:1af1",vlerick.topdesk.net,"coby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],spss.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],ssgtm.vlerick.com,"216.239.32.21, 216.239.34.21, 216.239.36.21, 216.239.38.21",,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,google-site-verification=YV5P9-SqMirAV-bKBNjfBCns9XIESI7RL6S7cBWKGjI,"ns1-01.azure-dns.com, ns2-01.azure-dns.net, ns3-01.azure-dns.org, ns4-01.azure-dns.info",,,
[x],static.vlerick.com,"18.192.231.252, 34.159.58.69","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",vlerick-static.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
[x],tbconnect.uat.vlerick.com,193.190.150.41,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],test.vlerick.com,,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],testredirect.vlerick.com,193.190.150.59,,www.vlerick.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,
[x],toolpack.vlerick.com,77.241.85.69,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],tools.vlerick.com,31.193.179.99,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],trackingplf.vlerick.com,"3.220.57.224, 54.91.59.199, 3.232.242.170, 52.20.78.240",,sheltered-quail-lrqhlejishqg2zlcozp5b8by.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],uat-adfs.vlerick.com,193.190.150.85,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat-adfsv4.vlerick.com,193.190.150.44,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat-edu.vlerick.com,193.190.150.56,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat-enjoychange.vlerick.com,193.190.150.57,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat-public.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat-sso.vlerick.com,193.190.150.78,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],uat.vlerick.com,,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,uat-vlerick-com.mail.protection.outlook.com,"MS=ms41540290, v=spf1 include:spf.protection.outlook.com include:spf.flowmailer.net -all",,,,
[x],uatonlinemba.vlerick.com,35.187.168.7,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,True,google,,,,,,
[x],vcse01.vlerick.com,193.190.150.67,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],view.email.vlerick.com,161.71.84.185,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
[x],viper.test.vlerick.com,193.190.150.54,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],viper.uat.vlerick.com,193.190.150.45,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],viper.vlerick.com,193.190.150.55,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],vlerick-tv-media.vlerick.com,193.190.150.81,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],vlerick-tv.vlerick.com,193.190.150.80,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,vlerick-com.mail.protection.outlook.com,"MhA/fs2PW+7mpTHvOqpUpZ51kOyDJcPGkYNCsQr6Vd71fVwx2lrN9ESAqrzWb6sfjQS8gMoWXydUhv15DY4vJg==, v=spf1 ip4:193.190.150.62 ip4:51.140.71.9 ip4:52.151.85.181 include:_spf.qemailserver.com include:shops.shopify.com include:_spf.salesforce.com include:spf.protection.outlook.com include:oktamail.vlerick.com -all, 0ee7fb0fb0ea4ff1bc96759a1018f39b, SFMC-8bbIjeEBSeASyQ_mo-2braOXdgG2d2vUPRqSTzXd, spf2.0/pra include:spf.flexmail.eu ?all , adobe-idp-site-verification=cb2e7585075f574bff042795cc688f3bdddd3799faa8601fff7d39bf49e95b2c","ns4-06.azure-dns.info, ns3-06.azure-dns.org, ns1-06.azure-dns.com, ns2-06.azure-dns.net",,,
[x],vlerick.vlerick.com,193.190.150.52,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],vqt.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],web02.vlerick.com,193.190.150.59,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],web03.vlerick.com,193.190.150.51,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],webform.vlerick.com,35.244.166.160,,vlerick.jotform.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,
[x],webmail.vlerick.com,"20.190.159.0, 40.126.31.71, 20.190.159.68, 20.190.159.2, 20.190.159.75, 40.126.31.73, 20.190.159.4, 20.190.159.71",,"login.microsoftonline.com, login.mso.msidentity.com, ak.privatelink.msidentity.com, www.tm.ak.prd.aadg.akadns.net, www.b.ak.prd.aadg.akadns.net, dub2.b.ak.prd.aadg.akadns.net, www.tm.ak.prd.aadg.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,
[x],www-dev.vlerick.com,"18.192.231.252, 34.159.132.250","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",vlerick-dev.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
[x],www-prd.vlerick.com,"34.148.19.16, 34.148.79.160","2600:1f18:2489:8200::c8, 2600:1f18:2489:8202::c8",vlerick-prd.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
[x],www-tst.vlerick.com,"34.74.170.74, 104.196.30.220","2600:1f18:2489:8202::c8, 2600:1f18:2489:8200::c8",vlerick-tst.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
