input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,final_url
actions-availability-report.githubapp.com,Sign in to GitHub · GitHub,200,31810,AS54113,AS54113,Unknown,185.199.108.0/22,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,"GitHub, Inc.",www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,80,http://actions-availability-report.githubapp.com:80,http,GitHub.com,text/html,GET,185.199.108.153,/,-1574183856,2606:50c0:8003::153,HSTS,413,False,,,opengraph.githubassets.com,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3Daf4aee94-209a-461e-bc10-1329c5d408f6%26page_id%3D21034687%26path%3DLw
actions-results-receiver-production.githubapp.com,,404,19,AS36459,GITHUB,US,140.82.116.0/23,actions-results-receiver-production.githubapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-04T00:00:00Z,2023-10-04T23:59:59Z,"CN=*.githubapp.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.githubapp.com,"GitHub, Inc.",pages.avocado-gmbh.ghaemt.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,111841bcde078fdb34ae806ab5977b35,b58d8f30cafe98a161cc9de54541a16937092f72b46c844c7c07eabc34cdded1,True,ctls,actions-results-receiver-production.githubapp.com,443,https://actions-results-receiver-production.githubapp.com:443,https,,text/plain,GET,140.82.113.24,/,-138391155,140.82.113.24,GitHub Pages,2,False,,,,
actions-support-report.githubapp.com,Sign in to GitHub · GitHub,200,31802,AS54113,AS54113,Unknown,185.199.108.0/22,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,"GitHub, Inc.",www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,80,http://actions-support-report.githubapp.com:80,http,GitHub.com,text/html,GET,185.199.108.153,/,-1574183856,2606:50c0:8003::153,HSTS,413,False,,,media.githubusercontent.com,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3Da4d630b0-cb59-4f35-b612-891ba572b16e%26page_id%3D21923108%26path%3DLw
actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,500,286,AS54113,AS54113,Unknown,185.199.108.0/22,actions.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,actions.githubusercontent.com,443,https://actions.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.109.133,/,1780540680,185.199.110.133,Varnish,8,False,,,,
adipexdietpillguide.comraw.githubusercontent.com,Fastly error: unknown domain adipexdietpillguide.comraw.githubusercontent.com,500,324,AS54113,AS54113,Unknown,185.199.108.0/22,adipexdietpillguide.comraw.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,adipexdietpillguide.comraw.githubusercontent.com,443,https://adipexdietpillguide.comraw.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.108.133,/,-176018979,185.199.111.133,Varnish,8,False,,,,
aedeeley.github.com,Page not found · GitHub Pages,404,9590,AS54113,AS54113,Unknown,185.199.108.0/22,aedeeley.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,aedeeley.github.com,443,https://aedeeley.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1325753902,2606:50c0:8003::153,Varnish,86,False,,,,
afeinberg.github.com,Page not found · GitHub Pages,404,9593,AS54113,AS54113,Unknown,185.199.108.0/22,afeinberg.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,afeinberg.github.com,443,https://afeinberg.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,-1855571403,2606:50c0:8000::153,Varnish,86,False,,,,
airflow-aws.githubapp.com,Bad request · GitHub,400,1440,AS36459,GITHUB,US,140.82.116.0/23,airflow-aws.githubapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-04T00:00:00Z,2023-10-04T23:59:59Z,"CN=*.githubapp.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.githubapp.com,"GitHub, Inc.",pages.avocado-gmbh.ghaemt.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,111841bcde078fdb34ae806ab5977b35,b58d8f30cafe98a161cc9de54541a16937092f72b46c844c7c07eabc34cdded1,True,ctls,airflow-aws.githubapp.com,443,https://airflow-aws.githubapp.com:443,https,,text/html,GET,140.82.112.23,/,-815588373,140.82.112.23,HSTS,43,False,,,,
ajaxorg.github.com,Page not found · GitHub Pages,404,9587,AS54113,AS54113,Unknown,185.199.108.0/22,ajaxorg.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,ajaxorg.github.com,443,https://ajaxorg.github.com:443,https,GitHub.com,text/html,GET,185.199.109.153,/,-2065847416,2606:50c0:8002::153,Varnish,86,False,,,,
akahuku.github.com,Page not found · GitHub Pages,404,9587,AS54113,AS54113,Unknown,185.199.108.0/22,akahuku.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,akahuku.github.com,443,https://akahuku.github.com:443,https,GitHub.com,text/html,GET,185.199.111.153,/,-1950207572,2606:50c0:8000::153,Varnish,86,False,,,,
akaptur.github.com,Page not found · GitHub Pages,404,9587,AS54113,AS54113,Unknown,185.199.108.0/22,akaptur.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,akaptur.github.com,443,https://akaptur.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1242724648,2606:50c0:8002::153,Varnish,86,False,,,,
alangrafu.github.com,Page not found · GitHub Pages,404,9593,AS54113,AS54113,Unknown,185.199.108.0/22,alangrafu.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,alangrafu.github.com,443,https://alangrafu.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1619344287,2606:50c0:8003::153,Varnish,86,False,,,,
alex-seville.github.com,Page not found · GitHub Pages,404,9602,AS54113,AS54113,Unknown,185.199.108.0/22,alex-seville.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,alex-seville.github.com,443,https://alex-seville.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,-701096873,2606:50c0:8001::153,Varnish,86,False,,,,
alloyteam.github.com,Page not found · GitHub Pages,404,9593,AS54113,AS54113,Unknown,185.199.108.0/22,alloyteam.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,alloyteam.github.com,443,https://alloyteam.github.com:443,https,GitHub.com,text/html,GET,185.199.109.153,/,-1296700378,2606:50c0:8002::153,Varnish,86,False,,,,
alpha-engineeringredirectliveaccept-domain.smtp.github.com,Page not found · GitHub Pages,404,9578,AS54113,AS54113,Unknown,185.199.108.0/22,alpha-engineeringredirectliveaccept-domain.smtp.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,alpha-engineeringredirectliveaccept-domain.smtp.github.com,443,https://alpha-engineeringredirectliveaccept-domain.smtp.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1106441118,2606:50c0:8003::153,Varnish,86,False,,,,
alphaleonis.github.com,Page not found · GitHub Pages,404,9599,AS54113,AS54113,Unknown,185.199.108.0/22,alphaleonis.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,alphaleonis.github.com,443,https://alphaleonis.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,243631126,2606:50c0:8003::153,Varnish,86,False,,,,
anathema.github.com,Page not found · GitHub Pages,404,9590,AS54113,AS54113,Unknown,185.199.108.0/22,anathema.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,anathema.github.com,443,https://anathema.github.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,116664677,2606:50c0:8003::153,Varnish,86,False,,,,
and-proxy-02.githubusercontent.com,Fastly error: unknown domain and-proxy-02.githubusercontent.com,500,296,AS54113,AS54113,Unknown,185.199.108.0/22,and-proxy-02.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,and-proxy-02.githubusercontent.com,443,https://and-proxy-02.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.108.133,/,1643557782,185.199.110.133,Varnish,8,False,,,,
andres1447.github.com,Page not found · GitHub Pages,404,9596,AS54113,AS54113,Unknown,185.199.108.0/22,andres1447.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,andres1447.github.com,443,https://andres1447.github.com:443,https,GitHub.com,text/html,GET,185.199.111.153,/,209770152,2606:50c0:8001::153,Varnish,86,False,,,,
apg-130-114-86-29.githubwebhooks.net,,200,4,AS36459,GITHUB,US,140.82.116.0/23,apg-130-114-86-29.githubwebhooks.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.githubwebhooks.net, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.githubwebhooks.net,"GitHub, Inc.",githubwebhooks.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4d56af2de73857a266b74890433c2268,5600d1878088d36a935e5f07965e54e681a973f1b0fced2949fa60870b2e3656,True,ctls,apg-130-114-86-29.githubwebhooks.net,443,https://apg-130-114-86-29.githubwebhooks.net:443,https,,text/plain,GET,140.82.114.22,/,1736236949,140.82.114.22,,2,False,,,,
api-datawpdoc-corporate.enterprise.github.com,Site not found · GitHub Pages,404,9115,AS54113,AS54113,Unknown,185.199.108.0/22,api-datawpdoc-corporate.enterprise.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,api-datawpdoc-corporate.enterprise.github.com,443,https://api-datawpdoc-corporate.enterprise.github.com:443,https,GitHub.com,text/html,GET,185.199.111.153,/,1920503104,2606:50c0:8003::153,Varnish,80,False,,,,
