new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt
,au-notifications-staging.getmoneytree.com,,,,NOERROR,,,,,,
,au-notifications.getmoneytree.com,54.144.128.85,,,NOERROR,,,,,,
,categorizer.moneytree.jp,"18.66.112.40, 18.66.112.12, 18.66.112.127, 18.66.112.58",d3mam8ub732uoz.cloudfront.net,"ns-1612.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1203.awsdns-22.org, ns-1612.awsdns-09.co.uk, ns-280.awsdns-35.com, ns-684.awsdns-21.net",True,cloudfront,,
,csv-uploader.getmoneytree.com,"188.114.96.3, 188.114.97.3",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,True,cloudflare,,
,dashboard.getmoneytree.com,"188.114.96.3, 188.114.97.3",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,True,cloudflare,,
,faq.getmoneytree.com,"199.60.103.30, 199.60.103.226","3277900.group0.sites.hubspot.net, group0.sites.hscoscdn00.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:671e, 2606:2c40::c73c:67e2",,,,,
,getmoneytree.com,"54.194.170.100, 34.253.101.190, 34.251.201.224, 108.162.192.139, 172.64.32.139, 173.245.58.139, 108.162.193.145, 172.64.33.145, 173.245.59.145",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:50::adf5:3a8b, 2803:f800:50::6ca2:c08b, 2a06:98c1:50::ac40:208b, 2606:4700:58::adf5:3b91, 2803:f800:50::6ca2:c191, 2a06:98c1:50::ac40:2191","pat.ns.cloudflare.com, tim.ns.cloudflare.com",,,"aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx.l.google.com","google-site-verification=sxOOvuZcioQ5l72KTTLv8JYwzS9iMajCVtrNr6-vDYY, 1password-site-verification=UAZOSLBBOBABBKMABYCYV6IJZ4, v=spf1 include:sendgrid.net  include:_spf.google.com -all, google-site-verification=Ohj4rUOgo9F-8EC0Ww_r2Bv9DLSpsa-Lor_XmhZOKeQ, google-site-verification=WYeLlUjgtQAbZrctEkw8H6WvxFQIEgLRKlQik2Ai7sc, 16345650, z0eV_qwyVJy7LV-GTC3T5W8"
,help-link.getmoneytree.com,"104.21.83.90, 172.67.220.238",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3120::4, 2a06:98c1:3121::4",,True,cloudflare,,
,help.getmoneytree.com,"188.114.97.13, 188.114.96.13",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::d, 2a06:98c1:3120::d",,True,cloudflare,,
,institutions-staging.moneytree.jp,"18.66.122.45, 18.66.122.89, 18.66.122.51, 18.66.122.32",dxgu876nz0lcy.cloudfront.net,"ns-1320.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2250:8400:13:1d12:c880:93a1, 2600:9000:2250:3000:13:1d12:c880:93a1, 2600:9000:2250:9800:13:1d12:c880:93a1, 2600:9000:2250:3800:13:1d12:c880:93a1, 2600:9000:2250:6e00:13:1d12:c880:93a1, 2600:9000:2250:7000:13:1d12:c880:93a1, 2600:9000:2250:b800:13:1d12:c880:93a1, 2600:9000:2250:6600:13:1d12:c880:93a1","ns-1320.awsdns-37.org, ns-1845.awsdns-38.co.uk, ns-408.awsdns-51.com, ns-670.awsdns-19.net",True,cloudfront,,
,institutions.moneytree.jp,"13.225.78.56, 13.225.78.9, 13.225.78.107, 13.225.78.114",d1wwaou95sphg4.cloudfront.net,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:21f3:f600:b:ca01:2500:93a1, 2600:9000:21f3:8200:b:ca01:2500:93a1, 2600:9000:21f3:e000:b:ca01:2500:93a1, 2600:9000:21f3:9400:b:ca01:2500:93a1, 2600:9000:21f3:dc00:b:ca01:2500:93a1, 2600:9000:21f3:e800:b:ca01:2500:93a1, 2600:9000:21f3:5200:b:ca01:2500:93a1, 2600:9000:21f3:a800:b:ca01:2500:93a1","ns-1826.awsdns-36.co.uk, ns-726.awsdns-26.net, ns-1492.awsdns-58.org, ns-161.awsdns-20.com",True,cloudfront,,
,jp-api-staging.getmoneytree.com,"13.32.208.30, 13.32.208.7, 13.32.208.10, 13.32.208.38, 205.251.193.133, 205.251.194.119, 205.251.197.79, 205.251.199.34",dxqq856vayjbj.cloudfront.net,"ns-389.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2015:0:3:cd17:13c0:93a1, 2600:9000:2015:5800:3:cd17:13c0:93a1, 2600:9000:2015:5200:3:cd17:13c0:93a1, 2600:9000:2015:4000:3:cd17:13c0:93a1, 2600:9000:2015:5000:3:cd17:13c0:93a1, 2600:9000:2015:9600:3:cd17:13c0:93a1, 2600:9000:2015:8e00:3:cd17:13c0:93a1, 2600:9000:2015:c00:3:cd17:13c0:93a1","ns-1359.awsdns-41.org, ns-1826.awsdns-36.co.uk, ns-389.awsdns-48.com, ns-631.awsdns-14.net",True,cloudfront,,
,jp-api.getmoneytree.com,"13.249.39.52, 13.249.39.3, 13.249.39.100, 13.249.39.59, 205.251.193.211, 205.251.194.225, 205.251.197.110, 205.251.199.217",d3bfsdqvn2m9f3.cloudfront.net,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-467.awsdns-58.com, ns-2009.awsdns-59.co.uk, ns-1390.awsdns-45.org, ns-737.awsdns-28.net",True,cloudfront,,
,jp-direct-production.moneytree.jp,"35.74.176.194, 35.74.182.216",whispering-eyrie-9627.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,jp-direct-staging.moneytree.jp,"104.22.26.204, 104.22.27.204, 172.67.40.204",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:1bcc, 2606:4700:10::6816:1acc, 2606:4700:10::ac43:28cc",,True,cloudflare,,
,jpck1.moneytree.jp,"52.198.151.237, 52.193.20.213",shrouded-oasis-6846.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,jpck2.moneytree.jp,"54.199.227.16, 18.182.220.5",obscure-temple-2769.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,link-staging.getmoneytree.com,"199.60.103.226, 199.60.103.30","3277900.group0.sites.hubspot.net, group0.sites.hscoscdn00.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:67e2, 2606:2c40::c73c:671e",,,,,
,link-staging.moneytree.jp,,"3277900g0.secure0101.hubspot.net, 3277900.group0.sites.hubspot.net, group0.sites.hscoscdn00.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,link.moneytree.jp,,"3277900g0.secure0114.hubspot.net, 3277900.group0.sites.hubspot.net, group0.sites.hscoscdn00.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,metrics.moneytree.jp,"52.85.242.124, 52.85.242.36, 52.85.242.18, 52.85.242.50",d2g60h09avzhgh.cloudfront.net,"ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:21c3:e800:1f:a9ae:8840:93a1, 2600:9000:21c3:800:1f:a9ae:8840:93a1, 2600:9000:21c3:c000:1f:a9ae:8840:93a1, 2600:9000:21c3:4400:1f:a9ae:8840:93a1, 2600:9000:21c3:6c00:1f:a9ae:8840:93a1, 2600:9000:21c3:7800:1f:a9ae:8840:93a1, 2600:9000:21c3:b000:1f:a9ae:8840:93a1, 2600:9000:21c3:6000:1f:a9ae:8840:93a1","ns-447.awsdns-55.com, ns-727.awsdns-26.net, ns-1472.awsdns-56.org, ns-1583.awsdns-05.co.uk",True,cloudfront,,
,moneytree.jp,"188.114.99.229, 188.114.98.229",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","tim.ns.cloudflare.com, pat.ns.cloudflare.com",True,cloudflare,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","apple-domain-verification=M2ZNHuU30JDYCcVH, bugcrowd-verification=59de1392be50b00c1f715ba6e7f6d24a, canva-site-verification=CXuEs4AlZCEBTQDIF-WqFQ, google-site-verification=JcxJguXlHbtOTNMmygq4v0kylCcQe-XwGLUmp3L3yh4, google-site-verification=XkKSY-DiMxc_TpXnSQlBUWvkQ82tFMfHHfEnxzxdHN8, mongodb-site-verification=CCWhdbJtJe1SVmVgysZzcCGUBBx0S763, stripe-verification=49ebfb5fcbcb5b7020acaa76bb6ed7489a51a1a513fa26f79660da454fd722c1, v=spf1 include:sendgrid.net  include:_spf.google.com ~all, 1password-site-verification=7BNLY4PGAVHNTDL6YR7C5E6UEI, MS=ms57536389, ZOOM_verify_bv1a0BGgQGCrvqEmxxRVvg"
,myaccount-development.getmoneytree.com,"52.193.73.96, 18.177.51.125",thawing-falls-6946.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,myaccount-staging.getmoneytree.com,"18.66.248.107, 18.66.248.105, 18.66.248.7, 18.66.248.129",d1jlgp49inupgr.cloudfront.net,"ns-1986.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1986.awsdns-56.co.uk, ns-270.awsdns-33.com, ns-663.awsdns-18.net, ns-1098.awsdns-09.org",True,cloudfront,,
,myaccount-staging.moneytree.jp,"3.114.208.173, 54.65.197.250",nameless-meadow-8275.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,myaccount.getmoneytree.com,"108.138.51.38, 108.138.51.79, 108.138.51.97, 108.138.51.19, 205.251.193.37, 205.251.195.158, 205.251.199.35",dyeo238iky9m9.cloudfront.net,"ns-1161.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1827.awsdns-36.co.uk, ns-926.awsdns-51.net, ns-293.awsdns-36.com, ns-1161.awsdns-17.org",True,cloudfront,,
,notifications.moneytree.jp,"52.68.33.231, 18.182.69.62",sleepy-atoll-3365.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,npm-staging.moneytree.jp,"35.75.153.147, 3.112.76.43",npmregistry-746133977.ap-northeast-1.elb.amazonaws.com,"ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,o1.send.moneytree.jp,50.31.59.221,,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,omoikane-staging-direct.moneytree.jp,"52.197.112.92, 52.194.160.39",pure-fortress-8822.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,omoikane-staging.moneytree.jp,"52.222.139.13, 52.222.139.68, 52.222.139.14, 52.222.139.124",d1ns86u1fwz6mi.cloudfront.net,"ns-1470.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2204:7200:1f:1356:1280:93a1, 2600:9000:2204:8400:1f:1356:1280:93a1, 2600:9000:2204:200:1f:1356:1280:93a1, 2600:9000:2204:5000:1f:1356:1280:93a1, 2600:9000:2204:3800:1f:1356:1280:93a1, 2600:9000:2204:8200:1f:1356:1280:93a1, 2600:9000:2204:1a00:1f:1356:1280:93a1, 2600:9000:2204:2600:1f:1356:1280:93a1","ns-1807.awsdns-33.co.uk, ns-489.awsdns-61.com, ns-941.awsdns-53.net, ns-1470.awsdns-55.org",True,cloudfront,,
,redash-staging.getmoneytree.com,"52.222.139.129, 52.222.139.2, 52.222.139.15, 52.222.139.123",d2im2qms9s4qtu.cloudfront.net,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1144.awsdns-15.org, ns-1549.awsdns-01.co.uk, ns-6.awsdns-00.com, ns-954.awsdns-55.net",True,cloudfront,,
,redash.getmoneytree.com,"13.32.145.40, 13.32.145.13, 13.32.145.19, 13.32.145.86",d4pzrl0pys57o.cloudfront.net,"ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1858.awsdns-40.co.uk, ns-1405.awsdns-47.org, ns-390.awsdns-48.com, ns-616.awsdns-13.net",True,cloudfront,,
,secure1.moneytree.jp,54.92.107.230,,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,secure3.moneytree.jp,54.92.99.27,,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,secure4.moneytree.jp,54.92.89.32,,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,transactional.getmoneytree.com,,u1709930.wl181.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,mx.sendgrid.net,v=spf1 ip4:50.31.59.221 -all
,transactional.moneytree.jp,,u1709930.wl181.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,mx.sendgrid.net,
,vault-develop.getmoneytree.com,"188.114.97.0, 188.114.96.0",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::, 2a06:98c1:3120::",,True,cloudflare,,
,vault-staging.getmoneytree.com,"188.114.97.0, 188.114.96.0",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::, 2a06:98c1:3120::",,True,cloudflare,,
,vault.getmoneytree.com,"172.67.220.238, 104.21.83.90",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:3031::6815:535a, 2606:4700:3033::ac43:dcee",,True,cloudflare,,
,work-staging.moneytree.jp,"104.22.27.204, 172.67.40.204, 104.22.26.204",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:1acc, 2606:4700:10::ac43:28cc, 2606:4700:10::6816:1bcc",,True,cloudflare,,
,work.moneytree.jp,"104.22.27.204, 104.22.26.204, 172.67.40.204",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:1acc, 2606:4700:10::6816:1bcc, 2606:4700:10::ac43:28cc",,True,cloudflare,,
,www-staging.getmoneytree.com,,,,NOERROR,,,,,,
,www.moneytree.jp,,d2qt695ta5gbs6.cloudfront.net,"ns-290.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,
