input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url,tls_expired,location
apigateway.td.com,,404,54,apigateway.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-10T12:45:51Z,2023-06-09T12:45:51Z,"CN=apigateway.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",apigateway.td.com,The Toronto-Dominion Bank,apigateway2.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",d737ef308274bdd54b15668106000f0a,ad676e0c8c7faf62163742573c86e693320ca7a7fe7a78ee320180036ba24196,ctls,apigateway.td.com,,443,https://apigateway.td.com:443,https,ECD (nya/78BA),application/json,GET,152.195.52.39,/,-326256188,152.195.52.39,Azure CDN,1,False,,,,,,,
appointments.td.com,Book an Appointment with TD | TD Canada Trust,200,3042,appointments.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-10T20:08:47Z,2023-06-10T20:08:47Z,"CN=tool.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",tool.td.com,The Toronto-Dominion Bank,appointments.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",1ee77507ef0cf268201d0a4cae223b95,81f64094561826f6671a621d2b8770a91757afb6322d1ae9315350dfb3f51625,ctls,appointments.td.com,,443,https://appointments.td.com:443,https,,text/html,GET,2.16.187.106,/,-1124705298,2.16.187.35,Microsoft ASP.NET,60,False,,,,,,,
apps.td.com,TD,200,295998,apps.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-28T15:35:43Z,2023-11-28T15:35:43Z,"CN=apps.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",apps.td.com,The Toronto-Dominion Bank,apps.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",7f7baf2d3966e14b8c5149d4d9cf923c,e94e924fbab58a1654e590c33314d64bdbe9ad00ca2a1927d163b90e22077aed,ctls,apps.td.com,,443,https://apps.td.com:443,https,Microsoft-IIS/10.0,text/html,GET,2.16.187.160,/,1301003845,2.16.187.104,Windows Server,76,False,,,,,,,
arb.staging.td.com,Error,401,279,arb.staging.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,CN=*.convertlanguage.com,*.convertlanguage.com,,*.convertlanguage.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",63ae9effa47e29070989065b595072f4,b5af2e5b47ae754d89c2976041cd24fa4543379ffe60719880d70e58e58cd4b7,ctls,arb.staging.td.com,,443,https://arb.staging.td.com:443,https,nginx,,GET,3.145.237.140,/,,3.145.237.140,Nginx,1,False,,,True,True,,,
arb.td.com,About TD – TD Canada Trust,200,79843,www.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-24T15:30:40Z,2023-09-24T15:30:40Z,"CN=td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",td.com,The Toronto-Dominion Bank,beta.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",80aaff713c339f8db6ab22227a71a5f8,35c5d315238ba83dae748096a7fc439a59f5968e4fb73075bb29fa92053268b0,ctls,www.td.com,,443,https://arb.td.com:443,https,ECD (frb/6737),text/html,GET,152.199.17.76,/,1591202403,152.199.17.76,Java,2132,False,,,,,https://www.td.com/ca/en/about-td,,
authentication.pat.td.com,TD Standards Responsive,503,6918,authentication.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T21:14:18Z,2024-01-28T21:14:17Z,"CN=authentication.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",authentication.pat.td.com,The Toronto-Dominion Bank,www.authorization.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",30f2ea8f7b63d166e5e5bb4ea7753fec,b17beb674168742ce5951e4e2434b1b222483eb6e1bc14a7bd806f4f3ba1f3f8,ctls,authentication.pat.td.com,,443,https://authentication.pat.td.com:443,https,AkamaiNetStorage,text/html,GET,95.101.111.182,/,1043814384,95.101.111.136,,1,False,,,,,,,
authentication.td.com,TD Canada Trust,503,1302,authentication.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T13:11:19Z,2024-04-28T13:11:19Z,"CN=authentication.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",authentication.td.com,The Toronto-Dominion Bank,authentication-st.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",a0ed2fe141fe6f5f85553caee3764e99,1270dd04be6237b3609249886154262826a66cb8048760f7d07163a008ea1723,ctls,authentication.td.com,,443,https://authentication.td.com:443,https,ECD (nya/1C5A),text/html,GET,152.199.16.69,/,-974957415,152.199.16.69,Azure CDN,38,False,,,,,,,
authmaint.pat.td.com,TD Standards Responsive,503,6918,authmaint.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T21:14:18Z,2024-01-28T21:14:17Z,"CN=authentication.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",authentication.pat.td.com,The Toronto-Dominion Bank,www.authorization.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",30f2ea8f7b63d166e5e5bb4ea7753fec,b17beb674168742ce5951e4e2434b1b222483eb6e1bc14a7bd806f4f3ba1f3f8,ctls,authmaint.pat.td.com,,443,https://authmaint.pat.td.com:443,https,AkamaiNetStorage,text/html,GET,2.16.187.35,/,1043814384,2.16.187.67,,1,False,,,,,,,
authorization.pat.td.com,,200,848,authorization.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T21:14:18Z,2024-01-28T21:14:17Z,"CN=authentication.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",authentication.pat.td.com,The Toronto-Dominion Bank,www.authorization.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",30f2ea8f7b63d166e5e5bb4ea7753fec,b17beb674168742ce5951e4e2434b1b222483eb6e1bc14a7bd806f4f3ba1f3f8,ctls,authorization.pat.td.com,,443,https://authorization.pat.td.com:443,https,Apache,text/html,GET,95.101.111.182,/,2066412882,95.101.111.136,HSTS,44,False,,,,,,,
authorization.td.com,,200,848,authorization.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T13:11:19Z,2024-04-28T13:11:19Z,"CN=authentication.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",authentication.td.com,The Toronto-Dominion Bank,authentication-st.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",a0ed2fe141fe6f5f85553caee3764e99,1270dd04be6237b3609249886154262826a66cb8048760f7d07163a008ea1723,ctls,authorization.td.com,,443,https://authorization.td.com:443,https,Apache,text/html,GET,152.199.16.69,/,2066412882,152.199.16.69,Apache,44,False,,,,,,,
autocentres.td.com,TDI Auto Center Locator,200,1124,autocentres.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-10T20:08:47Z,2023-06-10T20:08:47Z,"CN=tool.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",tool.td.com,The Toronto-Dominion Bank,appointments.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",1ee77507ef0cf268201d0a4cae223b95,81f64094561826f6671a621d2b8770a91757afb6322d1ae9315350dfb3f51625,ctls,autocentres.td.com,,443,https://autocentres.td.com:443,https,,text/html,GET,2.16.187.106,/,-1124705298,2.16.187.106,Microsoft ASP.NET,24,False,,,,,,,
avantagegestiondepatrimoinetd.td.com,Page d’accueil - v3 - TD Wealth Microsite,200,1395785,tdwealthadvantage.td.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-04T21:45:41Z,2023-11-04T21:45:41Z,"CN=tdwealthadvantage.td.com, O=The Toronto-Dominion Bank, L=Toronto, ST=Ontario, C=CA",tdwealthadvantage.td.com,The Toronto-Dominion Bank,avantagegestiondepatrimoinetd.td.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",14c75d6b82be7c4d53b1e8bfdb9d8268,1292b0f32f580630c286ac650fc75e104c81cd5268e4ad926157cd264fff1176,ctls,tdwealthadvantage.td.com,,443,https://avantagegestiondepatrimoinetd.td.com:443,https,nginx,text/html,GET,52.8.50.214,/,1198047028,52.8.50.214,Yoast SEO Premium:11.9,274,False,,,,,https://tdwealthadvantage.td.com/fr/page-daccueil-v3/,,
banquenet.pat.td.com,Access Denied,403,273,banquenet.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T19:11:24Z,2023-10-12T19:11:24Z,"CN=easyweb.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",easyweb.pat.td.com,The Toronto-Dominion Bank,banquenet.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f0450e9c089cea537f8edc7222489e78,bbd337ad3212260d57c6698b9a341fc6e758f0bac315285b44516b557230738a,ctls,banquenet.pat.td.com,,443,https://banquenet.pat.td.com:443,https,AkamaiGHost,text/html,GET,2.16.187.137,/,1707226204,2.16.187.51,HSTS,10,False,,,,,,,
banquenet.pilot.td.com,Access Denied,403,275,banquenet.pilot.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T19:20:18Z,2023-10-12T19:20:18Z,"CN=easyweb.pilot.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",easyweb.pilot.td.com,The Toronto-Dominion Bank,banquenet.pilot.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ca87765a42d815a25c60d133035ad40a,1e5a88bb4b0585dc04b18b3fad5179c148ca4b13fd8baec335fd207ee84e5b9e,ctls,banquenet.pilot.td.com,,443,https://banquenet.pilot.td.com:443,https,AkamaiGHost,text/html,GET,2.16.187.88,/,724087666,2.16.187.35,HSTS,10,False,,,,,,,
banquenet13.pat.td.com,Access Denied,403,276,banquenet13.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T19:11:24Z,2023-10-12T19:11:24Z,"CN=easyweb.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",easyweb.pat.td.com,The Toronto-Dominion Bank,banquenet.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f0450e9c089cea537f8edc7222489e78,bbd337ad3212260d57c6698b9a341fc6e758f0bac315285b44516b557230738a,ctls,banquenet13.pat.td.com,,443,https://banquenet13.pat.td.com:443,https,AkamaiGHost,text/html,GET,2.17.100.193,/,552683706,2.17.100.168,HSTS,10,False,,,,,,,
banquenet2.pat.td.com,Access Denied,403,274,banquenet2.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T19:19:13Z,2023-10-12T19:19:13Z,"CN=easyweb2.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",easyweb2.pat.td.com,The Toronto-Dominion Bank,banquenet2.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ad922d71e8f76af590744d4397fc1a29,cf73518864bdfed065fe19c073c64b2cbc1b0eac0b62102106d1623ecafae9c7,ctls,banquenet2.pat.td.com,,443,https://banquenet2.pat.td.com:443,https,AkamaiGHost,text/html,GET,95.101.111.184,/,-1141789380,95.101.111.169,HSTS,10,False,,,,,,,
banquenet3.pat.td.com,Access Denied,403,274,banquenet3.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T19:11:24Z,2023-10-12T19:11:24Z,"CN=easyweb.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",easyweb.pat.td.com,The Toronto-Dominion Bank,banquenet.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f0450e9c089cea537f8edc7222489e78,bbd337ad3212260d57c6698b9a341fc6e758f0bac315285b44516b557230738a,ctls,banquenet3.pat.td.com,,443,https://banquenet3.pat.td.com:443,https,AkamaiGHost,text/html,GET,2.16.187.137,/,-254089671,2.16.187.51,HSTS,10,False,,,,,,,
