new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa,ns
[x],eu-east-1.render-production-apps.lob.com,"10.185.128.157, 10.185.129.194, 10.185.130.34","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.129.194, 10.185.130.34",,,,
[x],fsdkim.lob.com,,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,spfmx3.domainkey.freshemail.io,,,,,"mxb.freshdesk.com, mx.sendgrid.net, mxa.freshdesk.com",v=spf1 include:sendgrid.net ip4:3.222.0.24/29 ip4:3.120.181.200/29 ip4:3.7.25.40/29 ip4:3.25.47.0/29 ~all,,
[x],go.lob.com,"104.17.74.206, 104.17.71.206, 104.17.70.206, 104.17.72.206, 104.17.73.206","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"lob.mktoweb.com, sj13.mktossl.com",True,cloudflare,,,,,,
[x],groups.lob.com,"52.25.239.146, 44.240.78.67, 44.237.198.19, 44.242.91.104, 54.218.21.163, 35.160.61.123","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,"ns-109.awsdns-13.com, ns-1348.awsdns-40.org, ns-1583.awsdns-05.co.uk, ns-713.awsdns-25.net"
[x],hello.lob.com,"44.228.158.230, 52.41.190.196, 54.149.247.91","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,"22c44afe-47a5-4178-ae98-945a36180fd4.outrch.com, app1e.outrch.com",,,,,,,letsencrypt.org,
[x],help.lob.com,"104.18.2.117, 104.18.3.117","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:375, 2606:4700::6812:275",73811226b4-hosting.gitbook.io,True,cloudflare,,,,,"digicert.com, letsencrypt.org, pki.goog",
[x],ldap.render-production-apps.lob.com,"10.185.129.194, 10.185.128.157, 10.185.130.34","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.129.194, 10.185.128.157, 10.185.130.34",,,,
[x],lef8-1-gre.render-production-apps.lob.com,"10.185.129.194, 10.185.130.34, 10.185.128.157","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.129.194, 10.185.130.34, 10.185.128.157",,,,
[x],lens-api.lob.com,"10.155.129.253, 10.155.130.129, 10.155.128.182","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.129.253, 10.155.130.129, 10.155.128.182",,,,
[x],lens.lob.com,"10.155.128.182, 10.155.129.253, 10.155.130.129","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.128.182, 10.155.129.253, 10.155.130.129",,,,
[x],library.lob.com,"35.160.61.123, 44.240.78.67, 54.218.21.163, 52.25.239.146, 44.242.91.104, 44.237.198.19","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lob-assets.com,"35.160.61.123, 52.25.239.146, 44.240.78.67, 44.237.198.19, 54.218.21.163, 44.242.91.104","ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lob.com,"99.83.190.102, 75.2.70.75","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, ms60554623.msv1.invalid","q50d7zrd12hbwqtc40hpmc90k00gb1jx, v=spf1 include:_spf.google.com include:servers.mcsv.net include:mail.zendesk.com include:mktomail.com include:sendgrid.net include:_spf.psm.knowbe4.com ~all, google-site-verification=ibGq3q2wcIt_Ds3oB4R2XOFQE6RFizCb6McsmSiZfwQ, google-site-verification=NJ8qivtu4cENXg6x2OmYYn3TRtqto7haHmrmFTjodM8, unbounce 239331, atlassian-domain-verification=IveecMJ7RyKa9pP4SNqHA2MjAbJBarau5SrQr0siz0saFdoNdugQV965KBOn0P6l, cisco-ci-domain-verification=f9719bc6a42256be56d64c0d0069f6ca89cb8ad50e8bd79ddb8a87083f8afb8, status-page-domain-verification=81f4g5glgylh, MS=ms60554623, apple-domain-verification=Lk2y6RZa6zufRfMx, slack-domain-verification=3Rud6frfrGr1BUI8aSjd9cc8GV57TCzLLB9Rg3BX","letsencrypt.org, amazon.com, mailto:security@lob.com, digicert.com",
[x],mail.lob.com,"35.160.61.123, 44.237.198.19, 44.240.78.67, 44.242.91.104, 52.25.239.146, 54.218.21.163","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mock.lob.com,"52.25.239.146, 54.218.21.163, 35.160.61.123, 44.237.198.19, 44.240.78.67, 44.242.91.104","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mtls.api.lob.com,"34.213.252.55, 44.235.185.7, 44.226.177.10","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mysql.render-production-apps.lob.com,"10.185.128.157, 10.185.130.34, 10.185.129.194","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.130.34, 10.185.129.194",,,,
[x],nadatabasevpn.render-production-apps.lob.com,,"ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],new.vpn.lob.com,"54.71.247.199, 44.238.72.237, 35.167.35.167","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],newconfig-crmorigin.render-production-apps.lob.com,"10.185.130.34, 10.185.129.194, 10.185.128.157","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.130.34, 10.185.129.194, 10.185.128.157",,,,
[x],partners-api.lob.com,"10.155.129.253, 10.155.130.129, 10.155.128.182","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.129.253, 10.155.130.129, 10.155.128.182",,,,
[x],partners.lob.com,"54.218.21.163, 52.25.239.146, 44.237.198.19, 44.240.78.67, 44.242.91.104, 35.160.61.123","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,"ns-109.awsdns-13.com, ns-1348.awsdns-40.org, ns-1583.awsdns-05.co.uk, ns-713.awsdns-25.net"
[x],pm-bounces.lob.com,138.197.30.54,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,pm.mtasv.net,,,,,"p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net","google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s, google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847, v=spf1 include:spf.mtasv.net -all",,
[x],production-apps.lob.com,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"mailto:security@lob.com, amazon.com, letsencrypt.org","ns-1284.awsdns-32.org, ns-1553.awsdns-02.co.uk, ns-178.awsdns-22.com, ns-646.awsdns-16.net"
[x],production-consul.lob.com,"10.155.130.129, 10.155.128.182, 10.155.129.253","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.130.129, 10.155.128.182, 10.155.129.253",,,,"ns-109.awsdns-13.com, ns-1348.awsdns-40.org, ns-1583.awsdns-05.co.uk, ns-713.awsdns-25.net"
[x],production-traefik.lob.com,"10.155.130.129, 10.155.128.182, 10.155.129.253","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.130.129, 10.155.128.182, 10.155.129.253",,,,
[x],render-production-consul.lob.com,"10.185.128.157, 10.185.130.34, 10.185.129.194","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.130.34, 10.185.129.194",,,,
[x],render-production-nomad.lob.com,"10.185.128.157, 10.185.129.194, 10.185.130.34","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.129.194, 10.185.130.34",,,,
[x],render-production-traefik.lob.com,"10.185.130.34, 10.185.129.194, 10.185.128.157","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.130.34, 10.185.129.194, 10.185.128.157",,,,
[x],role.render-production-apps.lob.com,"10.185.130.34, 10.185.128.157, 10.185.129.194","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.130.34, 10.185.128.157, 10.185.129.194",,,,
[x],sid.lob.com,"10.155.130.129, 10.155.129.253, 10.155.128.182","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.130.129, 10.155.129.253, 10.155.128.182",,,,
[x],signal.lob.com,"44.237.198.19, 44.240.78.67, 54.218.21.163, 52.25.239.146, 44.242.91.104, 35.160.61.123","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],staging.render-production-apps.lob.com,"10.185.130.34, 10.185.129.194, 10.185.128.157","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.130.34, 10.185.129.194, 10.185.128.157",,,,
[x],status.lob.com,"52.25.239.146, 44.242.91.104, 44.240.78.67, 44.237.198.19, 54.218.21.163, 35.160.61.123","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],stripe.render-production-apps.lob.com,"10.185.128.157, 10.185.129.194, 10.185.130.34","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.129.194, 10.185.130.34",,,,
[x],support.lob.com,"100.22.9.125, 44.242.58.184, 35.82.219.118, 54.148.222.52","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tech.render-production-apps.lob.com,"10.185.129.194, 10.185.130.34, 10.185.128.157","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.129.194, 10.185.130.34, 10.185.128.157",,,,
[x],tor193-233-grc.render-production-apps.lob.com,"10.185.128.157, 10.185.130.34, 10.185.129.194","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.130.34, 10.185.129.194",,,,
[x],tor306-81-pda.render-production-apps.lob.com,"10.185.128.157, 10.185.129.194, 10.185.130.34","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.128.157, 10.185.129.194, 10.185.130.34",,,,
[x],tracking-api.lob.com,"10.155.129.253, 10.155.128.182, 10.155.130.129","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.155.129.253, 10.155.128.182, 10.155.130.129",,,,
[x],travelgame.lob.com,199.36.158.100,"ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,google-site-verification=NJ8qivtu4cENXg6x2OmYYn3TRtqto7haHmrmFTjodM8,,
[x],ui-components.lob.com,,"ns-2033.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:246c:8c00:a:df0c:3300:93a1, 2600:9000:246c:e800:a:df0c:3300:93a1, 2600:9000:246c:4400:a:df0c:3300:93a1, 2600:9000:246c:d400:a:df0c:3300:93a1, 2600:9000:246c:3c00:a:df0c:3300:93a1, 2600:9000:246c:ce00:a:df0c:3300:93a1, 2600:9000:246c:be00:a:df0c:3300:93a1, 2600:9000:246c:fe00:a:df0c:3300:93a1",d2nlofyw0id5u4.cloudfront.net,True,cloudfront,,,,,,"ns-2033.awsdns-62.co.uk, ns-916.awsdns-50.net, ns-152.awsdns-19.com, ns-1518.awsdns-61.org"
[x],usage-api.lob.com,,,NOERROR,,,,,,,,,,
[x],vpn.render-production-apps.lob.com,"10.185.129.194, 10.185.128.157, 10.185.130.34","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.185.129.194, 10.185.128.157, 10.185.130.34",,,,"ns-11.awsdns-01.com, ns-1136.awsdns-14.org, ns-1620.awsdns-10.co.uk, ns-520.awsdns-01.net"
[x],webhook-adapter.lob.com,"44.242.91.104, 35.160.61.123, 44.237.198.19, 52.25.239.146, 54.218.21.163, 44.240.78.67","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],woody.lob.com,"52.25.239.146, 44.237.198.19, 44.240.78.67, 35.160.61.123, 44.242.91.104, 54.218.21.163","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],www.lob.com,"34.251.201.224, 54.194.170.100, 34.253.101.190","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,,,,,,,
