input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,tls_expired
api-qa1.ottokasino.com,403 Forbidden,403,146,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-qa1.ottokasino.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T01:09:34Z,2023-06-11T01:09:33Z,CN=ottokasino.com,ottokasino.com,ottokasino.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,34afd161ea3c767c88d8a4d4fe575025,e62fc03a7a0e976a095305d52e9a574f9c31185ea3375bdc61ad7c5200538708,ctls,api-qa1.ottokasino.com,,443,https://api-qa1.ottokasino.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.0,/,-1561873722,85.184.97.0,HSTS,8,False,,https:,,True,,,
api-qa1.unibet.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-qa1.unibet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-10T01:18:24Z,2023-06-08T01:18:23Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25a6838f2db42c37cb0fe8e206632e4b,8a40cf5dd2819c3efd037c7d6987c56c8f8bd247147327659ce10e6e0085f4a3,ctls,api-qa1.unibet.com,,443,https://api-qa1.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.0,/,1457316476,85.184.97.0,HSTS,8,False,,https:,,True,True,,
api-si1.ottokasino.com,403 Forbidden,403,146,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-si1.ottokasino.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T01:09:34Z,2023-06-11T01:09:33Z,CN=ottokasino.com,ottokasino.com,ottokasino.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,34afd161ea3c767c88d8a4d4fe575025,e62fc03a7a0e976a095305d52e9a574f9c31185ea3375bdc61ad7c5200538708,ctls,api-si1.ottokasino.com,,443,https://api-si1.ottokasino.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.4,/,-1561873722,85.184.97.4,HSTS,8,False,,https:,,True,,,
api-si1.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-si1.unibet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-10T01:18:24Z,2023-06-08T01:18:23Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25a6838f2db42c37cb0fe8e206632e4b,8a40cf5dd2819c3efd037c7d6987c56c8f8bd247147327659ce10e6e0085f4a3,ctls,api-si1.unibet.com,,443,https://api-si1.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.4,/,1131193170,85.184.97.4,HSTS,14,False,,https:,,True,True,,
api.bingo.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.bingo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-20T01:13:44Z,2023-06-18T01:13:43Z,CN=bingo.com,bingo.com,bingo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,befc5d8fa6ff9b82fbec1eba9f790106,df03bd97785a4821db6d542e44671caafb652d530a099cd90cbdd2282da002ec,ctls,api.bingo.com,,443,https://api.bingo.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,,85.184.96.0,HSTS,8,False,,https:,,True,,,
api.casinohuone.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.casinohuone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-20T01:26:28Z,2023-06-18T01:26:27Z,CN=casinohuone.com,casinohuone.com,casinohuone.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,af63bfc6ec6e4ab604269999351f5b5d,e816dd530628c2095426e3946077a4bddf9596184e875fa3e0935588415cadc0,ctls,api.casinohuone.com,,443,https://api.casinohuone.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1131193170,85.184.96.0,HSTS,14,False,,https:,,True,,,
api.mariacasino.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.mariacasino.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:09:45Z,2023-08-07T01:09:44Z,CN=mariacasino.com,mariacasino.com,mariacasino.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,066198457729de0f9db91772ee728680,1660652651278e7e2f7a14e41d5e7c756e34ba905c291abbbda28dc0446e2172,ctls,api.mariacasino.com,,443,https://api.mariacasino.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1131193170,85.184.96.0,HSTS,14,False,,https:,,True,,,
api.ottokasino.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.ottokasino.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-13T01:09:34Z,2023-06-11T01:09:33Z,CN=ottokasino.com,ottokasino.com,ottokasino.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,34afd161ea3c767c88d8a4d4fe575025,e62fc03a7a0e976a095305d52e9a574f9c31185ea3375bdc61ad7c5200538708,ctls,api.ottokasino.com,,443,https://api.ottokasino.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1131193170,85.184.96.0,HSTS,14,False,,https:,,True,,,
api.storspiller.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,www.highrolling.nu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-03T01:11:37Z,2023-08-01T01:11:36Z,CN=highrolling.nu,highrolling.nu,highrolling.nu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9b1f00cd24b6b8dff256a4ea28cf4e46,5c2c5bbc7b485dadd86c9126858db4f1f06dfe60b84a0c81177e7fe8cbfb32a4,ctls,www.highrolling.nu,,443,https://api.storspiller.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1131193170,85.184.96.0,HSTS,14,False,,https:,,True,True,https://www.highrolling.nu/,
api.unibet.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,api.unibet.com,,443,https://api.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1457316476,85.184.96.0,HSTS,8,False,,https:,,True,True,,
api.vladcazino.ro,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,api.vladcazino.ro,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:21:27Z,2023-08-07T01:21:26Z,CN=vladcazino.ro,vladcazino.ro,vladcazino.ro,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f8848c2011fb94f8f6327cd3d20aeeee,a8a8675ff7193a47d76b95cc2827587fdd2cfc8d753be61d50303b4b2b3ecdff,ctls,api.vladcazino.ro,,443,https://api.vladcazino.ro:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,,85.184.96.0,HSTS,14,False,,https:,,True,,,
aposta.unibet.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,www.unibet.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-02T04:20:33Z,2023-07-01T04:20:32Z,CN=unibet.co.uk,unibet.co.uk,unibet.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,162894ddacdb5b1bf7016eb977614d20,92ec3ca75077a566337e9a4cd74e5cb6594dd8426ff59d231e4a2e380d6cb211,ctls,www.unibet.co.uk,,443,https://aposta.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1457316476,85.184.96.0,HSTS,8,False,,https:,,True,,https://www.unibet.co.uk/blog,
at.unibet.com,Oops,200,1472195,AS47171,UNIBET-AS,MT,85.184.96.0/20,de.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,de.unibet.com,,443,https://at.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,-893420883,85.184.96.0,HSTS,170,False,,https:,,True,True,https://de.unibet.com,
auth-qa1.kindredext.net,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth-qa1.kindredext.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T03:46:19Z,2023-06-05T03:46:18Z,CN=kindredext.net,kindredext.net,kindredext.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86b0943f013490cc68a7847629f22ce1,7220909bddf6ea9654ac5cc81f792a79018a7b9dd91bdffe65ad18bb630b3112,ctls,auth-qa1.kindredext.net,,443,https://auth-qa1.kindredext.net:443,https,kindred-loadbalancer,text/html,GET,85.184.97.0,/,1131193170,85.184.97.0,HSTS,14,False,,https:,,True,,,
auth-qa1.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth-qa1.unibet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-10T01:18:24Z,2023-06-08T01:18:23Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25a6838f2db42c37cb0fe8e206632e4b,8a40cf5dd2819c3efd037c7d6987c56c8f8bd247147327659ce10e6e0085f4a3,ctls,auth-qa1.unibet.com,,443,https://auth-qa1.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.0,/,1131193170,85.184.97.0,HSTS,14,False,,https:,,True,True,,
auth-si1.unibet.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth-si1.unibet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-10T01:18:24Z,2023-06-08T01:18:23Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25a6838f2db42c37cb0fe8e206632e4b,8a40cf5dd2819c3efd037c7d6987c56c8f8bd247147327659ce10e6e0085f4a3,ctls,auth-si1.unibet.com,,443,https://auth-si1.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.97.4,/,1457316476,85.184.97.4,HSTS,8,False,,https:,,True,True,,
auth.kindredext.net,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth.kindredext.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-07T01:24:53Z,2023-08-05T01:24:52Z,CN=kindredext.net,kindredext.net,kindredext.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d17fe84cead1b0fc186e24856098ddad,fe9cd0d4b02b83f4b1928f02b88af11ca59b6594f62484c09a31b07c6f116035,ctls,auth.kindredext.net,,443,https://auth.kindredext.net:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1457316476,85.184.96.0,HSTS,8,False,,https:,,True,,,
auth.kolikkopelit.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth.kolikkopelit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-12T01:10:30Z,2023-06-10T01:10:29Z,CN=kolikkopelit.com,kolikkopelit.com,kolikkopelit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9fcf9da5aa3731065c2e0ad33135d8f1,0f7425c8b68e3c859cfded40c10c8c3832b49d946813e65f1dc9d1eb6b0ce6cf,ctls,auth.kolikkopelit.com,,443,https://auth.kolikkopelit.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1457316476,85.184.96.0,HSTS,8,False,,http:,,True,,,
auth.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,auth.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,auth.unibet.com,,443,https://auth.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.0,/,1131193170,85.184.96.0,HSTS,14,False,,https:,,True,True,,
autodiscover.32red.com,Sign in to Outlook,200,198137,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.104.0.0/15,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,,80,http://autodiscover.32red.com:80,http,,text/html,GET,40.99.157.8,/,,2603:1026:c0d:c30::8,HSTS,174,False,,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c1dcab92-70b3-40a2-71ce-490077e11d52&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=32red.com&nonce=638192618685205911.89d3400a-f496-4121-99cc-193d2973faa9&state=DctBDoMgEEBRsGepO5SZQWQWpmeZMJiYaEhoa69fFu_vvjXGPLqhs77HrJESMEZIMS3oFwaYEisF78XtgaMLgOCYc3bApMgr7SJs-_uc60_mVytyXhthKzrleo23bvL9VD3eud6l_QE,
autodiscover.az.unibet.com,Sign in to Outlook,200,198140,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,,80,http://autodiscover.az.unibet.com:80,http,,text/html,GET,52.98.175.24,/,,2603:1026:c0d:82d::8,HSTS,173,False,,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=98c731a1-2bea-be01-7c95-92381cae1536&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=az.unibet.com&nonce=638192618684953518.605f85ee-18e9-4dfb-a358-5e224a3fe0c9&state=DctNCsMgEEBhbe5S6ELj39hxEXqWiY4QaCqkSQo9fVx8b_ekEGLobp00PeIZPdrkosWIIYEHizoaqAjMyiInFUqdFXlABexcIF_Z5CT7-xjbj8bXxvReJ_rr47PMvOvc1vtZJjr2VpZvbidvFw,
