new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],monitoring.mobicorp.com,34.102.228.226,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],movertis.custom.intendia.com,34.107.117.60,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,custom.intendia.com,,,,,,,
[x],mx.lat-lon.com,64.78.152.148,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],my.geotab.ca,74.200.9.225,"ns-cloud-d1.googledomains.com, dns-admin.google.com",NOERROR,,,my0.geotab.ca,,,,,,,
[x],neutralvehicle.com,34.160.61.32,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com","aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com","google-site-verification=zqPjzmODe7-PJj8CQ8ic0WMffxQXe3EZct_ewL34NiU, v=spf1 include:_spf.google.com include:sendgrid.net include:_spf.salesforce.com include:mail.zendesk.com ip4:197.96.184.212 ~all",,,"mailto:it@geotab.com, digicert.com"
[x],ns1.webtechwireless.com,64.254.146.175,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],ns2.webtechwireless.com,64.254.146.176,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],ns3.webtechwireless.com,67.210.218.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],ns4.webtechwireless.com,67.210.218.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],oss.custom.intendia.com,34.107.117.60,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,custom.intendia.com,,,,,,,
[x],pda.webtechwireless.com,66.199.131.188,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],pop3.webtechwireless.com,74.200.11.252,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,webtechwireless.com,,"ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","MS=ms93382145, rjs60bggh47gf5cpim5b0qnng3, 8trnm9z18gw395m3n17l1qwl271k7gcl, a26286a5c2df84eccbe5f92b4b26f3b4, k8cm9yt89tjg13tkxcq6mvb9x8zhwp33, google-site-verification=mhXiCq0O2B86EjQvNPTSnLzsMo2myF4sP6-oeaNJulQ, QCeEZ4IMCnpVSIofJlSsmHZA0KEIeLK1kF5WYuvrDnXNBoUCb5s/v+GoV579ajaVNE+ZqK7I27Ya2F5jS1FWHw==, v=spf1 ip4:64.254.146.175/32 ip4:67.210.218.80/26 include:spf.protection.outlook.com include:_spf.google.com -all",,,
[x],proxy.webtechwireless.com,206.214.244.98,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],qa12345.webtechwireless.com,35.164.219.236,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],r3.webtechwireless.com,64.254.146.165,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],r3t.webtechwireless.com,64.254.146.180,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],rd.lat-lon.com,64.78.145.135,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],rogersmtp1.webtechwireless.com,192.40.237.110,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],rogersmtp2.webtechwireless.com,209.17.157.110,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],rs2.webtechwireless.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],safety.mobicorp.com,34.138.0.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],secure.mobicorp.com,34.138.0.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],service.geotab.ca,34.78.121.77,"ns-cloud-d1.googledomains.com, dns-admin.google.com",NOERROR,True,google,service1.geotab.ca,,,,,,,
[x],services.lat-lon.com,34.120.184.100,,NOERROR,True,google,,,,,,,,
[x],sftp.mobicorp.com,34.138.159.91,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,fss.mobicorp.com,,,,,,,
[x],sip.bsmtechnologies.com,52.112.193.13,"admin.nsatc.net, dns.level3.net",NOERROR,,,sipdir.online.lync.com,2603:1027:0:48::20,,,,,,
[x],sip.bsmwireless.com,,"admin.nsatc.net, dns.level3.net",NOERROR,,,sipdir.online.lync.com,,,,,,,
[x],sip.lat-lon.com,52.112.192.139,"admin.nsatc.net, dns.level3.net",NOERROR,,,sipdir.online.lync.com,2603:1027:0:48::20,,,,,,
[x],smtp-out.lat-lon.com,64.78.145.132,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],smtp-out.webtechwireless.com,64.254.146.175,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],smtp.webtechwireless.com,192.40.237.100,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],stage-api.mobicorp.com,34.74.216.235,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],stagesecure.mobicorp.com,34.148.195.134,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],status.mobicorp.com,34.138.0.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],sub-97-232-37.lat-lon.com,64.78.152.148,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],sub.geotab.ca,"216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108","ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c","ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com",,6e75796327a74a7892499df3b6fd8c4e,,,
[x],tech.bsmwireless.com,"199.60.103.2, 199.60.103.254","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"142722.group22.sites.hubspot.net, group22.sites.hscoscdn20.net","2606:2c40::c73c:6702, 2606:2c40::c73c:67fe",,,,,,
[x],test.geotab.ca,192.168.1.6,"ns-cloud-d1.googledomains.com, dns-admin.google.com",NOERROR,,,,,,,,True,192.168.1.6,
[x],test.mobicorp.com,34.138.0.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],test1.geotab.ca,35.187.43.10,"ns-cloud-d1.googledomains.com, dns-admin.google.com",NOERROR,True,google,,,,,,,,
[x],tovpn.bsmwireless.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],tovpn1.bsmwireless.com,66.46.75.188,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],uat.autovision.bsmwireless.com,"108.138.51.121, 108.138.51.106, 108.138.51.28, 108.138.51.64, 205.251.197.54","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d18n0z9nyihs3r.cloudfront.net,,"ns-97.awsdns-12.com, ns-1334.awsdns-38.org, ns-835.awsdns-40.net, ns-1679.awsdns-17.co.uk",,,,,
[x],us-west2-mon-ic2a.voffice.bsmtechnologies.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,v78c81xwrd7gchsz4r1qs14z1vml0yd3,,,
[x],voffice.bsmtechnologies.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],vpn3.webtechwireless.com,192.40.237.106,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],webmail.webtechwireless.com,192.40.237.125,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],webscripts.test.geotabinc.com,35.190.52.39,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],webtechwireless.com,74.200.11.252,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com","alt3.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","rjs60bggh47gf5cpim5b0qnng3, a26286a5c2df84eccbe5f92b4b26f3b4, MS=ms93382145, QCeEZ4IMCnpVSIofJlSsmHZA0KEIeLK1kF5WYuvrDnXNBoUCb5s/v+GoV579ajaVNE+ZqK7I27Ya2F5jS1FWHw==, google-site-verification=mhXiCq0O2B86EjQvNPTSnLzsMo2myF4sP6-oeaNJulQ, 8trnm9z18gw395m3n17l1qwl271k7gcl, v=spf1 ip4:64.254.146.175/32 ip4:67.210.218.80/26 include:spf.protection.outlook.com include:_spf.google.com -all, k8cm9yt89tjg13tkxcq6mvb9x8zhwp33",,,
[x],wowapi.mobicorp.com,34.148.189.141,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],wowtestapi.mobicorp.com,34.74.216.235,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],wu-staging.webtechwireless.com,64.254.146.172,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],wu.webtechwireless.com,74.200.11.250,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,rjs60bggh47gf5cpim5b0qnng3,,,
[x],ww2.webtechwireless.com,64.254.146.139,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],www.autovision.bsmwireless.com,72.15.56.19,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],www.bsmtechnologies.com,34.149.0.149,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,bsmtechnologies.com,,"ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com","alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","v=spf1 include:spf.protection.outlook.com include:emailus.freshservice.com include:email.freshservice.com include:us-west2-mon-ic2a.voffice.bsmtechnologies.com  include:_spf.google.com -all, google-site-verification=CUb8wrwFYR_PiemIJii6WAgjBB1JZhi923D9i8bxgpU, rjs60bggh47gf5cpim5b0qnng3, wr69p5v8j9br3pszz045b87lgsmdhh6n, ca3-365912ce70b542788f4069136cbc51b8, 7lr67fs65gp5xxs87g6dp8c0n870hdlr, MS=ms53766155",,,
[x],www.geotab.ca,34.95.97.185,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,www.geotab.com,,,,,,,
[x],www.intendia.com,34.149.109.44,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,intendia.com,,"ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",google-site-verification=NYIVnIljjT7u2gkeqf77UoWxvhCDEN2HvjKPGEpSm4o,,,
[x],www.lat-lon.com,107.180.2.40,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,lat-lon.com,,"ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com","alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com","google-site-verification=zCLSlSEMIycMzLrApQIpN39UkxzfReZAFRHK7yDZshw, de5j4phih7sgc47ltutpve8vkr, 7kgmlhq6zkr13xmn3jt9zwym2l89t3n7, 785wc2qh1gjz3fykbrdgxzwymb3sf97y, MS=ms32537241, ld7bkb8w6jkbxjrf9qw4mc41w3qtcmw9, v=spf1 mx a ip4:64.78.145.132/32 include:spf.protection.outlook.com include:_spf.google.com -all, hzqnprn2vtfh20xf92nys23mclq6g1km",,,
[x],www.neutralvehicle.com,34.160.61.32,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],www.webtechwireless.com,74.200.11.252,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],www2.mobicorp.com,"18.208.125.13, 3.92.120.28, 52.54.96.194, 34.237.219.119, 3.215.172.219","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,,,
[x],www2.webtechwireless.com,66.199.131.185,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],www3.webtechwireless.com,216.187.77.155,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
