input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,csp_domains_
bng-ics-secure-gateway.ivanti.com,Login,200,5028,bng-ics-secure-gateway.ivanti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-06-24T00:00:00Z,2023-06-24T23:59:59Z,"CN=bng-ics-secure-gateway.ivanti.com, OU=Information Technology, O=Ivanti\, Inc., ST=Utah, C=US",bng-ics-secure-gateway.ivanti.com,"Ivanti, Inc.",bng-ics-secure-gw.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,879a9439f9d60fcd69a73699545c5aac,a60d7c6512fa6c6c8579770953c1b0d6501e81010192acd9fd60a9fb46f5d6ba,,ctls,bng-ics-secure-gateway.ivanti.com,,443,https://bng-ics-secure-gateway.ivanti.com:443,https,text/html,GET,14.97.95.248,/,770941666,14.97.95.248,HSTS,128,False,,,https://bng-ics-secure-gateway.ivanti.com/dana-na/auth/url_default/welcome.cgi,
bng-ics-secure-gw.ivanti.com,Bangalore Ivanti Connect Secure DFS,200,6025,bng-ics-secure-gw.ivanti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-06-24T00:00:00Z,2023-06-24T23:59:59Z,"CN=bng-ics-secure-gateway.ivanti.com, OU=Information Technology, O=Ivanti\, Inc., ST=Utah, C=US",bng-ics-secure-gateway.ivanti.com,"Ivanti, Inc.",bng-ics-secure-gw.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,879a9439f9d60fcd69a73699545c5aac,a60d7c6512fa6c6c8579770953c1b0d6501e81010192acd9fd60a9fb46f5d6ba,,ctls,bng-ics-secure-gw.ivanti.com,,443,https://bng-ics-secure-gw.ivanti.com:443,https,text/html,GET,14.97.95.248,/,2080158396,14.97.95.248,HSTS,134,False,,,https://bng-ics-secure-gw.ivanti.com/dana-na/auth/url_default/welcome.cgi,
bng-vpn-stage.ivanti.com,Sign in to your account,200,198031,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,,80,http://bng-vpn-stage.ivanti.com:80,http,text/html,GET,14.97.6.229,/,-1189882634,14.97.6.229,HSTS,174,False,,,https://login.microsoftonline.com/e5208e76-dd12-47f0-9541-c9b45afaffe6/saml2?SAMLRequest=rZJLb9swEIT%2FisA7JVLRwyYsF26MogbyMGI3h14KilopBKSlQlJO%2Bu8jyQma%0AXHIocuZwdubbXTnZtb3YDP4B7%2BBxAOeD565FJ%2BaHggwWhZFOO4GyAye8EofN%0A9ZWIQyZ6a7xRpiXBxjmwXhu8NOiGDuwB7Ekr%2BHV3VZAH73snoqjEhp56pM7L%0ABkJ9kuh1qEwXVRIlRRnJMUU0zaXq1SZUjSbBdkylUU7%2B%2F9xa02gMO62scab2%0ABluNMNtBGrMF5BmtKh7TJK8ZXaYJp2pZJqmsZV1DNo%2BJSfDDWAVz%2B4IwEuy2%0ABflTqlzKvOZZotI4T%2BQizhZVzS7KOmPlMplkzg2ww7EI%2BoLELL6gLKWcHzkX%0ALBdJ%2BpsE%2B1c43zVWGpvPSZZnkRM%2Fj8c93d8ejrPBSVdgb0b1f0EErHqj0U8Q%0Av%2FWF6zkJ7sG6GeM4laxXk07Mbey7tX%2BeVb7tmqy%2FJNQqepfiHKkXU%2Bnddm9a%0Arf4Gm7Y1T5cWpB9BcBKtz18%2Bnu36BQ%3D%3D%0A&RelayState=https%3A%2F%2Fbng-vpn-stage.ivanti.com,
capita.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1628,capita.csa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-05T00:00:00Z,2023-12-05T23:59:59Z,"CN=capita.csa.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",capita.csa.ivanti.com,"Ivanti, Inc.",capita.csa.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,5798a434caa070499deec4f14cd778d7,71f9a41e6d600de445a30298d0e793697dc9bafb948ac5a0b58aade98ced15d1,,ctls,capita.csa.ivanti.com,,443,https://capita.csa.ivanti.com:443,https,text/html,GET,34.252.230.210,/,-1703592683,34.252.230.210,,50,False,,,,
capita4.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1632,capita4.csa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-05T00:00:00Z,2023-12-05T23:59:59Z,"CN=capita4.csa.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",capita4.csa.ivanti.com,"Ivanti, Inc.",capita4.csa.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f18012c24b9a3638405d0cf95d3984da,e058d3fc3498ecd82df6b569f33ec391ec6024f6daa24c699abb8a4d58e0d09f,,ctls,capita4.csa.ivanti.com,,443,https://capita4.csa.ivanti.com:443,https,text/html,GET,52.16.54.210,/,-1703592683,52.16.54.210,,50,False,,,,
capita5.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1632,capita5.csa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-05T00:00:00Z,2023-12-05T23:59:59Z,"CN=capita5.csa.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",capita5.csa.ivanti.com,"Ivanti, Inc.",capita5.csa.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9611dac4d572c5e963b044bd59f23cff,715b873500fb3dccf4cad10cdc0e5e92f975910c9e4ff5fb8c801ee16a18924e,,ctls,capita5.csa.ivanti.com,,443,https://capita5.csa.ivanti.com:443,https,text/html,GET,34.249.21.144,/,-1703592683,34.249.21.144,,50,False,,,,
cncs.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1620,,,,,,,,,,,,,,,,,,,,,,80,http://cncs.csa.ivanti.com:80,http,text/html,GET,52.2.228.123,/,-1703592683,52.2.228.123,,50,False,,,,
community.ivanti.com,,200,1153,community.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T00:00:00Z,2024-03-17T23:59:59Z,"CN=*.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",*.ivanti.com,"Ivanti, Inc.",ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,820d4f3e2b0fcc02413ea8405358ce58,d3b5a1e9df9a88f92f38b3b1ac3fd4ae2c880dd66cfc3a4ad8d06d8fcf4be2c1,True,ctls,community.ivanti.com,cloudflare,443,https://community.ivanti.com:443,https,text/html,GET,104.17.137.107,/,-916620091,2606:4700::6811:896b,Microsoft ASP.NET:4.0.30319,28,False,True,cloudflare,https://community.ivanti.com/redirect.aspx?url=https://forums.ivanti.com,url=https://forums.ivanti.com
connectors.ivanti.com,,403,243,connectors.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=connectors.ivanti.com,connectors.ivanti.com,,connectors.ivanti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cd9338d6673d053634e5dd1907137255,032ddb1a9b06648d9b219d88a6b76fea6a1326b91c9797befb0c16847d8682ca,,ctls,connectors.ivanti.com,cloudfront,443,https://connectors.ivanti.com:443,https,application/xml,GET,13.224.189.73,/,1362138695,2600:9000:20eb:d400:1:e456:2380:93a1,Amazon Web Services,2,False,True,AmazonS3,,
contentdev.ivanti.com,,403,243,contentdev.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=contentdev.ivanti.com,contentdev.ivanti.com,,contentdev.ivanti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0b933181a11b34ad2813e3b0123d918f,4a166ccf0acc6206b3d0ebcac6a6b9a98987d4b7f5f735f6512cf8f281280605,,ctls,contentdev.ivanti.com,cloudfront,443,https://contentdev.ivanti.com:443,https,application/xml,GET,143.204.89.112,/,2031876110,2600:9000:2156:3800:f:6ac1:ef80:93a1,Amazon Web Services,2,False,True,AmazonS3,,
csapi-qa.ivanti.com,,404,,csapi-qa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-25T00:00:00Z,2023-07-25T23:59:59Z,"CN=payment-qa.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",payment-qa.ivanti.com,"Ivanti, Inc.",csapi-qa.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,34efa06f4839b33dcffea2c27d11bdd2,f2f429b386e21417119f143254c544097888b785f717170ebeba2189abc9a441,,ctls,csapi-qa.ivanti.com,azure,443,https://csapi-qa.ivanti.com:443,https,,GET,13.66.138.97,/,-1840324437,13.66.138.97,Windows Server,1,False,True,Microsoft-IIS/10.0,,
csapi.ivanti.com,,404,,,,,,,,,,,,,,,,,,,,,,azure,80,http://csapi.ivanti.com:80,http,,GET,13.66.138.106,/,-1840324437,13.66.138.106,Windows Server,1,False,True,Microsoft-IIS/10.0,,
derek.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1624,derek.csa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,1970-01-01T00:00:00Z,2028-09-19T18:15:33Z,"CN=derek.csa.ivanti.com, OU=Copyright (C) 2020\, Ivanti\, Inc., O=Copyright (C) 2020\, Ivanti\, Inc., L=South Jordan, ST=Utah, C=US, dnQualifier=20210921121533, dnQualifier=20210921121533",derek.csa.ivanti.com,"Copyright (C) 2020, Ivanti, Inc.",192.168.122.1,"CN=Cloud Services Appliance, OU=Copyright (C) 2020\, Ivanti\, Inc., O=Ivanti\, Inc., L=South Jordan, ST=Utah, C=US, dnQualifier=20210917201118, dnQualifier=20210917201118",Cloud Services Appliance,"Ivanti, Inc.",716e7cd980bf32ae58e1130a21c5f8e9,d6292035fd5580cf736eff435e09701dfcecab1ce5269551395eb9e736c0da52,,ctls,derek.csa.ivanti.com,,443,https://derek.csa.ivanti.com:443,https,text/html,GET,44.197.254.181,/,-1703592683,44.197.254.181,,50,False,,,,
developer.ivanti.com,Ivanti Developer Hub,200,619128,developer.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T00:00:00Z,2024-03-17T23:59:59Z,"CN=*.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",*.ivanti.com,"Ivanti, Inc.",ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,820d4f3e2b0fcc02413ea8405358ce58,d3b5a1e9df9a88f92f38b3b1ac3fd4ae2c880dd66cfc3a4ad8d06d8fcf4be2c1,True,ctls,developer.ivanti.com,cloudflare,443,https://developer.ivanti.com:443,https,text/html,GET,104.17.138.107,/,-689498768,2606:4700::6811:8a6b,Vue.js,14974,False,True,cloudflare,https://developer.ivanti.com/hub,
elearning.ivanti.com,Resource not available,404,649,elearning.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-03-06T00:00:00Z,2024-03-14T23:59:59Z,CN=*.learnupon.com,*.learnupon.com,,learnupon.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",6f725cf8d95dd89b1ec2d9de775a117a,a3078aeb0fe089f0986cb6483f8ea6cce5253f01bd71299db082ddba566348b8,True,ctls,elearning.ivanti.com,,443,https://elearning.ivanti.com:443,https,text/html,GET,52.18.94.97,/,1979059704,34.240.53.131,Nginx,26,False,,nginx,,
enterpriseenrollment.ivanti.com,Microsoft Intune admin center,200,39990,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,,443,https://enterpriseenrollment.ivanti.com:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,,https://intune.microsoft.com/,
enterpriseregistration.ivanti.com,Service,404,1565,enterpriseregistration.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.ivanti.com,azure,443,https://enterpriseregistration.ivanti.com:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,
epmgapi.ivanti.com,,404,,epmgapi.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-23T00:00:00Z,2023-05-23T23:59:59Z,"CN=epmgapi.ivanti.com, OU=Information Technology, O=Ivanti\, Inc., ST=Utah, C=US",epmgapi.ivanti.com,"Ivanti, Inc.",epmgapi.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc43d7575dd6a4b836264cae9c5f1a08,3c14661e10eee5df35c8842b5d94ba0101cde0bb67691b1556a80c30a23c3591,,ctls,epmgapi.ivanti.com,,443,https://epmgapi.ivanti.com:443,https,,GET,18.207.171.208,/,1772087922,23.23.55.83,Microsoft ASP.NET,1,False,,Kestrel,,
forum.ivanti.com,Ivanti Community,200,387335,forums.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T00:00:00Z,2023-07-22T23:59:59Z,"CN=forums.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",forums.ivanti.com,"Ivanti, Inc.",forums.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1c99ff3cea93dcbea742cc83436e504c,d8441c29a7d6fd1bdf9d05711c60604ef3954f70936a3f17e5442b9d797cc119,,ctls,forums.ivanti.com,cloudflare,443,https://forum.ivanti.com:443,https,text/html,GET,104.17.138.107,/,1157094477,2606:4700::6811:896b,HSTS,170,False,True,sfdcedge,https://forums.ivanti.com/s/?language=en_US,https://uip.canary.lwc.dev
forums.ivanti.com,Ivanti Community,200,428370,forums.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T00:00:00Z,2023-07-22T23:59:59Z,"CN=forums.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",forums.ivanti.com,"Ivanti, Inc.",forums.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1c99ff3cea93dcbea742cc83436e504c,d8441c29a7d6fd1bdf9d05711c60604ef3954f70936a3f17e5442b9d797cc119,,ctls,forums.ivanti.com,,443,https://forums.ivanti.com:443,https,text/html,GET,85.222.140.11,/,1157094477,85.222.140.10,HSTS,526,False,,sfdcedge,https://forums.ivanti.com/s/?language=en_US,https://location.force.com
