input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
app.stars.dev.iace.mod.gov.uk,STARS,200,39468,app.stars.dev.iace.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T01:57:26Z,2023-07-17T01:57:25Z,CN=app.stars.dev.iace.mod.gov.uk,app.stars.dev.iace.mod.gov.uk,,app.stars.dev.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e4a3e655b5bf54f7808d4bc626ad799,3964c427f9778e2b8f868deec230e480147005af12bd9c34aa57ea58068688a3,,ctls,app.stars.dev.iace.mod.gov.uk,azure,443,https://app.stars.dev.iace.mod.gov.uk:443,https,,text/html,GET,51.104.254.70,/,566218143,51.104.254.70,HSTS,132,False,True,,,,
app.stars.iace.mod.gov.uk,STARS,200,39468,app.stars.iace.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T23:44:17Z,2023-06-24T23:44:16Z,CN=app-main.stars.iace.mod.gov.uk,app-main.stars.iace.mod.gov.uk,,app.stars.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,41da55cbfbdf3f6281e3894efbdb6840,21412da4895ea4eb2ac48d57d89a510ef4e7fe160092ed4c8cee1c19bffe3456,,ctls,app.stars.iace.mod.gov.uk,azure,443,https://app.stars.iace.mod.gov.uk:443,https,,text/html,GET,20.49.149.184,/,1494302000,20.49.149.184,HSTS,132,False,True,,,,
army.defencegateway.mod.uk,Working...,200,4286,sso.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,sso.defencegateway.mod.uk,cloudflare,443,https://army.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.15.198,/,-1840324437,104.18.14.198,HSTS,1,False,True,,https://sso.defencegateway.mod.uk/adfs/ls?wa=wsignin1.0&wtrealm=https%3a%2f%2farmy.defencegateway.mod.uk%2f_trust%2f&wctx=https%3a%2f%2farmy.defencegateway.mod.uk%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F,*.mod.uk,
asims.ice.mod.gov.uk,ASIMS,200,233,asims.ice.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-12-03T23:59:59Z,CN=asims.ice.mod.gov.uk,asims.ice.mod.gov.uk,,*.asims.ice.mod.gov.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,49f881eb00117c3d53c42ed75fe25b67,abdda0d3f2279930eb58b0a7688cda603be15187ff0ebaf7b3bbfe2a003a5220,True,ctls,asims.ice.mod.gov.uk,,80,http://asims.ice.mod.gov.uk:80,http,nginx,text/html,GET,18.134.91.91,/,-1769964345,3.11.5.127,Nginx,10,False,,,https://asims.ice.mod.gov.uk/,,
auth.ukspoc.mod.gov.uk,403 Forbidden,403,199,auth.ukspoc.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-07-25T23:59:59Z,CN=ukspoc.mod.gov.uk,ukspoc.mod.gov.uk,,mock.ukspoc.mod.gov.uk,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",923f16a95d2d5718c31c7f71a305e64a,dae14c1af5b3d2f9ca7201e31624c46b5ec223bca483daf209a935f77be5ec58,,ctls,auth.ukspoc.mod.gov.uk,,443,https://auth.ukspoc.mod.gov.uk:443,https,Web Server,text/html,GET,18.135.185.218,/,-855688948,18.135.185.218,,8,False,,,https://auth.ukspoc.mod.gov.uk/default,,
authoring.royalnavy.mod.uk,,403,16,authoring.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,authoring.royalnavy.mod.uk,cloudflare,443,https://authoring.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.16.76,/,1253481126,2606:4700::6812:104c,Cloudflare Bot Management,1,False,True,,,,
autodiscover.army.mod.uk,Sign in to Outlook,200,201103,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,80,http://autodiscover.army.mod.uk:80,http,,text/html,GET,52.98.175.24,/,-1249852061,2603:1026:c0d:c03::8,HSTS,173,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=592cd444-5735-246a-d042-69c9d92c977b&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=army.mod.uk&nonce=638194245825551517.951cd60f-bc55-4f0e-a981-4174dbe601ef&state=DctNDsIgEEBhsHfRFZSpDD-LxrNMYUiMEhK0Nd6-LL63e1IIMQ2XQZoR4d09QLSLxbAgIiB4HRFSdqaoLSEqWwwrigGUBW_zxs4AFzne29x-ND8607uu1Otf15b1_roeeaX92_Lzk9rB_QQ,,
autodiscover.bader.mod.uk,Sign in to Outlook,200,198786,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,,80,http://autodiscover.bader.mod.uk:80,http,,text/html,GET,40.99.155.232,/,-1249852061,2603:1026:c0d:77::8,HSTS,174,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=618c902c-4ad7-be68-cc89-13e1b0f18416&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=bader.mod.uk&nonce=638194245825592684.408be6fe-daf2-4a02-a790-7b9ce34d488f&state=DctBDsIgEEBR0LsYN1CkAwyLxrMMnSEx2pBQW68vi_d3XyulrsNl0G5EpTjjI4OHgD6E7COCBYdFYhXDVL0Bct5Qys6kkleZgQGx6vHep_aj6dmFPttSiKXbrbE93reTFzq-jV_72k7pfw,,
bvd.rfca.mod.uk,403 - Forbidden: Access is denied.,403,1233,bvd.rfca.mod.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-28T14:27:46Z,2024-05-29T14:27:45Z,CN=sfbp1ex.rfca.org.uk,sfbp1ex.rfca.org.uk,,lyncdiscover.rfca.org.uk,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,299b299f4dd6d485a95995cb538a2d83,e0fd2619cf804767d1ba55e0c112aa9521550233dc782f26b1a4ff4c37fda437,,ctls,bvd.rfca.mod.uk,,443,https://bvd.rfca.mod.uk:443,https,Microsoft-IIS/10.0,text/html,GET,81.145.45.60,/,-1807411396,81.145.45.60,Windows Server,30,False,,True,,,
c0074-prod.ice.mod.gov.uk,502 Bad Gateway,502,122,c0074-prod.ice.mod.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-11T23:59:59Z,CN=c0074-prod.ice.mod.gov.uk,c0074-prod.ice.mod.gov.uk,,*.c0074-prod.ice.mod.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0d62a75e5a8f65f0744089ef079c46a6,dc1dc5b740c4dc8884f8ae6dcc9a94d2a77602728a1cee347c2fc647699f84f4,True,ctls,c0074-prod.ice.mod.gov.uk,,80,http://c0074-prod.ice.mod.gov.uk:80,http,nginx,text/html,GET,52.56.102.206,/,590066698,18.134.114.27,Nginx,7,False,,,https://c0074-prod.ice.mod.gov.uk/,,
c0078-prod.ice.mod.gov.uk,403 Forbidden,403,146,c0078-prod.ice.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-25T23:59:59Z,CN=c0078-prod.ice.mod.gov.uk,c0078-prod.ice.mod.gov.uk,,*.c0078-prod.ice.mod.gov.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76924e138576698e603442bf5d28a3d6,d0a5d2bf86d123955c1f0833bf01b8662a4426391eca06c0c806921fbc5f209e,True,ctls,c0078-prod.ice.mod.gov.uk,,443,https://c0078-prod.ice.mod.gov.uk:443,https,nginx,text/html,GET,18.169.116.207,/,-1561873722,3.9.252.255,Nginx,8,False,,,,,
c0079-prod.ice.mod.gov.uk,502 Bad Gateway,502,150,c0079-prod.ice.mod.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-03T23:59:59Z,CN=c0079-prod.ice.mod.gov.uk,c0079-prod.ice.mod.gov.uk,,*.c0079-prod.ice.mod.gov.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,00c33f0aa44c260227f5916764faabbb,11869e3a72a26cd691a751937c8ff6493c4bd38ace1b79a0ae8d6a16f310ca7f,True,ctls,c0079-prod.ice.mod.gov.uk,,443,https://c0079-prod.ice.mod.gov.uk:443,https,nginx,text/html,GET,13.41.143.173,/,-803400545,18.135.165.31,Nginx,8,False,,,,,
cadets.defencegateway.mod.uk,,404,101,cadets.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,cadets.defencegateway.mod.uk,cloudflare,443,https://cadets.defencegateway.mod.uk:443,https,cloudflare,,GET,104.18.14.198,/,-1840324437,104.18.15.198,Microsoft SharePoint,5,False,True,,,,
chat.cortisone.dev.iace.mod.gov.uk,Cortisone,200,224629,chat.cortisone.dev.iace.mod.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T08:11:32Z,2023-07-10T08:11:31Z,CN=chat.cortisone.dev.iace.mod.gov.uk,chat.cortisone.dev.iace.mod.gov.uk,,cortisone.dev.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a2f999f9d93b66acdab2038710f2f618,5158e9061e10e7ab49c00999827dc8f0659ecb832571217ddc094addbdc8a7ef,,ctls,chat.cortisone.dev.iace.mod.gov.uk,azure,443,https://chat.cortisone.dev.iace.mod.gov.uk:443,https,nginx/1.14.1,text/html,GET,51.11.4.210,/,1662101165,51.11.4.210,Node.js,513,False,True,,,,
chatbot-api-uat.royalnavy.mod.uk,,404,23,chatbot-api-uat.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-02-17T23:59:59Z,CN=chatbot-api-uat.royalnavy.mod.uk,chatbot-api-uat.royalnavy.mod.uk,,chatbot-api-uat.royalnavy.mod.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,05e2ac4670c24ab0f71f35b05373588f,4f2eb8e2ebe983c7eeeab55f1695161ec4895d351ba0d6ded61e1dd6fb50e969,,ctls,chatbot-api-uat.royalnavy.mod.uk,cloudfront,443,https://chatbot-api-uat.royalnavy.mod.uk:443,https,,application/json,GET,52.222.236.89,/,631524574,2600:9000:223e:800:12:a03a:ca00:93a1,Amazon Web Services,1,False,True,,,,
chatbot-frontend-uat.royalnavy.mod.uk,RN Chatbot,200,1196,chatbot-frontend-uat.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-02-17T23:59:59Z,CN=chatbot-frontend-uat.royalnavy.mod.uk,chatbot-frontend-uat.royalnavy.mod.uk,,chatbot-frontend-uat.royalnavy.mod.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0faba9bcd18033769663779b29c9206f,8e102ebd78118bdc9b60e186b31e9976c4d7d37c7de45c25c15b54c87652f89d,,ctls,chatbot-frontend-uat.royalnavy.mod.uk,cloudfront,443,https://chatbot-frontend-uat.royalnavy.mod.uk:443,https,AmazonS3,text/html,GET,13.225.78.33,/,-1252041730,2600:9000:21f3:5600:4:4728:9880:93a1,Amazon Web Services,50,False,True,,,,
cmp.defencegateway.mod.uk,Career Management Portal,200,4046,cmp.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,cmp.defencegateway.mod.uk,cloudflare,443,https://cmp.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.14.198,/,-2009722838,104.18.15.198,React,1,False,True,,,,
cms.army.mod.uk,,403,16,cms.army.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2023-06-19T23:59:59Z,"CN=army.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",army.mod.uk,"Cloudflare, Inc.",army.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dc8376dcd78c9032556e5e14280e38c0,45b298ece76e1bf6a5f4f2164298d7c3d498e20e5b1fefa707a6d8cb1780a3fb,True,ctls,cms.army.mod.uk,cloudflare,443,https://cms.army.mod.uk:443,https,cloudflare,text/plain,GET,104.18.23.40,/,1253481126,2606:4700::6812:1628,Cloudflare Bot Management,1,False,True,,,,
console-openshift-console.apps.ocp1.azure.dso.digital.mod.uk,Red Hat OpenShift Container Platform,200,3412,console-openshift-console.apps.ocp1.azure.dso.digital.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-10T00:00:00Z,2023-11-10T23:59:59Z,CN=*.apps.ocp1.azure.dso.digital.mod.uk,*.apps.ocp1.azure.dso.digital.mod.uk,,apps.ocp1.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,28944e9614a23d4c02b450f8dd5e4691,f16ca7a5d3f998509937d6ed591b6696abcb8ef644959785f6e3db49e815a35e,True,ctls,console-openshift-console.apps.ocp1.azure.dso.digital.mod.uk,,443,https://console-openshift-console.apps.ocp1.azure.dso.digital.mod.uk:443,https,,text/html,GET,20.108.108.248,/,-975719339,20.108.108.248,HSTS,41,False,,,,,
