input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,csp_domains_,tls_self_signed
bookingbot.htc.com,,403,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://bookingbot.htc.com:80,http,,text/html,GET,23.201.250.189,/,-297782484,,23.201.250.189,,3,False,,,,,,
careers.htc.com,HTC Global Careers,200,33840,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,careers.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,careers.htc.com,443,https://careers.htc.com:443,https,,text/html,GET,23.201.250.189,/,1543228025,https://careers.htc.com/career/HTC-global/,23.201.250.189,PHP,456,False,,,,,,
channelpos.htc.com,HTC Channel POS System - Logon,200,4201,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,channelpos.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,channelpos.htc.com,80,http://channelpos.htc.com:80,http,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,https://channelpos.htc.com/Account/Logon?ReturnUrl=%2f,23.201.250.189,Microsoft ASP.NET:4.0.30319,99,False,,,,,,
community.htc.com,Page Redirection,200,514,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,community.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,community.htc.com,80,http://community.htc.com:80,http,Apache,text/html,GET,23.212.216.237,/,-1573539619,https://community.htc.com/,23.212.216.237,Apache,15,False,,,,,url=https://community.htc.com/tw/hero.php,
cota-chin.htc.com,Error,403,74,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cota-chin.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,cota-chin.htc.com,443,https://cota-chin.htc.com:443,https,WildFly/8,text/html,GET,114.30.34.42,/,-1463124301,,114.30.34.42,,1,False,True,,,,,
dl2.htc.com,,200,,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,,,,,,,,,,,,,,,,,,,80,http://dl2.htc.com:80,http,GlassFish Server Open Source Edition 3.0.1,text/html,GET,23.37.59.43,/,-1840324437,,23.37.59.43,Java Servlet:3.0,1,False,,,,,,
dl6.htc.com,Access Denied,403,222,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,dl6.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,dl6.htc.com,443,https://dl6.htc.com:443,https,AkamaiGHost,text/html,GET,23.37.59.43,/,1968910334,,23.37.59.43,,10,False,,True,,,,
dl7.htc.com,,200,,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,,,,,,,,,,,,,,,,,,,80,http://dl7.htc.com:80,http,GlassFish Server Open Source Edition 3.0.1,text/html,GET,2.16.186.42,/,-1840324437,,2.16.186.32,Java Servlet:3.0,1,False,,,,,,
e2e-tracking-asia.htc.com,,200,10796,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://e2e-tracking-asia.htc.com:80,http,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,http://e2e-tracking-asia.htc.com/ViewTicket.aspx,23.201.250.189,prettyPhoto,284,False,,,,,,
e2e-tracking-us.htc.com,,200,10796,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://e2e-tracking-us.htc.com:80,http,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,http://e2e-tracking-us.htc.com/ViewTicket.aspx,23.201.250.189,prettyPhoto,284,False,,,,,,
e2easiaws1.htc.com,,200,248,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,e2easiaws1.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,e2easiaws1.htc.com,443,https://e2easiaws1.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,https://e2easiaws1.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,23.201.250.189,Microsoft ASP.NET,11,False,,,,,,
e2ews1.htc.com,,200,248,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,e2ews1.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,e2ews1.htc.com,443,https://e2ews1.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,https://e2ews1.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,23.201.250.189,Microsoft ASP.NET,11,False,,,,,,
eaw.htc.com,,200,51,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,eaw.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,eaw.htc.com,80,http://eaw.htc.com:80,http,Apache-Coyote/1.1,text/html,GET,122.147.173.178,/,1543228025,https://eaw.htc.com/,122.147.173.178,Java,3,False,True,,,,,
eawqat.htc.com,,200,129,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,eawqat.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,eawqat.htc.com,80,http://eawqat.htc.com:80,http,Apache-Coyote/1.1,text/html,GET,122.147.173.177,/,1543228025,https://eawqat.htc.com/,122.147.173.177,Java,3,False,True,,,,,
edge.htc.com,,200,31,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,edge.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-03-06T10:21:38Z,2039-12-31T23:59:59Z,CN=edge.htc.com,edge.htc.com,,,CN=OsceEdgeRoot,OsceEdgeRoot,,9243f7dd5b3ff5194b8dba1302ba58e4,928233988d0ce6b0371d402f49a872c23e38f02d2c38764f1a9609f85a68bc29,ctls,edge.htc.com,443,https://edge.htc.com:443,https,Microsoft-IIS/10.0,text/html,GET,122.147.173.230,/,1631801191,,122.147.173.230,Windows Server,1,False,,,,,,True
edge2.htc.com,403 - Forbidden: Access is denied.,403,1233,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,80,http://edge2.htc.com:80,http,Microsoft-IIS/10.0,text/html,GET,114.30.34.59,/,-1129303139,,114.30.34.59,Windows Server,30,False,,,,,,
epqcs-prd.htc.com,Access Denied,403,271,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://epqcs-prd.htc.com:80,http,AkamaiGHost,text/html,GET,23.201.250.189,/,-1209476774,,23.201.250.189,,10,False,,,,,,
epqcs-sta.htc.com,Access Denied,403,270,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,epqcs-sta.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,epqcs-sta.htc.com,443,https://epqcs-sta.htc.com:443,https,AkamaiGHost,text/html,GET,23.201.250.189,/,-1454812329,,23.201.250.189,,10,False,,,,,,
esports.htc.com,HTC Deutschland,200,46584,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://esports.htc.com:443,https,nginx,text/html,GET,104.126.37.16,/,1288394194,https://www.htc.com/de/,104.126.37.34,Nginx,1074,False,,,,,https:,
estore.htc.com,HTC Deutschland,200,46584,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://estore.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,-227649666,https://www.htc.com/de/,23.201.250.189,Nginx,1074,False,,,,,https:,
facade1-e2e-asia.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,facade1-e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,facade1-e2e-asia.htc.com,443,https://facade1-e2e-asia.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade1-e2e.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://facade1-e2e.htc.com:80,http,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade1.e2e.asia.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,facade1.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,facade1.e2e.asia.htc.com,443,https://facade1.e2e.asia.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade1.e2e.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,facade1.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,facade1.e2e.htc.com,443,https://facade1.e2e.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade2-e2e.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,facade2-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,facade2-e2e.htc.com,443,https://facade2-e2e.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade2.e2e.asia.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,facade2.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,facade2.e2e.asia.htc.com,443,https://facade2.e2e.asia.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
facade2.e2e.htc.com,,500,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://facade2.e2e.htc.com:80,http,istio-envoy,text/html,GET,23.201.250.189,/,1825611437,,23.201.250.189,Envoy,1,False,,,,,,
forwarder.htc.com,,200,5269,AS9924,AS9924,Unknown,219.87.73.102/32,sp.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,sp.htc.com,443,https://forwarder.htc.com:443,https,,text/html,GET,219.87.71.244,/,1631801191,https://sp.htc.com/sp/zk/home/loginHome.zul?encodedServiceId=http%3A%2F%2Fforwarder%2Ehtc%2Ecom%2Fhtc%5Fmain%2Easp%3Fbbb%3D1,219.87.71.244,JavaServer Pages:2.1,96,False,True,,,,,
