new,host,a,cname,mx,soa,ns,txt,status_code,cdn,cdn-name
[x],core.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],cosheli.score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],creative-intriors.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],cvs.carnepal.pasls.com,,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],debugsales.bookstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],deliver.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],delivernepal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],demo-shop.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],demo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],demoshop.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],email.pasls.com,,u3386505.wl006.sendgrid.net,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,v=spf1 include:sendgrid.net ~all,NOERROR,,
[x],eonline.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],eshopdemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],eshopper.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],everest.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],eyelooks.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],fashion-pasls-com.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],fingo-fashion.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],geekyrepo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],geekyrepo.score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],gender-gaze.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],greenshop-nepal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],h-135-207-40-29.test-store-5.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],happymissy.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],helloworld.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],hostmaster.pasls.com,,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],idea-store.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],iris-collection.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],itc-store.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],jeans-t-shirts-clothing.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],karashimini.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kaymu.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kisim.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kisima-pasls-com.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kisima.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kisimademo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],kokokoko.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ksoftstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],lemonstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],liquor-shop.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],maharjans.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],maltitaders.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],me.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],mero-electronics-pasal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],metro-express.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],mine-apparels-pvt-ltd.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],miss-d.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],mobile-sansar.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],motormonk.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],my-meal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],mypasal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],myshoppie.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],nakkali.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],narwhal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],nataraj-collections.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],nepal-seo-expert.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],nepshop.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],new-dilungchha-jewellery.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],newlook.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ns-1.pasls.com,205.251.195.84,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ns-2.pasls.com,205.251.192.123,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ns-4.pasls.com,205.251.198.211,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ns2.pasls.com,173.245.58.51,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,True,cloudflare
[x],ns3.pasls.com,173.245.59.41,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,True,cloudflare
[x],oxy-oxygen-62892bcc.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],prajin.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],prakash-books.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],rajan-store.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],raksi-pasls-com.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ram-ko-pasal.score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ramailo.score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ramridemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ramro-ma-fashion-design.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ranjeet.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],red-devil.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],revamp-wear.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],rubbez.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sabins.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sagarstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sailung-cyber-communication.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],saltaxdemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],samanda.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sastopasal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],script-src-https-kw-xss-ht-script.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sdu.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],secondhandmaal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],shopdemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],shrestha-agri-inputs.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],smartshop.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sofanidemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sonic312-37.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],store123.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],subhakamana-emporiam.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sublimedemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],sulav-shopping.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],suraj.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],swastik.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],swww.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],technopedia.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],teenthari-1.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],test-store-5.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],test-store.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],test12345.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],testing.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],testtest.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],the-book-point-khanar.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],the-friendly-seller.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],the-man.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],theplaza.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],thug-store.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],trendzkurti.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],trojan-wear.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],trojanwear.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],unique-clothing.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],vegfoods.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],victim69.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],videobucket-v3.mypasal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],www.chaudharygeneralstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],www.pasls.com,139.59.48.221,pasls.com,,"ns1.digitalocean.com, hostmaster.pasls.com",,"v=spf1 include:spf.zoho.com ip4:103.235.198.3 include:transmail.net ~all, google-site-verification=JJPD2_vlypOwsOTosvxdR5RPeahKeITnnauYJe8-lmo, stripe-verification=f0426c854cf105338a1c55b763f8f4043344a21bc0ac356aba7f6edd4a5576aa",NOERROR,,
[x],www.zimisa.com,139.59.48.221,zimisa.com,"mx3.zoho.com, mx.zoho.com, mx2.zoho.com","ns-1.pasls.com, hostmaster.pasls.com","ns-3.pasls.com, ns-4.pasls.com, ns-1.pasls.com, ns-2.pasls.com","v=spf1 include:zoho.com include:servers.mcsv.net ~all, google-site-verification=iNsGjc8gQMnwr_HDsK6ekq_P5QYzPEkFLiY_TNnHlkE",NOERROR,,
[x],yokoloko.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],yourstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],yozi.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],zero-pasal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],zimisa.com,139.59.48.221,,"mx.zoho.com, mx2.zoho.com, mx3.zoho.com","ns-1.pasls.com, hostmaster.pasls.com","ns-1.pasls.com, ns-2.pasls.com, ns-3.pasls.com, ns-4.pasls.com","v=spf1 include:zoho.com include:servers.mcsv.net ~all, google-site-verification=iNsGjc8gQMnwr_HDsK6ekq_P5QYzPEkFLiY_TNnHlkE",NOERROR,,
[x],zimisa.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
