new,host,soa,status_code,a,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,cname,ns,mx,caa
,email.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,192.243.228.1,,,,"v=spf1 ip4:130.248.176.0/24 ~all, google-site-verification=noXBE9gPzNHq-50oJ8p5c8PwrYybnJawf15v9cpOBJA",,,,"ns-653.awsdns-17.net, ns-261.awsdns-32.com, ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk",inbound.campaign.adobe.com,
,epp.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.42.181.160, 52.27.233.232",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,files.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,gamification.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"10.10.130.45, 10.10.136.143",,,,,True,"10.10.130.45, 10.10.136.143",,,,
,gateway-admin.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"10.10.136.70, 10.10.130.43, 10.10.128.30, 10.10.132.254, 10.10.135.84",,,,,True,"10.10.136.70, 10.10.130.43, 10.10.128.30, 10.10.132.254, 10.10.135.84",,,,
,gateway.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"18.206.113.38, 50.16.178.17, 3.234.191.178, 52.200.227.73, 54.198.9.86",,,,,,,,,,
,go.wd.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.27.233.232, 52.42.181.160",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,gsemail.bugcrowd.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:168.245.42.152 -all,,,u5511678.wl179.sendgrid.net,,mx.sendgrid.net,
,gslink.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,history.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.42.181.160, 52.27.233.232",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,hodor.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"3.94.67.173, 54.88.87.78, 34.193.167.45, 34.230.198.33",,,,,,,,,,
,hooks.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"52.5.77.129, 3.92.131.34, 34.200.198.105, 52.207.188.4, 52.22.43.195",,,,,,,,,,
,hooks.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,,,
,hsp.bugcrowd.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:149.72.248.236 ip4:167.89.54.103 ip4:168.245.12.252 ip4:168.245.127.231 ip4:168.245.46.9 -all,,,"jgd4eupownzgpdr7wzyz.deliver.highspot.com, u1779892.wl143.sendgrid.net",,mx.sendgrid.net,
,idtc.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,info.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,192.28.149.47,,,,v=spf1 include:spf1.wdc.com ip4:216.71.154.42 ip4:68.232.143.124 ip4:68.232.141.245 ip4:216.71.153.141 ip4:216.71.153.144 ip4:207.250.68.0/26 ip4:207.67.38.0/26 ip4:192.28.149.47 ~all,,,,"ns1.wdc.com, ans2.wdc.com, ns2.wdc.com, ans1.wdc.com",info.hgstmarketing.com,
,intelliflash.westerndigital.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,"tegilesystems.mktoweb.com, sj05.mktossl.com",,,
,internaljobs.westerndigital.com,"n0ksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.215.17.210,,,,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,
,inventors.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,investor.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,jobs.westerndigital.com,"n0ksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.81.120.175,,,,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,
,levelup.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,link.accounts.westerndigital.com,"ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,"13.249.39.63, 13.249.39.129, 13.249.39.47, 13.249.39.99, 205.251.192.169, 205.251.194.231, 205.251.196.9, 205.251.199.108","2600:9000:2191:6c00:1f:5669:ba80:93a1, 2600:9000:2191:d400:1f:5669:ba80:93a1, 2600:9000:2191:1000:1f:5669:ba80:93a1, 2600:9000:2191:7800:1f:5669:ba80:93a1, 2600:9000:2191:ae00:1f:5669:ba80:93a1, 2600:9000:2191:a600:1f:5669:ba80:93a1, 2600:9000:2191:6e00:1f:5669:ba80:93a1, 2600:9000:2191:3400:1f:5669:ba80:93a1",True,cloudfront,,,,d14tgvj3xrga96.cloudfront.net,"ns-1900.awsdns-45.co.uk, ns-743.awsdns-28.net, ns-169.awsdns-21.com, ns-1033.awsdns-01.org",,
,link.westerndigital.com,"n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,184.25.218.133,,,,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,
,links.westerndigital.com,"ns1.marketo.com, ops.localhost",NOERROR,,,True,cloudflare,,,,mkto-sj050184.com,,,
,m.prod1.email.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.36.58.151, 52.88.24.175",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,
,m.prod1.notification.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.88.24.175, 52.36.58.151",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,
,m.prod1.productinfo.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.36.58.151, 52.88.24.175",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,
,mail.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,"205.251.197.247, 205.251.194.141, 205.251.199.64, 205.251.193.5",,,,,,,,,,
,mailgun.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"3.224.25.98, 50.16.0.5, 44.214.55.70, 52.4.199.19, 34.197.189.83",,,,,,,,,,
,mailgun.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,,,
,mobile.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,mysupport.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,"ns2.wdc.com, ns1.wdc.com, ans2.wdc.com, ans1.wdc.com",,
,notification.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,192.243.228.1,,,,"v=spf1 ip4:130.248.176.0/24 ~all, google-site-verification=vw-YdVy0EyCE5YoCkvM-f0SZgcMEwhbFR5Xrst3g--k",,,,"ns-653.awsdns-17.net, ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com",inbound.campaign.adobe.com,
,o1.em6194.dcs.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,168.245.68.133,,,,,,,,,,
,o6.em2612.accounts.westerndigital.com,"uls-ipam.hgst.com, dnsadmin.hgst.com",NOERROR,149.72.254.89,,,,,,,,,,
,p.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 -all,,,,,,
,pages.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,v=spf1 -all,,,,,,
,pages.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,partner.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-studio.sandisk.com,,,
,partnerportal.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.14.244,,,,,,,,,,
,payments.bugcrowd.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:159.183.223.14 ip4:167.89.105.42 -all,,,u2306935.wl186.sendgrid.net,,mx.sendgrid.net,
,portal.wd.com,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,"85.222.140.10, 85.222.140.11, 85.222.140.13",,,,,,,"portal.wd.com.00di0000000xyexeas.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,
,preview-shop.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,preview-tools.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,,"ns2.wdc.com, ans2.wdc.com, ns1.wdc.com, ans1.wdc.com",,
,preview.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,prod.accounts.westerndigital.com,"ns-1785.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.74, 18.66.122.24, 18.66.122.97, 18.66.122.52","2600:9000:2250:3c00:15:859e:d340:93a1, 2600:9000:2250:9200:15:859e:d340:93a1, 2600:9000:2250:dc00:15:859e:d340:93a1, 2600:9000:2250:c000:15:859e:d340:93a1, 2600:9000:2250:ac00:15:859e:d340:93a1, 2600:9000:2250:a00:15:859e:d340:93a1, 2600:9000:2250:f200:15:859e:d340:93a1, 2600:9000:2250:a600:15:859e:d340:93a1",True,cloudfront,,,,d12v9u60q8io99.cloudfront.net,"ns-723.awsdns-26.net, ns-1318.awsdns-36.org, ns-299.awsdns-37.com, ns-1785.awsdns-31.co.uk",,
,productinfo.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,192.243.228.1,,,,"google-site-verification=fOAajcpGr5JgAB7VIcghBqKI5-o5pIpxdUuLVpyzbqI, v=spf1 ip4:130.248.176.0/24 ~all",,,,,inbound.campaign.adobe.com,
,products.wd.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.27.233.232, 52.42.181.160",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,promos.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,proxilate-internal.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"10.10.51.155, 10.10.50.10",,,,,True,"10.10.51.155, 10.10.50.10",,,,
,pwd.comcast.com,"ns1-224.azure-dns.com, msnhst.microsoft.com",NOERROR,23.101.120.195,,True,azure,,,,"ccrstpwd.azurewebsites.net, hosts.ccrstpwd.azurewebsites.net",,,
,qa-auth0.accounts.westerndigital.com,"kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.103.2, 104.18.102.2","2606:4700::6812:6702, 2606:4700::6812:6602",True,cloudflare,,,,wdc-qa1-cd-bfka59b4perwefyi.edge.tenants.auth0.com,,,"digicert.com, letsencrypt.org"
,qr.wd.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.27.233.232, 52.42.181.160",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,quizdarty.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,r149.productinfo.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.149,,,,,,,,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net",,
,r152.email.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.152,,,,,,,,,,
,r153.email.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.153,,,,,,,,,,
,r154.email.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.154,,,,,,,,,,
,r155.email.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.155,,,,,,,,,,
,r156.notification.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,130.248.176.156,,,,,,,,,,
,rainbow-bridge.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,readyview.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,52.207.12.71,,,,,,,,,,
,register.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,res.prod1.notification.westerndigital.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.145.72, 13.32.145.113, 13.32.145.92, 13.32.145.28",,True,cloudfront,,,,,,,
,researcherdocs.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,service.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,shop-dev.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,shop-pay.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.14.144,,,,,,,,,,
,shop-qa.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,shop-uat.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,shop.wd.com,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,45.60.33.126,,True,incapsula,,,,"shop.wd.com.ext.digitalriverws.com, uw8kftd.x.incapdns.net",,,
,shop.westerndigital.com,"n0ksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.212.200.84,,,,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,
,sl.westerndigital.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,"18.209.131.43, 54.85.128.104, 18.235.9.115",,,,,,,custom-tracking.salesloft.com,,,"digicert.com, letsencrypt.org, pki.goog, comodoca.com"
,solr-qa.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,solr-uat.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,40.76.80.206,,True,azure,,,,,,,
,solr.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,4.157.128.175,,,,,,,,,,
,ssocommunity.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.55.122,,,,,,,,,,
,stamp.webapi.dev.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.14.63,,,,,,,,,,
