input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_expired,tls_self_signed,location
admin.vrbo.com,Bot or Not?,429,345307,admin.vrbo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-23T23:59:59Z,"CN=vrbo.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",vrbo.com,"Expedia Group, Inc.",*.abritel.fr,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f3306348945341114b2ce2d109cee5cb,845899a7094f15ed1b5514bd39b89e447e12a30999c0a6dbc3163106fc9c1db6,True,ctls,admin.vrbo.com,,443,https://admin.vrbo.com:443,https,istio-envoy,text/html,GET,2.23.209.153,/,-344979401,2.23.209.193,Zipkin,182,False,,,True,,,,
adyen.pnl.test.payments.expedia.com,Access Denied,403,296,adyen.pnl.test.payments.expedia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=pnl.test.payments.expedia.com, O=Expedia Inc, L=Bellevue, ST=Washington, C=US",pnl.test.payments.expedia.com,Expedia Inc,*.pnl.test.payments.expedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de0c4d1d37187c63a0128534627e75b3,6b147df79646bad84a3bd00ba79aeba217b3607f27f1e078051496a922ce24c8,True,ctls,adyen.pnl.test.payments.expedia.com,,443,https://adyen.pnl.test.payments.expedia.com:443,https,AkamaiGHost,text/html,GET,23.212.203.101,/,-2028991517,23.212.203.101,,10,False,,,,,,,
aegis.expedia.com,,403,23,aegis.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T12:23:49Z,2024-02-14T12:23:49Z,"CN=*.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",*.expedia.com,"Expedia, Inc.",*.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bf03b0c4d7baa54baa51efe98ba6132e,a6759cfea53f454b2f57453ceafcf5a5b3a67071bd8d91b4de9e6019a5d47897,True,ctls,aegis.expedia.com,cloudfront,443,https://aegis.expedia.com:443,https,,application/json,GET,52.222.236.50,/,968070783,52.222.236.117,Amazon Web Services,1,False,True,,,,,,
affiliates.expediagroup.com,"Expedia Group Affiliate Program - Travel Affiliate - Hotels, Flights, Car rentals & More",200,701831,affiliates.expediagroup.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-20T00:00:00Z,2023-09-22T23:59:59Z,"CN=*.expediagroup.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",*.expediagroup.com,"Expedia Group, Inc.",expediagroup.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f90b5ef4e29e870e5478cb06858db510,822f5b502bbaa5159d57c50e0f123ecb978ae03656260972bd50ee801ee52a84,True,ctls,affiliates.expediagroup.com,,443,https://affiliates.expediagroup.com:443,https,,text/html,GET,23.212.207.133,/,2072983049,23.212.207.133,Zipkin,78,False,,https://affiliates.expediagroup.com/en-us/home,,,,,
affiliates.hotwire.com,Just a moment...,403,7122,affiliates.hotwire.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-15T10:21:19Z,2023-07-15T10:21:19Z,"CN=affiliates.hotwire.com, O=Expedia\, Inc, L=Bellevue, ST=Washington, C=US",affiliates.hotwire.com,"Expedia, Inc",affiliates.hotwire.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",eab41ec4cbf93b36198d732296c59ecd,ae1baf32b65aff6ab6edc3189f3820b05b6558f11293897af020ae421e3b367f,,ctls,affiliates.hotwire.com,cloudflare,443,https://affiliates.hotwire.com:443,https,cloudflare,text/html,GET,104.18.169.94,/,543861130,104.18.171.94,HSTS,87,False,True,https://affiliates.hotwire.com/login.user,,,,,
agent.expedia.com,Multi-Channel Voyager,200,1214,agent.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T12:23:49Z,2024-02-14T12:23:49Z,"CN=*.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",*.expedia.com,"Expedia, Inc.",*.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bf03b0c4d7baa54baa51efe98ba6132e,a6759cfea53f454b2f57453ceafcf5a5b3a67071bd8d91b4de9e6019a5d47897,True,ctls,agent.expedia.com,cloudfront,443,https://agent.expedia.com:443,https,AmazonS3,text/html,GET,13.225.78.95,/,1606115133,13.225.78.7,Fourthwall:3c552dd31296507b115ae42c5435110c227c3fd0,27,False,True,,,,,,
agent.vap.expedia.com,Sign In,200,7373,cctoken.expedia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-25T00:00:00Z,2024-01-03T23:59:59Z,"CN=navigator.expedia.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",navigator.expedia.com,"Expedia Group, Inc.",cctoken.expedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf79ff3db6dd748f32649b2955fec88b,faa071d71abbd895b01a9eab3aba0e56528d8aa72994bbe4b9fa45784188d312,,ctls,cctoken.expedia.com,,443,https://agent.vap.expedia.com:443,https,Microsoft-IIS/8.0,text/html,GET,23.212.203.221,/,2002493178,23.212.203.221,Windows Server,111,False,,https://cctoken.expedia.com/adfs/ls/?SAMLRequest=fZLLbsIwEEX3%2FYrIe%2BdFgGKRIFSEVKnd0MeiG2ScCVgkduqZ9PX1NQGqsmFp69451hlPZ19NHXyAQ21NzpIwZgEYZUtttjl7eV7yWzYrbqYomzptxbyjnVnBewdIwRwRHPnenTXYNeCewH1oBS%2Brh5ztiFoUUQRfLZRa8q2yrbNly%2BUWDJG1NYbSTws75J9%2BGk9D2cgf69lbo8mGyjZRT4102TrA1kOABQuf1UZS%2F9wzRCmyezDhCdZ3ZVlhVGPEgvtFztabONuMoIy5HI%2BAZ8Oq4pNssOEwVpPxcDSCybjyUcQO7g2SNJSzNE4HPB7yJHlOhiLORJqEt0n2xoLXs7D0IMwrNCiOinLWOSOsRI3CyAZQkBJP88cH4aPCKyCrbM2Ko1HRA12wtK6RdL17uNElr%2Fqo8BI1fV%2Bwr9fleVusOMSOssXJtsBW%2FC1iTd2%2BfDOZhGn0%2F5XF6Xj5DYpf&RelayState=H4sIAAAAAAAAAD2RW3PaMBCF_4uekblYljFvHheowyUk0EDc6TBCF2OwJYNkLun0v3dp2j7tmdWns6ujn4ihAWosvkrrcG_rmqPINGEStdAOToa3WoqCJckKGhwaxBQ0IMo_HbpReGlKaYkKQ32yOQACgL1ztR202yyX2nkXVnvy08PjpmqXJi80kBJIbsRjjAK5jGdTkDkafEfsagHNdeGMZwuo2musPHtMVJ9XK1aUUE0tdSFA1HujH0b12aiilOhHCx3B85amaz27r5NpL5uudVyweKij7E4PzdO5kdldDBfje8S_zcOjvzGSHjgdJqttnL6_Mv30cl0EI7Giwe3Wf8cuts90NBaN-nKoiNTb9dy9kuew-jidmzjLNjz1083k6yVY2Mv8EJR7i3t-eqW9t6E-Ttyo7k3rRHE5XiZv2cJV4-mS0ss1m6lJ-oiuhI3_BoVzbuAtosZ_MnTGlNZjjdt7___JYxX7MPpfTJAsWFRo0KV9v98NCe1CHGigWGllC53BG0aLkCuBOx0WYUL7AvdVR2LOVdcnPqEdFoCHA3S765AdlaKDWUglJoFSOCL-DsuQR2FAqYxChX79Bmi_bWw7AgAA.H4sIAAAAAAAAAFM_FJGoF7dOJaW90IHrj8qtt_tDr4V7GT5KP3ecQ2y_YwYAnKdr1SAAAAA.3,,,,,
agent2.expedia.com,vap-expediagroup - Bad Request,400,2407,vap-expediagroup.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,vap-expediagroup.okta.com,cloudfront,443,https://agent2.expedia.com:443,https,nginx,text/html,GET,108.138.7.97,/,-200572786,108.138.7.88,Nginx,66,False,True,https://vap-expediagroup.okta.com/oauth2/v1/authorize?client_id=0oajgfk4peA4ZIYHj357&response_type=code&scope=openid%20email&redirect_uri=https%3A%2F%2Fd15x339auskker.cloudfront.net%2Fcpdocs%2F_callback&nonce=65b84116b67a7aabdb77f6807a92afce22e09bb633e30c6478f2a7c6c8c642d9&state=%2Findex.html,,*.oktacdn.com,,,
aide.abritel.fr,Robot ou pas robot ?,429,231805,aide.abritel.fr,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-23T23:59:59Z,"CN=vrbo.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",vrbo.com,"Expedia Group, Inc.",*.abritel.fr,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f3306348945341114b2ce2d109cee5cb,845899a7094f15ed1b5514bd39b89e447e12a30999c0a6dbc3163106fc9c1db6,True,ctls,aide.abritel.fr,,443,https://aide.abritel.fr:443,https,istio-envoy,text/html,GET,23.11.206.32,/,997060724,23.11.206.9,Zipkin,54,False,,,True,,,,
ak-static.hotwire.com,404 Not Found,404,315,ak-static.hotwire.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,ak-static.hotwire.com,,443,https://ak-static.hotwire.com:443,https,Apache,text/html,GET,2.16.202.86,/,-1812417198,2.16.202.11,Apache,10,False,,,True,,,,
ak-static.qa.hotwire.com,404 Not Found,404,315,ak-static.qa.hotwire.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,ak-static.qa.hotwire.com,,443,https://ak-static.qa.hotwire.com:443,https,Apache,text/html,GET,23.50.55.26,/,-1812417198,23.50.55.18,Apache,10,False,,,True,,,,
akamaisrc.media.expedia.com,,200,,akamaisrc.media.expedia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-15T21:13:20Z,2023-07-14T21:13:20Z,"CN=*.origin.expedia.com, O=Expedia\, Inc., L=Bellevue, ST=Washington, C=US",*.origin.expedia.com,"Expedia, Inc.",*.origin.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0212bb7daaf4f5ca537dd91b88b7983d,ed778c16d4bffe77e097488df117cfb9e10d78d9383d6eddf0abcedc323e8ef9,True,ctls,akamaisrc.media.expedia.com,,443,https://akamaisrc.media.expedia.com:443,https,Microsoft-IIS/10.0,text/html,GET,216.251.120.102,/,1631801191,216.251.120.102,Windows Server,1,False,,,True,,,,
allinclusivehilton.expedia.com,Expedia | Hilton All-Inclusive,200,146927,allinclusivehilton.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-20T23:59:59Z,CN=allinclusivehilton.expedia.com,allinclusivehilton.expedia.com,,*.allinclusivehilton.expedia.pulselive.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,df9b1d2569bc1b60e2b46dd04269a86f,eb1981c71cff8cc23127e59dfdf5aee4d873aed20bbfecffcc6a3335338b373b,True,ctls,allinclusivehilton.expedia.com,cloudfront,443,https://allinclusivehilton.expedia.com:443,https,,text/html,GET,52.222.236.108,/,-380873304,2600:9000:223e:e600:0:1502:1180:93a1,HSTS,1500,False,True,,,,,,
amplify.expediagroup.com,Amplify,200,9044,amplify.expediagroup.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T10:52:49Z,2024-03-13T10:52:49Z,"CN=amplify.expediagroup.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",amplify.expediagroup.com,"Expedia, Inc.",amplify.expediagroup.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8a165dcd139c367b939db87ba08c5c2e,f7cdcb49e7eb73ba51f2f2d9e6fc1ea12f4aeebccb35440949db9be4b260d86d,,ctls,amplify.expediagroup.com,cloudfront,443,https://amplify.expediagroup.com:443,https,,text/html,GET,65.9.66.118,/,1523946164,2600:9000:206f:6000:7:363:f000:93a1,HSTS,2,False,True,,,,,,
analytics-api-external-v2.prod.epsdecaf.expedia.com,,403,42,analytics-api-external-v2.prod.epsdecaf.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T19:32:15Z,2023-12-08T19:32:15Z,"CN=analytics-api-external-v2.prod.epsdecaf.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",analytics-api-external-v2.prod.epsdecaf.expedia.com,"Expedia, Inc.",analytics-api-external-v2.prod.epsdecaf.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd1313555a18e9665b278d180b288b36,5bd196e8e1d23aa04086acf9acbc37902fe234e295bbb1f461cc5fc7538fb919,,ctls,analytics-api-external-v2.prod.epsdecaf.expedia.com,cloudfront,443,https://analytics-api-external-v2.prod.epsdecaf.expedia.com:443,https,,application/json,GET,18.66.122.107,/,768769774,18.66.122.20,Amazon Web Services,1,False,True,,,,,,
analytics-api-external-v2.test.epsdecaf.expedia.com,,403,42,analytics-api-external-v2.test.epsdecaf.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T09:48:33Z,2023-12-07T09:48:33Z,"CN=analytics-api-external-v2.test.epsdecaf.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",analytics-api-external-v2.test.epsdecaf.expedia.com,"Expedia, Inc.",analytics-api-external-v2.test.epsdecaf.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",159a42d23d81f1d2c30fbba2cde64f8c,f3cff26d22be6ca61688ddfae78874591e40f8aed22642d9fc0d3d9189cc0555,,ctls,analytics-api-external-v2.test.epsdecaf.expedia.com,cloudfront,443,https://analytics-api-external-v2.test.epsdecaf.expedia.com:443,https,,application/json,GET,18.66.97.44,/,768769774,18.66.97.129,Amazon Web Services,1,False,True,,,,,,
analytics-api-external.prod.epsdecaf.expedia.com,,403,42,analytics-api-external.prod.epsdecaf.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T19:23:06Z,2023-12-08T19:23:06Z,"CN=analytics-api-external.prod.epsdecaf.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",analytics-api-external.prod.epsdecaf.expedia.com,"Expedia, Inc.",analytics-api-external.prod.epsdecaf.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8378eebaab8f8a49191c0f2cab15dd9e,679fabaa5448a2a0785a2456656e02847ed398b502da515f10ab71f4a7f69cf9,,ctls,analytics-api-external.prod.epsdecaf.expedia.com,cloudfront,443,https://analytics-api-external.prod.epsdecaf.expedia.com:443,https,,application/json,GET,108.138.17.113,/,768769774,108.138.17.31,Amazon Web Services,1,False,True,,,,,,
analytics-api-external.test.epsdecaf.expedia.com,,403,42,analytics-api-external.test.epsdecaf.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T11:59:57Z,2023-12-07T11:59:57Z,"CN=analytics-api-external.test.epsdecaf.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",analytics-api-external.test.epsdecaf.expedia.com,"Expedia, Inc.",analytics-api-external.test.epsdecaf.expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c9c11a28e4973ed14c432beedf2f466d,fe814822fbe7ce3f6b952090569691a4253c20229f9757e6f2208fafc7274a73,,ctls,analytics-api-external.test.epsdecaf.expedia.com,cloudfront,443,https://analytics-api-external.test.epsdecaf.expedia.com:443,https,,application/json,GET,65.9.66.91,/,768769774,65.9.66.71,Amazon Web Services,1,False,True,,,,,,
