new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,mx,ns,caa,has_internal_ips,internal_ips
[x],acs-staging.voice.google.com,,www3.l.google.com,,NOERROR,,,,,,,,,
[x],admanager.google.com,192.178.25.174,admanager.l.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:401b:814::200e,,,,,,,,
[x],admanager.l.google.com,172.217.18.14,,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:828::200e,,,,,,,,
[x],admin-portal-fe-demo.api.verily.com,34.160.164.27,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.api.dev.internal.onduo.com,35.244.166.97,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.api.onduo.com,34.107.205.57,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.api.qa-express.internal.onduo.com,34.111.242.216,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.api.qa-milestone.internal.onduo.com,34.149.249.44,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.api.qa-summative.internal.onduo.com,34.111.149.231,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,,,
[x],admin.client-channel.google.com,173.194.76.189,,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:400c:c00::bd,,,,,,,,
[x],admin.clients6.google.com,142.251.36.10,,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:400e:802::200a,,,,,,,,
[x],admin.corp.google.com,142.250.27.129,uberproxy-with-cn.l.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4025:402::81,,,,,,,,
[x],admin.google.com,142.250.185.78,,"ns1.google.com, dns-admin.google.com",NOERROR,"2607:f8b0:4004:c1d::65, 2607:f8b0:4004:c1d::71, 2607:f8b0:4004:c1d::8b, 2607:f8b0:4004:c1d::66",,,,,,,,
[x],admin.health.google.com,,,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
[x],admin.sandbox.google.com,"142.251.16.81, 172.253.62.14, 142.250.153.14, 64.233.184.14, 142.250.27.14, 209.85.202.14",,"ns1.google.com, dns-admin.google.com",NOERROR,"2607:f8b0:4004:c17::451, 2607:f8b0:4004:c07::e, 2a00:1450:4013:c16::e, 2a00:1450:400c:c0b::e, 2a00:1450:4025:401::e, 2a00:1450:400b:c00::e",,,,"gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, alt2.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com",,,,
[x],admin.youtube.com,172.217.16.206,www3.l.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:831::200e,,,,,,,,
[x],adminpreferences-wwwmiembros.clients6.google.com,142.250.184.234,,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:827::200a,,,,,,,,
[x],adminv1-biotechnologyforbiofuels.clients6.google.com,172.217.18.10,,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:806::200a,,,,,,,,
