new,host,a,soa,status_code,cdn,cdn-name,ns,aaaa,cname,mx,txt,caa,has_internal_ips,internal_ips
[x],auth-yocumoilblog.twist.com,,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beta-v1.twist.com,"13.224.189.6, 13.224.189.25, 13.224.189.119, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beta.www1.twist.com,"13.224.189.119, 13.224.189.6, 13.224.189.113, 13.224.189.25","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],blogmy.staging.twist.com,"65.9.55.34, 65.9.55.108, 65.9.55.125, 65.9.55.45","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],bluestacks.comliveist.twist.com,"18.172.153.118, 18.172.153.52, 18.172.153.42, 18.172.153.53","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],cloud.staging.twist.com,"18.66.97.16, 18.66.97.98, 18.66.97.114, 18.66.97.5","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],confluenceawsexamplesbackup.staging.twist.com,,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],customersjenkins-authapiproduction.staging.twist.com,"18.154.63.100, 18.154.63.98, 18.154.63.129, 18.154.63.54","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],dal09-stg-pimdb-01c.comliveist.twist.com,"13.224.189.25, 13.224.189.113, 13.224.189.119, 13.224.189.6","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],devenvdev.twist.com,"18.172.153.42, 18.172.153.53, 18.172.153.52, 18.172.153.118","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],elasticbeanstalk-staging.staging.twist.com,"18.66.97.16, 18.66.97.98, 18.66.97.5, 18.66.97.114","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],ero2nao.staging.twist.com,"13.249.9.121, 13.249.9.46, 13.249.9.4, 13.249.9.94","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],gcpapichef-uploaddoc.staging.twist.com,"18.66.97.5, 18.66.97.98, 18.66.97.114, 18.66.97.16","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],h-135-197-228-83.staging.twist.com,"13.249.9.121, 13.249.9.94, 13.249.9.46, 13.249.9.4","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],h-135-207-136-84.staging.twist.com,"18.244.155.22, 18.244.155.67, 18.244.155.23, 18.244.155.58","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],ipv4-c002-int001-ncren-isp.comliveist.twist.com,"108.157.4.73, 108.157.4.22, 108.157.4.101, 108.157.4.38","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],jrss-215-72-238-30.staging.twist.com,"13.249.9.46, 13.249.9.4, 13.249.9.94, 13.249.9.121","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],kgi.twist.com,"13.249.9.40, 13.249.9.89, 13.249.9.127, 13.249.9.53","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],ldap.beta.twist.com,"13.249.9.53, 13.249.9.127, 13.249.9.40, 13.249.9.89","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],liveist.staging.twist.com,"52.209.227.72, 99.81.190.117","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],meet-meet-git.staging.twist.com,"18.66.97.98, 18.66.97.114, 18.66.97.5, 18.66.97.16","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],office.staging.twist.com,"18.244.155.23, 18.244.155.22, 18.244.155.58, 18.244.155.67","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],oxy-oxygen-62892a58.twist.com,"13.224.189.6, 13.224.189.113, 13.224.189.25, 13.224.189.119","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],phukphan.staging.twist.com,"18.66.97.114, 18.66.97.5, 18.66.97.16, 18.66.97.98","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],privatecustomers.staging.twist.com,"18.165.83.109, 18.165.83.110, 18.165.83.41, 18.165.83.99","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],rapid1596.twist.com,"13.249.9.127, 13.249.9.40, 13.249.9.53, 13.249.9.89","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],sl2002554.twist.com,"13.32.208.14, 13.32.208.124, 13.32.208.103, 13.32.208.57","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],staging-mail.twist.com,"18.172.153.53, 18.172.153.42, 18.172.153.118, 18.172.153.52","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],taletalesource.staging.twist.com,"18.66.97.114, 18.66.97.5, 18.66.97.98, 18.66.97.16","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],tor71-101-pdb.twist.com,"52.85.242.23, 52.85.242.49, 52.85.242.81, 52.85.242.45","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],upgrade-pgg12o.staging.twist.com,"13.249.9.94, 13.249.9.121, 13.249.9.4, 13.249.9.46","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],v2-update-staging-status-videosystem-error-alpha-internal.twist.com,"13.224.189.6, 13.224.189.25, 13.224.189.113, 13.224.189.119","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],v4v1status-customers-dns.staging.twist.com,"18.66.97.98, 18.66.97.114, 18.66.97.5, 18.66.97.16","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],viruswall-fms1.staging.twist.com,"13.249.9.4, 13.249.9.121, 13.249.9.46, 13.249.9.94","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],whatsapp-chatd-msgr-edge-shv-01-den4.staging.twist.com,"18.244.155.22, 18.244.155.58, 18.244.155.67, 18.244.155.23","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],windtre-login.twist.com,"18.172.153.42, 18.172.153.53, 18.172.153.118, 18.172.153.52","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
,159-235-122-130.twist.com,"108.156.60.67, 108.156.60.111, 108.156.60.121, 108.156.60.64","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,2019139062g12.twist.com,"18.172.153.42, 18.172.153.53, 18.172.153.118, 18.172.153.52","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,a738.twist.com,"108.157.4.73, 108.157.4.101, 108.157.4.38, 108.157.4.22","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,access.twist.com,"18.244.102.78, 18.244.102.93, 18.244.102.66, 18.244.102.86","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,add.todoist.com,"143.204.231.32, 143.204.231.69, 143.204.231.58, 143.204.231.67","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:2113:1e00:1d:b016:1bc0:93a1, 2600:9000:2113:2200:1d:b016:1bc0:93a1, 2600:9000:2113:6400:1d:b016:1bc0:93a1, 2600:9000:2113:4400:1d:b016:1bc0:93a1, 2600:9000:2113:600:1d:b016:1bc0:93a1, 2600:9000:2113:b800:1d:b016:1bc0:93a1, 2600:9000:2113:2e00:1d:b016:1bc0:93a1, 2600:9000:2113:2c00:1d:b016:1bc0:93a1",todoist.com,"aspmx3.googlemail.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com",,,,
,affiliate.twist.com,"13.224.189.6, 13.224.189.25, 13.224.189.119, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,ai.todoist.com,"143.204.231.58, 143.204.231.69, 143.204.231.32, 143.204.231.67","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net, ns-1046.awsdns-02.org, ns-158.awsdns-19.com","2600:9000:2113:f200:1d:b016:1bc0:93a1, 2600:9000:2113:9a00:1d:b016:1bc0:93a1, 2600:9000:2113:6200:1d:b016:1bc0:93a1, 2600:9000:2113:4e00:1d:b016:1bc0:93a1, 2600:9000:2113:2e00:1d:b016:1bc0:93a1, 2600:9000:2113:3a00:1d:b016:1bc0:93a1, 2600:9000:2113:8000:1d:b016:1bc0:93a1, 2600:9000:2113:fc00:1d:b016:1bc0:93a1",todoist.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,alekoktadinata.twist.com,"13.224.189.113, 13.224.189.6, 13.224.189.25, 13.224.189.119","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,alpha.todoist.com,"18.165.227.48, 18.165.227.51, 18.165.227.90, 18.165.227.57","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-938.awsdns-53.net, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk, ns-1046.awsdns-02.org","2600:9000:2553:2000:1d:b016:1bc0:93a1, 2600:9000:2553:2200:1d:b016:1bc0:93a1, 2600:9000:2553:9600:1d:b016:1bc0:93a1, 2600:9000:2553:fe00:1d:b016:1bc0:93a1, 2600:9000:2553:a800:1d:b016:1bc0:93a1, 2600:9000:2553:4600:1d:b016:1bc0:93a1, 2600:9000:2553:5200:1d:b016:1bc0:93a1, 2600:9000:2553:2a00:1d:b016:1bc0:93a1",todoist.com,"aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com","google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b","mailto:aws.ops@doist.com, amazon.com",,
,amazon.todoist.com,"108.157.214.15, 108.157.214.97, 108.157.214.100, 108.157.214.2","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1046.awsdns-02.org, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net","2600:9000:2334:0:1d:b016:1bc0:93a1, 2600:9000:2334:4c00:1d:b016:1bc0:93a1, 2600:9000:2334:6400:1d:b016:1bc0:93a1, 2600:9000:2334:5600:1d:b016:1bc0:93a1, 2600:9000:2334:9e00:1d:b016:1bc0:93a1, 2600:9000:2334:e200:1d:b016:1bc0:93a1, 2600:9000:2334:1c00:1d:b016:1bc0:93a1, 2600:9000:2334:7000:1d:b016:1bc0:93a1",todoist.com,"alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,android.todoist.com,"18.165.227.90, 18.165.227.51, 18.165.227.57, 18.165.227.48","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1046.awsdns-02.org, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net","2600:9000:2553:9a00:1d:b016:1bc0:93a1, 2600:9000:2553:3800:1d:b016:1bc0:93a1, 2600:9000:2553:fe00:1d:b016:1bc0:93a1, 2600:9000:2553:d400:1d:b016:1bc0:93a1, 2600:9000:2553:6600:1d:b016:1bc0:93a1, 2600:9000:2553:f600:1d:b016:1bc0:93a1, 2600:9000:2553:1800:1d:b016:1bc0:93a1, 2600:9000:2553:ca00:1d:b016:1bc0:93a1",todoist.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,api.todoist.com,"143.204.89.85, 143.204.89.96, 143.204.89.92, 143.204.89.53","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-938.awsdns-53.net, ns-1046.awsdns-02.org, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk","2600:9000:2156:7600:1d:b016:1bc0:93a1, 2600:9000:2156:9400:1d:b016:1bc0:93a1, 2600:9000:2156:3000:1d:b016:1bc0:93a1, 2600:9000:2156:2200:1d:b016:1bc0:93a1, 2600:9000:2156:2c00:1d:b016:1bc0:93a1, 2600:9000:2156:9800:1d:b016:1bc0:93a1, 2600:9000:2156:4a00:1d:b016:1bc0:93a1, 2600:9000:2156:3c00:1d:b016:1bc0:93a1",todoist.com,"aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all, google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM","amazon.com, mailto:aws.ops@doist.com",,
,app.todoist.com,"18.66.97.42, 18.66.97.2, 18.66.97.123, 18.66.97.76","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,archive.twist.com,"18.244.102.66, 18.244.102.78, 18.244.102.86, 18.244.102.93","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,are.twist.com,"13.224.189.119, 13.224.189.113, 13.224.189.6, 13.224.189.25","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,ash-arvrnpm08.twist.com,"13.32.208.57, 13.32.208.14, 13.32.208.124, 13.32.208.103","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,async.twist.com,151.101.39.7,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:9::775,"the-twist-newsletter.ghost.io, ghost.map.fastly.net",,,,,
,asyncassets.twist.com,"13.224.189.113, 13.224.189.6, 13.224.189.119, 13.224.189.25","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,beta.todoist.com,"143.204.89.96, 143.204.89.92, 143.204.89.85, 143.204.89.53","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net, ns-1046.awsdns-02.org, ns-158.awsdns-19.com","2600:9000:2156:a600:1d:b016:1bc0:93a1, 2600:9000:2156:6400:1d:b016:1bc0:93a1, 2600:9000:2156:4400:1d:b016:1bc0:93a1, 2600:9000:2156:8400:1d:b016:1bc0:93a1, 2600:9000:2156:c000:1d:b016:1bc0:93a1, 2600:9000:2156:ea00:1d:b016:1bc0:93a1, 2600:9000:2156:cc00:1d:b016:1bc0:93a1, 2600:9000:2156:6800:1d:b016:1bc0:93a1",todoist.com,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,beta.twist.com,"52.70.1.112, 52.201.31.225, 18.233.185.77, 3.234.98.234, 3.208.36.67, 54.89.50.247","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,beta2.twist.com,"13.32.208.57, 13.32.208.14, 13.32.208.124, 13.32.208.103","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,blog-assets.todoist.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,drzcdrc6evcnx.cloudfront.net,,,,,
,blog.todoist.com,"3.219.82.153, 54.146.28.52, 44.207.94.71, 23.20.159.121","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,blog.twist.com,"18.172.153.52, 18.172.153.53, 18.172.153.118, 18.172.153.42","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,btn.img5.twist.com,"13.224.189.6, 13.224.189.25, 13.224.189.119, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
,bucketedgetee-upload-staging-eze1-1.img5.twist.com,"13.224.189.25, 13.224.189.113, 13.224.189.6, 13.224.189.119","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,ch.todoist.com,"143.204.89.85, 143.204.89.96, 143.204.89.53, 143.204.89.92","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1046.awsdns-02.org, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net","2600:9000:2156:da00:1d:b016:1bc0:93a1, 2600:9000:2156:f800:1d:b016:1bc0:93a1, 2600:9000:2156:2a00:1d:b016:1bc0:93a1, 2600:9000:2156:ae00:1d:b016:1bc0:93a1, 2600:9000:2156:e000:1d:b016:1bc0:93a1, 2600:9000:2156:a800:1d:b016:1bc0:93a1, 2600:9000:2156:4800:1d:b016:1bc0:93a1, 2600:9000:2156:dc00:1d:b016:1bc0:93a1",todoist.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,chrome.todoist.com,"143.204.89.85, 143.204.89.96, 143.204.89.53, 143.204.89.92","ns-938.awsdns-53.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1046.awsdns-02.org, ns-158.awsdns-19.com, ns-1799.awsdns-32.co.uk, ns-938.awsdns-53.net","2600:9000:2156:5200:1d:b016:1bc0:93a1, 2600:9000:2156:d200:1d:b016:1bc0:93a1, 2600:9000:2156:7200:1d:b016:1bc0:93a1, 2600:9000:2156:7800:1d:b016:1bc0:93a1, 2600:9000:2156:5c00:1d:b016:1bc0:93a1, 2600:9000:2156:fa00:1d:b016:1bc0:93a1, 2600:9000:2156:5a00:1d:b016:1bc0:93a1, 2600:9000:2156:d600:1d:b016:1bc0:93a1",todoist.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","google-site-verification=4pDpVOToxDHHaDHdvP4NSYncQfLy_P49PHUeGii6Ju0, google-site-verification=6Y4q4zdcxAev8dDUnZXkXJhS0FbjZr0jbe3oRoCKHIM, stripe-verification=181c3edd1ca1c05f73e4b196a63f8adf429d775015703d3ba2a5f6325fb7711b, v=spf1 a include:_spf.google.com include:sendgrid.net include:mail.zendesk.com include:spf.mtasv.net -all","mailto:aws.ops@doist.com, amazon.com",,
,client.android.twist.com,"13.224.189.119, 13.224.189.25, 13.224.189.113, 13.224.189.6","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,clientsurvey.img5.twist.com,"13.32.208.14, 13.32.208.103, 13.32.208.57, 13.32.208.124","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
