new,host,a,aaaa,soa,status_code,ns,cname,txt,cdn,cdn-name,caa,mx
[x],0169d5af.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0172c28d.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],018438cbd190.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],01aa-93-240-234-210.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],01ac86cd.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],01b4bfe0.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],01c24a08.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],01f3f9ed.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],020cc765.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],021423c3f260.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],021b83b0.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],022be1bd.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0239cf47.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0269-185-233-253-215.ngrok-free.app,,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],02add202.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],02d3-58-187-139-234.ngrok-free.app,,"2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e02::6e:2","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1311.awsdns-35.org, ns-1753.awsdns-27.co.uk, ns-9.awsdns-01.com, ns-988.awsdns-59.net",,,,,,
[x],03077b78.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0322864b.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0329-176-151-158-82.ngrok-free.app,"3.125.102.39, 18.192.31.165, 3.125.223.134, 3.124.142.205, 3.125.209.94, 18.158.249.75","2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:4","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03320a27.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0335-62-84-119-215.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0342aae6.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03454e1f.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03501339.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03547796.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0368cedf.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03857abd.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],039f075c.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03b3f266.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],03e78ed0aba0.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03fe5551.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0436-189-54-217-150.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0456da00.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0462de00.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],046b1b04.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04731f8b.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],047fe1bd.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04809ae0.ngrok.io,3.22.30.40,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04a9817180fe4409bba8fac7b9ff8400.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04ad3048.ngrok.io,,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04aeecf9.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04ce-161-12-55-40.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],04da89b6.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0503d618.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0507470337.sternheim.eu.ngrok.io,3.125.223.134,2a05:d014:21b:8e02::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],050a-117-99-169-87.ngrok-free.app,"3.125.209.94, 3.125.223.134, 3.124.142.205, 18.158.249.75, 18.192.31.165, 3.125.102.39","2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:0","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],051f191b0743.ngrok.app,"3.125.223.134, 3.125.102.39, 18.192.31.165, 3.125.209.94, 3.124.142.205, 18.158.249.75","2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:3","ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1446.awsdns-52.org, ns-1548.awsdns-01.co.uk, ns-422.awsdns-52.com, ns-743.awsdns-28.net",,,,,,
[x],052a68ee.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],05365b48.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],054836ae.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0559-2806-10ae-13-826-6168-8a33-b992-97a0.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0562-62-84-119-215.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0596de13.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],05a25b4a.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],05c1b07d.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],05e9-150-242-66-64.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],060f914f.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],062449bd.ngrok.io,3.13.191.225,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0627db59.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],06478ca8.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],064d13b2.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0673ed15.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0674-109-191-185-114.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],067d81edb053444eab3ca7129e7f3cfd.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0693-212-247-164-20.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],06ada8e5.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],06e4005d.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],06eff0d6.ngrok.io,3.134.125.175,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],06f91720.ngrok.io,3.13.191.225,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],07083475.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],07382739.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],076ea0be.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],076fe277.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],07a21e80.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],07aa4436.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],07e02f5d1955.ngrok.app,,"2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4","ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1446.awsdns-52.org, ns-1548.awsdns-01.co.uk, ns-422.awsdns-52.com, ns-743.awsdns-28.net",,,,,,
[x],080a-165-73-240-100.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0819-172-92-209-156.ngrok-free.app,"3.125.223.134, 3.124.142.205, 18.158.249.75, 3.125.102.39, 18.192.31.165, 3.125.209.94","2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:4","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1311.awsdns-35.org, ns-1753.awsdns-27.co.uk, ns-9.awsdns-01.com, ns-988.awsdns-59.net",,,,,,
[x],084c7fcc.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],085cce0f.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],08664fd2.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],086c2867.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],089d7a31.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],08a26574.eu.ngrok.io,3.125.223.134,2a05:d014:21b:8e00::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],08ac2ffa.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],08b957c2.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],08df1650.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0922-41-62-118-162.ngrok-free.app,"3.17.7.232, 3.22.30.40, 3.13.191.225, 3.134.39.220, 3.134.125.175, 3.14.182.203","2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],093ca94a.ngrok.io,3.13.191.225,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],096fe389.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09871dd4.ngrok.io,,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0991b54c.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09a3e4d4.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],09aa-118-69-248-80.ngrok-free.app,"18.192.31.165, 3.125.223.134, 3.125.102.39, 18.158.249.75, 3.125.209.94, 3.124.142.205","2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:2","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09bc-61-93-250-26.ngrok-free.app,"3.125.209.94, 3.125.102.39, 3.124.142.205, 3.125.223.134, 18.192.31.165, 18.158.249.75","2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:4","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09d2-62-84-119-215.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09d35097.ngrok.io,3.22.30.40,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],09e522849310.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0a40-34-124-205-32.ngrok-free.app,"3.125.209.94, 3.125.102.39, 3.125.223.134, 18.192.31.165, 3.124.142.205, 18.158.249.75",,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0a6c7ac4.ngrok.io,3.14.182.203,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0a70b2a6.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0aa3d466eb70.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0aa5-188-119-40-253.ngrok-free.app,"18.192.31.165, 3.124.142.205, 3.125.102.39, 3.125.209.94, 3.125.223.134, 18.158.249.75","2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0aa62240.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0ab82019.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0ad24d2f.ngrok.io,3.134.125.175,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0ae64eed.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0b0a2239.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0b36e18b.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0b6990dc.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0b92bb46.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
