input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn,csp_domains_,webserver,tls_mismatched,tls_subject_org_,final_url,chain_status_codes_
3c57167b-ee8a-47bc-9a8d-6c9728c8ffb4.edge1-staging-syncovh.pingone.com,403 Forbidden,403,199,3c57167b-ee8a-47bc-9a8d-6c9728c8ffb4.edge1-staging-syncovh.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,3c57167b-ee8a-47bc-9a8d-6c9728c8ffb4.edge1-staging-syncovh.pingone.com,,443,https://3c57167b-ee8a-47bc-9a8d-6c9728c8ffb4.edge1-staging-syncovh.pingone.com:443,https,text/html,GET,3.130.152.31,/,,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
3d0cebcd-da22-4214-97e9-76189d179f8f.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://3d0cebcd-da22-4214-97e9-76189d179f8f.edge1.pingone.com:80,http,text/html,GET,18.66.122.114,/,348972819,Amazon Web Services,20,False,True,,CloudFront,,,,
402645f1-fa94-422f-b7b2-d144fb695b16.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://402645f1-fa94-422f-b7b2-d144fb695b16.edge1.pingone.com:80,http,text/html,GET,18.66.97.48,/,1917535837,Amazon Web Services,20,False,True,,CloudFront,,,,
428a6a68-b2b1-4c85-b89a-4b09ec24657b.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://428a6a68-b2b1-4c85-b89a-4b09ec24657b.edge1-test.pingone.com:80,http,text/html,GET,99.86.4.52,/,-1915762288,Amazon Web Services,20,False,True,,CloudFront,,,,
44ddd0b3-cc29-4c4d-b6e2-e36b2bd49233.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://44ddd0b3-cc29-4c4d-b6e2-e36b2bd49233.edge1.pingone.com:80,http,text/html,GET,13.32.121.12,/,-721304146,Amazon Web Services,20,False,True,,CloudFront,,,,
4fb5dfc9-fecf-4096-8050-bc49abb9fa31.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://4fb5dfc9-fecf-4096-8050-bc49abb9fa31.edge1.pingone.com:80,http,text/html,GET,13.32.99.97,/,675957883,Amazon Web Services,20,False,True,,CloudFront,,,,
51381d8d-088a-43cc-8984-2df8df1f864d.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://51381d8d-088a-43cc-8984-2df8df1f864d.edge1.pingone.com:80,http,text/html,GET,18.66.97.45,/,-2108073109,Amazon Web Services,20,False,True,,CloudFront,,,,
51440c5a-cca5-4698-92eb-05d528442cd7.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://51440c5a-cca5-4698-92eb-05d528442cd7.edge1.pingone.com:80,http,text/html,GET,143.204.215.12,/,1113269299,Amazon Web Services,20,False,True,,CloudFront,,,,
55526c52-97e3-4a6e-816f-0866623efd96.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://55526c52-97e3-4a6e-816f-0866623efd96.edge1.pingone.com:80,http,text/html,GET,13.225.78.28,/,-758322807,Amazon Web Services,20,False,True,,CloudFront,,,,
564e3f67-dc80-4f83-b2b5-c4bb49a7f3d0.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://564e3f67-dc80-4f83-b2b5-c4bb49a7f3d0.edge1-test.pingone.com:80,http,text/html,GET,108.138.7.54,/,-1959508506,Amazon Web Services,20,False,True,,CloudFront,,,,
5b49183c-d979-4ebd-a431-fa493cabb325.edge1-staging.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://5b49183c-d979-4ebd-a431-fa493cabb325.edge1-staging.pingone.com:80,http,text/html,GET,13.32.121.53,/,-840750366,Amazon Web Services,20,False,True,,CloudFront,,,,
60576160-eb06-4a03-928e-79dd4240a6b0.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://60576160-eb06-4a03-928e-79dd4240a6b0.edge1.pingone.com:80,http,text/html,GET,18.66.122.64,/,-1485317528,Amazon Web Services,20,False,True,,CloudFront,,,,
60da166d-c017-44e3-810b-8638d10e8ad0.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://60da166d-c017-44e3-810b-8638d10e8ad0.edge1.pingone.com:80,http,text/html,GET,108.138.17.71,/,-421805387,Amazon Web Services,20,False,True,,CloudFront,,,,
6a573dca-4220-489e-96fa-fa5e2bbdd86b.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://6a573dca-4220-489e-96fa-fa5e2bbdd86b.edge1-test.pingone.com:80,http,text/html,GET,143.204.215.122,/,-581479348,Amazon Web Services,20,False,True,,CloudFront,,,,
708ca06a-9fb0-41a4-9dee-356325156531.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://708ca06a-9fb0-41a4-9dee-356325156531.edge1.pingone.com:80,http,text/html,GET,18.66.2.51,/,270016627,Amazon Web Services,20,False,True,,CloudFront,,,,
75aeebfb-d402-4dac-be66-330df4d90be3.edge1-staging.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://75aeebfb-d402-4dac-be66-330df4d90be3.edge1-staging.pingone.com:80,http,text/html,GET,13.32.121.96,/,1735736686,Amazon Web Services,20,False,True,,CloudFront,,,,
7c66d74d-6521-4cce-9fd9-10246c65e432.edge1-staging.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://7c66d74d-6521-4cce-9fd9-10246c65e432.edge1-staging.pingone.com:80,http,text/html,GET,52.222.236.39,/,-1160822591,Amazon Web Services,20,False,True,,CloudFront,,,,
8977cd2f-f0d1-4106-b37b-d4364735a512.edge1-staging.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://8977cd2f-f0d1-4106-b37b-d4364735a512.edge1-staging.pingone.com:80,http,text/html,GET,18.66.97.114,/,-1406582523,Amazon Web Services,20,False,True,,CloudFront,,,,
8a6a5b4f-6c3d-4530-a218-16919fad8767.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://8a6a5b4f-6c3d-4530-a218-16919fad8767.edge1.pingone.com:80,http,text/html,GET,143.204.215.97,/,672729008,Amazon Web Services,20,False,True,,CloudFront,,,,
a.console-staging.pingone.com,403 Forbidden,403,199,a.console-staging.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,a.console-staging.pingone.com,,443,https://a.console-staging.pingone.com:443,https,text/html,GET,44.241.84.41,/,,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
a.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://a.pingone.com:443,https,text/html,GET,52.11.201.206,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
a.staging-edge1.pingone.com,403 Forbidden,403,199,a.staging-edge1.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,a.staging-edge1.pingone.com,,443,https://a.staging-edge1.pingone.com:443,https,text/html,GET,3.129.185.94,/,,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
a62393d1-2620-4459-ac6e-a31059c4cb70.edge1-staging-vaccine.pingone.com,403 Forbidden,403,199,a62393d1-2620-4459-ac6e-a31059c4cb70.edge1-staging-vaccine.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,a62393d1-2620-4459-ac6e-a31059c4cb70.edge1-staging-vaccine.pingone.com,,443,https://a62393d1-2620-4459-ac6e-a31059c4cb70.edge1-staging-vaccine.pingone.com:443,https,text/html,GET,3.130.152.31,/,-780928015,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
acapi.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://acapi.pingone.com:443,https,text/html,GET,3.129.185.94,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
acomponeocovid19.sa.pingone.com,403 Forbidden,403,199,acomponeocovid19.sa.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,acomponeocovid19.sa.pingone.com,,443,https://acomponeocovid19.sa.pingone.com:443,https,text/html,GET,44.241.84.41,/,,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
adcapi.idaas.pingone.com,400 Bad Request,400,226,adcapi.idaas.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-10T00:00:00Z,2024-02-10T23:59:59Z,"CN=connect.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",connect.pingidentity.com,connect.pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e6bbe21eef5500943175f931c057f99,a5b4a7183401f2fe4cf48395163be4de5a0f821e5bb57b24fd42114241ebc20c,,ctls,adcapi.idaas.pingone.com,,443,https://adcapi.idaas.pingone.com:443,https,text/html,GET,3.132.238.99,/,,HSTS,9,False,,,Apache,True,Ping Identity Corporation,,
adcapi.ort-idaas.pingone.com,400 Bad Request,400,226,adcapi.ort-idaas.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,adcapi.ort-idaas.pingone.com,,443,https://adcapi.ort-idaas.pingone.com:443,https,text/html,GET,44.226.172.144,/,,HSTS,9,False,,,Apache,True,Ping Identity Corporation,,
admin-api.pingone.com,PingOne Admin API,200,1037,admin-api.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,"CN=admin-api.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",admin-api.pingone.com,admin-api.pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e54624b30e9a8011cfa211c20030002a,ca07163c341a5323957531ffbe4be8bec539af23c69b2b8444bde154c3f82c9c,,ctls,admin-api.pingone.com,,443,https://admin-api.pingone.com:443,https,text/html,GET,18.189.247.208,/,1846498607,HSTS,26,False,,url=./api-docs/,,,Ping Identity Corporation,,
admin-lb-den-shard01.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://admin-lb-den-shard01.pingone.com:443,https,text/html,GET,3.130.152.31,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
admin.pingone.com,PingOne - Login,200,8690,admin.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-04T00:00:00Z,2024-01-04T23:59:59Z,"CN=admin.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",admin.pingone.com,admin.pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d102b809f8d45b2a5eba2e3c2e3eb1f,aaa52569087e7cfd20c9cdf5ea566c4bed89be59d158b61c97a3c952fe3a42fc,,ctls,admin.pingone.com,,443,https://admin.pingone.com:443,https,text/html,GET,3.130.36.207,/,,Java,247,False,,,,,Ping Identity Corporation,https://admin.pingone.com/web-portal/login,200
adminapi-ohi.idaas.pingone.com,PingOne Admin API,200,1037,adminapi-ohi.idaas.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,"CN=admin-api.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",admin-api.pingone.com,admin-api.pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e54624b30e9a8011cfa211c20030002a,ca07163c341a5323957531ffbe4be8bec539af23c69b2b8444bde154c3f82c9c,,ctls,adminapi-ohi.idaas.pingone.com,,443,https://adminapi-ohi.idaas.pingone.com:443,https,text/html,GET,3.132.178.95,/,,HSTS,26,False,,url=./api-docs/,,True,Ping Identity Corporation,,
adminapi-ohi.ort-idaas.pingone.com,PingOne Admin API,200,1037,adminapi-ohi.ort-idaas.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,adminapi-ohi.ort-idaas.pingone.com,,443,https://adminapi-ohi.ort-idaas.pingone.com:443,https,text/html,GET,52.14.74.98,/,,HSTS,26,False,,url=./api-docs/,,True,Ping Identity Corporation,,
