new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa
[x],253aconsole-staging.pingone.com,"44.240.2.215, 3.130.152.31, 3.17.229.99, 3.129.185.94, 52.11.201.206, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],28940b17-e4aa-4f7b-a048-5c3956fe2789.edge1-test.pingone.com,"18.155.129.17, 18.155.129.58, 18.155.129.2, 18.155.129.3","2600:9000:244f:e800:1:1de5:5a40:93a1, 2600:9000:244f:2a00:1:1de5:5a40:93a1, 2600:9000:244f:8200:1:1de5:5a40:93a1, 2600:9000:244f:7600:1:1de5:5a40:93a1, 2600:9000:244f:1800:1:1de5:5a40:93a1, 2600:9000:244f:bc00:1:1de5:5a40:93a1, 2600:9000:244f:7800:1:1de5:5a40:93a1, 2600:9000:244f:9800:1:1de5:5a40:93a1",d1rgdz3p4n7d61.cloudfront.net,"ns-657.awsdns-18.net, awsdns-hostmaster.amazon.com","ns-1281.awsdns-32.org, ns-1832.awsdns-37.co.uk, ns-447.awsdns-55.com, ns-657.awsdns-18.net",NOERROR,True,cloudfront,,,
[x],2a879d7c-5e4d-4d62-abec-b4dd94aad63a.edge1-test.pingone.com,"52.222.214.65, 52.222.214.99, 52.222.214.61, 52.222.214.70","2600:9000:223d:a000:1e:31dc:d3c0:93a1, 2600:9000:223d:7000:1e:31dc:d3c0:93a1, 2600:9000:223d:e400:1e:31dc:d3c0:93a1, 2600:9000:223d:c200:1e:31dc:d3c0:93a1, 2600:9000:223d:d400:1e:31dc:d3c0:93a1, 2600:9000:223d:6200:1e:31dc:d3c0:93a1, 2600:9000:223d:4800:1e:31dc:d3c0:93a1, 2600:9000:223d:8c00:1e:31dc:d3c0:93a1",d3ghr1x9pbyp8v.cloudfront.net,"ns-191.awsdns-23.com, awsdns-hostmaster.amazon.com","ns-1065.awsdns-05.org, ns-191.awsdns-23.com, ns-2035.awsdns-62.co.uk, ns-856.awsdns-43.net",NOERROR,True,cloudfront,,,
[x],32686c78-0fdd-4392-846a-52a6edd0eba9.edge1.pingone.com,"52.222.236.9, 52.222.236.108, 52.222.236.88, 52.222.236.42","2600:9000:21c7:7200:6:f724:6d80:93a1, 2600:9000:21c7:8c00:6:f724:6d80:93a1, 2600:9000:21c7:ea00:6:f724:6d80:93a1, 2600:9000:21c7:c800:6:f724:6d80:93a1, 2600:9000:21c7:400:6:f724:6d80:93a1, 2600:9000:21c7:fe00:6:f724:6d80:93a1, 2600:9000:21c7:4e00:6:f724:6d80:93a1, 2600:9000:21c7:e800:6:f724:6d80:93a1",d3ewv469g3y8c6.cloudfront.net,"ns-1222.awsdns-24.org, awsdns-hostmaster.amazon.com","ns-1222.awsdns-24.org, ns-1618.awsdns-10.co.uk, ns-214.awsdns-26.com, ns-737.awsdns-28.net",NOERROR,True,cloudfront,,,
[x],346e3dde-520f-43f0-b1ee-7a6507b15ff7.edge1.pingone.com,"13.32.99.129, 13.32.99.93, 13.32.99.44, 13.32.99.96","2600:9000:2251:2200:9:4b78:fa00:93a1, 2600:9000:2251:3400:9:4b78:fa00:93a1, 2600:9000:2251:3a00:9:4b78:fa00:93a1, 2600:9000:2251:ee00:9:4b78:fa00:93a1, 2600:9000:2251:e00:9:4b78:fa00:93a1, 2600:9000:2251:1200:9:4b78:fa00:93a1, 2600:9000:2251:b400:9:4b78:fa00:93a1, 2600:9000:2251:a800:9:4b78:fa00:93a1",drczsvc8jfw88.cloudfront.net,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com","ns-1271.awsdns-30.org, ns-137.awsdns-17.com, ns-2018.awsdns-60.co.uk, ns-655.awsdns-17.net",NOERROR,True,cloudfront,,,
[x],3aapps-staging.pingone.com,"3.129.185.94, 44.240.2.215, 3.17.229.99, 44.241.84.41, 52.11.201.206, 3.130.152.31",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],3c57167b-ee8a-47bc-9a8d-6c9728c8ffb4.edge1-staging-syncovh.pingone.com,"52.11.201.206, 3.130.152.31, 3.17.229.99, 3.129.185.94, 44.240.2.215, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],3d0cebcd-da22-4214-97e9-76189d179f8f.edge1.pingone.com,"18.66.122.96, 18.66.122.107, 18.66.122.128, 18.66.122.114","2600:9000:2250:b400:16:56a6:140:93a1, 2600:9000:2250:fc00:16:56a6:140:93a1, 2600:9000:2250:2c00:16:56a6:140:93a1, 2600:9000:2250:b000:16:56a6:140:93a1, 2600:9000:2250:cc00:16:56a6:140:93a1, 2600:9000:2250:2000:16:56a6:140:93a1, 2600:9000:2250:9a00:16:56a6:140:93a1, 2600:9000:2250:4a00:16:56a6:140:93a1",d2pdyvakh7ludh.cloudfront.net,"ns-1699.awsdns-20.co.uk, awsdns-hostmaster.amazon.com","ns-1199.awsdns-21.org, ns-1699.awsdns-20.co.uk, ns-498.awsdns-62.com, ns-557.awsdns-05.net",NOERROR,True,cloudfront,,,
[x],402645f1-fa94-422f-b7b2-d144fb695b16.edge1.pingone.com,"18.244.146.44, 18.244.146.22, 18.244.146.128, 18.244.146.95, 205.251.193.44","2600:9000:26de:a200:14:1636:a840:93a1, 2600:9000:26de:b000:14:1636:a840:93a1, 2600:9000:26de:9a00:14:1636:a840:93a1, 2600:9000:26de:7000:14:1636:a840:93a1, 2600:9000:26de:3200:14:1636:a840:93a1, 2600:9000:26de:aa00:14:1636:a840:93a1, 2600:9000:26de:7c00:14:1636:a840:93a1, 2600:9000:26de:9c00:14:1636:a840:93a1",d2rwdy6uyjyrhd.cloudfront.net,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com","ns-300.awsdns-37.com, ns-1152.awsdns-16.org, ns-931.awsdns-52.net, ns-1830.awsdns-36.co.uk",NOERROR,True,cloudfront,,,
[x],428a6a68-b2b1-4c85-b89a-4b09ec24657b.edge1-test.pingone.com,"99.86.4.45, 99.86.4.68, 99.86.4.52, 99.86.4.93","2600:9000:2057:0:1f:f31a:3440:93a1, 2600:9000:2057:ca00:1f:f31a:3440:93a1, 2600:9000:2057:800:1f:f31a:3440:93a1, 2600:9000:2057:2000:1f:f31a:3440:93a1, 2600:9000:2057:1e00:1f:f31a:3440:93a1, 2600:9000:2057:1600:1f:f31a:3440:93a1, 2600:9000:2057:9400:1f:f31a:3440:93a1, 2600:9000:2057:6a00:1f:f31a:3440:93a1",drtvsl4jkpia9.cloudfront.net,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com","ns-450.awsdns-56.com, ns-588.awsdns-09.net, ns-1025.awsdns-00.org, ns-2018.awsdns-60.co.uk",NOERROR,True,cloudfront,,,
[x],44ddd0b3-cc29-4c4d-b6e2-e36b2bd49233.edge1.pingone.com,"13.32.121.12, 13.32.121.19, 13.32.121.107, 13.32.121.29","2600:9000:2240:ba00:1f:afb9:eac0:93a1, 2600:9000:236e:3c00:1f:afb9:eac0:93a1, 2600:9000:236e:7800:1f:afb9:eac0:93a1, 2600:9000:2240:7c00:1f:afb9:eac0:93a1, 2600:9000:236e:2600:1f:afb9:eac0:93a1, 2600:9000:236e:f800:1f:afb9:eac0:93a1, 2600:9000:2240:ca00:1f:afb9:eac0:93a1, 2600:9000:236e:2800:1f:afb9:eac0:93a1",d3q8l6r164kp0r.cloudfront.net,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com","ns-1801.awsdns-33.co.uk, ns-335.awsdns-41.com, ns-1149.awsdns-15.org, ns-870.awsdns-44.net",NOERROR,True,cloudfront,,,
[x],4fb5dfc9-fecf-4096-8050-bc49abb9fa31.edge1.pingone.com,"13.227.173.85, 13.227.173.129, 13.227.173.93, 13.227.173.42","2600:9000:21f7:a600:1c:8cc9:2d00:93a1, 2600:9000:21f7:b400:1c:8cc9:2d00:93a1, 2600:9000:21f7:ca00:1c:8cc9:2d00:93a1, 2600:9000:21f7:f400:1c:8cc9:2d00:93a1, 2600:9000:21f7:a200:1c:8cc9:2d00:93a1, 2600:9000:21f7:e000:1c:8cc9:2d00:93a1, 2600:9000:21f7:d600:1c:8cc9:2d00:93a1, 2600:9000:21f7:6000:1c:8cc9:2d00:93a1",dlptfzgf14fjo.cloudfront.net,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,
[x],51381d8d-088a-43cc-8984-2df8df1f864d.edge1.pingone.com,"18.66.97.20, 18.66.97.99, 18.66.97.126, 18.66.97.45","2600:9000:223c:fe00:16:91e3:8fc0:93a1, 2600:9000:223c:6e00:16:91e3:8fc0:93a1, 2600:9000:223c:ac00:16:91e3:8fc0:93a1, 2600:9000:223c:c000:16:91e3:8fc0:93a1, 2600:9000:223c:400:16:91e3:8fc0:93a1, 2600:9000:223c:3600:16:91e3:8fc0:93a1, 2600:9000:223c:2000:16:91e3:8fc0:93a1, 2600:9000:223c:a800:16:91e3:8fc0:93a1",d3ercjcj4fmzwf.cloudfront.net,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com","ns-696.awsdns-23.net, ns-1325.awsdns-37.org, ns-1982.awsdns-55.co.uk, ns-6.awsdns-00.com",NOERROR,True,cloudfront,,,
[x],51440c5a-cca5-4698-92eb-05d528442cd7.edge1.pingone.com,"143.204.215.9, 143.204.215.12, 143.204.215.22, 143.204.215.32","2600:9000:214f:8400:b:3826:24c0:93a1, 2600:9000:214f:b600:b:3826:24c0:93a1, 2600:9000:214f:a00:b:3826:24c0:93a1, 2600:9000:214f:e000:b:3826:24c0:93a1, 2600:9000:214f:6800:b:3826:24c0:93a1, 2600:9000:214f:fc00:b:3826:24c0:93a1, 2600:9000:214f:4600:b:3826:24c0:93a1, 2600:9000:214f:3600:b:3826:24c0:93a1",d262071szpn3wz.cloudfront.net,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","ns-1837.awsdns-37.co.uk, ns-306.awsdns-38.com, ns-588.awsdns-09.net, ns-1496.awsdns-59.org",NOERROR,True,cloudfront,,,
[x],55526c52-97e3-4a6e-816f-0866623efd96.edge1.pingone.com,"13.32.151.39, 13.32.151.62, 13.32.151.114, 13.32.151.15, 205.251.193.37, 205.251.195.213, 205.251.197.40, 205.251.199.249","2600:9000:2009:e00:7:8893:78c0:93a1, 2600:9000:2009:4800:7:8893:78c0:93a1, 2600:9000:2009:c000:7:8893:78c0:93a1, 2600:9000:2009:ec00:7:8893:78c0:93a1, 2600:9000:2009:600:7:8893:78c0:93a1, 2600:9000:2009:8800:7:8893:78c0:93a1, 2600:9000:2009:5c00:7:8893:78c0:93a1, 2600:9000:2009:e800:7:8893:78c0:93a1",dkhl9wr44u95v.cloudfront.net,"ns-1320.awsdns-37.org, awsdns-hostmaster.amazon.com","ns-2041.awsdns-63.co.uk, ns-1320.awsdns-37.org, ns-293.awsdns-36.com, ns-981.awsdns-58.net",NOERROR,True,cloudfront,,,
[x],564e3f67-dc80-4f83-b2b5-c4bb49a7f3d0.edge1-test.pingone.com,"108.138.7.88, 108.138.7.118, 108.138.7.54, 108.138.7.56","2600:9000:2490:bc00:d:b275:6700:93a1, 2600:9000:2490:c000:d:b275:6700:93a1, 2600:9000:2490:ca00:d:b275:6700:93a1, 2600:9000:2490:cc00:d:b275:6700:93a1, 2600:9000:2490:600:d:b275:6700:93a1, 2600:9000:2490:c00:d:b275:6700:93a1, 2600:9000:2490:6800:d:b275:6700:93a1, 2600:9000:2490:7600:d:b275:6700:93a1",d1yyz0c3zydtp8.cloudfront.net,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com","ns-431.awsdns-53.com, ns-632.awsdns-15.net, ns-1251.awsdns-28.org, ns-1759.awsdns-27.co.uk",NOERROR,True,cloudfront,,,
[x],5b49183c-d979-4ebd-a431-fa493cabb325.edge1-staging.pingone.com,"13.227.219.109, 13.227.219.73, 13.227.219.117, 13.227.219.23","2600:9000:21c7:be00:0:d5af:8440:93a1, 2600:9000:21c7:b200:0:d5af:8440:93a1, 2600:9000:21c7:d000:0:d5af:8440:93a1, 2600:9000:21c7:ea00:0:d5af:8440:93a1, 2600:9000:21c7:e400:0:d5af:8440:93a1, 2600:9000:21c7:e00:0:d5af:8440:93a1, 2600:9000:21c7:4000:0:d5af:8440:93a1, 2600:9000:21c7:400:0:d5af:8440:93a1",d1wnqachgjbwup.cloudfront.net,"ns-1284.awsdns-32.org, awsdns-hostmaster.amazon.com","ns-682.awsdns-21.net, ns-1284.awsdns-32.org, ns-1823.awsdns-35.co.uk, ns-410.awsdns-51.com",NOERROR,True,cloudfront,,,
[x],60576160-eb06-4a03-928e-79dd4240a6b0.edge1.pingone.com,"18.66.122.64, 18.66.122.79, 18.66.122.82, 18.66.122.57","2600:9000:2250:3400:1a:413f:a940:93a1, 2600:9000:2250:9200:1a:413f:a940:93a1, 2600:9000:2250:7c00:1a:413f:a940:93a1, 2600:9000:2250:e00:1a:413f:a940:93a1, 2600:9000:2250:8400:1a:413f:a940:93a1, 2600:9000:2250:ce00:1a:413f:a940:93a1, 2600:9000:2250:c400:1a:413f:a940:93a1, 2600:9000:2250:c600:1a:413f:a940:93a1",dsybl7agi2vmt.cloudfront.net,"ns-1292.awsdns-33.org, awsdns-hostmaster.amazon.com","ns-1292.awsdns-33.org, ns-1018.awsdns-63.net, ns-1991.awsdns-56.co.uk, ns-234.awsdns-29.com",NOERROR,True,cloudfront,,,
[x],60da166d-c017-44e3-810b-8638d10e8ad0.edge1.pingone.com,"143.204.231.103, 143.204.231.123, 143.204.231.37, 143.204.231.129","2600:9000:2113:3400:0:63bc:de00:93a1, 2600:9000:2113:3600:0:63bc:de00:93a1, 2600:9000:2113:2200:0:63bc:de00:93a1, 2600:9000:2113:4c00:0:63bc:de00:93a1, 2600:9000:2113:e600:0:63bc:de00:93a1, 2600:9000:2113:8800:0:63bc:de00:93a1, 2600:9000:2113:b000:0:63bc:de00:93a1, 2600:9000:2113:2000:0:63bc:de00:93a1",dsk6dli2cvybc.cloudfront.net,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com","ns-1307.awsdns-35.org, ns-1580.awsdns-05.co.uk, ns-508.awsdns-63.com, ns-828.awsdns-39.net, ns-1033.awsdns-01.org, ns-107.awsdns-13.com, ns-1660.awsdns-15.co.uk, ns-567.awsdns-06.net",NOERROR,True,cloudfront,,,
[x],6a573dca-4220-489e-96fa-fa5e2bbdd86b.edge1-test.pingone.com,"18.173.233.19, 18.173.233.124, 18.173.233.70, 18.173.233.6","2600:9000:2440:5000:2:35e5:8680:93a1, 2600:9000:2440:c200:2:35e5:8680:93a1, 2600:9000:2440:ca00:2:35e5:8680:93a1, 2600:9000:2440:7600:2:35e5:8680:93a1, 2600:9000:2440:b200:2:35e5:8680:93a1, 2600:9000:2440:1600:2:35e5:8680:93a1, 2600:9000:2440:f200:2:35e5:8680:93a1, 2600:9000:2440:8c00:2:35e5:8680:93a1",dla6qmohce97e.cloudfront.net,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com","ns-2029.awsdns-61.co.uk, ns-984.awsdns-59.net, ns-1074.awsdns-06.org, ns-16.awsdns-02.com",NOERROR,True,cloudfront,,,
[x],708ca06a-9fb0-41a4-9dee-356325156531.edge1.pingone.com,"52.84.195.125, 52.84.195.96, 52.84.195.50, 52.84.195.102, 205.251.193.199, 205.251.195.13","2600:9000:20ae:c00:18:65ff:e600:93a1, 2600:9000:20ae:a800:18:65ff:e600:93a1, 2600:9000:20ae:b200:18:65ff:e600:93a1, 2600:9000:20ae:e600:18:65ff:e600:93a1, 2600:9000:20ae:9200:18:65ff:e600:93a1, 2600:9000:20ae:e800:18:65ff:e600:93a1, 2600:9000:20ae:5c00:18:65ff:e600:93a1, 2600:9000:20ae:dc00:18:65ff:e600:93a1",d1rh750pkhut20.cloudfront.net,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com","ns-1577.awsdns-05.co.uk, ns-1404.awsdns-47.org, ns-455.awsdns-56.com, ns-781.awsdns-33.net",NOERROR,True,cloudfront,,,
[x],75aeebfb-d402-4dac-be66-330df4d90be3.edge1-staging.pingone.com,"18.172.153.58, 18.172.153.13, 18.172.153.119, 18.172.153.117","2600:9000:239f:5a00:5:90ad:2b40:93a1, 2600:9000:239f:f000:5:90ad:2b40:93a1, 2600:9000:239f:9600:5:90ad:2b40:93a1, 2600:9000:239f:ba00:5:90ad:2b40:93a1, 2600:9000:239f:a800:5:90ad:2b40:93a1, 2600:9000:239f:f800:5:90ad:2b40:93a1, 2600:9000:239f:ca00:5:90ad:2b40:93a1, 2600:9000:239f:1200:5:90ad:2b40:93a1",d2gxx6zgtvuqi5.cloudfront.net,"ns-1764.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,
[x],7c66d74d-6521-4cce-9fd9-10246c65e432.edge1-staging.pingone.com,"18.67.65.55, 18.67.65.12, 18.67.65.5, 18.67.65.20, 205.251.193.18, 205.251.195.247, 205.251.197.21, 205.251.199.245","2600:9000:2269:ce00:0:c540:c440:93a1, 2600:9000:2269:a600:0:c540:c440:93a1, 2600:9000:2269:fa00:0:c540:c440:93a1, 2600:9000:2269:1600:0:c540:c440:93a1, 2600:9000:2269:8a00:0:c540:c440:93a1, 2600:9000:2269:7a00:0:c540:c440:93a1, 2600:9000:2269:5c00:0:c540:c440:93a1, 2600:9000:2269:e000:0:c540:c440:93a1",d1hdyshil2i5n5.cloudfront.net,"ns-1015.awsdns-62.net, awsdns-hostmaster.amazon.com","ns-1301.awsdns-34.org, ns-274.awsdns-34.com, ns-1015.awsdns-62.net, ns-2037.awsdns-62.co.uk",NOERROR,True,cloudfront,,,
[x],86ed499b-32ea-4f87-a9aa-9e7039ae5e6f.edge1-staging.pingone.com,,,,,,NOERROR,,,,,
[x],8977cd2f-f0d1-4106-b37b-d4364735a512.edge1-staging.pingone.com,"18.66.97.52, 18.66.97.24, 18.66.97.114, 18.66.97.79","2600:9000:223c:4200:5:460c:7900:93a1, 2600:9000:223c:f600:5:460c:7900:93a1, 2600:9000:223c:d800:5:460c:7900:93a1, 2600:9000:223c:a400:5:460c:7900:93a1, 2600:9000:223c:7800:5:460c:7900:93a1, 2600:9000:223c:bc00:5:460c:7900:93a1, 2600:9000:223c:200:5:460c:7900:93a1, 2600:9000:223c:1200:5:460c:7900:93a1",d3pr1y21wpogdg.cloudfront.net,"ns-832.awsdns-40.net, awsdns-hostmaster.amazon.com","ns-832.awsdns-40.net, ns-102.awsdns-12.com, ns-1516.awsdns-61.org, ns-1897.awsdns-45.co.uk",NOERROR,True,cloudfront,,,
[x],8a6a5b4f-6c3d-4530-a218-16919fad8767.edge1.pingone.com,"108.157.214.81, 108.157.214.47, 108.157.214.17, 108.157.214.122","2600:9000:2334:3400:2:a148:cd80:93a1, 2600:9000:2334:dc00:2:a148:cd80:93a1, 2600:9000:2334:3200:2:a148:cd80:93a1, 2600:9000:2334:3c00:2:a148:cd80:93a1, 2600:9000:2334:b000:2:a148:cd80:93a1, 2600:9000:2334:cc00:2:a148:cd80:93a1, 2600:9000:2334:f600:2:a148:cd80:93a1, 2600:9000:2334:8e00:2:a148:cd80:93a1",dytqtzv2ek6d2.cloudfront.net,"ns-787.awsdns-34.net, awsdns-hostmaster.amazon.com","ns-42.awsdns-05.com, ns-787.awsdns-34.net, ns-1046.awsdns-02.org, ns-1830.awsdns-36.co.uk",NOERROR,True,cloudfront,,,
[x],a.console-staging.pingone.com,"44.241.84.41, 3.130.152.31, 44.240.2.215, 3.129.185.94, 3.17.229.99, 52.11.201.206",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],a.pingone.com,"44.240.2.215, 3.130.152.31, 3.17.229.99, 3.129.185.94, 52.11.201.206, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],a.staging-edge1.pingone.com,"44.241.84.41, 3.17.229.99, 52.11.201.206, 44.240.2.215, 3.129.185.94, 3.130.152.31",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com","ns-1361.awsdns-42.org, ns-280.awsdns-35.com, ns-819.awsdns-38.net, ns0.dnsmadeeasy.com, ns1.dnsmadeeasy.com, ns2.dnsmadeeasy.com",NOERROR,,,,,
[x],a62393d1-2620-4459-ac6e-a31059c4cb70.edge1-staging-vaccine.pingone.com,"44.240.2.215, 52.11.201.206, 44.241.84.41, 3.17.229.99, 3.130.152.31, 3.129.185.94",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],acapi.pingone.com,"52.11.201.206, 44.241.84.41, 3.17.229.99, 3.130.152.31, 3.129.185.94, 44.240.2.215",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],acomponeocovid19.sa.pingone.com,"44.241.84.41, 3.130.152.31, 3.17.229.99, 3.129.185.94, 44.240.2.215, 52.11.201.206",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],adcapi.idaas.pingone.com,18.190.120.110,,,"ns-1290.awsdns-33.org, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],adcapi.ort-idaas.pingone.com,44.225.225.59,,,"ns-30.awsdns-03.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],admin-api.pingone.com,3.132.239.47,,adminapi-ohi.idaas.pingone.com,"ns-1290.awsdns-33.org, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],admin-lb-den-shard01.pingone.com,"3.130.152.31, 3.17.229.99, 44.240.2.215, 52.11.201.206, 3.129.185.94, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],admin.pingone.com,3.17.3.105,,www-ohi.idaas.pingone.com,"ns-1290.awsdns-33.org, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],adminapi-ohi.idaas.pingone.com,3.132.239.47,,,"ns-1290.awsdns-33.org, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],adminapi-ohi.ort-idaas.pingone.com,52.14.74.98,,,"ns-30.awsdns-03.com, hostmaster.pingidentity.com",,NOERROR,,,,,
