new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],docs.rockset.com,"52.222.139.8, 52.222.139.125, 52.222.139.116, 52.222.139.127",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2246:4200:8:172c:59c0:93a1, 2600:9000:2246:d600:8:172c:59c0:93a1, 2600:9000:2246:1600:8:172c:59c0:93a1, 2600:9000:2246:5a00:8:172c:59c0:93a1, 2600:9000:2246:1800:8:172c:59c0:93a1, 2600:9000:2246:a00:8:172c:59c0:93a1, 2600:9000:2246:600:8:172c:59c0:93a1, 2600:9000:2246:2400:8:172c:59c0:93a1",,,,,,
[x],em.getroman.com,,u2017231.wl232.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all,,,,
[x],em.rockset.com,,,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com",v=spf1 include:_spf.google.com ~all,,,,
[x],email.myplenity.com,"173.201.193.5, 68.178.252.20, 173.201.193.20, 173.201.193.148, 45.40.140.6, 173.201.193.133, 45.40.130.41, 45.40.130.40",email.secureserver.net,"cns1.secureserver.net, dns.jomax.net",NOERROR,,,,,,,,,
[x],email.rockset.com,,u8808590.wl091.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:149.72.58.39 ip4:149.72.64.139 -all,,,,
[x],es.use1a1.rockset.com,"10.3.108.254, 10.3.72.73, 10.3.60.215",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/elasticsearch/elasticsearch-ingress",,True,"10.3.108.254, 10.3.72.73, 10.3.60.215",
[x],get.myplenity.com,"104.18.32.46, 172.64.155.210",get-myplenity-com.thesistestingapps.com,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::ac40:9bd2, 2606:4700:4400::6812:202e",,,,,,
[x],go.rockset.com,"199.60.103.225, 199.60.103.31","5321663.group13.sites.hubspot.net, group13.sites.hscoscdn10.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"2606:2c40::c73c:67e1, 2606:2c40::c73c:671f",,,,,,
[x],hcp.myplenity.com,13.111.67.8,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,reply.s11.exacttarget.com,v=spf1 include:cust-spf.exacttarget.com -all,,,,
[x],kafka-manager.use1a1.rockset.com,"10.3.60.215, 10.3.72.73, 10.3.108.254",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/kafka/kafka-manager-ingress","ns-1088.awsdns-08.org, ns-1664.awsdns-16.co.uk, ns-17.awsdns-02.com, ns-638.awsdns-15.net",True,"10.3.60.215, 10.3.72.73, 10.3.108.254",
[x],kibana.euc1a1.rockset.com,"10.5.42.235, 10.5.112.69, 10.5.88.76",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-euc1a1-rockset-com,external-dns/resource=ingress/elasticsearch/kibana-ingress",,True,"10.5.42.235, 10.5.112.69, 10.5.88.76",
[x],kibana.use1a1.rockset.com,"10.3.60.215, 10.3.72.73, 10.3.108.254",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/elasticsearch/kibana-ingress",,True,"10.3.60.215, 10.3.72.73, 10.3.108.254",
[x],kibana.usw2a1.rockset.com,"10.0.44.196, 10.0.96.172, 10.0.93.77",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-usw2a1-rockset-com,external-dns/resource=ingress/elasticsearch/kibana-ingress",,True,"10.0.44.196, 10.0.96.172, 10.0.93.77",
[x],learn.modernfertility.com,"3.126.202.50, 3.69.136.55","8ce1b85115814c71a85aa220a52fe2bb.unbouncepages.com, unbouncepages.com","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net",,,"amazon.com, comodoca.com, globalsign.com, letsencrypt.org"
[x],login.ro.co,"104.16.82.103, 104.16.83.103",login-ro-co-production-cd-wfsujvxbicbk2ioi.edge.tenants.us.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],lyncdiscover.myplenity.com,52.112.192.14,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1027:0:48::21,,,,,,
[x],master-api.dev.rockset.com,"13.226.153.129, 13.226.153.122, 13.226.153.53, 13.226.153.31",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,ManagedBy=Terraform,,,,
[x],modernfertility.com,"104.18.16.59, 104.18.17.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:103b, 2606:4700::6812:113b","aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","facebook-domain-verification=qnahk3vey8v3cvi57omaawh91u9aof, google-site-verification=IKhXzKjl7lQwFC78YHNElB2BS0nd27BcnsyLRGUrSkQ, google-site-verification=d8lxGbLFpZAlRjT9Wqoxg4_O7J9xtXmiGV07NTqFlr8, google-site-verification=tYpvhukScdr2w0lG2t_-dZear-V64n8s2gLeXVP5HkY, v=spf1 include:_s66699458.fdmarc.net include:mail.zendesk.com ~all","paislee.ns.cloudflare.com, vasilii.ns.cloudflare.com",,,
[x],mta.hcp.myplenity.com,13.111.75.135,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],mx-uat.myplenity.com,,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],my.ro.co,"104.18.140.51, 104.18.139.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33",,,,,,
[x],myplenity.com,"52.85.242.39, 52.85.242.99, 52.85.242.89, 52.85.242.44",,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:21c3:ac00:1b:d41c:7dc0:93a1, 2600:9000:21c3:800:1b:d41c:7dc0:93a1, 2600:9000:21c3:ec00:1b:d41c:7dc0:93a1, 2600:9000:21c3:6800:1b:d41c:7dc0:93a1, 2600:9000:21c3:8200:1b:d41c:7dc0:93a1, 2600:9000:21c3:e400:1b:d41c:7dc0:93a1, 2600:9000:21c3:9800:1b:d41c:7dc0:93a1, 2600:9000:21c3:5200:1b:d41c:7dc0:93a1",myplenity-com.mail.protection.outlook.com,"NETORGFT4954840.onmicrosoft.com, facebook-domain-verification=zmdqbtxvlg6f63x9o8iao3egmw0due, google-site-verification=zH3xCXCGpsufDBPQrH-9TWf5rNqDqpSNMNSqXsVcWDQ, v=spf1 include:spf.protection.outlook.com -all","ns-144.awsdns-18.com, ns-1493.awsdns-58.org, ns-1844.awsdns-38.co.uk, ns-760.awsdns-31.net",,,
[x],o1.ptr7814.e.ro.co,,,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],o1604.abmail.email.ro.co,167.89.83.49,,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],origin.myplenity.com,"54.91.59.199, 52.20.78.240, 3.220.57.224, 3.232.242.170",rugged-mink-fpnfoz2dhw3krfiz8kw2zyx6.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],pages.hcp.myplenity.com,13.111.70.10,pages.virt.s11.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],panorama.ro.co,"50.17.42.68, 35.171.178.15",panorama-lb-1080710422.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],partners.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33",,cjgrcepoohmkfb2sg2pl6ar3o6,,,,
[x],pha-staging.ropharmacy.com,"188.114.97.3, 188.114.96.3",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,,,,,
[x],pm-bounces.ro.co,138.197.30.54,pm.mtasv.net,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net","google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847, v=spf1 include:spf.mtasv.net -all, google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s",,,,
[x],prometheus.dev.rockset.com,,,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=infra-dev-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",,,,
[x],prometheus.rockset.com,"10.4.98.43, 10.4.45.252, 10.4.87.81",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=infra-use1a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",,True,"10.4.98.43, 10.4.45.252, 10.4.87.81",
[x],prometheus.use1a1.rockset.com,"10.3.60.215, 10.3.72.73, 10.3.108.254",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",,True,"10.3.60.215, 10.3.72.73, 10.3.108.254",
[x],prometheus.usw2a1.rockset.com,"10.0.96.172, 10.0.44.196, 10.0.93.77",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=rs-usw2a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",,True,"10.0.96.172, 10.0.44.196, 10.0.93.77",
[x],retool.ro.co,"104.18.140.51, 104.18.139.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8c33, 2606:4700::6812:8b33",,,,,,
[x],ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","8v6et85ggp75ugd5evlkvj52m2, MS=32C83733D33C35E97ADDE404EB6453E8E883957D, MS=ms64951708, ZOOM_verify_ThqUjvl1TcGkWRRN1uc72Q, apple-domain-verification=xyxmwpAQxAeUOYnx, docusign=5b1a6d3f-183c-4368-a2fa-01b8d7272257, facebook-domain-verification=ikkh3o91ctuliotzob5hmxos4es0zw, google-site-verification=7-cMSHIzgkASUqj85ReGUz5YmnPk1_oBYNS3dvcK7us, google-site-verification=8oWsu-UH6gqK6Gs7rl_8yX3ZSg2oDYZnyffqTsdPX7I, google-site-verification=IwgOSrF1J1MidfLNtOMZgHj2KD8L_1xdLxL8WqHu2BU, google-site-verification=Slki0jC_5GrgM9E2GGrodBHT8FBLOq97yav4501v4IM, google-site-verification=gd_Pa6K5InIUQ2Oi7xmg7SkpItnc2bGuyX3qzRCiv6k, google-site-verification=utbPQSLlalPQA4RqPIUeQCGJHd7jgaNDkUKpDgKIfFE, google-site-verification=yPsZCgyv7X6_jHFRMTvKH3O1e7aj54b67miHQXIy8bI, h1-domain-verification=oBYwnBewhSHonWoDAPD8B6sXCKhkNv7XGgavUo48tk4dAQ4n, logmein-verification-code=976afe6f-8039-40e4-95a5-261b462c9a36, mixpanel-domain-verify=4b5c94f3-74bd-40bd-8919-364f08b18fc4, notion-domain-verification=rR4iS1vLjVPImC7YV8HbYhu9rzQ2RSbdgyvbQTpbOPX, onetrust-domain-verification=da389cee3b90473b95497875105c8e0a, proxy-ssl.webflow.com, stripe-verification=4ac9f1377508ee7d235910cf069a799a12eb92d29885340a864d9c41e1c42e2f, v=spf1 a ip4:23.251.230.120 ip4:23.251.230.121 include:_spf.google.com include:mail.zendesk.com include:sendgrid.net include:servers.mcsv.net include:amazonses.com ~all","amber.ns.cloudflare.com, joel.ns.cloudflare.com",,,
[x],sentry.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33",,,,,,
[x],staging-api.usw2a1.dev.rockset.com,"13.32.99.22, 13.32.99.41, 13.32.99.23, 13.32.99.39",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,ManagedBy=Terraform,,,,
[x],staging.modernfertility.com,"104.18.17.59, 104.18.16.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:103b, 2606:4700::6812:113b",,,,,,
[x],staging5.modernfertility.com,"104.18.17.59, 104.18.16.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:113b, 2606:4700::6812:103b",,,,,,
[x],start.hellorory.com,"54.219.121.125, 13.56.128.144",unbouncepages.com,"ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"ns-748.awsdns-29.net, ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com",,,"letsencrypt.org, comodoca.com, amazon.com, globalsign.com"
[x],status.ro.co,18.246.31.131,7q8bq2w8ctyd.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"letsencrypt.org, globalsign.com;"
[x],support.modernfertility.com,"162.159.128.7, 162.159.138.6",modernfertility0.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,,
[x],test.modernfertility.com,"3.69.136.55, 3.126.202.50","3dd985eafab34378815c7c165232e0c9.unbouncepages.com, unbouncepages.com","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net, ns-1465.awsdns-55.org",,,"comodoca.com, globalsign.com, letsencrypt.org, amazon.com"
[x],testing.modernfertility.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,,,,,"digicert.com, letsencrypt.org, sectigo.com"
[x],thanos.dev.rockset.com,"10.205.75.57, 10.205.38.223, 10.205.119.138",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=infra-dev-rockset-com,external-dns/resource=ingress/monitoring/thanos-ingress",,True,"10.205.75.57, 10.205.38.223, 10.205.119.138",
[x],thanos.rockset.com,"10.4.98.43, 10.4.45.252, 10.4.87.81",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=infra-use1a1-rockset-com,external-dns/resource=ingress/monitoring/thanos-ingress",,True,"10.4.98.43, 10.4.45.252, 10.4.87.81",
[x],try.getroman.com,"104.22.39.84, 172.67.23.140, 104.22.38.84",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:10::6816:2754, 2606:4700:10::ac43:178c, 2606:4700:10::6816:2654",,,,,,
[x],try.hellorory.com,"172.67.186.217, 104.21.60.13",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:3030::6815:3c0d, 2606:4700:3033::ac43:bad9",,,,,,
[x],try.modernfertility.com,"104.18.16.59, 104.18.17.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:113b, 2606:4700::6812:103b",,,,,,
[x],url8410.e.ro.co,"188.114.96.3, 188.114.97.3",,"kate.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,,"kate.ns.cloudflare.com, oswald.ns.cloudflare.com",,,
[x],v.rockset.com,52.25.193.39,,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],view.hcp.myplenity.com,13.111.72.252,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],webhooks-api.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33",,,,,,
[x],webhooks-ropharmacy-api.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8c33, 2606:4700::6812:8b33",,,,,,
