input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_expired,tls_self_signed
api.paisly.jetblue.com,Just a moment...,403,7051,www.paisly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-27T00:00:00Z,2023-12-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",71e3b43a6f22e9dd519d2313eb0864d5,3add861f2d8b3427905162e1187e740673da2873bc12bb0db9b9980ff32b901a,True,ctls,www.paisly.com,443,https://api.paisly.jetblue.com:443,https,cloudflare,text/html,GET,104.18.36.117,/,-1840324437,2606:4700:4400::ac40:978b,HTTP/3,87,False,cloudflare,True,https://www.paisly.com/,,,
api.reimbursements.jetblue.com,Support | BoughtMilk.com,200,57070,www.boughtmilk.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-10T01:26:01Z,2023-06-08T01:26:00Z,CN=www.boughtmilk.com,www.boughtmilk.com,,www.boughtmilk.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,85bf12f3fcc69a84ab2c9ca5addbfc0d,a7dd5ef9d77e66fe09fc670ee25f95cfb9530a50342544947fcaf098b1a6461b,,ctls,www.boughtmilk.com,443,https://api.reimbursements.jetblue.com:443,https,nginx,text/html,GET,54.161.127.124,/,-1972114425,54.161.127.124,WordPress,317,False,,,https://www.boughtmilk.com/support/,,,
apiuat.paisly.jetblue.com,Sign in ・ Cloudflare Access,200,42441,uatjetbluevacations.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,uatjetbluevacations.cloudflareaccess.com,443,https://apiuat.paisly.jetblue.com:443,https,cloudflare,text/html,GET,104.18.38.125,/,-1058523249,2606:4700:4400::6812:267d,HSTS,102,False,cloudflare,True,https://uatjetbluevacations.cloudflareaccess.com/cdn-cgi/access/login/apiuat.paisly.jetblue.com?kid=52cb720653baeda67207f4573e590bf73672b3e587f727e4b1309d277b06a57f&redirect_url=%2F&meta=eyJraWQiOiJiODBiZjUzMThlZTIzOWI2ZDRiMGRlNDA4YzVlNzBlZGMxZTdmZmNmOGI5OTY2ZjA1M2ZlMDYyYzBlMzQzYWI2IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzkxMTkwMiwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjUyY2I3MjA2NTNiYWVkYTY3MjA3ZjQ1NzNlNTkwYmY3MzY3MmIzZTU4N2Y3MjdlNGIxMzA5ZDI3N2IwNmE1N2YiLCJob3N0bmFtZSI6ImFwaXVhdC5wYWlzbHkuamV0Ymx1ZS5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiMGUxNGZlNjE1MDkxMWRkNWI1MWFhYTc4MzQ3MDg3YzdkNDZjMzE4MjljNTI5M2ZkZDA5YzBiZDYwMTJiN2E1ZiIsIm5iZiI6MTY4MzkxMTkwMiwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.ngB8aLCSg5itaEY79_sHbcqi12QUYhzKd-P-bq5oOgWa6OLkQiG9ABgZW9bqrkFf9sBQc7B2ceppJlqNJUiVgEVh3_Fdr-LYHq882mm15GeFZwNQHNuua44w6Fl-v_TuFPKAcDhmGtAr2aKrBvF0x7w3nOL-rDKGUfzlVEyzFG8jucXvo8s3_-oGNCRHfO03N7JnQfaEeorXzMc81-C2zl-hW0Rd9KMckT-2xX6oKdxX0mu1hwjZpoiCyUV6A2diSG4iSDA9wtHyCDQtcqgWQC8VvvErhoEM7_EZyNwb2rpm3-ZrQDQ0zYbexrOvA5vtrcziFjL5b8ETiutz8jCgBw,https:,,
appaccess.gslb.jetblue.com,,200,6510,appaccess.gslb.jetblue.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,True,2022-11-01T14:02:37Z,2023-11-30T14:02:37Z,"CN=tf-jbdesktop.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",tf-jbdesktop.jetblue.com,JetBlue Airways Corporation,appaccess.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bb58d380ab443fd0fe67f171eddb0316,f4387ae7de63383bbc0b45f6acc32210300a9c4b149354caac32274611a071ea,,ctls,appaccess.gslb.jetblue.com,443,https://appaccess.gslb.jetblue.com:443,https,,text/html,GET,64.25.24.71,/,12023395,64.25.24.71,,1,False,,,https://appaccess.gslb.jetblue.com/vpn/index.html,,,
appaccess.jetblue.com,,200,6498,appaccess.jetblue.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2022-11-01T14:02:37Z,2023-11-30T14:02:37Z,"CN=tf-jbdesktop.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",tf-jbdesktop.jetblue.com,JetBlue Airways Corporation,appaccess.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bb58d380ab443fd0fe67f171eddb0316,f4387ae7de63383bbc0b45f6acc32210300a9c4b149354caac32274611a071ea,,ctls,appaccess.jetblue.com,443,https://appaccess.jetblue.com:443,https,,text/html,GET,64.25.24.71,/,12023395,64.25.24.71,,1,False,,,https://appaccess.jetblue.com/vpn/index.html,,,
apps.jetblue.com,Under Construction,200,1433,apps.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-03T20:01:10Z,2023-06-02T20:01:10Z,"CN=apps.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",apps.jetblue.com,JetBlue Airways Corporation,applications.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",a3af9902d7547ff55c1c719e108d4e9d,a4f344094d7404ff668a17ada3bc8b42a22a2e6f404aab948b4b7ee0a9a08e82,,ctls,apps.jetblue.com,443,https://apps.jetblue.com:443,https,Microsoft-IIS/8.5,text/html,GET,64.25.24.126,/,87733397,64.25.24.126,Windows Server,40,False,,,,,,
aqd-test.jetblue.com,,401,58,aqd.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-24T19:15:41Z,2024-04-23T19:15:41Z,"CN=aqd.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",aqd.jetblue.com,JetBlue Airways Corporation,aqd.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e1f3f706ec14b81ac78a15c795129003,7b198266880e35f557dca78c1e1bc8b2803cba1dc6a002139634fce7f5529b83,,ctls,aqd.jetblue.com,443,https://aqd-test.jetblue.com:443,https,Microsoft-IIS/8.5,text/html,GET,64.25.24.109,/,207402057,64.25.24.109,Windows Server,1,False,,,https://aqd.jetblue.com/aqdwfs/home.aspx/,,,
artifactory-devops.it.jetblue.com,403 Forbidden,403,564,artifactory-devops.it.jetblue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-27T17:08:18Z,2023-07-26T18:01:31Z,CN=artifactory-devops.it.jetblue.com,artifactory-devops.it.jetblue.com,,artifactory-devops.it.jetblue.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,1f4745cdc2862dc5824e182bc468c2cc,599a72a102532251e9f260dc643c9da1179e5ed432151f55d9e6de446af1dfca,,ctls,artifactory-devops.it.jetblue.com,443,https://artifactory-devops.it.jetblue.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,34.107.183.18,/,1071123763,34.107.183.18,Ubuntu,14,False,google,True,,,,
artifactory.it.jetblue.com,Sign In,200,21656,fs.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-20T12:23:25Z,2023-10-19T12:23:25Z,"CN=fs.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",fs.jetblue.com,JetBlue Airways Corporation,fs.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",6be41202d696c341ef61b65fc3f04c8d,8e52ef875d9acc55fdd19ce58ab8199eb5ed3e19c3360f7041aa245e6e4cbc20,,ctls,fs.jetblue.com,443,https://artifactory.it.jetblue.com:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,34.120.185.17,/,-138391155,34.120.185.17,Microsoft HTTPAPI:2.0,505,False,google,True,https://fs.jetblue.com/adfs/ls/?client-request-id=adff7493-ea69-432c-b5bf-d19360bb5aa2&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAA02I21DO0UjEySLVIszA00U22NDTVNUkxttRNTEk20E1LMjAyTzEzSDJOSSoS4hKYXPJ_beYrHeet-y9OTtgdtWgWI3dWaklSTmmqXnJ-7ipGo4ySkoJiK339xKKSzLTE5JL8okq9zBI9JEX6-YmlJRlG-smJOTlJicnZOxgZLzAyvmBkvMXE7-8IkgIR-UWZVamzmJWMUw0SzVOTkpPNk1ITDVJM0pINTZMszU0MjNJM0yzTUqz0NzGrpFgaGZobmBvrWpoameuaWJgn61qaWZjrJpklJaVYGqemmBkZnmJmyy9IzctMucHMeIGF8RULjwGrFQcHlwC_BLsCww8WxkWsQP_VXkm_6f_qpsssniBlXcZ5DKdY9X1cvV3y3S1Ts0MsUkOMI0MsnUxdfbLyjCIdM5NyzdP9XLzSc6KMHA1DDX1tjawMJ7AxfmBj7GBn2MVJRmAc4GX4wTfr1MTF5x5eeevxil8ny6LKPTHA1CTQNMjT2yzC2bAgMMhdPyMivdLdLMLLOCM8sji1oiS5MNAw3xYA0,,,
aspectwfm-dr-x.jetblue.com,IIS Windows Server,200,703,aspectwfm-dr-x.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2021-07-14T20:44:22Z,2022-08-13T20:44:21Z,"CN=aspectwfm-dr.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",aspectwfm-dr.jetblue.com,JetBlue Airways Corporation,aspectwfm-dr-x.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",7b4b4a1917bc1dc478ffe2f1959f36be,ae031314a0832a50b84436c0988881b4025a3fdee88837343be1d594360add9d,,ctls,aspectwfm-dr-x.jetblue.com,443,https://aspectwfm-dr-x.jetblue.com:443,https,Microsoft-IIS/10.0,text/html,GET,64.25.28.170,/,1631801191,64.25.28.170,Windows Server,32,False,,,,,True,
aspectwfm-lab-x.jetblue.com,IIS Windows Server,200,703,aspectwfm-lab-x.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-29T23:20:53Z,2023-10-29T23:20:53Z,"CN=aspectwfm-lab.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",aspectwfm-lab.jetblue.com,JetBlue Airways Corporation,JBCUAMWFM2006.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",d8cc4ca60bde9083abb3bd115deec372,45cfbb826392df27edbe1c097138e20198b9610b4a05ddaabb54ca2ff49d048a,,ctls,aspectwfm-lab-x.jetblue.com,443,https://aspectwfm-lab-x.jetblue.com:443,https,Microsoft-IIS/10.0,text/html,GET,64.25.24.168,/,1631801191,64.25.24.168,Windows Server,32,False,,,,,,
aspectwfm-x.jetblue.com,403 - Forbidden: Access is denied.,403,1233,aspectwfm-x.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-03T18:16:20Z,2024-04-02T18:16:20Z,"CN=aspectwfm-x.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",aspectwfm-x.jetblue.com,JetBlue Airways Corporation,www.aspectwfm-x.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ef2e6b57c1cbdda7969b16b8346801a1,faeaf256dbd5389e98eabb328b3f66c154372ed28f9096dcaa4c8dbbf76f11e5,,ctls,aspectwfm-x.jetblue.com,443,https://aspectwfm-x.jetblue.com:443,https,Microsoft-IIS/10.0,text/html,GET,64.25.24.170,/,1631801191,64.25.24.170,Windows Server,30,False,,,,,,
