input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url,location,tls_expired,tls_self_signed
builder.tokopedia.com,404,404,134,AS15169,GOOGLE,US,34.149.0.0/16,builder.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,builder.tokopedia.com,443,https://builder.tokopedia.com:443,https,,text/html,GET,34.149.107.28,/,1530892233,34.149.107.28,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
business-beta.tokopedia.com,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,business-beta.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,business-beta.tokopedia.com,80,http://business-beta.tokopedia.com:80,http,,text/html,GET,34.120.41.164,/,1530892233,34.120.41.164,HTTP/3,1,False,PT. Tokopedia,google,True,,https://business-beta.tokopedia.com:443/,,,
business-staging.tokopedia.com,404,404,134,AS15169,GOOGLE,US,35.244.128.0/17,business-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,business-staging.tokopedia.com,80,http://business-staging.tokopedia.com:80,http,,text/html,GET,35.244.198.66,/,1530892233,35.244.198.66,HTTP/3,1,False,PT. Tokopedia,google,True,,https://business-staging.tokopedia.com:443/,,,
calendar.tokopedia.net,Sign in - Google Accounts,200,1418,AS15169,GOOGLE,US,172.217.0.0/19,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,80,http://calendar.tokopedia.net:80,http,GSE,text/html,GET,172.217.18.19,/,143153524,2a00:1450:4001:80b::2013,OpenGSE,32,False,,,,url=https://www.google.com/accounts/AccountChooser?hd=tokopedia.net&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,https://www.google.com/a/tokopedia.net/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,,,
ccp.tokopedia.com,Welcome to nginx!,200,612,AS15169,GOOGLE,US,34.149.0.0/16,ccp.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,ccp.tokopedia.com,443,https://ccp.tokopedia.com:443,https,nginx,text/html,GET,34.149.107.28,/,1494302000,34.149.107.28,Nginx,26,False,PT. Tokopedia,google,True,,,,,
cdn-test.tokopedia.net,,403,294,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,cdn-test.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,cdn-test.tokopedia.net,80,http://cdn-test.tokopedia.net:80,http,AliyunOSS,application/xml,GET,23.53.40.217,/,-1391440408,23.53.40.209,,9,False,PT. Tokopedia,,,,https://cdn-test.tokopedia.net/,,,
cdn.tokopedia.net,,403,294,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,cdn.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,cdn.tokopedia.net,443,https://cdn.tokopedia.net:443,https,AliyunOSS,application/xml,GET,23.53.40.200,/,294329682,23.53.40.184,,9,False,PT. Tokopedia,,,,,,,
cdn3.tokopedia.net,503 Service Temporarily Unavailable,503,564,AS16509,AS16509,Unknown,52.76.0.0/14,cdn3.tokopedia.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,cdn3.tokopedia.net,443,https://cdn3.tokopedia.net:443,https,awselb/2.0,text/html,GET,52.74.63.80,/,2051366281,18.139.133.37,,13,False,PT. Tokopedia,,,,,,,
clicks.tokopedia.com,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,clicks.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,clicks.tokopedia.com,443,https://clicks.tokopedia.com:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.123.54,Nginx,8,False,,,,,,,,
dataplatform.tokopedia.net,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,dataplatform.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,dataplatform.tokopedia.net,443,https://dataplatform.tokopedia.net:443,https,,text/html,GET,34.96.123.217,/,1530892233,34.96.123.217,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
delivery.mitra.tokopedia.com,404 Not Found,404,112,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,delivery.mitra.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-06-02T00:00:00Z,2023-06-19T23:59:59Z,"CN=trans.sbicard.com, O=SBI CARDS AND PAYMENT SERVICES LIMITED, ST=Haryana, C=IN",trans.sbicard.com,www.trans.sbicard.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,0dcb67062d67c3dacb8f8090d2afa1a0,0a6ed42780a93586ca10e1e7b6c39f8cc14b1e71246648f2f3939eacea2286bf,,ctls,delivery.mitra.tokopedia.com,443,https://delivery.mitra.tokopedia.com:443,https,nginx,text/html,GET,34.117.197.73,/,1362163372,34.117.197.73,Nginx,7,False,SBI CARDS AND PAYMENT SERVICES LIMITED,google,True,,,,,
delivery.newsletter.tokopedia.com,404 Not Found,404,112,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,,,,,,,,,,,,,,,,,,,,80,http://delivery.newsletter.tokopedia.com:80,http,nginx,text/html,GET,34.117.197.73,/,1362163372,34.117.197.73,Nginx,7,False,,google,True,,,,,
design-staging.tokopedia.net,404,404,134,AS15169,GOOGLE,US,35.190.0.0/17,design-staging.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,design-staging.tokopedia.net,443,https://design-staging.tokopedia.net:443,https,,text/html,GET,35.190.38.148,/,1530892233,35.190.38.148,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
