input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,location,tls_expired
altura-fiscd-margin-advisor.fisglobal.com,HTTP Status 404 – Not Found,404,682,,altura-fiscd-margin-advisor.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-20T00:00:00Z,2023-06-19T23:59:59Z,"CN=altura-fiscd-margin-advisor.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",altura-fiscd-margin-advisor.fisglobal.com,"Fidelity National Information Services, Inc.",www.altura-fiscd-margin-advisor.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,56734889ae55b735830b9fed0d21e1a4,8f7fe79c3d3ed71f6099ae5e08427740b3032192ae9a5f9a81ff27a1959be967,,ctls,altura-fiscd-margin-advisor.fisglobal.com,443,https://altura-fiscd-margin-advisor.fisglobal.com:443,https,,text/html,GET,104.126.37.146,/,-1551043557,,2a02:26f0:1700:11::b856:6789,HSTS,1,False,,,,,
ambitcapitalmanager.fisglobal.com,,200,6245,,ambitcapitalmanager.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,35566163a669f5d5ef19297c25bc7f73,bab10d66cc071b98ce70b611d3d78030eb104a5d013c371f70df78e93e291235,True,ctls,ambitcapitalmanager.fisglobal.com,443,https://ambitcapitalmanager.fisglobal.com:443,https,,text/html,GET,147.249.130.243,/,12023395,https://ambitcapitalmanager.fisglobal.com/logon/LogonPoint/index.html,147.249.130.243,,1,False,,,,,
amer-pts-dr.fisglobal.com,,200,6451,,amer-pts-dr.fisglobal.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,amer-pts-dr.fisglobal.com,443,https://amer-pts-dr.fisglobal.com:443,https,Apache,text/html,GET,147.249.4.153,/,12023395,https://amer-pts-dr.fisglobal.com/vpn/index.html,147.249.4.153,HSTS,1,False,,,,,
amer-pts-prod.fisglobal.com,,200,6467,,amer-pts-prod.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,amer-pts-prod.fisglobal.com,443,https://amer-pts-prod.fisglobal.com:443,https,Apache,text/html,GET,147.249.188.150,/,12023395,https://amer-pts-prod.fisglobal.com/vpn/index.html,147.249.188.150,Apache,1,False,,,,,
amp-prd.fisglobal.com,SSO Login in progress,200,2143,,amp-prd.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-16T00:00:00Z,2023-10-16T23:59:59Z,"CN=amp-prd.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",amp-prd.fisglobal.com,"Fidelity National Information Services, Inc.",www.amp-prd.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d3ab33670999a20345769a989d13e991,2d4315bffd48333d1af88844a8720fd61d465e5709ac97fdfad62caa3404cd42,,ctls,amp-prd.fisglobal.com,443,https://amp-prd.fisglobal.com:443,https,,text/html,GET,95.101.111.168,/,-1645393182,,95.101.111.159,HSTS,41,False,,,,,
ams.fisglobal.com,403 - Forbidden: Access is denied.,403,1233,,ams.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,ams.fisglobal.com,443,https://ams.fisglobal.com:443,https,,text/html,GET,84.53.164.191,/,1631801191,,2a02:26f0:3500:88d::3b69,HSTS,30,False,,,,,
answers.fisglobal.com,Bodhi Documentation - Best Practice Portal,200,79995,,answers.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T00:00:00Z,2023-10-22T23:59:59Z,"CN=answers.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",answers.fisglobal.com,"Fidelity National Information Services, Inc.",www.answers.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,55f2c3cf81cb44d056e22dc899c566a8,8a1be73af95e380ad32f85acebd62eded4020895b1304e17e020454f731cd8df,,ctls,answers.fisglobal.com,443,https://answers.fisglobal.com:443,https,,text/html,GET,54.81.8.134,/,-1840324437,,52.70.141.12,HSTS,86,False,,,,,
ap-uat1.fisglobal.com,Object moved,302,136,,ap-uat1.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,ap-uat1.fisglobal.com,443,https://ap-uat1.fisglobal.com:443,https,Apache,text/html,GET,84.53.164.191,/,-1535231158,https://ap-uat1.fisglobal.com/GeneralError.aspx?,2a02:26f0:3500:88e::3b69,HSTS,4,False,,,,/GeneralError.aspx?,
ap-uat2.fisglobal.com,Object moved,302,136,,ap-uat2.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,ap-uat2.fisglobal.com,443,https://ap-uat2.fisglobal.com:443,https,Apache,text/html,GET,84.53.164.191,/,-1535231158,https://ap-uat2.fisglobal.com/GeneralError.aspx?,2a02:26f0:3500:88d::3b69,HSTS,4,False,,,,/GeneralError.aspx?,
ap-uat3.fisglobal.com,Object moved,302,136,,ap-uat3.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,ap-uat3.fisglobal.com,443,https://ap-uat3.fisglobal.com:443,https,Apache,text/html,GET,84.53.164.191,/,-1535231158,https://ap-uat3.fisglobal.com/GeneralError.aspx?,2a02:26f0:3500:88d::3b69,HSTS,4,False,,,,/GeneralError.aspx?,
apex.fisglobal.com,400 Bad Request,400,171,,apex.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-02T00:00:00Z,2023-09-01T23:59:59Z,"CN=svcsdmzltcrp01.fnfis.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",svcsdmzltcrp01.fnfis.com,"Fidelity National Information Services, Inc.",ssp.fnfis.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,db0b1ad865a8c4e72a461904da4fb5ea,89c6f2d7a40d02ad62ad4b960513b4e74941716a638ca582c969f4a4d09e6dbd,,ctls,apex.fisglobal.com,443,https://apex.fisglobal.com:443,https,Apache,text/html,GET,199.200.24.181,/,386594154,,199.200.24.181,Apache,1,False,True,,,,
apexpoc1.fisglobal.com,400 Bad Request,400,174,,apexpoc1.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,apexpoc1.fisglobal.com,443,https://apexpoc1.fisglobal.com:443,https,Apache,text/html,GET,147.249.16.31,/,1115952436,,147.249.16.31,Apache,1,False,,,,,
api-astec-uat.fisglobal.com,,200,56,url=/api.web/,api-astec-uat.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-07T00:00:00Z,2024-02-07T23:59:59Z,"CN=lendingpit-uat.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",lendingpit-uat.fisglobal.com,Fidelity National Information Services,shortside-uat.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d745d92c6f5b141042905bdbfddec2f9,5814af846dc99f237974ec262b75b0c122c8da69880e01bb1170c2a42b60d053,,ctls,api-astec-uat.fisglobal.com,443,https://api-astec-uat.fisglobal.com:443,https,,text/html,GET,104.126.37.184,/,1631801191,,2a02:26f0:1700:11::b856:6795,HSTS,1,False,,,,,
api-dev-ethos.fisglobal.com,Service Unavailable,503,269,,api-dev-ethos.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,api-dev-ethos.fisglobal.com,443,https://api-dev-ethos.fisglobal.com:443,https,AkamaiGHost,text/html,GET,84.53.164.191,/,-1240548095,,2a02:26f0:3500:88d::3b69,HSTS,9,False,,,,,
api-gw-uat.fisglobal.com,,404,124,,api-gw-uat.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,api-gw-uat.fisglobal.com,443,https://api-gw-uat.fisglobal.com:443,https,Apache,application/json,GET,104.102.53.67,/,-1655234758,,104.102.53.67,HSTS,1,False,,,,,
api-gw1-prod1.fisglobal.com,,200,,,api-gw1-prod1.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-17T00:00:00Z,2023-06-16T23:59:59Z,"CN=api-gw1-prod1.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",api-gw1-prod1.fisglobal.com,"Fidelity National Information Services, Inc.",www.api-gw1-prod1.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7dcd3445fdd4895f0fcd9d46153bbc5c,49c9f6579827e8b4de53d98561c33b28daa7b547ddae320adea36db2b5bba093,,ctls,api-gw1-prod1.fisglobal.com,443,https://api-gw1-prod1.fisglobal.com:443,https,Apache,text/html,GET,104.126.37.137,/,-1655234758,,2a02:26f0:1700:11::b856:678b,HSTS,1,False,,,,,
api-gw1-prod2.fisglobal.com,,200,,,api-gw1-prod2.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-17T00:00:00Z,2023-06-16T23:59:59Z,"CN=api-gw1-prod2.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",api-gw1-prod2.fisglobal.com,"Fidelity National Information Services, Inc.",www.api-gw1-prod2.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3946580a9e650056df3e34c988b34080,1424f4823a5316cace90f456f626b84b144abd6e61d68ed7a06bad71670d13c3,,ctls,api-gw1-prod2.fisglobal.com,443,https://api-gw1-prod2.fisglobal.com:443,https,Apache,text/html,GET,95.101.111.180,/,-1655234758,,2a02:26f0:480:d::210:f144,HSTS,1,False,,,,,
api.dev-ethos.fisglobal.com,Service Unavailable,503,268,,api.dev-ethos.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-01T00:00:00Z,2023-07-01T23:59:59Z,"CN=dev-ethos.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",dev-ethos.fisglobal.com,"Fidelity National Information Services, Inc.",api3.dev-ethos.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ab4e1cf74876577952a915f9e097b494,bc3531f72b9cf7051c1be595964b9adda3c7e9af82fabefbdd247f70d1f0e3f9,,ctls,api.dev-ethos.fisglobal.com,443,https://api.dev-ethos.fisglobal.com:443,https,AkamaiGHost,text/html,GET,104.126.37.152,/,-935439697,,2a02:26f0:1700:11::b856:6796,HSTS,9,False,,,,,
api3.dev-ethos.fisglobal.com,Service Unavailable,503,267,,api3.dev-ethos.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-01T00:00:00Z,2023-07-01T23:59:59Z,"CN=dev-ethos.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",dev-ethos.fisglobal.com,"Fidelity National Information Services, Inc.",api3.dev-ethos.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ab4e1cf74876577952a915f9e097b494,bc3531f72b9cf7051c1be595964b9adda3c7e9af82fabefbdd247f70d1f0e3f9,,ctls,api3.dev-ethos.fisglobal.com,80,http://api3.dev-ethos.fisglobal.com:80,http,AkamaiGHost,text/html,GET,104.126.37.169,/,1285165599,https://api3.dev-ethos.fisglobal.com/,2a02:26f0:1700:11::b856:6796,HSTS,9,False,,,,,
app.partner.fisglobal.com,Invalid URL,400,209,,,,,,,,,,,,,,,,,,,,,80,http://app.partner.fisglobal.com:80,http,AkamaiGHost,text/html,GET,104.126.37.168,/,1910800254,,104.126.37.129,,8,False,,,,,
