new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips
[x],accounts.test.vrt.be,"dns1.p01.nsone.net, hostmaster.nsone.net, ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.88.149.194, 18.210.153.8, 18.211.61.121, 18.206.141.83, 52.2.141.183, 18.210.235.241, 18.209.204.66, 107.23.218.60, 18.205.77.36, 107.23.67.121",,,,"vrt-us.sslproxy.gigya.com, sslproxy.us1.gigya.com, farm5.us1.gigya.com, lb-d.us1.gigya.com",,,,,,
[x],actiefilm-dev.dewarmsteweek.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],actiefilm.dewarmsteweek.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],actievideo.dewarmsteweek.be,,NOERROR,"108.138.7.25, 108.138.7.98, 108.138.7.14, 108.138.7.7","2600:9000:2490:3a00:1a:746a:ea00:93a1, 2600:9000:2490:2c00:1a:746a:ea00:93a1, 2600:9000:2490:c800:1a:746a:ea00:93a1, 2600:9000:2490:b200:1a:746a:ea00:93a1, 2600:9000:2490:a800:1a:746a:ea00:93a1, 2600:9000:2490:c00:1a:746a:ea00:93a1, 2600:9000:2490:1e00:1a:746a:ea00:93a1, 2600:9000:2490:ca00:1a:746a:ea00:93a1",True,cloudfront,,,,,,,
[x],adfs.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.91,,,,,,,,,,
[x],adfsdecrypt.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.91,,,,,,,,,,
[x],adfsstag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.88,,,,,,,,,,
[x],admin-beatsoflove.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-catchoftheday.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-dev.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-dev.mnm.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-dev.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-ouders.ketnet.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"13.224.189.84, 13.224.189.10, 13.224.189.65, 13.224.189.19","2600:9000:20eb:8e00:0:2ba:1bc0:93a1, 2600:9000:20eb:dc00:0:2ba:1bc0:93a1, 2600:9000:20eb:d800:0:2ba:1bc0:93a1, 2600:9000:20eb:4000:0:2ba:1bc0:93a1, 2600:9000:20eb:a400:0:2ba:1bc0:93a1, 2600:9000:20eb:1200:0:2ba:1bc0:93a1, 2600:9000:20eb:2c00:0:2ba:1bc0:93a1, 2600:9000:20eb:d600:0:2ba:1bc0:93a1",True,cloudfront,,,,,,,
[x],admin-prod.radio1.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-stag-ouders.ketnet.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin-stag.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],admin.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin.login-dev.vrt.be,"ns-1262.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.147.81, 18.66.147.38, 18.66.147.88, 18.66.147.44",,True,cloudfront,d18hp031a7jh8a.cloudfront.net,,,,,,
[x],admin.login-stag.vrt.be,,NOERROR,"18.66.97.24, 18.66.97.127, 18.66.97.3, 18.66.97.118",,True,cloudfront,d2jy6butevx16h.cloudfront.net,,,,,,
[x],admin.login.vrt.be,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.105, 13.32.99.110, 13.32.99.114, 13.32.99.103","2600:9000:2251:600:7:5f55:6300:93a1, 2600:9000:2251:5200:7:5f55:6300:93a1, 2600:9000:2251:de00:7:5f55:6300:93a1, 2600:9000:2251:2e00:7:5f55:6300:93a1, 2600:9000:2251:ca00:7:5f55:6300:93a1, 2600:9000:2251:7c00:7:5f55:6300:93a1, 2600:9000:2251:c000:7:5f55:6300:93a1, 2600:9000:2251:8200:7:5f55:6300:93a1",True,cloudfront,d11qxvgbusru6k.cloudfront.net,,"ns-323.awsdns-40.com, ns-771.awsdns-32.net, ns-1455.awsdns-53.org, ns-1996.awsdns-57.co.uk",,,,
[x],admin.mnm.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin.radio1.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],aem-next.vrt.be,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,aem-bcm.prod.a51.be,,,,,,
[x],aem-stag.vrt.be,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,aem-bcm.stag.a51.be,,,,,,
[x],aem.vrt.be,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,aem-bcm.prod.a51.be,,,,,,
[x],alcatrazmetalparty-10.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],alcatrazmetalparty-4.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],alcatrazmetalparty.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],alleenelvis.canvas.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,85.255.196.80,,,,,,,,,,
[x],alwayson-stag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.84,,,,,,,,,,
[x],alwayson.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.83,,,,,,,,,,
[x],alwaysvrt.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.45.69,,,,,,,,,,
[x],am3fm.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],amp.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],api-beatsoflove.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],api-catchoftheday.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],api-dev.dewarmsteweek.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.97.41, 18.66.97.109, 18.66.97.75, 18.66.97.71","2600:9000:20fc:0:14:4bc2:af40:93a1, 2600:9000:20fc:aa00:14:4bc2:af40:93a1, 2600:9000:20fc:7400:14:4bc2:af40:93a1, 2600:9000:20fc:d600:14:4bc2:af40:93a1, 2600:9000:20fc:fa00:14:4bc2:af40:93a1, 2600:9000:20fc:9600:14:4bc2:af40:93a1, 2600:9000:20fc:7000:14:4bc2:af40:93a1, 2600:9000:20fc:4200:14:4bc2:af40:93a1",True,cloudfront,,,,,,,
[x],api-stag.sporza.be,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],api.e.sporza.be,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],api.sporza.be,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,"108.157.4.7, 108.157.4.108, 108.157.4.109, 108.157.4.120",,True,cloudfront,sport-public-api-prod-prod-eu-west-1.prod.a51.be,,,,,,
[x],api.vijfkamp-stag.sporza.be,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],api.vijfkamp.sporza.be,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app-stag.klara.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app-stag.mnm.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app-stag.radio1.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app-stag.radio2.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app-stag.stubru.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app.radio1.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],app.radio2.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"108.157.229.119, 108.157.229.73, 108.157.229.114, 108.157.229.98","2600:9000:2395:e000:1:f68a:400:93a1, 2600:9000:2395:9800:1:f68a:400:93a1, 2600:9000:2395:be00:1:f68a:400:93a1, 2600:9000:2395:8a00:1:f68a:400:93a1, 2600:9000:2395:ca00:1:f68a:400:93a1, 2600:9000:2395:7800:1:f68a:400:93a1, 2600:9000:2395:3e00:1:f68a:400:93a1, 2600:9000:2395:5c00:1:f68a:400:93a1",True,cloudfront,,,,,,,
[x],app.stubru.radioplus.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],apps-stag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.42.59,,,,,,,,,,
[x],apps.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],apps.radio1.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,95.130.42.45,,,,,,,,,,
[x],apps.stubru.be,,NOERROR,95.130.42.45,,,,,,,,,,
[x],apps.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.42.34,,,,,,,,,,
[x],april.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,85.119.223.107,,,,,,,,,,
[x],archief.dewarmsteweek.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],asperagateway-stag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.41.73,,,,,,,,,,
[x],asperagateway.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.41.104,,,,,,,,,,
[x],assets-beatsoflove.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],assets-catchoftheday.stubru.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],assets-stag-ouders.ketnet.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],asvpn.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.43.48,,,,,,,,,,
[x],atelier.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,95.130.42.39,,,,,,,,,,
[x],atlas-stag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,52.209.60.124,,,,,,,,,,
[x],atlas.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,63.33.148.147,,,,,,,,,,
[x],audiopitch.vrt.be,"ns-603.awsdns-11.net, awsdns-hostmaster.amazon.com",NOERROR,"108.138.17.70, 108.138.17.89, 108.138.17.102, 108.138.17.119","2600:9000:2491:8400:9:e7e1:3280:93a1, 2600:9000:2491:de00:9:e7e1:3280:93a1, 2600:9000:2491:e200:9:e7e1:3280:93a1, 2600:9000:2491:ec00:9:e7e1:3280:93a1, 2600:9000:2491:3600:9:e7e1:3280:93a1, 2600:9000:2491:7800:9:e7e1:3280:93a1, 2600:9000:2491:7a00:9:e7e1:3280:93a1, 2600:9000:2491:7c00:9:e7e1:3280:93a1",True,cloudfront,d2lsuiovlbqzey.cloudfront.net,,"ns-343.awsdns-42.com, ns-603.awsdns-11.net, ns-1234.awsdns-26.org, ns-1625.awsdns-11.co.uk",,,,
[x],audiozone-dev.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,,,,,,,,,,,
[x],audiozone-stag.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,,,,,,,,,,,
[x],audiozone.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,,,,,,,,,,,
[x],autodiscover.canvas.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"40.99.150.104, 40.99.150.88, 52.98.228.56, 52.98.241.200","2603:1026:c0d:82a::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:c1c::8, 2603:1026:c0d:807::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.dewarmsteweek.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"52.98.243.40, 52.98.228.56, 52.98.243.56, 52.98.241.200","2603:1026:c0d:82e::8, 2603:1026:c0d:82a::8, 2603:1026:c0d:802::8, 2603:1026:c0d:807::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.klara.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"52.98.243.40, 52.98.241.200, 52.98.243.56, 52.98.228.56","2603:1026:c0d:802::8, 2603:1026:c0d:807::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:82a::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.mnm.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"40.99.204.152, 52.97.201.104, 52.97.152.216, 40.99.204.72","2603:1026:c0d:82e::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:828::8, 2603:1026:c0d:82c::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.radio1.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"40.99.149.136, 40.99.157.56, 40.99.157.24, 40.99.149.168, 52.97.189.104, 52.97.189.72, 40.99.149.104, 40.99.155.232","2603:1026:204:2::8, 2603:1026:c03:3000::8, 2603:1026:c03:581a::8, 2603:1026:207:64::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.stubru.be,"ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"52.98.152.184, 52.98.243.8, 52.98.228.56, 40.99.222.184","2603:1026:c0d:2a::8, 2603:1026:c0d:74::8, 2603:1026:c0d:34::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
[x],autodiscover.vrt.be,"ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"40.99.150.40, 52.98.152.168, 40.99.222.184, 52.98.175.24","2603:1026:c0d:c2f::8, 2603:1026:c0d:82f::8, 2603:1026:c0d:c28::8, 2603:1026:c0d:802::8, 2603:1026:c0d:c1c::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:807::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com, tr-atod-tm14.office.com",,,,,,
[x],av.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,"95.130.43.14, 95.130.43.11",,,,,,,,,,
[x],avantpremierelikemereeks4.events.ketnet.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],b2b-dev.vrt.be,"ns02.vrt.be, domainadmin.vrt.be",NOERROR,,,,,,,,,,,
[x],b2b-stag.vrt.be,"ns-999.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.35, 99.86.4.56, 99.86.4.90, 99.86.4.108",,True,cloudfront,d27o8fnx7cx7z1.cloudfront.net,,"ns-1394.awsdns-46.org, ns-1925.awsdns-48.co.uk, ns-999.awsdns-60.net, ns-117.awsdns-14.com",,,,
[x],b2b.vrt.be,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"18.165.98.35, 18.165.98.48, 18.165.98.55, 18.165.98.61, 205.251.192.27, 205.251.194.107, 205.251.196.4, 205.251.198.59",,True,cloudfront,d2q604dmvw9ype.cloudfront.net,,"ns-1028.awsdns-00.org, ns-1595.awsdns-07.co.uk, ns-27.awsdns-03.com, ns-619.awsdns-13.net",,,,
[x],babykaart.radio2.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,62.213.193.21,,,,,,,,,,
[x],bachfernalia.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],back2back.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backend.dewarmsteweek.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"13.227.219.99, 13.227.219.24, 13.227.219.19, 13.227.219.116","2600:9000:21c7:600:14:89fa:fb40:93a1, 2600:9000:21c7:3c00:14:89fa:fb40:93a1, 2600:9000:21c7:9400:14:89fa:fb40:93a1, 2600:9000:21c7:e800:14:89fa:fb40:93a1, 2600:9000:21c7:ba00:14:89fa:fb40:93a1, 2600:9000:21c7:0:14:89fa:fb40:93a1, 2600:9000:21c7:e200:14:89fa:fb40:93a1, 2600:9000:21c7:9600:14:89fa:fb40:93a1",True,cloudfront,,,,,,,
[x],backend.radioplus.be,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"radioplus-backend.prod.a51.be, radio-radioplus-socket-prod-eu-west-1.prod.a51.be",,,,,,
[x],backtoback-brocom.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-intern.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-kortrijk.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-topmotors.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-topmotors2.events.stubru.be,,NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-uitgenodigden.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-uitnodigen.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-vrt-communicatie.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backtoback-vrt-socialedienst.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],backup.lab.vrt.be,"ns02.vrt.be, niels\.laukens.vrt.be",NOERROR,95.130.44.37,,,,,,,,,,
[x],balthazar-trixiewhitley-2.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],balthazar-trixiewhitley-4.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],balthazar-trixiewhitley-torfs.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],balthazar-trixiewhitley.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],balthazar-trixiewithley-extra.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],balthazartrixiewhitley.events.stubru.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],banners.sporza.be,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,85.255.205.131,,,,,,,,,,
[x],barauguste-bbq.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-comedynight.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-kookdemo.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-musicmaestro.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-ravecave.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-reanimatie.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-vrtonstage.events.vrt.be,,NOERROR,86.39.65.98,,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],barauguste-vrttalks.events.vrt.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
