input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired,tls_self_signed
admin.login-dev.vrt.be,Sign in to your account,200,208503,AS16509,AMAZON-02,US,18.66.144.0/22,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,cloudfront,443,https://admin.login-dev.vrt.be:443,https,text/html,GET,18.66.147.44,/,,2600:9000:225e:c000:0:2e5f:3e80:93a1,HSTS,174,False,True,,https://login.microsoftonline.com/ae2e7156-c854-434a-94ad-bb5e5db6a5ea/saml2?SAMLRequest=fZLNTsMwEITvPEXku%2FPjJG1iNUEVqAIJLtBy4IIcZ1ssJetgO4Xy9LgpRXDhaGtmZ%2FXNLi4%2F%2Bi7Yg7FKY0WSMCYBoNStwl1FNusVLchlfbGwou%2FYwJeje8UHeBvBumBpLRjnfVca7diDeQSzVxI2D3cVeXVusDyK9sZR1DgY3YbCu0MY6bt30yQUvfjUPmuHyulQ6j6aUiLVDgbs4IcCCa69VqFw03rnoZ3eKQx7JY22eus0dgphmiCAwTzJZ1QWeUazNBO0zERLmyaHvG1mIgdxiiHB7XVFXuZFU5RlvqVFvG1oxuKWlumc0VzOJUsZsKwRXmrtCLdonUBXERazlMY5TeJ1kvC45PEsTNPZMwmeziDZEaRHi5af0FVkNMi1sMpyFD1Y7iR%2FXN7fcS%2FlHo%2FTUnekPpHmU6AJVtr0wv3vPf6olm4nKQd0yh3%2BZP9vF%2BcWSX2UnUrh361wO%2FCfwl6eN6vDYX3zrhbR7y3r7%2Bff86i%2FAA%3D%3D&RelayState=H4sIAAAAAAAAAD2SUZOaMBSF_wvPQkkACb5RXASW1VXX1aXTYSAEiQhBCFDo9L839qFPOTf3O3dO5ua3lEgrifTySDougzg6udP04Y1UWkip6Nhz3xJ7LSosKqCp_YCM-sZRn8MO04fZ1FqaoE4AmQAKzptu9e1b0vOCtXQmrdLx5KokBlBS8u-a1JzihBPhIMKBWfaUuZBH-y0U8iqtfkisITXNpJ8LqXjmm4Ii3WC6o4F_mn2wpX7n1wcDO_7SL5vLpxNYyhP60g5NCvUnWGSXA0u1oCHViYZOMEXnQ4Orz1vmWgBX5ZNhmXcY8cyGELpler73YfVriKA4z4d7Rg2I633_VZ0Gv1aV7w5EZTX2m8c8DdZjeB1sdiRhEFvRvfNsr9gUM-bn3D6exCtKETtyEZhGNcvj9BLVa5yORZQlZNvu7-eb8aKud_L7HfHluGZlGM3Gm228g12_9WKGj-kj_tSpx3kUbrSA6mPsf9G14QVQX2v7Dz_cbGBevN7OKnJ1e5rbYZfv5v1Fd4YXOs8vrto513BrxQjMbuLk_q0vAQJvXvS-NfJOs-Nke2xejyaTJ3kUie8i8dByuWZ107JMeS5L-f8zlKRKZlZjdq0pZwpmlbBU0goskWaCpaUvF1IjrfLk3pGF1IpZkOS5hk0oA101ZV0niYygSWQA0gwDpGEL5mIGF2hsohRZlpHLSM1TWYdqJluasBrYxFCDBOppIv35CwBCsR6tAgAA.H4sIAAAAAAAAADsay6rZ83qrB_vPivplR98FstfkPfN9peZjVuqyyWbfznYAHjgouCAAAAA.3,,,Microsoft Corporation,,,
alcatrazmetalparty-10.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://alcatrazmetalparty-10.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
alcatrazmetalparty-4.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://alcatrazmetalparty-4.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
alcatrazmetalparty.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://alcatrazmetalparty.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
alwayson.vrt.be,Not Found,404,315,AS49046,VRT-AS,BE,95.130.40.0/21,alwayson.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-01T00:00:00Z,2023-09-01T23:59:59Z,"CN=alwayson.vrt.be, O=VRT, ST=Brussels Hoofdstedelijk Gewest, C=BE",alwayson.vrt.be,alwayson.vrt.be,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,3c48720aa983ff09d7f825028d4d987b,6d7065835ad16c2d44ef5a98a7c3903877546493e310100a0e358ad44dd990a8,ctls,alwayson.vrt.be,,443,https://alwayson.vrt.be:443,https,text/html,GET,95.130.43.83,/,225052475,95.130.43.83,Microsoft HTTPAPI:2.0,7,False,,Microsoft-HTTPAPI/2.0,,,,VRT,,,
am3fm.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://am3fm.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,-1648759485,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
amp.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://amp.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,-1648759485,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
api-dev.dewarmsteweek.be,,500,33,AS16509,AMAZON-02,US,18.66.102.0/24,api-dev.dewarmsteweek.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-11T23:59:59Z,CN=*.dewarmsteweek.be,*.dewarmsteweek.be,*.stag.dewarmsteweek.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,167b59f2ca77657ebd897c56eff68bc3,1addd17811e045a45591eddc0162bae733aeffaf54e2d21a088597c3789d6656,ctls,api-dev.dewarmsteweek.be,cloudfront,443,https://api-dev.dewarmsteweek.be:443,https,application/json,GET,18.66.97.75,/,30657261,2600:9000:223c:c000:14:4bc2:af40:93a1,Nginx,3,False,True,nginx,,True,,,,,
api.sporza.be,503 Backend fetch failed,503,285,AS16509,AMAZON-02,US,18.66.132.0/24,api.sporza.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=api.sporza.be,api.sporza.be,sport-public-api-prod-prod-eu-west-1.prod.a51.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,de208a5fce0e504b3c20f243d8810844,bc157b7d87f707dfe159bba8b4896533ff03196bc6a734ee953cdb156c46cc1d,ctls,api.sporza.be,cloudfront,443,https://api.sporza.be:443,https,text/html,GET,18.66.122.81,/,-1617583579,18.66.122.67,Varnish:6.1,15,False,True,Varnish,,,,,,,
app.radio2.be,We sturen je door om de app te downloaden... | radio2,200,85301,AS0,Not routed,None,13.32.100.0/23,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,cloudfront,443,https://app.radio2.be:443,https,text/html,GET,13.32.99.106,/,,2600:9000:2251:2400:1:f68a:400:93a1,webpack,1,False,True,nginx/1.22.0,https://radio2.be/app,,,,,,
asperagateway.vrt.be,,404,45,AS49046,VRT-AS,BE,95.130.40.0/21,asperagateway.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-04T00:00:00Z,2024-01-04T23:59:59Z,"CN=asperagateway.vrt.be, O=VRT, ST=Brussels Hoofdstedelijk Gewest, C=BE",asperagateway.vrt.be,asperagateway.vrt.be,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,94608653688718e0c9f8f235a0b516d6,5e6dce13371437e02e7b81e74fbf24da8adfa05326f2b5d3f11985e6921f3218,ctls,asperagateway.vrt.be,,443,https://asperagateway.vrt.be:443,https,application/json,GET,95.130.41.104,/,-944104569,95.130.41.104,,1,False,,,,,,VRT,,,
atlas.vrt.be,VRT Dashboard,200,1600,AS16509,AS16509,Unknown,63.32.0.0/14,atlas.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-03-21T09:00:58Z,2023-06-19T09:00:57Z,CN=atlas.vrt.be,atlas.vrt.be,atlas.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1e31d67bf9ca01ea4b1439a62d9d7bcc,0cb33011b86db72b34985e521d9c7ffd095923bad07b85afb4b29336706077cb,ctls,atlas.vrt.be,,443,https://atlas.vrt.be:443,https,text/html,GET,63.33.148.147,/,566218143,63.33.148.147,Nginx,29,False,,nginx,,,,,,,
autodiscover.canvas.be,Sign in to Outlook,200,202035,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,80,http://autodiscover.canvas.be:80,http,text/html,GET,52.98.152.184,/,,2603:1026:c0d:c03::8,HSTS,174,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=aa3bd8af-1187-834e-2a2d-8b3035d1fe15&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=canvas.be&nonce=638193137488007884.74991a6a-350b-41d5-a9ee-04d26958e1fa&state=DctBDsIgEEBRsGfRHe0gA8wsGs8yLWNiopK0Fa9fFu_vvjXGDN2ls9BjcgrkOfiQkQggE-GYkdlLEhciLA59iU5Y1QGWe-JI6p9i-3ud6l-mx6by_syrfJvs46K3Vmb5HbW89rU23U4,,,Microsoft Corporation,,,
autodiscover.dewarmsteweek.be,Sign in to Outlook,200,201865,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,80,http://autodiscover.dewarmsteweek.be:80,http,text/html,GET,52.98.243.24,/,,2603:1026:c0d:82c::8,HSTS,173,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=62088f2d-44bd-6c1f-8553-fa55fdc1bdc5&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=dewarmsteweek.be&nonce=638193137484355299.3d240d20-b5b5-4e5a-92ab-2751d839dcd1&state=DcsxDsMgDEBRaO_SqSSAcYAh6llM7KFqIySShuuX4f3ta6XUfbgN2o6ouEByGRzEkAIg-pwnYB8se2sKFjRBkEz2VIyP6DhB5o2dHu9zrp3mVxP67itLp7Yfp3SRz1TkcfFKv7Py-9jqJe0P,,,Microsoft Corporation,,,
autodiscover.mnm.be,Sign in to Outlook,200,197923,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,80,http://autodiscover.mnm.be:80,http,text/html,GET,52.98.175.8,/,-1249852061,2603:1026:c0d:82f::8,HSTS,173,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=16851a9d-3874-3606-ce14-6b6799369d2e&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=mnm.be&nonce=638193137491243055.191eb9c6-a0ec-4bfa-a208-6787b6b35811&state=Dcs9DoMwDEDhpL1JB7ZAjPM7oJ7FDkaq1DQSLXD9Zvje9rRS6t7dOm17VAyYICNgdBlmh9b7ETII5xIMWSnG8UaGZptMiClyYPQJQPf3MbWLpucu9K5L_dSRZTjXhY5fW1_f0k7Z_w,,,Microsoft Corporation,,,
autodiscover.radio1.be,Sign in to Outlook,200,198204,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,80,http://autodiscover.radio1.be:80,http,text/html,GET,52.98.152.168,/,-1249852061,2603:1026:c0d:c1d::8,HSTS,174,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=cef3066f-f184-149a-8888-4ac91e4a0eff&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=radio1.be&nonce=638193137485467565.6267d8df-10cb-4e76-945d-aa12c9a18e36&state=DctBDoMgEEBRaM_S7lBHYAYWpmcZmWli0oYEW72-LN7ffWuMuXe3zk49htAnyB48hRQDUsQ44IwkSd4OprK6oIQuhyiOGeaSGZJ6tP19jPXk8dWUP9-lsWwVhlWfhyz8_1XZ9lIPbRc,,,Microsoft Corporation,,,
