new,host,a,cname,soa,status_code,txt,ns,aaaa,mx,ptr,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],17.openvpn.codex.egift.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],17.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],171006-auth.openvpn.sjc.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],18.4.0.announce.a1.webproxy.toggle.stg.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],18.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],19.openvpn.codex.egift.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],19.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],1912pike.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1912pike.starbucks-china.jklp.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1c.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1ctionposs.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1ectionposs.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],1erchant-app-docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1fault.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1gift.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1min.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],1p-docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],1t-api.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],1ux.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],2.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],20-www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],20.openvpn.codex.egift.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],20.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],2013-admin.dqr.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],20yrs.openvpn.stg.2013-admin.dqr.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],210zyxwvutsr.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],210zyxwvutsrqponmlkjihgfe.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],23.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],253aec.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3210zyxwvutsrqponml.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],3aec.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ant-fault.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3com.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],3iging.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],3lingwebappdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3nt-fault.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3pi.starbucks.com.cn,101.52.253.13,cn.3pi.starbucks.com.cn,,NOERROR,,,,,,,,,,
[x],3pi.stg.starbucks.com.cn,101.52.253.8,cn.3pi.stg.starbucks.com.cn,,NOERROR,,,,,,,,,,
[x],3pp.uat.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],3ppapi.openvpn.west.wx.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],3ppapi.starbucks.com.cn,101.52.253.178,cn.3ppapi.starbucks.com.cn,,NOERROR,,,,,,,,,,
[x],3ppapi.stg.starbucks.com.cn,101.52.253.8,cn.3ppapi.stg.starbucks.com.cn,,NOERROR,,,,,,,,,,
[x],3ppapi3.openvpn.west.wx.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ppapp-docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],3ppapp-gateway-stg.openvpn.la2.stg.admin.dqr.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ppapp-imrunt-admin-stationpos.openvpn.sjc.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],3ppapp.openvpn.sjc.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ppappdeline.openvpn.west.wx.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ppappdeliveploy.openvpn.west.wx.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3ppdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],3pph5.openvpn.west.wx.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],3pph5.starbucks.com.cn,"58.216.15.107, 58.216.15.235, 58.216.15.108, 58.216.15.236, 58.216.15.109, 58.216.15.237, 58.216.15.110, 58.216.15.238, 58.216.15.111, 58.216.15.239, 58.216.15.112, 58.216.15.240, 58.216.15.113, 58.216.15.241, 58.216.15.106, 58.216.15.234","3pph5.starbucks.com.cn.w.kunluncan.com, 3pph5.starbucks.com.cn.queniusa.com","vipns3.queniudns.net, root.queniusa.com",NOERROR,,,,,,,,,,
[x],3pph5.stg.starbucks.com.cn,"180.163.40.41, 180.163.40.34, 180.163.40.38, 180.163.40.37, 180.163.40.35, 180.163.40.36, 180.163.40.19","3pph5.stg.starbucks.com.cn.w.kunluncan.com, 3pph5.stg.starbucks.com.cn.queniusa.com","vipns3.queniudns.net, root.queniusa.com",NOERROR,,,,,,,,,,
[x],3r.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],4.openvpn.web.dqr-usw2.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],4.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],43210zyxwvutsrqponmlkj.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],4app-docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],4bappdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],4ent-api.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],4ft.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],5-mobile-adm.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],5.openvpn.rewards.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],5ionposs.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],5nc.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],5poss.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],5pt01.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],5r.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],6.openvpn.web.dqr-usw2.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],6.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],6543210zyxwvutsrqpon.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],6ctionposs.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],6le-adm.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],6m.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],6wel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],7.openvpn.codex.egift.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],7.openvpn.stg.bomgar-invoice.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],7.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],76543210zyxwvutsrqponmlk.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7appdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7bappdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],7dm.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7i.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7iging.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7lcent-api.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],7pdata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],7upons.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],8ailweb.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],8ata.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],8ayment-fault.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],8ewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],9-app-docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],9.openvpn.f-stg.invoice.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],9.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],9876543210.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],9876543210zyxw.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],9bcoupons.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],9docviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],9wel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],a.dt.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],a.mx.a.starbucks.com,173.213.0.99,,"a.ns.a.starbucks.com, hostmaster.a.starbucks.com",NOERROR,,,,,,,,,,
[x],a.mx.b.e.starbucks.co.uk,63.232.57.254,,"a.ns.e.starbucks.co.uk, hostmaster.e.starbucks.co.uk",NOERROR,,,,,,,,,,
[x],a.mx.e.stories.starbucks.com,173.213.0.99,,"a.ns.e.stories.starbucks.com, hostmaster.e.stories.starbucks.com",NOERROR,,,,,,,,,,
