new,host,a,cname,soa,caa,status_code,txt,aaaa,ns,cdn,cdn-name,mx,has_internal_ips,internal_ips
,mollie.com,34.111.71.221,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","globalsign.com, digicert.com, mailto:security@mollie.com, comodoca.com, letsencrypt.org, ;",NOERROR,"docker-verification=be34279c-85d7-4673-9750-c256e923396f, v=spf1 ip4:81.93.166.36/31 include:_spf.ses.mollie.com include:_spf.google.com include:mail.zendesk.com ~all, marketing-cloud=SFMC-fr7sZUEq9Oe-GFbRXc5dr92hZv6BnvkUfE82-n4d, facebook-domain-verification=stc7mgdejvo0n3wodfxlzjtbx9rejl, docusign=ed21ba74-b9ba-4227-ad85-cfb18cb1b336, google-site-verification=YI1XhqSOrKf_Pbt1kn92EAUAnm4NEsa32ffRwCdetRE, atlassian-domain-verification=YtEfelC1r3jpY1Fgm+X+JHik3soTZgNbU6ixW/1fZvGwisa38VNcp3cvW0WsYPPj, mixpanel-domain-verify=96ac912b-fe68-4670-9ed8-4abbfa7f4ce5, apple-domain-verification=P6t7ibCD57Ks8ySP, 1password-site-verification=VICI5I5G3ZFNHNZUMTFUOE7DXQ, pinterest-site-verification=fe7b5c9a049f83497c3533f769c78c30, google-site-verification=I3p5mTUmo64TgrFkQkFAH0eFxntdrQlRN7Nqz9plxSE",,"ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",True,google,"alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, aspmx.l.google.com, alt2.aspmx.l.google.com",,
,my.mollie.com,34.111.71.221,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,partners.mollie.com,"34.208.138.94, 44.240.33.19",cd2.allbound.com,"ns-1520.awsdns-62.org, awsdns-hostmaster.amazon.com","amazon.com, amazontrust.com, amazonaws.com, awstrust.com",NOERROR,,,,,,,,
,paymentlink.mollie.com,34.117.139.175,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","sectigo.com, pki.goog, letsencrypt.org, ;",NOERROR,,,"ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com",True,google,,,
,plink.mollie.com,35.201.114.21,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com",True,google,,,
,preview.tagmanager.mollie.com,35.244.236.168,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,status.mollie.com,52.215.192.131,pbmgmjbdbglp.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com","letsencrypt.org, globalsign.com;",NOERROR,,,,,,,,
,suppliers.mollie.com,34.111.71.221,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,tagmanager.mollie.com,"35.244.236.168, 216.239.32.109, 216.239.34.109, 216.239.36.109, 216.239.38.109",,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,"2001:4860:4802:32::6d, 2001:4860:4802:34::6d, 2001:4860:4802:36::6d, 2001:4860:4802:38::6d","ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com",True,google,,,
,view.email.mollie.com,159.92.144.32,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,
,website.mollie.com,34.110.164.163,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com",True,google,,,
,www.beta.mollie.com,34.111.71.221,mollie.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","mailto:security@mollie.com, comodoca.com, digicert.com, globalsign.com, letsencrypt.org, ;",NOERROR,"apple-domain-verification=P6t7ibCD57Ks8ySP, docusign=ed21ba74-b9ba-4227-ad85-cfb18cb1b336, 1password-site-verification=VICI5I5G3ZFNHNZUMTFUOE7DXQ, docker-verification=be34279c-85d7-4673-9750-c256e923396f, facebook-domain-verification=stc7mgdejvo0n3wodfxlzjtbx9rejl, mixpanel-domain-verify=96ac912b-fe68-4670-9ed8-4abbfa7f4ce5, pinterest-site-verification=fe7b5c9a049f83497c3533f769c78c30, marketing-cloud=SFMC-fr7sZUEq9Oe-GFbRXc5dr92hZv6BnvkUfE82-n4d, google-site-verification=I3p5mTUmo64TgrFkQkFAH0eFxntdrQlRN7Nqz9plxSE, google-site-verification=YI1XhqSOrKf_Pbt1kn92EAUAnm4NEsa32ffRwCdetRE, atlassian-domain-verification=YtEfelC1r3jpY1Fgm+X+JHik3soTZgNbU6ixW/1fZvGwisa38VNcp3cvW0WsYPPj, v=spf1 ip4:81.93.166.36/31 include:_spf.ses.mollie.com include:_spf.google.com include:mail.zendesk.com ~all",,"ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",True,google,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",,
,www.mollie.com,34.111.71.221,mollie.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","digicert.com, globalsign.com, letsencrypt.org, mailto:security@mollie.com, comodoca.com, ;",NOERROR,"apple-domain-verification=P6t7ibCD57Ks8ySP, marketing-cloud=SFMC-fr7sZUEq9Oe-GFbRXc5dr92hZv6BnvkUfE82-n4d, facebook-domain-verification=stc7mgdejvo0n3wodfxlzjtbx9rejl, mixpanel-domain-verify=96ac912b-fe68-4670-9ed8-4abbfa7f4ce5, v=spf1 ip4:81.93.166.36/31 include:_spf.ses.mollie.com include:_spf.google.com include:mail.zendesk.com ~all, docker-verification=be34279c-85d7-4673-9750-c256e923396f, docusign=ed21ba74-b9ba-4227-ad85-cfb18cb1b336, atlassian-domain-verification=YtEfelC1r3jpY1Fgm+X+JHik3soTZgNbU6ixW/1fZvGwisa38VNcp3cvW0WsYPPj, pinterest-site-verification=fe7b5c9a049f83497c3533f769c78c30, 1password-site-verification=VICI5I5G3ZFNHNZUMTFUOE7DXQ, google-site-verification=YI1XhqSOrKf_Pbt1kn92EAUAnm4NEsa32ffRwCdetRE, google-site-verification=I3p5mTUmo64TgrFkQkFAH0eFxntdrQlRN7Nqz9plxSE",,"ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com",True,google,"alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com",,
,zendesk1.mollie.com,"162.159.128.7, 162.159.138.6",mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,,,True,cloudflare,mail.zendesk.com,,
,zendesk4.mollie.com,"162.159.138.6, 162.159.128.7",mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,v=spf1 include:_netblocks.zdsys.com ~all,,,True,cloudflare,mail.zendesk.com,,
