new,host,a,aaaa,soa,status_code,cname,mx,txt,caa,cdn,cdn-name,ns
[x],66-220-157-94.survey.sidn.nl,"18.244.140.70, 18.244.140.36, 18.244.140.68, 18.244.140.119","2600:9000:2551:fa00:19:1a16:9840:93a1, 2600:9000:2551:d600:19:1a16:9840:93a1, 2600:9000:2551:b800:19:1a16:9840:93a1, 2600:9000:2551:f000:19:1a16:9840:93a1, 2600:9000:2551:9c00:19:1a16:9840:93a1, 2600:9000:2551:1c00:19:1a16:9840:93a1, 2600:9000:2551:8a00:19:1a16:9840:93a1, 2600:9000:2551:5600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],7wkft.survey.sidn.nl,"13.32.121.101, 13.32.121.91, 13.32.121.42, 13.32.121.90","2600:9000:2240:600:19:1a16:9840:93a1, 2600:9000:2240:5e00:19:1a16:9840:93a1, 2600:9000:236e:ae00:19:1a16:9840:93a1, 2600:9000:236e:5e00:19:1a16:9840:93a1, 2600:9000:236e:2e00:19:1a16:9840:93a1, 2600:9000:236e:600:19:1a16:9840:93a1, 2600:9000:236e:7e00:19:1a16:9840:93a1, 2600:9000:236e:3e00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk"
[x],a-96-119-225-91.survey.sidn.nl,"13.226.153.22, 13.226.153.49, 13.226.153.30, 13.226.153.70","2600:9000:2182:7c00:19:1a16:9840:93a1, 2600:9000:2182:fc00:19:1a16:9840:93a1, 2600:9000:2182:4400:19:1a16:9840:93a1, 2600:9000:2182:c000:19:1a16:9840:93a1, 2600:9000:2182:c600:19:1a16:9840:93a1, 2600:9000:2182:3600:19:1a16:9840:93a1, 2600:9000:2182:dc00:19:1a16:9840:93a1, 2600:9000:2182:4800:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],aaa1-1-a-gci.survey.sidn.nl,"13.32.121.90, 13.32.121.101, 13.32.121.42, 13.32.121.91","2600:9000:2240:b800:19:1a16:9840:93a1, 2600:9000:236e:a600:19:1a16:9840:93a1, 2600:9000:2240:6000:19:1a16:9840:93a1, 2600:9000:2240:800:19:1a16:9840:93a1, 2600:9000:2240:7e00:19:1a16:9840:93a1, 2600:9000:2240:6e00:19:1a16:9840:93a1, 2600:9000:236e:bc00:19:1a16:9840:93a1, 2600:9000:2240:7c00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],abot-cl1-expe.survey.sidn.nl,"13.32.121.101, 13.32.121.90, 13.32.121.91, 13.32.121.42","2600:9000:2240:c400:19:1a16:9840:93a1, 2600:9000:236e:f000:19:1a16:9840:93a1, 2600:9000:236e:aa00:19:1a16:9840:93a1, 2600:9000:2240:f400:19:1a16:9840:93a1, 2600:9000:236e:1000:19:1a16:9840:93a1, 2600:9000:236e:f800:19:1a16:9840:93a1, 2600:9000:2240:e800:19:1a16:9840:93a1, 2600:9000:2240:f800:19:1a16:9840:93a1",,NOERROR,sidn2.customdomain.chkmkt.com,,,amazonaws.com,True,cloudfront,
[x],academy.sidn.nl,"34.252.78.54, 52.49.215.203","2a05:d018:2a8:2802:f0dc:f604:63e4:e6cf, 2a05:d018:2a8:2801:2d83:3cdb:362f:ee69","ns-962.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"sidn-academy.anewspring.nl, aws-ssl-04.anewspring.nl, aws-p-lb-nl-04.anewspring.nl",,,,,,
[x],acbis.survey.sidn.nl,"13.32.121.90, 13.32.121.101, 13.32.121.42, 13.32.121.91","2600:9000:2240:1600:19:1a16:9840:93a1, 2600:9000:2240:5800:19:1a16:9840:93a1, 2600:9000:2240:400:19:1a16:9840:93a1, 2600:9000:236e:9600:19:1a16:9840:93a1, 2600:9000:2240:7e00:19:1a16:9840:93a1, 2600:9000:236e:a600:19:1a16:9840:93a1, 2600:9000:2240:e000:19:1a16:9840:93a1, 2600:9000:2240:3c00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,"ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net"
[x],acc-fms6.survey.sidn.nl,"13.32.121.90, 13.32.121.91, 13.32.121.101, 13.32.121.42","2600:9000:236e:be00:19:1a16:9840:93a1, 2600:9000:2240:1800:19:1a16:9840:93a1, 2600:9000:2240:2e00:19:1a16:9840:93a1, 2600:9000:2240:4a00:19:1a16:9840:93a1, 2600:9000:2240:7a00:19:1a16:9840:93a1, 2600:9000:2240:7c00:19:1a16:9840:93a1, 2600:9000:236e:1e00:19:1a16:9840:93a1, 2600:9000:236e:2400:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],accept-gateway.survey.sidn.nl,"143.204.231.34, 143.204.231.72, 143.204.231.121, 143.204.231.39","2600:9000:2113:4400:19:1a16:9840:93a1, 2600:9000:2113:cc00:19:1a16:9840:93a1, 2600:9000:2113:6e00:19:1a16:9840:93a1, 2600:9000:2113:f200:19:1a16:9840:93a1, 2600:9000:2113:5c00:19:1a16:9840:93a1, 2600:9000:2113:1200:19:1a16:9840:93a1, 2600:9000:2113:dc00:19:1a16:9840:93a1, 2600:9000:2113:ba00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],accessdullstupid.survey.sidn.nl,"13.227.219.66, 13.227.219.110, 13.227.219.48, 13.227.219.23","2600:9000:21c7:9600:19:1a16:9840:93a1, 2600:9000:21c7:e400:19:1a16:9840:93a1, 2600:9000:21c7:ee00:19:1a16:9840:93a1, 2600:9000:21c7:3800:19:1a16:9840:93a1, 2600:9000:21c7:b400:19:1a16:9840:93a1, 2600:9000:21c7:1200:19:1a16:9840:93a1, 2600:9000:21c7:9200:19:1a16:9840:93a1, 2600:9000:21c7:1800:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],accessfms5.survey.sidn.nl,"13.227.219.48, 13.227.219.110, 13.227.219.23, 13.227.219.66","2600:9000:21c7:c600:19:1a16:9840:93a1, 2600:9000:21c7:ae00:19:1a16:9840:93a1, 2600:9000:21c7:6400:19:1a16:9840:93a1, 2600:9000:21c7:8800:19:1a16:9840:93a1, 2600:9000:21c7:6200:19:1a16:9840:93a1, 2600:9000:21c7:7a00:19:1a16:9840:93a1, 2600:9000:21c7:c00:19:1a16:9840:93a1, 2600:9000:21c7:b000:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],admin-wwwexamplesbackup-meet-git.survey.sidn.nl,"13.32.121.101, 13.32.121.91, 13.32.121.42, 13.32.121.90","2600:9000:2240:e600:19:1a16:9840:93a1, 2600:9000:2240:200:19:1a16:9840:93a1, 2600:9000:2240:5a00:19:1a16:9840:93a1, 2600:9000:2240:2200:19:1a16:9840:93a1, 2600:9000:2240:6400:19:1a16:9840:93a1, 2600:9000:236e:7200:19:1a16:9840:93a1, 2600:9000:2240:8200:19:1a16:9840:93a1, 2600:9000:236e:5a00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],ae0.915.arn2-rtr1.sidn.nl,185.76.132.250,,"ns4.sidn.nl, hostmaster.sidn.nl",NOERROR,,,,,,,
[x],ae0.915.ede1-rtr1.sidn.nl,185.76.132.251,,"ns4.sidn.nl, hostmaster.sidn.nl",NOERROR,,,,,,,
[x],airflow-food.survey.sidn.nl,"13.32.121.101, 13.32.121.91, 13.32.121.42, 13.32.121.90","2600:9000:2240:a400:19:1a16:9840:93a1, 2600:9000:236e:2200:19:1a16:9840:93a1, 2600:9000:2240:c800:19:1a16:9840:93a1, 2600:9000:236e:9e00:19:1a16:9840:93a1, 2600:9000:236e:3600:19:1a16:9840:93a1, 2600:9000:2240:4400:19:1a16:9840:93a1, 2600:9000:2240:6a00:19:1a16:9840:93a1, 2600:9000:2240:200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],aldo-olvera-perez.survey.sidn.nl,"13.226.153.30, 13.226.153.70, 13.226.153.22, 13.226.153.49","2600:9000:2182:7600:19:1a16:9840:93a1, 2600:9000:2182:dc00:19:1a16:9840:93a1, 2600:9000:2182:d400:19:1a16:9840:93a1, 2600:9000:2182:3400:19:1a16:9840:93a1, 2600:9000:2182:8800:19:1a16:9840:93a1, 2600:9000:2182:4e00:19:1a16:9840:93a1, 2600:9000:2182:c600:19:1a16:9840:93a1, 2600:9000:2182:e000:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],alpha-p.survey.sidn.nl,"13.32.121.42, 13.32.121.91, 13.32.121.90, 13.32.121.101","2600:9000:2240:3400:19:1a16:9840:93a1, 2600:9000:236e:ea00:19:1a16:9840:93a1, 2600:9000:2240:2400:19:1a16:9840:93a1, 2600:9000:236e:6600:19:1a16:9840:93a1, 2600:9000:236e:bc00:19:1a16:9840:93a1, 2600:9000:2240:ac00:19:1a16:9840:93a1, 2600:9000:2240:6a00:19:1a16:9840:93a1, 2600:9000:236e:e00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],alphamy-external-domain.survey.sidn.nl,"18.244.102.7, 18.244.102.68, 18.244.102.9, 18.244.102.114","2600:9000:26df:3c00:19:1a16:9840:93a1, 2600:9000:26df:a600:19:1a16:9840:93a1, 2600:9000:26df:1e00:19:1a16:9840:93a1, 2600:9000:26df:3400:19:1a16:9840:93a1, 2600:9000:26df:fc00:19:1a16:9840:93a1, 2600:9000:26df:ce00:19:1a16:9840:93a1, 2600:9000:26df:5400:19:1a16:9840:93a1, 2600:9000:26df:2800:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],amarok.survey.sidn.nl,"13.32.121.42, 13.32.121.101, 13.32.121.91, 13.32.121.90",,,NOERROR,sidn2.customdomain.chkmkt.com,,,amazonaws.com,True,cloudfront,
[x],amp-mt-ingestion-service.survey.sidn.nl,"13.32.121.42, 13.32.121.90, 13.32.121.101, 13.32.121.91","2600:9000:236e:2200:19:1a16:9840:93a1, 2600:9000:236e:9a00:19:1a16:9840:93a1, 2600:9000:2240:4c00:19:1a16:9840:93a1, 2600:9000:236e:9c00:19:1a16:9840:93a1, 2600:9000:2240:c800:19:1a16:9840:93a1, 2600:9000:2240:ca00:19:1a16:9840:93a1, 2600:9000:236e:d800:19:1a16:9840:93a1, 2600:9000:236e:e600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org"
[x],apg-130-114-165-50.survey.sidn.nl,"52.85.151.75, 52.85.151.113, 52.85.151.22, 52.85.151.94","2600:9000:201e:9a00:19:1a16:9840:93a1, 2600:9000:201e:2400:19:1a16:9840:93a1, 2600:9000:201e:8e00:19:1a16:9840:93a1, 2600:9000:201e:ba00:19:1a16:9840:93a1, 2600:9000:201e:8200:19:1a16:9840:93a1, 2600:9000:201e:9600:19:1a16:9840:93a1, 2600:9000:201e:c800:19:1a16:9840:93a1, 2600:9000:201e:ee00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,
