new,host,a,cname,soa,status_code,cdn,cdn-name,ns,txt,aaaa,mx,has_internal_ips,internal_ips,caa
[x],abs.twimg.com,152.199.21.141,cs510.wpc.edgecastcdn.net,"ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,,,,,2606:2800:233:8173:898f:63b3:95c3:79d2,,,,
[x],ac.twitter.com,"104.244.42.195, 104.244.42.3, 104.244.42.131, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],acmaredcarpet.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],acmawards.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],admedia.twimg.com,,d1adnxorz3apul.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],admin-test.mpx.mopub.com,199.16.156.9,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],admin.mpx.mopub.com,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],admin.periscope.tv,"52.39.204.68, 54.188.150.247, 35.165.80.157",,"ns-599.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin.vine.co,"54.71.247.33, 44.241.146.129",,"ns-2008.awsdns-59.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ads-api-sandbox.twitter.com,104.244.42.3,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ads-beta.twitter.com,"104.244.42.3, 104.244.42.131, 104.244.42.195, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api-sandbox.twitter.com,"104.244.42.131, 104.244.42.3, 104.244.42.67, 104.244.42.195",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,,,,
[x],ads-bidder-api-sandbox4.twitter.com,"199.16.156.200, 199.16.156.9, 199.16.156.232, 199.16.156.73, 199.16.156.41, 199.16.156.105",,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api-sandbox5.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.131, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api-sandbox6.twitter.com,"104.244.42.3, 104.244.42.67, 104.244.42.195, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api-sandbox7.twitter.com,"104.244.42.67, 104.244.42.3, 104.244.42.195, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api-sandbox8.twitter.com,104.244.42.195,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ads-bidder-api.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ads-dev.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.131, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],ads-staging.mopub.com,"192.48.236.9, 192.48.236.10, 192.48.236.11, 192.48.236.12",s2.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],ads-staging.twitter.com,"104.244.42.67, 104.244.42.195, 104.244.42.131, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],ads.mopub.com,34.111.158.155,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],adserver.mopub.com,34.111.158.155,ads.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],advertising.twitter.com,"104.244.42.195, 104.244.42.131, 104.244.42.3, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],aem-author-application.twitter.com,"104.244.42.195, 104.244.42.131, 104.244.42.3, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],aem-author-dev.twitter.com,104.244.42.195,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],aem-author-production.twitter.com,"104.244.42.67, 104.244.42.195, 104.244.42.3, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],aem-author-staging.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],aem-demo-dev.twitter.com,"104.244.42.67, 104.244.42.195, 104.244.42.131, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],aem-demo-staging.twitter.com,"104.244.42.67, 104.244.42.195, 104.244.42.131, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],aem-demo.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],afl.twitter.com,104.244.42.3,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],altmx.twitter.com,199.59.148.216,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],amp-eb.twimg.com,146.75.120.159,"wildcard.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],amp-o.twimg.com,"104.244.42.201, 104.244.42.137, 104.244.42.9, 104.244.42.73",,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],amp-staging.twimg.com,151.101.176.159,twimg.twitter.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],amp-zero.twimg.com,104.244.43.163,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],amp.twimg.com,199.232.36.159,twimg.twitter.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],amp2.twimg.com,146.75.120.159,twimg.twitter.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],amplify.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],analytics.mopub.com,"192.48.236.10, 192.48.236.12, 192.48.236.11, 192.48.236.9",s2.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],analyticsbeta.twitter.com,"104.244.42.131, 104.244.42.3, 104.244.42.67, 104.244.42.195",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],anywhere.twitter.com,104.244.42.195,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-1.twitter.com,209.237.202.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,,,,
[x],api-0-4-2.twitter.com,209.237.197.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-3.twitter.com,209.237.198.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-5.twitter.com,209.237.203.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-6.twitter.com,209.237.200.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-7.twitter.com,209.237.201.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-0-4-8.twitter.com,209.237.204.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-20-0-0.twitter.com,69.195.186.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-21-0-0.twitter.com,69.195.166.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-22-0-0.twitter.com,69.195.167.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-25-0-0.twitter.com,199.59.148.54,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-0-1.twitter.com,,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-4-1.twitter.com,69.195.187.130,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-4-3.twitter.com,69.195.187.132,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-5-1.twitter.com,69.195.187.133,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-5-2.twitter.com,69.195.187.134,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,,,,
[x],api-26-0-0-26-6-2.twitter.com,69.195.187.136,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-6-3.twitter.com,69.195.187.137,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-26-6-4.twitter.com,69.195.187.138,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-c.twitter.com,69.195.187.128,api-26-0-0.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0-o.twitter.com,69.195.187.129,api-26-0-0-26-0-1.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-26-0-0.twitter.com,69.195.187.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-26-5-2-26-6-1.twitter.com,209.237.209.135,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-29-0-0.twitter.com,69.195.161.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-30-0-0.twitter.com,69.195.180.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-31-0-0.twitter.com,69.195.183.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-4-1.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-4-2.twitter.com,69.195.184.131,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-4-3.twitter.com,69.195.184.132,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,"a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net, b.r06.twtrdns.net, c.r06.twtrdns.net, a.r06.twtrdns.net, d.r06.twtrdns.net",,,,,,
[x],api-32-0-0-32-5-1.twitter.com,69.195.184.133,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-5-2.twitter.com,69.195.184.134,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-5-3.twitter.com,69.195.184.135,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-6-1.twitter.com,69.195.184.136,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-32-6-3.twitter.com,69.195.184.138,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-c.twitter.com,69.195.184.128,api-32-0-0.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-32-0-0-o.twitter.com,69.195.184.129,api-32-0-0-32-0-1.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-33-0-0.twitter.com,69.195.176.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-34-0-0.twitter.com,69.195.178.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-35-0-0.twitter.com,69.195.164.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-36-0-0.twitter.com,69.195.174.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-37-0-0.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-39-0-0-39-4-2.twitter.com,69.195.175.131,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-39-0-0-39-4-3.twitter.com,69.195.175.132,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-39-0-0-o.twitter.com,69.195.175.129,api-39-0-0-39-0-1.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-39-0-0.twitter.com,69.195.175.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-39-4-2-39-0-0.twitter.com,209.237.222.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,"a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net, b.r06.twtrdns.net, c.r06.twtrdns.net, a.r06.twtrdns.net, d.r06.twtrdns.net",,,,,,
[x],api-39-4-2-39-4-3.twitter.com,209.237.222.132,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-39-4-3-39-4-2.twitter.com,209.237.203.131,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-39-4-4-39-4-2.twitter.com,209.237.204.131,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-39-4-4-39-4-3.twitter.com,209.237.204.132,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-39-4-4-39-4-4.twitter.com,209.237.204.133,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-40-0-0.twitter.com,69.195.181.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-0-0-41-0-1.twitter.com,69.195.171.129,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-0-0-41-4-1.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-0-0-41-6-3.twitter.com,69.195.171.137,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-0-0-41-6-5.twitter.com,69.195.171.139,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,,,,
[x],api-41-0-0-c.twitter.com,69.195.171.128,api-41-0-0.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-0-0-o.twitter.com,69.195.171.129,api-41-0-0-41-0-1.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-1-41-0-0.twitter.com,209.237.216.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-1-41-4-2.twitter.com,209.237.216.133,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-1-41-5-1.twitter.com,209.237.216.130,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-2-41-0-0.twitter.com,209.237.217.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-2-41-6-5.twitter.com,209.237.217.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-2-41-6-6.twitter.com,209.237.217.140,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-3-41-5-2.twitter.com,209.237.218.131,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-3-41-6-5.twitter.com,209.237.218.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-4-3-41-6-6.twitter.com,209.237.218.140,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-5-1-41-6-4.twitter.com,209.237.214.138,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,"a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net, b.r06.twtrdns.net, c.r06.twtrdns.net, a.r06.twtrdns.net, d.r06.twtrdns.net",,,,,,
[x],api-41-5-1-41-6-5.twitter.com,209.237.214.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-5-1-41-6-7.twitter.com,209.237.214.141,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-5-2-41-6-1.twitter.com,209.237.215.135,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-5-2-41-6-7.twitter.com,209.237.215.141,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-6-0-41-0-0.twitter.com,209.237.213.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-6-0-41-4-1.twitter.com,209.237.213.132,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-41-6-0-41-4-3.twitter.com,209.237.213.134,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,,,,
[x],api-41-6-0-41-6-5.twitter.com,209.237.213.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-41-9-0.twitter.com,69.195.171.250,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-43-0-0.twitter.com,69.195.177.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-44-0-0.twitter.com,69.195.165.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-45-0-0.twitter.com,69.195.168.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-47-0-0.twitter.com,69.195.170.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],api-c.twitter.com,,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
