new,host,a,cname,soa,has_internal_ips,internal_ips,status_code,txt,cdn,cdn-name,aaaa,ns,mx,caa
[x],00-ebayassets.glg.okta.combeta.host.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.combeta.monitor.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.combeta.web.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.corp.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.home.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.upload.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.v2.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.ssl.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],000-996.okta.enq.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],000.community-api.udacity.com.cdnww.stamp.antivirus.frontend.office.prod.clops.pyszne.pl,"10.111.16.153, 10.111.18.77, 10.111.17.86",,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",True,"10.111.16.153, 10.111.18.77, 10.111.17.86",NOERROR,"heritage=external-dns,external-dns/owner=eks-cluster-prod,external-dns/resource=ingress/istio-system/default-office",,,,,,
[x],00000-okta-alphapayavira-free-antivirus.ar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00000-okta-idp-assetsuction-town-proxyar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00000-okta-idp-luftrettung.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00000-okta-idp-marina-ns9410admins3paladinsjptesting-ar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00000-okta-idp-metricsavira-free-antivirus.ar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00000-okta-idp-support-api-administrator.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],005prokom-0-8732a064.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],005prokom-0-ebayassets.glg.okta.comw3.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],005prokom-0-net.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],0068-b76d0949-local.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],007243.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],007prokom-0-ebayassets.glg.okta.combeta.cdn.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],007prokom-0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],007prokom-0-ebayassets.glg.okta.linux.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],0092-www-antivirus.stamp.frontend.office.prod.clops.pyszne.pl,"10.111.18.77, 10.111.17.86, 10.111.16.153",,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",True,"10.111.18.77, 10.111.17.86, 10.111.16.153",NOERROR,"heritage=external-dns,external-dns/owner=eks-cluster-prod,external-dns/resource=ingress/istio-system/default-office",,,,,,
[x],019zyx8-okta.assets.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],02-express-nano.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],027prokom-0-ebayassets.glg.okta.combeta.dem0-021146-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],0288uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],02v0-okta-sso.stagingstaging-grpc.sectools.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],02v0-okta-staging-asana.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new-applications.dev.staging.eat.ch,,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new-authentication.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new-global.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new.dev.staging.eat.ch,,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new.sni148111.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-new.webdisk.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging-origin-api-newredir.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.berlin-gateway.dev.staging.eat.ch,,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],02v0-okta-staging.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com",,True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.frontpagegateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.gateway.superbuy.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.gatewayci.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.gatewayhw.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.gatewaylefornacijump.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,"ns-1222.awsdns-24.org, ns-1952.awsdns-52.co.uk, ns-360.awsdns-45.com, ns-546.awsdns-04.net",,
[x],02v0-okta-staging.git-gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.global.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.machine-gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.oid-gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-staging.payment-gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingabmail.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingapps.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingauthorization.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingkube.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingmanage.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingmanagement.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingsistemas.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingstaging.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingsubfolder.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcat-appleid.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcat-azure.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcat-fotografi.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcat-github.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcat.dev.staging.eat.ch,,dev.staging.takeaway.com,,,,NOERROR,,,,,,,
[x],02v0-okta-stagingtomcatasana.dev.staging.eat.ch,,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],02v0-okta-stagingtv.gateway.dev.staging.eat.ch,10.53.1.18,"dev.staging.takeaway.com, test.staging.takeaway.com","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.53.1.18,NOERROR,,,,,,,
[x],08ex01.ivemsamxl.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],0api.glg.okta.combeta.demoemployee-specialsurv.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],1-okta-network-metrics-ametricc.guard-w3.test.thuisbezorgd.nl,,test.thuisbezorgd.nl.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],10.comelm-okta-idp.admin.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],100prqwqwqwww.avira-free-antivirusstamp.frontend.office.prod.clops.pyszne.pl,"10.111.18.77, 10.111.16.153, 10.111.17.86",,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",True,"10.111.18.77, 10.111.16.153, 10.111.17.86",NOERROR,"heritage=external-dns,external-dns/owner=eks-cluster-prod,external-dns/resource=ingress/istio-system/default-office",,,,,,
[x],1012.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],104uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],10b.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],10bis.co.il,"13.107.253.45, 13.107.226.45",,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",,,NOERROR,,,,,"ns3-08.azure-dns.org, ns4-08.azure-dns.info, ns1-08.azure-dns.com, ns2-08.azure-dns.net","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com",
[x],1133.uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],12.lieferando.at,"104.16.21.46, 104.16.22.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],121018.lieferando.at,"104.16.21.46, 104.16.22.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],12covidien.lieferando.at,"104.16.21.46, 104.16.22.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],13.na.nginx-okta.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],140.uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],1415.uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],15.uncover.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],152.7.lieferando.at,"104.16.22.46, 104.16.21.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],1528.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],15uncover.staging.lieferando.de,10.201.24.151,staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.151,NOERROR,,,,,,,
[x],16-49b1d41c.lieferando.at,"104.16.21.46, 104.16.22.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],16-hsh-1054.dev.lieferando.de,,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],16-uncover.staging.lieferando.de,10.201.24.151,staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.151,NOERROR,,,,,,,
[x],16.dev.lieferando.de,10.53.1.50,"dev.lieferando.de, dev.kantoor.grib.nl","erin.ns.cloudflare.com, dns.cloudflare.com",True,10.53.1.50,NOERROR,,,,,,,
[x],16.lieferando.at,"104.16.21.46, 104.16.22.46","www.lieferando.at, www.lieferando.at.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
