input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,csp_domains_,final_url,tls_expired
00-ebayassets.glg.okta.home.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,00-ebayassets.glg.okta.home.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:09:22Z,2024-03-28T05:09:22Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c4d2f63c81a4d4dc182db9820aed55f3,13e706dbebeb8af23f1b9dd74b8daa85e3ff6d87fe3d6baa7a5e15858e1069e6,ctls,00-ebayassets.glg.okta.home.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.glg.okta.home.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
00-ebayassets.glg.okta.upload.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,146,00-ebayassets.glg.okta.upload.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:21:45Z,2024-03-28T05:21:45Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,0667b6817bd1f32a625e3903195e209d,5471551268d212cc1548922360858ecb48c5c85f8baee9910cbfd33f94303e10,ctls,00-ebayassets.glg.okta.upload.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.glg.okta.upload.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.glg.okta.v2.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,146,00-ebayassets.glg.okta.v2.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:21:45Z,2024-03-28T05:21:45Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,0667b6817bd1f32a625e3903195e209d,5471551268d212cc1548922360858ecb48c5c85f8baee9910cbfd33f94303e10,ctls,00-ebayassets.glg.okta.v2.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.glg.okta.v2.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.ssl.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,00-ebayassets.ssl.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T03:23:33Z,2024-04-18T03:23:33Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,8562cf55440d70b7417bcb73303a6527,4837197819a8f56cc5b211d0afb5c9aa2790f3c8eda26c312002d1dbc3657b56,ctls,00-ebayassets.ssl.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.ssl.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
000-996.okta.enq.takeawayriders.com,404 Not Found,404,146,000-996.okta.enq.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:29:00Z,2024-04-10T04:29:00Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9f6a8b0e75e4563166539d1c7e88ad3b,0559152fd7d2006bb7f71a2674d15ad928dcd6f0876042064c8e1585982c400d,ctls,000-996.okta.enq.takeawayriders.com,443,https://000-996.okta.enq.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
005prokom-0-8732a064.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,005prokom-0-8732a064.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:44:04Z,2024-04-10T04:44:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f3f379f3c31e4ae83eab908593b6dc9b,22c03004f3482be8fa9e82673cbb50d15e0a8b6fef4c52c46d01405746849052,ctls,005prokom-0-8732a064.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://005prokom-0-8732a064.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
005prokom-0-ebayassets.glg.okta.comw3.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,146,005prokom-0-ebayassets.glg.okta.comw3.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T05:39:27Z,2024-04-18T05:39:27Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3a7dd7c0424d3b5036d1f7395f45751d,c6fcad3cb76afab2956691b1de7fe1482870314954eeab4ef8b14a186560ac21,ctls,005prokom-0-ebayassets.glg.okta.comw3.demoemployee-specialsurvey.takeawayriders.com,443,https://005prokom-0-ebayassets.glg.okta.comw3.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
005prokom-0-net.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,005prokom-0-net.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:21:45Z,2024-03-28T05:21:45Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,0667b6817bd1f32a625e3903195e209d,5471551268d212cc1548922360858ecb48c5c85f8baee9910cbfd33f94303e10,ctls,005prokom-0-net.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://005prokom-0-net.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
0068-b76d0949-local.lieferando.at,Origin DNS error | 0068-b76d0949-local.lieferando.at | Cloudflare,530,6252,0068-b76d0949-local.lieferando.at,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2022-05-24T00:00:00Z,2023-05-24T23:59:59Z,CN=*.takeaway.com,*.takeaway.com,,thuisbezorgd.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,58bc922f6875d86c4ec3b134dced31df,e3ca1b04170505f9cd9274d61c863fd35a1cf890b5928de35175d62f9ad96ede,ctls,0068-b76d0949-local.lieferando.at,443,https://0068-b76d0949-local.lieferando.at:443,https,text/html,GET,104.16.21.46,/,-1313294423,104.16.22.46,Cloudflare,93,False,True,cloudflare,cloudflare,True,,,
007243.lieferando.at,Attention Required! | Cloudflare,403,4517,007243.lieferando.at,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2022-05-24T00:00:00Z,2023-05-24T23:59:59Z,CN=*.takeaway.com,*.takeaway.com,,thuisbezorgd.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,58bc922f6875d86c4ec3b134dced31df,e3ca1b04170505f9cd9274d61c863fd35a1cf890b5928de35175d62f9ad96ede,ctls,007243.lieferando.at,443,https://007243.lieferando.at:443,https,text/html,GET,104.16.21.46,/,-8595672,104.16.22.46,Cloudflare Bot Management,94,False,True,cloudflare,cloudflare,True,,,
007prokom-0-ebayassets.glg.okta.combeta.cdn.takeawayriders.com,404 Not Found,404,548,007prokom-0-ebayassets.glg.okta.combeta.cdn.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:09:22Z,2024-03-28T05:09:22Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c4d2f63c81a4d4dc182db9820aed55f3,13e706dbebeb8af23f1b9dd74b8daa85e3ff6d87fe3d6baa7a5e15858e1069e6,ctls,007prokom-0-ebayassets.glg.okta.combeta.cdn.takeawayriders.com,443,https://007prokom-0-ebayassets.glg.okta.combeta.cdn.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
007prokom-0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,007prokom-0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:29:00Z,2024-04-10T04:29:00Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9f6a8b0e75e4563166539d1c7e88ad3b,0559152fd7d2006bb7f71a2674d15ad928dcd6f0876042064c8e1585982c400d,ctls,007prokom-0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://007prokom-0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
007prokom-0-ebayassets.glg.okta.linux.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,146,007prokom-0-ebayassets.glg.okta.linux.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T05:39:27Z,2024-04-18T05:39:27Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3a7dd7c0424d3b5036d1f7395f45751d,c6fcad3cb76afab2956691b1de7fe1482870314954eeab4ef8b14a186560ac21,ctls,007prokom-0-ebayassets.glg.okta.linux.demoemployee-specialsurvey.takeawayriders.com,443,https://007prokom-0-ebayassets.glg.okta.linux.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
019zyx8-okta.assets.takeawayriders.com,404 Not Found,404,548,019zyx8-okta.assets.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:29:00Z,2024-04-10T04:29:00Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9f6a8b0e75e4563166539d1c7e88ad3b,0559152fd7d2006bb7f71a2674d15ad928dcd6f0876042064c8e1585982c400d,ctls,019zyx8-okta.assets.takeawayriders.com,443,https://019zyx8-okta.assets.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
02-express-nano.lieferando.at,Origin DNS error | 02-express-nano.lieferando.at | Cloudflare,530,6240,02-express-nano.lieferando.at,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2022-05-24T00:00:00Z,2023-05-24T23:59:59Z,CN=*.takeaway.com,*.takeaway.com,,thuisbezorgd.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,58bc922f6875d86c4ec3b134dced31df,e3ca1b04170505f9cd9274d61c863fd35a1cf890b5928de35175d62f9ad96ede,ctls,02-express-nano.lieferando.at,443,https://02-express-nano.lieferando.at:443,https,text/html,GET,104.16.21.46,/,1632149563,104.16.22.46,Cloudflare,93,False,True,cloudflare,cloudflare,True,,,
027prokom-0-ebayassets.glg.okta.combeta.dem0-021146-specialsurvey.takeawayriders.com,404 Not Found,404,548,027prokom-0-ebayassets.glg.okta.combeta.dem0-021146-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T03:23:33Z,2024-04-18T03:23:33Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,8562cf55440d70b7417bcb73303a6527,4837197819a8f56cc5b211d0afb5c9aa2790f3c8eda26c312002d1dbc3657b56,ctls,027prokom-0-ebayassets.glg.okta.combeta.dem0-021146-specialsurvey.takeawayriders.com,443,https://027prokom-0-ebayassets.glg.okta.combeta.dem0-021146-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
0api.glg.okta.combeta.demoemployee-specialsurv.takeawayriders.com,404 Not Found,404,548,0api.glg.okta.combeta.demoemployee-specialsurv.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:09:22Z,2024-03-28T05:09:22Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c4d2f63c81a4d4dc182db9820aed55f3,13e706dbebeb8af23f1b9dd74b8daa85e3ff6d87fe3d6baa7a5e15858e1069e6,ctls,0api.glg.okta.combeta.demoemployee-specialsurv.takeawayriders.com,443,https://0api.glg.okta.combeta.demoemployee-specialsurv.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
10b.lieferando.at,Origin DNS error | 10b.lieferando.at | Cloudflare,530,6204,10b.lieferando.at,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2022-05-24T00:00:00Z,2023-05-24T23:59:59Z,CN=*.takeaway.com,*.takeaway.com,,thuisbezorgd.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,58bc922f6875d86c4ec3b134dced31df,e3ca1b04170505f9cd9274d61c863fd35a1cf890b5928de35175d62f9ad96ede,ctls,10b.lieferando.at,443,https://10b.lieferando.at:443,https,text/html,GET,104.16.21.46,/,1234383743,104.16.22.46,Cloudflare,93,False,True,cloudflare,cloudflare,True,,,
10bis.co.il,10bis,200,84218,www.10bis.co.il,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-10-27T00:00:00Z,2023-11-27T23:59:59Z,"CN=www.10bis.co.il, O=10bis.co.il Ltd, L=Tel Aviv-Yafo, C=IL",www.10bis.co.il,10bis.co.il Ltd,10bis.co.il,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4a81335df60d5f3ab9702ea519ad0e14,8c92a018768f403b7b4ea6182c0e1f15f3462dcbe7157f454e915f2785b020cc,ctls,www.10bis.co.il,443,https://10bis.co.il:443,https,text/html,GET,13.107.226.45,/,1231336807,13.107.253.45,HSTS,1917,False,,,,,,https://www.10bis.co.il/next/,
