new,host,a,soa,status_code,mx,txt,cname,aaaa,ns,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],auth.redbullmediahouse.com,"2.19.198.152, 2.19.198.104","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net","2a02:26f0:64::210:6ac9, 2a02:26f0:64::210:6ac2",,,,,,
[x],authenticator-d.redbull.com,50.112.36.71,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],authenticator-q.redbull.com,34.216.62.112,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],authenticator.redbull.com,35.155.237.37,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],authoring-dev.rbtwo.redbull.com,80.120.169.242,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],autodiscover-d.redbull.com,195.177.199.145,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],autodiscover-q.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],autodiscover.app.redbull.com,"40.99.204.136, 52.97.250.248, 40.99.205.24, 40.99.205.56","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:803::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:82b::8, 2603:1026:c0d:82f::8",,,,,,
[x],autodiscover.at.redbullmediahouse.com,"40.99.149.168, 52.97.188.72, 40.99.157.8","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:802::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:c1e::8",,,,,,
[x],autodiscover.de.redbullmediahouse.com,"40.99.157.8, 52.97.188.72, 40.99.157.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:807::8, 2603:1026:c0d:806::8, 2603:1026:c0d:802::8, 2603:1026:c0d:829::8",,,,,,
[x],autodiscover.qq.redbull.com,"40.99.150.72, 52.98.243.24, 40.99.150.40, 52.98.152.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:6a::8, 2603:1026:c0d:75::8, 2603:1026:c0d:76::8",,,,,,
[x],autodiscover.redbull.com,"52.97.144.8, 40.101.19.168, 40.101.121.24, 40.101.12.8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:206:7::8, 2603:1026:c03:7076::8, 2603:1026:c03:7077::8, 2603:1026:207:18b::8",,,,,,
[x],autodiscover.uk.redbull.com,"40.99.157.24, 40.99.149.184, 40.99.157.56","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:76::8, 2603:1026:c0d:75::8, 2603:1026:c0d:6a::8",,,,,,
[x],autodiscover.uk.redbullmediahouse.com,"52.97.144.184, 40.101.12.136, 52.98.232.40, 52.97.201.72","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c03:3000::8, 2603:1026:c03:7070::8, 2603:1026:206:1::8, 2603:1026:c03:5818::8",,,,,,
[x],autodiscover.us.redbull.com,,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,
[x],automate.app.redbull.com,54.190.254.0,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],b2b.redbull.com,194.107.83.12,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],b2b.redbullmediahouse.com,104.111.217.64,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.microsites.redbull.edgekey.net, e10816.a.akamaiedge.net",,,,,,,
[x],backstage-staging.redbullmediahouse.com,"3.65.119.9, 3.74.170.162, 3.67.247.53","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ps-backstage.eu-central-1.ps-staging.redbullaws.com, alb-ps-public-shared-vpc-546792804.eu-central-1.elb.amazonaws.com",,,,,,,
[x],backstage.redbullmediahouse.com,"35.156.38.6, 18.196.117.5, 18.184.236.127","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ps-backstage.eu-central-1.ps-production.redbullaws.com, alb-ps-public-shared-vpc-1436427293.eu-central-1.elb.amazonaws.com",,,,,,,
[x],backtocampus.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],balconyshot-game.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ball-mini-game.redbull.com,"2.19.198.152, 2.19.198.104","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net","2a02:26f0:64::210:6ac9, 2a02:26f0:64::210:6ac2",,,,,,
[x],bamboo.redbullmediahouse.com,"23.32.238.83, 23.32.238.18, 23.32.238.19, 23.32.238.56, 23.32.238.65","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net","2a02:26f0:3500:12::1730:1799, 2a02:26f0:3500:12::1730:17b6",,,,,,
[x],baopenshift-d-euw.infra.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],batchtracking.redbull.com,194.107.83.15,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],battlegrounds.redbull.com,"184.86.251.213, 184.86.251.218","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"microsites.redbull.edgesuite.net, a445.r.akamai.net",,,,,,,
[x],bcapi.redbullmediahouse.com,80.120.169.239,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,origin.microsites-ru.redbull.com,,,,,,,
[x],bestads.redbull.com,72.32.124.161,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],bethechange.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],bg.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all,,,,,,,,
[x],bh.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all, R0E0D20170",,,,,,,,
