input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,cdn,tls_expired,tls_self_signed
aaa.lenovo.com.cn,AAA授权中心,,5409,aaa.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,aaa.lenovo.com.cn,443,https://aaa.lenovo.com.cn:443,https,istio-envoy,text/html,GET,43.255.226.147,1,Kong:2.0.4,,,
access-il.motorola.com,Ivanti Connect Secure,,9024,access-il.motorola.com,443,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-07-14T00:56:02Z,"CN=*.motorola.com, O=Motorola Mobility LLC, L=Chicago, ST=Illinois, C=US",*.motorola.com,Motorola Mobility LLC,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ctls,access-il.motorola.com,443,https://access-il.motorola.com:443,https,,text/html,GET,144.188.131.1,180,HSTS,,,
account.cnno1.uds.lenovo.com,,,1087,account.cnno1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-01T00:00:00Z,"CN=account.uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",account.uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,account.cnno1.uds.lenovo.com,443,https://account.cnno1.uds.lenovo.com:443,https,cloudflare,text/html,GET,104.18.26.211,31,HSTS,True,,
account.euwe1.uds.lenovo.com,,,1087,account.euwe1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-01T00:00:00Z,"CN=account.uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",account.uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,account.euwe1.uds.lenovo.com,443,https://account.euwe1.uds.lenovo.com:443,https,cloudflare,text/html,GET,104.18.26.244,31,HSTS,True,,
account.lenovo.com,MyAccount,,774,account.lenovo.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,"CN=*.lenovo.com, O=Lenovo Technology Sdn. Bhd., L=Petaling Jaya, ST=Selangor, C=MY",*.lenovo.com,Lenovo Technology Sdn. Bhd.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,account.lenovo.com,443,https://account.lenovo.com:443,https,,text/html,GET,2.23.196.216,21,Java,,,
account.motorola.com,showpage | Lenovo US,,107743,account.motorola.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-06-07T00:00:00Z,"CN=account.motorola.com, O=Lenovo Technology Sdn. Bhd., L=Petaling Jaya, ST=Selangor, C=MY",account.motorola.com,Lenovo Technology Sdn. Bhd.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,account.motorola.com,443,https://account.motorola.com:443,https,,text/html,GET,23.53.43.99,938,HSTS,,,
accounts.motorola.com,Sign in to Motorola - Motorola Mobility LLC,,17303,accounts.motorola.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T18:31:02Z,"CN=*.motorola.com, O=Motorola Mobility LLC, L=Chicago, ST=Illinois, C=US",*.motorola.com,Motorola Mobility LLC,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ctls,accounts.motorola.com,443,https://accounts.motorola.com:443,https,Jetty(8.1.21.v20160908),text/html,GET,69.10.182.77,384,Jetty:8.1.21,,,
accsmartfind.lenovo.com,SmartFind,,2895,smartfind.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,"CN=*.lenovo.com, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,smartfind.lenovo.com,443,https://accsmartfind.lenovo.com:443,https,earth,text/html,GET,34.233.166.65,55,,,,
act.mbgstore.lenovo.com.cn,联想应用商店,,22470,act.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.lenovomm.com, O=北京神奇工场科技有限公司, ST=北京市, C=CN",*.lenovomm.com,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,act.mbgstore.lenovo.com.cn,443,https://act.mbgstore.lenovo.com.cn:443,https,Tengine,text/html,GET,8.131.56.69,605,Tengine,,,
activity.lenovo.com.cn,403 Forbidden,,576,mactivity.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,mactivity.lenovo.com.cn,443,https://activity.lenovo.com.cn:443,https,Tengine,text/html,GET,163.171.132.220,14,Tengine,,,
adapi.mbgstore.lenovo.com.cn,,,41,adapi.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-06T00:00:00Z,"CN=*.lenovomm.cn, O=北京神奇工场科技有限公司, ST=Beijing, C=CN",*.lenovomm.cn,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,adapi.mbgstore.lenovo.com.cn,443,https://adapi.mbgstore.lenovo.com.cn:443,https,,text/html,GET,123.57.41.33,2,,,,
adcore.mbgstore.lenovo.com.cn,联想应用商店,,22470,adcore.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.lenovomm.com, O=北京神奇工场科技有限公司, ST=北京市, C=CN",*.lenovomm.com,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,adcore.mbgstore.lenovo.com.cn,443,https://adcore.mbgstore.lenovo.com.cn:443,https,Tengine,text/html,GET,8.131.56.69,605,Tengine,,,
admin.cochat.lenovo.com,联想乐聊,,33363,admin.cochat.lenovo.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,"CN=us.download.lenovo.com, O=Lenovo Technology Sdn. Bhd., L=Petaling Jaya, ST=Selangor, C=MY",us.download.lenovo.com,Lenovo Technology Sdn. Bhd.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,admin.cochat.lenovo.com,443,https://admin.cochat.lenovo.com:443,https,AkamaiNetStorage,text/html,GET,104.102.54.176,59,Akamai,,,
admin.jr.lenovo.com,登录,,3462,admin.jr.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-28T00:00:00Z,CN=admin.jr.lenovo.com,admin.jr.lenovo.com,,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,ctls,admin.jr.lenovo.com,443,https://admin.jr.lenovo.com:443,https,nginx,text/html,GET,123.57.24.117,87,Nginx,,,
admin.lenovo.com.cn,,,75,admin.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,admin.lenovo.com.cn,443,https://admin.lenovo.com.cn:443,https,Tengine,text/html,GET,163.171.128.150,2,Tengine,,,
aigo.lenovo.com,CoData,,674,codata.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,"CN=codata.lenovo.com, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",codata.lenovo.com,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,codata.lenovo.com,443,https://aigo.lenovo.com:443,https,Apache,text/html,GET,43.255.226.174,1,HSTS,,,
aio.lenovo.com.cn,企业网盘,,4487,aio.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-10-20T00:00:00Z,CN=*.ascentagepharma.com,*.ascentagepharma.com,,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,ctls,aio.lenovo.com.cn,443,https://aio.lenovo.com.cn:443,https,openresty,text/html,GET,161.117.202.63,86,OpenResty,,,
airesearch.lenovo.com,联想智能制造解决方案,,892,airesearch.lenovo.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-09-01T00:00:00Z,CN=airesearch.lenovo.com,airesearch.lenovo.com,,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,ctls,airesearch.lenovo.com,443,https://airesearch.lenovo.com:443,https,nginx,text/html,GET,43.255.227.57,1,Nginx,,,
aisrv.lenovo.com.cn,502 Bad Gateway,,1857,aisrv.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,aisrv.lenovo.com.cn,443,https://aisrv.lenovo.com.cn:443,https,waf/4.34.2-0.el7,text/html,GET,138.113.147.154,1,,,,
ak-df.motorola.com,motorola Deutschland | Android-Smartphones und Razr,,1730167,www.motorola.de,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T04:18:34Z,CN=www.motorola.de,www.motorola.de,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,www.motorola.de,443,https://ak-df.motorola.com:443,https,,text/html,GET,95.101.54.145,352,React,,,
am.lenovo.com.cn,联想内容服务平台,,3698,,,,,,,,,,,,,,80,http://am.lenovo.com.cn:80,http,Apache-Coyote/1.1,text/html,GET,103.212.12.3,93,Java,,,
america-mds.lenovo.com,User Login,,7768,america-mds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,"CN=*.lenovo.com, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,america-mds.lenovo.com,443,https://america-mds.lenovo.com:443,https,nginx,text/html,GET,50.17.24.174,162,PHP,,,
ampnew.mbgstore.lenovo.com.cn,联想应用商店,,22470,ampnew.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.lenovomm.com, O=北京神奇工场科技有限公司, ST=北京市, C=CN",*.lenovomm.com,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,ampnew.mbgstore.lenovo.com.cn,443,https://ampnew.mbgstore.lenovo.com.cn:443,https,Tengine,text/html,GET,8.131.56.69,605,Tengine,,,
ams.mbgstore.lenovo.com.cn,联想应用商店,,22470,ams.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.lenovomm.com, O=北京神奇工场科技有限公司, ST=北京市, C=CN",*.lenovomm.com,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,ams.mbgstore.lenovo.com.cn,443,https://ams.mbgstore.lenovo.com.cn:443,https,Tengine,text/html,GET,8.131.56.69,605,Tengine,,,
amssm.mbgstore.lenovo.com.cn,,,41,amssm.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-06T00:00:00Z,"CN=*.lenovomm.cn, O=北京神奇工场科技有限公司, ST=Beijing, C=CN",*.lenovomm.cn,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,amssm.mbgstore.lenovo.com.cn,443,https://amssm.mbgstore.lenovo.com.cn:443,https,,text/html,GET,123.57.41.33,2,,,,
analytics.motorola.com,Sign in - Google Accounts,,1834,www.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=www.google.com,www.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.google.com,443,https://analytics.motorola.com:443,https,GSE,text/html,GET,95.101.54.211,32,OpenGSE,,,
anode.lenovo.com,,,19,anode.lenovo.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-15T00:00:00Z,"CN=aes.cloudone.netapp.com, O=NetApp\, Inc., ST=California, C=US",aes.cloudone.netapp.com,"NetApp, Inc.","CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ctls,anode.lenovo.com,443,https://anode.lenovo.com:443,https,envoy,text/plain,GET,216.240.22.176,2,Envoy,,,
apemealoyalty.lenovo.com,Lenovo SMB Sandbox,,6248,apemealoyalty.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,CN=loyalty.lenovo.com,loyalty.lenovo.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,apemealoyalty.lenovo.com,443,https://apemealoyalty.lenovo.com:443,https,Apache,text/html,GET,34.192.62.252,140,HSTS,,,
api-ar.cnno1.uds.lenovo.com,,,247,api-ar.cnno1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,"CN=uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,api-ar.cnno1.uds.lenovo.com,443,https://api-ar.cnno1.uds.lenovo.com:443,https,cloudflare,text/html,GET,104.16.63.31,1,HSTS,True,,
api-ar.euwe1.uds.lenovo.com,,,247,api-ar.euwe1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,"CN=uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,api-ar.euwe1.uds.lenovo.com,443,https://api-ar.euwe1.uds.lenovo.com:443,https,cloudflare,text/html,GET,104.16.144.246,1,HSTS,True,,
api-ar.naea1.uds.lenovo.com,,,247,api-ar.naea1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,"CN=uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,api-ar.naea1.uds.lenovo.com,443,https://api-ar.naea1.uds.lenovo.com:443,https,cloudflare,text/html,GET,104.16.144.246,1,HSTS,True,,
api-cui.naea1.uds.lenovo.com,,,,api-cui.naea1.uds.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,"CN=cui.uds.lenovo.com, O=LENOVO (UNITED STATES) INC., L=Morrisville, ST=North Carolina, C=US",cui.uds.lenovo.com,LENOVO (UNITED STATES) INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,api-cui.naea1.uds.lenovo.com,443,https://api-cui.naea1.uds.lenovo.com:443,https,,,GET,52.204.204.8,1,,,,
api-cui.uds-qa.lenovo.com,,,,api-cui.uds-qa.lenovo.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,api-cui.uds-qa.lenovo.com,443,https://api-cui.uds-qa.lenovo.com:443,https,cloudflare,,GET,104.18.26.49,1,Envoy,True,,
api-less.naea1.uds.lenovo.com,,,,api-less.naea1.uds.lenovo.com,443,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,"CN=uds.lenovo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uds.lenovo.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,api-less.naea1.uds.lenovo.com,443,https://api-less.naea1.uds.lenovo.com:443,https,cloudflare,,GET,104.18.26.244,1,Cloudflare Bot Management,True,,
api-mds-us.lenovo.com,Hello MDS,,148,api-mds-us.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,"CN=*.lenovo.com, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,api-mds-us.lenovo.com,443,https://api-mds-us.lenovo.com:443,https,earth,text/html,GET,18.234.10.236,10,HSTS,,,
api-mtls-int.naea1.uds-pen.lenovo.com,400 No required SSL certificate was sent,,230,api-mtls-int.naea1.uds-pen.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T17:23:36Z,CN=api-mtls-int.naea1.uds-pen.lenovo.com,api-mtls-int.naea1.uds-pen.lenovo.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api-mtls-int.naea1.uds-pen.lenovo.com,443,https://api-mtls-int.naea1.uds-pen.lenovo.com:443,https,nginx,text/html,GET,3.215.114.247,9,Nginx,,,
api-mtls.cnno1.uds-sit.lenovo.com,400 No required SSL certificate was sent,,632,api-mtls.cnno1.uds-sit.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-29T09:09:15Z,CN=api-mtls.cnno1.uds-sit.lenovo.com,api-mtls.cnno1.uds-sit.lenovo.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api-mtls.cnno1.uds-sit.lenovo.com,443,https://api-mtls.cnno1.uds-sit.lenovo.com:443,https,nginx,text/html,GET,69.234.234.125,15,Nginx,,,
