new,host,a,cname,soa,status_code,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,caa
[x],cdcshipping.merck.com,"99.83.236.178, 75.2.16.51",vaccine-reporting.apps.americas.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],cea.merck.com,"18.66.122.78, 18.66.122.13, 18.66.122.41, 18.66.122.17",dew53g3cgytpi.cloudfront.net,"ns-1309.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1309.awsdns-35.org, ns-1899.awsdns-45.co.uk, ns-488.awsdns-61.com, ns-655.awsdns-17.net",True,cloudfront,,,,,,
[x],certsmerckvip-ut.merck.com,"13.32.121.18, 13.32.121.75, 13.32.121.52, 13.32.121.126",d3qncgws182zel.cloudfront.net,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1110.awsdns-10.org, ns-261.awsdns-32.com, ns-1731.awsdns-24.co.uk, ns-915.awsdns-50.net",True,cloudfront,,,,,,
[x],cf-origin-b2baa-npdev.merck.com,"15.197.151.7, 3.33.134.235",abddaeccd9865831d.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cheers.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],chile.commerce-hh-d2.merck.com,40.76.6.109,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],chile.commerce-hh-d3.merck.com,40.71.88.131,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],chile.commerce-hh-s1.merck.com,23.96.41.198,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],cirrus.merck.com,155.91.27.189,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,"ns9.customer.level3.net, dbru.br.ns.els-gms.att.net, cbru.br.ns.els-gms.att.net, dmtu.mt.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net, ns6.customer.level3.net",,,,,,,,
[x],click.dmc.msd.com,"2.16.238.156, 2.16.238.157","click.virt.s7.exacttarget.com, click.exacttarget.com.mdc.edgesuite.net, a1467.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],click.mail.cs.msd.com,,tlsz2d6k1spm60hxgbzww94h-4m8.click-sap.sfmc-marketing.com,"dns01.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],click.merck.com,"23.32.238.17, 23.32.238.33","click.virt.s7.exacttarget.com, click.exacttarget.com.mdc.edgesuite.net, a1467.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],click.msd.com,"2.16.238.156, 2.16.238.157","click.virt.s7.exacttarget.com, click.exacttarget.com.mdc.edgesuite.net, a1467.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],clinicaldevelopmentsuppliers.merck.com,52.26.119.242,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],cloudmail.merck.com,"52.96.14.22, 40.103.53.182, 40.103.54.70, 40.103.29.118, 40.103.53.214, 52.96.25.22, 40.103.30.198, 40.103.54.102","a51093.d.outlook.com, pod51093.tm-3.office.com","ns1-35.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,"2603:1036:804:3c::6, 2603:1036:822:22::6, 2603:1036:4:c5::6, 2603:1036:303:2811::6, 2603:1036:308:1001::6, 2603:1036:423:25::6, 2603:1036:923:28::6, 2603:1036:120:3d::6",
[x],cloudprodcrl.merck.com,"18.65.39.47, 18.65.39.27, 18.65.39.98, 18.65.39.29",de0iqrm0xddhy.cloudfront.net,"ns-751.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1511.awsdns-60.org, ns-1685.awsdns-18.co.uk, ns-486.awsdns-60.com, ns-751.awsdns-29.net",True,cloudfront,,,,,,
[x],cloudtestcrl.merck.com,"52.85.242.116, 52.85.242.26, 52.85.242.41, 52.85.242.85",d35uoto8zy937c.cloudfront.net,"ns-676.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-24.awsdns-03.com, ns-676.awsdns-20.net, ns-1428.awsdns-50.org, ns-1573.awsdns-04.co.uk",True,cloudfront,,,,,,
[x],cogmrlp02gw.merck.com,,,,NOERROR,,,,,,,,,
[x],cogmrlt01gw.merck.com,,,,NOERROR,,,,,,,,,
[x],collaboration.merck.com,"13.107.137.11, 13.107.139.11","msdcloud.sharepoint.com, 5145-ipv4mte.clump.dprodmgd105.aa-rt.sharepoint.com, 192852-ipv4mte.farm.dprodmgd105.aa-rt.sharepoint.com, 192852-ipv4mte.farm.dprodmgd105.sharepointonline.com.akadns.net, 192852-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spov-0006.spov-msedge.net, dual-spov-0006.spov-msedge.net","ns1.spov-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],collabtest.merck.com,"13.107.137.11, 13.107.139.11","msdcloud.sharepoint.com, 5145-ipv4mte.clump.dprodmgd105.aa-rt.sharepoint.com, 192852-ipv4mte.farm.dprodmgd105.aa-rt.sharepoint.com, 192852-ipv4mte.farm.dprodmgd105.sharepointonline.com.akadns.net, 192852-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spov-0006.spov-msedge.net, dual-spov-0006.spov-msedge.net","ns1.spov-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],comet-dr0.merck.com,155.91.27.72,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],comet-pr1.merck.com,"13.32.121.124, 13.32.121.110, 13.32.121.119, 13.32.121.129",dh9rhl0zn21vq.cloudfront.net,,NOERROR,"ns-299.awsdns-37.com, ns-1310.awsdns-35.org, ns-1927.awsdns-48.co.uk, ns-871.awsdns-44.net",True,cloudfront,,,,,,
[x],comet-qr0.merck.com,155.91.27.74,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],comet-wr1.merck.com,155.91.60.22,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],cometapi.merck.com,155.91.27.236,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],comment-test.merck.com,155.91.27.123,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],compapi.merck.com,155.91.27.237,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],concourse.merck.com,155.91.7.28,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
