new,host,a,soa,status_code,ns,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
,flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,True,cloudfront,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","amazonses:fs+dlhaoumf7/MsQOuSQGEmmZp21qPyTRBMyZZJcVIE=, google-site-verification=AfO5QqWdCBeh3GDipxTHvznM6-xyiY1LEtqaveo139Q, google-site-verification=vifcpDc9v6AtY07tcbYo2qsDIJBhCSbK-_t31zCRWtQ, stripe-verification=5f464c3049fdff3a66c89326e235aa36184f9c2cfcd34081f4c26abf7f31840c, v=spf1 include:_spf.google.com include:amazonses.com include:digitalrivercontent.net include:mail.zendesk.com ?all","mailto:hostmaster@smugmug.com, amazon.com, digicert.com, globalsign.com, letsencrypt.org"
,flimg.flickr.com,"108.138.17.6, 108.138.17.29, 108.138.17.43, 108.138.17.86","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,groups.flickr.com,,,NOERROR,,,,,,,,,,
,heartbeat.flickr.com,54.230.96.117,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,help-dev.flickr.com,"54.146.55.238, 54.146.181.121, 34.238.184.211","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,,,,,
,help.flickr.com,"34.238.184.211, 54.146.55.238, 54.146.181.121","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,hermes-production.flickr.com,"10.78.36.5, 10.78.12.51, 10.78.31.211","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,True,"10.78.36.5, 10.78.12.51, 10.78.31.211",,,
,identity-api.flickr.com,"52.222.236.67, 52.222.236.43, 52.222.236.116, 52.222.236.122","ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,srgree9qs4.execute-api.us-east-1.amazonaws.com,True,cloudfront,,,,,
,identity-development.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,identity-production.flickr.com,"34.196.152.168, 54.84.232.246, 52.44.38.103","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,identity.flickr.com,"54.84.232.246, 34.196.152.168, 52.44.38.103","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,internal-api.flickr.com,"10.78.129.113, 10.78.130.49, 10.78.128.250","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.78.129.113, 10.78.130.49, 10.78.128.250",,,
,jubilee-live.flickr.com,"34.195.216.106, 54.175.101.220, 52.54.166.101, 107.23.142.109, 3.227.220.127, 54.175.37.192, 54.236.81.215, 52.21.240.176","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,jubilee-test.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,links.flickr.com,"18.164.68.72, 18.164.68.65, 18.164.68.101, 18.164.68.94","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,True,cloudfront,,,,,
,live-appletv.flickr.com,"34.238.223.180, 54.156.156.230, 18.206.80.193","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,live-cf.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,live-embedr.flickr.com,"34.230.162.212, 54.208.78.231, 52.71.27.124","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,live-fts.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:214f:d000:1b:3d3c:224a:1261, 2600:9000:214f:9400:1b:3d3c:224a:1261, 2600:9000:214f:4000:1b:3d3c:224a:1261, 2600:9000:214f:e600:1b:3d3c:224a:1261, 2600:9000:214f:3400:1b:3d3c:224a:1261, 2600:9000:214f:a00:1b:3d3c:224a:1261, 2600:9000:214f:ca00:1b:3d3c:224a:1261, 2600:9000:214f:5000:1b:3d3c:224a:1261",,,,,,,,
,live-haproxy.flickr.com,"18.204.136.109, 34.234.249.51, 18.213.106.170, 3.233.19.73, 54.145.80.111, 52.2.120.77, 34.234.179.203, 107.21.20.6","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,live-jubilee.flickr.com,18.160.38.87,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,live-professorx.flickr.com,"10.78.13.166, 10.78.18.147, 10.78.39.226","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,internal-live-xmen-professorx-clean-1393662041.us-east-1.elb.amazonaws.com,,,True,"10.78.13.166, 10.78.18.147, 10.78.39.226",,,
,login-dev-west.flickr.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d18m21b9mi8t3p.cloudfront.net,,,,,,,
,login-dev.flickr.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d1zdo3xho0x0pj.cloudfront.net,,,,,,,
,login.flickr.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d1mml61j4tv9ab.cloudfront.net,,,,,,,
,m.flickr.com,13.249.14.162,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,True,cloudfront,,,,,
,pc-relay.flickr.com,54.144.128.85,,NOERROR,,,,,,,,,,
,photos.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com",,
,photos1.flickr.com,"54.145.80.111, 107.21.20.6, 18.204.136.109, 3.233.19.73, 54.158.90.87, 52.2.120.77, 34.234.179.203, 34.234.249.51","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,,,,,
,photos10.flickr.com,"34.234.249.51, 107.21.20.6, 3.233.19.73, 18.213.106.170, 54.158.90.87, 52.2.120.77, 18.204.136.109, 54.145.80.111","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos11.flickr.com,"34.234.179.203, 107.21.20.6, 54.145.80.111, 34.234.249.51, 18.204.136.109, 52.2.120.77, 54.158.90.87, 18.213.106.170","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,,,,,
,photos12.flickr.com,"107.21.20.6, 34.234.179.203, 18.204.136.109, 52.2.120.77, 3.233.19.73, 54.145.80.111, 34.234.249.51, 54.158.90.87","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos13.flickr.com,"52.2.120.77, 3.233.19.73, 18.213.106.170, 54.158.90.87, 107.21.20.6, 18.204.136.109, 54.145.80.111, 34.234.249.51","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos14.flickr.com,"34.234.179.203, 18.213.106.170, 3.233.19.73, 54.145.80.111, 34.234.249.51, 18.204.136.109, 107.21.20.6, 52.2.120.77","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos15.flickr.com,"54.158.90.87, 18.213.106.170, 3.233.19.73, 52.2.120.77, 18.204.136.109, 54.145.80.111, 107.21.20.6, 34.234.249.51","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos16.flickr.com,"54.158.90.87, 18.204.136.109, 34.234.249.51, 3.233.19.73, 107.21.20.6, 18.213.106.170, 52.2.120.77, 54.145.80.111","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos17.flickr.com,"34.234.249.51, 3.233.19.73, 18.204.136.109, 107.21.20.6, 34.234.179.203, 54.158.90.87, 18.213.106.170, 54.145.80.111","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos18.flickr.com,"54.145.80.111, 18.213.106.170, 34.234.249.51, 18.204.136.109, 3.233.19.73, 54.158.90.87, 107.21.20.6, 52.2.120.77","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos19.flickr.com,"3.233.19.73, 18.204.136.109, 34.234.179.203, 34.234.249.51, 52.2.120.77, 54.145.80.111, 54.158.90.87, 107.21.20.6","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos2.flickr.com,"34.234.249.51, 54.145.80.111, 3.233.19.73, 18.204.136.109, 34.234.179.203, 54.158.90.87, 18.213.106.170, 52.2.120.77","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos20.flickr.com,"52.2.120.77, 18.213.106.170, 107.21.20.6, 54.145.80.111, 34.234.179.203, 34.234.249.51, 54.158.90.87, 18.204.136.109","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos21.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos24.flickr.com,"18.213.106.170, 54.158.90.87, 52.2.120.77, 34.234.249.51, 3.233.19.73, 107.21.20.6, 34.234.179.203, 18.204.136.109","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos25.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos26.flickr.com,"52.2.120.77, 107.21.20.6, 18.204.136.109, 54.145.80.111, 18.213.106.170, 54.158.90.87, 34.234.249.51, 34.234.179.203","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos27.flickr.com,"18.213.106.170, 54.145.80.111, 34.234.249.51, 54.158.90.87, 3.233.19.73, 52.2.120.77, 107.21.20.6, 18.204.136.109","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,,,,,
,photos29.flickr.com,"54.158.90.87, 107.21.20.6, 18.213.106.170, 34.234.179.203, 18.204.136.109, 3.233.19.73, 34.234.249.51, 54.145.80.111","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos3.flickr.com,"34.234.249.51, 54.158.90.87, 34.234.179.203, 107.21.20.6, 3.233.19.73, 18.213.106.170, 54.145.80.111, 52.2.120.77","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos30.flickr.com,"34.234.249.51, 18.213.106.170, 54.145.80.111, 3.233.19.73, 107.21.20.6, 34.234.179.203, 52.2.120.77, 54.158.90.87","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos32.flickr.com,"107.21.20.6, 34.234.249.51, 3.233.19.73, 18.213.106.170, 34.234.179.203, 54.145.80.111, 18.204.136.109, 54.158.90.87","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos33.flickr.com,"54.158.90.87, 54.145.80.111, 107.21.20.6, 52.2.120.77, 34.234.179.203, 3.233.19.73, 18.213.106.170, 18.204.136.109","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos4.flickr.com,"34.234.249.51, 107.21.20.6, 54.145.80.111, 3.233.19.73, 18.213.106.170, 34.234.179.203, 52.2.120.77, 54.158.90.87","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos5.flickr.com,"3.233.19.73, 54.145.80.111, 107.21.20.6, 34.234.249.51, 18.213.106.170, 54.158.90.87, 18.204.136.109, 34.234.179.203","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos6.flickr.com,"54.158.90.87, 34.234.179.203, 18.204.136.109, 54.145.80.111, 3.233.19.73, 52.2.120.77, 107.21.20.6, 18.213.106.170","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos7.flickr.com,"54.158.90.87, 18.204.136.109, 107.21.20.6, 52.2.120.77, 3.233.19.73, 34.234.249.51, 18.213.106.170, 54.145.80.111","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,photos9.flickr.com,"34.234.249.51, 107.21.20.6, 18.213.106.170, 3.233.19.73, 34.234.179.203, 52.2.120.77, 54.145.80.111, 18.204.136.109","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,real-api.flickr.com,"10.78.128.250, 10.78.130.49, 10.78.129.113","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.78.128.250, 10.78.130.49, 10.78.129.113",,,
,real-embedr.flickr.com,"54.208.78.231, 34.230.162.212, 52.71.27.124","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,real.api.flickr.com,"10.78.128.250, 10.78.130.49, 10.78.129.113","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.78.128.250, 10.78.130.49, 10.78.129.113",,,
,search.flickr.com,,,NOERROR,,,,,,,,,,
,secure.dev.flickr.com,,,NOERROR,,,,,,,,,,
,stage.guce.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:214f:1a00:1b:3d3c:224a:1261, 2600:9000:214f:5400:1b:3d3c:224a:1261, 2600:9000:214f:6400:1b:3d3c:224a:1261, 2600:9000:214f:e00:1b:3d3c:224a:1261, 2600:9000:214f:9600:1b:3d3c:224a:1261, 2600:9000:214f:bc00:1b:3d3c:224a:1261, 2600:9000:214f:cc00:1b:3d3c:224a:1261, 2600:9000:214f:4c00:1b:3d3c:224a:1261",www.flickr.com,True,cloudfront,,,,,
,static.flickr.com,18.66.249.82,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,t.flickr.com,"107.21.58.157, 44.208.49.74","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,sp-2020052115502083830000000a-1150652649.us-east-1.elb.amazonaws.com,,,,,,,
,test-identity-api.flickr.com,"65.9.55.46, 65.9.55.10, 65.9.55.101, 65.9.55.51","ns-1260.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1260.awsdns-29.org, ns-1591.awsdns-06.co.uk, ns-212.awsdns-26.com, ns-674.awsdns-20.net",,dys3hclrgiv8f.cloudfront.net,True,cloudfront,,,,,
,test-jubilee.flickr.com,"52.201.204.7, 54.167.159.224, 54.156.103.156","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,,,,,,,
,test-professorx.flickr.com,"10.68.23.225, 10.68.1.167, 10.68.34.26","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,internal-test-professorx-345228715.us-east-1.elb.amazonaws.com,,,True,"10.68.23.225, 10.68.1.167, 10.68.34.26",,,
,trunk.guce.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:214f:aa00:1b:3d3c:224a:1261, 2600:9000:214f:6400:1b:3d3c:224a:1261, 2600:9000:214f:6800:1b:3d3c:224a:1261, 2600:9000:214f:5a00:1b:3d3c:224a:1261, 2600:9000:214f:e600:1b:3d3c:224a:1261, 2600:9000:214f:d200:1b:3d3c:224a:1261, 2600:9000:214f:1400:1b:3d3c:224a:1261, 2600:9000:214f:de00:1b:3d3c:224a:1261",www.flickr.com,True,cloudfront,,,,,
,up-resume.flickr.com,"3.209.61.136, 52.44.231.182, 3.233.249.62, 54.224.156.243","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,up.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,widgets.flickr.com,"18.67.65.4, 18.67.65.50, 18.67.65.42, 18.67.65.7","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,www.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:2204:4200:1b:3d3c:224a:1261, 2600:9000:2204:4000:1b:3d3c:224a:1261, 2600:9000:2204:5600:1b:3d3c:224a:1261, 2600:9000:2204:7a00:1b:3d3c:224a:1261, 2600:9000:2204:e000:1b:3d3c:224a:1261, 2600:9000:2204:3e00:1b:3d3c:224a:1261, 2600:9000:2204:9a00:1b:3d3c:224a:1261, 2600:9000:2204:d200:1b:3d3c:224a:1261",,True,cloudfront,,,,,
,www1.flickr.com,54.144.128.85,,NOERROR,,,,,,,,,,
,www12.flickr.com,54.144.128.85,,NOERROR,,,,,,,,,,
