new,host,a,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],dc4-iron08-d.mercadolibre.com,3.208.44.183,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dc4-iron09-b.mercadolibre.com,35.170.153.140,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dc4-iron09-c.mercadolibre.com,35.170.153.140,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dc4-iron09-d.mercadolibre.com,,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dc4-iron09-e.mercadolibre.com,35.170.153.140,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com","ns-1451.awsdns-53.org, ns-1708.awsdns-21.co.uk, ns-368.awsdns-46.com, ns-984.awsdns-59.net",NOERROR,,,,,,,,
[x],dc4-ironinbound03.mercadolibre.com,34.199.185.174,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],deal.mercadolibre.com,"18.66.248.43, 18.66.248.26, 18.66.248.20, 18.66.248.100","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-484.awsdns-60.com, ns-740.awsdns-28.net, ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk",NOERROR,True,cloudfront,,,,,,
[x],deals.mercadolibre.com,"18.66.248.43, 18.66.248.100, 18.66.248.20, 18.66.248.26","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-484.awsdns-60.com, ns-740.awsdns-28.net, ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk",NOERROR,True,cloudfront,,,,,,
[x],dejavu.mercadolibre.com,"108.156.2.34, 108.156.2.21, 108.156.2.80, 108.156.2.55",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],dev-test.mercadolibre.com,"13.225.78.96, 13.225.78.118, 13.225.78.61, 13.225.78.113","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk, ns-484.awsdns-60.com, ns-740.awsdns-28.net",NOERROR,True,cloudfront,,,,,,
[x],developers-cbt.mercadolibre.com,"13.32.99.25, 13.32.99.31, 13.32.99.118, 13.32.99.99",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net, ns-1174.awsdns-18.org",NOERROR,True,cloudfront,,,,,,
[x],developers.mercadolibre.com,"13.32.99.118, 13.32.99.99, 13.32.99.25, 13.32.99.31",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-355.awsdns-44.com, ns-1916.awsdns-47.co.uk, ns-1174.awsdns-18.org",NOERROR,True,cloudfront,,,,,,
[x],device.mercadolibre.com,3.90.130.44,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dns2.mercadolibre.com,"34.202.133.125, 35.171.116.237",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dns3.mercadolibre.com,"34.202.133.125, 35.171.116.237",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsinf1.mercadolibre.com,"34.202.133.125, 35.171.116.237",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps12.mercadolibre.com,205.251.194.10,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps24.mercadolibre.com,205.251.195.196,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps27.mercadolibre.com,205.251.193.85,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps31.mercadolibre.com,205.251.192.140,ns-140.awsdns-17.com,"g-ns-18.awsdns-17.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,2600:9000:5300:8c00::1
[x],dnsps32.mercadolibre.com,205.251.195.177,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps4.mercadolibre.com,"205.251.195.7, 205.251.197.96, 205.251.199.160, 205.251.193.225, 205.251.195.34",ns-775.awsdns-32.net,"g-ns-481.awsdns-32.net, awsdns-hostmaster.amazon.com","g-ns-1376.awsdns-32.net, g-ns-1952.awsdns-32.net, g-ns-481.awsdns-32.net, g-ns-802.awsdns-32.net",NOERROR,,,,,,,,"2600:9000:5305:6000::1, 2600:9000:5307:a000::1, 2600:9000:5301:e100::1, 2600:9000:5303:2200::1, 2600:9000:5303:700::1"
[x],dnsps41.mercadolibre.com,205.251.192.29,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com","ns-1451.awsdns-53.org, ns-1708.awsdns-21.co.uk, ns-368.awsdns-46.com, ns-984.awsdns-59.net",NOERROR,,,,,,,,
[x],dnsps5.mercadolibre.com,205.251.193.164,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],dnsps52.mercadolibre.com,205.251.195.90,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],driver.mercadolibre.com,"52.85.242.90, 52.85.242.104, 52.85.242.24, 52.85.242.28",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com",NOERROR,True,cloudfront,,,,,,
[x],encuestas.mercadolibre.com,"13.32.99.108, 13.32.99.77, 13.32.99.54, 13.32.99.89",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-1158.awsdns-16.org, ns-183.awsdns-22.com, ns-2019.awsdns-60.co.uk, ns-755.awsdns-30.net",NOERROR,True,cloudfront,,,,,,
[x],error.mercadolibre.com,,"domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk, ns-484.awsdns-60.com, ns-740.awsdns-28.net",NOERROR,True,cloudfront,,,,,,
[x],facturacion.mercadolibre.com,"13.32.99.25, 13.32.99.99, 13.32.99.31, 13.32.99.118",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],feeds.mercadolibre.com,"13.225.78.96, 13.225.78.118, 13.225.78.61, 13.225.78.113","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],frontend.mercadolibre.com,"18.154.63.27, 18.154.63.21, 18.154.63.56, 18.154.63.32",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com",NOERROR,True,cloudfront,,,,,,
[x],gaia.mercadolibre.com,"13.32.99.118, 13.32.99.31, 13.32.99.25, 13.32.99.99",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],global-selling.mercadolibre.com,"13.32.99.118, 13.32.99.99, 13.32.99.31, 13.32.99.25",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],healthcheck.mercadolibre.com,172.16.0.1,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,172.16.0.1,,
[x],helpdesk.mercadolibre.com,200.32.85.181,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],hp.mercadolibre.com,"13.32.99.118, 13.32.99.25, 13.32.99.31, 13.32.99.99",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1174.awsdns-18.org, ns-355.awsdns-44.com, ns-1916.awsdns-47.co.uk",NOERROR,True,cloudfront,,,,,,
[x],hydra.mercadolibre.com,"13.32.99.25, 13.32.99.99, 13.32.99.31, 13.32.99.118",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],infoblox.mercadolibre.com,"18.154.227.123, 18.154.227.34, 18.154.227.28, 18.154.227.112, 205.251.193.228, 205.251.194.228, 205.251.196.125, 205.251.198.250","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-740.awsdns-28.net, ns-1786.awsdns-31.co.uk, ns-484.awsdns-60.com, ns-1149.awsdns-15.org",NOERROR,True,cloudfront,,,,,,
[x],internal-api.mercadolibre.com,"10.54.29.208, 10.54.29.13, 10.54.29.104, 10.54.29.149",internal-api-internal-tl-traffic-l-926d6b-528175421.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,"10.54.29.208, 10.54.29.13, 10.54.29.104, 10.54.29.149",,
[x],intranet.mercadolibre.com,200.32.85.183,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],investors.mercadolibre.com,104.64.163.204,"mercadolibre.gcs-web.com, wildcard.gcs-web.com, wildcard.gcs-web.edgekey.net, e11065.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,"2a02:26f0:6d00:6b8::2b39, 2a02:26f0:6d00:697::2b39"
[x],iron04-d.mercadolibre.com,64.14.124.117,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],iron04-e.mercadolibre.com,64.14.124.118,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],iron04-f.mercadolibre.com,64.14.124.119,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],iron04.mercadolibre.com,64.14.124.114,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],it.mercadolibre.com,"18.154.63.21, 18.154.63.32, 18.154.63.27, 18.154.63.56",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com",NOERROR,True,cloudfront,,,,,,
[x],jira.mercadolibre.com,"18.66.248.122, 18.66.248.72, 18.66.248.22, 18.66.248.10",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-2019.awsdns-60.co.uk, ns-755.awsdns-30.net, ns-1158.awsdns-16.org, ns-183.awsdns-22.com",NOERROR,True,cloudfront,,,,,,
[x],jobs.mercadolibre.com,23.253.31.170,"mercado.jobs2web.com, RMKRS.jobs2web.com","ns4.sap-ag.de, dns.sap-ag.de",,NOERROR,,,,,,,,
[x],lcc.mercadolibre.com,64.76.233.246,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],lcd.mercadolibre.com,208.37.10.5,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],ldap.mercadolibre.com,"35.171.116.237, 34.202.133.125",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],m.mercadolibre.com,"13.32.99.118, 13.32.99.25, 13.32.99.99, 13.32.99.31",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],mail.mercadolibre.com,"34.199.185.174, 35.171.55.22",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com","ns-1451.awsdns-53.org, ns-1708.awsdns-21.co.uk, ns-368.awsdns-46.com, ns-984.awsdns-59.net",NOERROR,,,"dc4-ironinbound03.mercadolibre.com, dc4-ironinbound04.mercadolibre.com",v=spf1 ip4:216.35.213.224/27 ip4:64.14.124.64/26 ip4:209.225.11.64/26 ip4:200.47.54.100 ip4:216.33.196.160/27 181.30.22.186/29 ~all,,,,
[x],melidata.mercadolibre.com,"13.32.99.25, 13.32.99.31, 13.32.99.99, 13.32.99.118",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],mercadolibre.com,"18.244.146.32, 18.244.146.37, 18.244.146.62, 18.244.146.112, 205.251.193.112, 205.251.198.172",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com","ns-1451.awsdns-53.org, ns-984.awsdns-59.net, ns-368.awsdns-46.com, ns-1708.awsdns-21.co.uk",NOERROR,True,cloudfront,"aspmx2.googlemail.com, aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","apple-domain-verification=jgnw4CyrZNzoq8Wr, MS=ms88736798, 376d0d0b0c5348049dc0aba007529bc4, google-site-verification=LKNw4ro-Pk8YRC4YbTZiXovI3SJyjfnO_66cboRXVJA, google-site-verification=D5LYHuIpqS6BDku6ozB9cR50lvIsfV7lTPqsrTBe6sE, MS=ms71889509, google-site-verification: Dlx6kRRSyH4t_Y6f85FVj9VegDNapwk1y9UTqy4H3yE, google-site-verification=CGjjbPBmupmkf6yPik5TAL6rqHSEeuIyN2kglTlV5SI, febad098abc54ff59e9f07e0ad51c2a2, MS=ms48481969, docusign=3f81d234-f541-4c70-a6ae-a7b69c2789ca, amazonses:KZfWZfLSFRWn93/urMWkRsrzcgXIawrm/zeEXt6DGIQ=, miro-verification=d833e421b5ec97f63c943886e8de468d52470c29, onetrust-domain-verification=53297347c0cb493b92791de606f3ae33, pardot991192=a786e8c6bcb112f194b6a7a8556bc3a9df3f7f833f6b01b2601c46a0d43d1269, v=spf1 include:spfa.mercadolibre.com ip4:108.177.8.0/21 ip4:166.78.68.221 ip4:166.78.69.146 ip4:167.89.46.159 ip4:167.89.64.9 ip4:167.89.65.0 ip4:167.89.65.100 ip4:167.89.65.53 ip4:167.89.74.233 ip4:167.89.75.126 ip4:167.89.75.136 ~all, facebook-domain-verification=hqfuusucrwzio47ftouu8jp57kxfjt, intersight=f80c9a9e873264958585c545f5ab2fd0e8df337b839b261117bc2c372f68d032, google-site-verification=U5Nde0GlP-4KypnxHTpVdtgT8GFC1yvxdCG7Z6DS2wM, google-site-verification=hR0i_fw7xlBpwD2ixkMnWYey7Ib_oSjdEOEgSW8ttwk, amazonses:lAb4bMWZe6i922dR7pKmYqv1URbJ9/ZL2P2uHwRAayY=",,,"mailto:domains@mercadolibre.com, amazon.com, digicert.com",
[x],microstrategy.mercadolibre.com,64.14.124.100,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],ms.mercadolibre.com,162.223.233.97,,"ns1.responsys.net, hostmaster.responsys.com","ns1.responsys.net, ns2.responsys.net",NOERROR,,,imh.rsys5.net,"google-site-verification=vDUF4RsThYCaiy4sUsCBNYIUbO6K6mMt9kQUNENxAMs, v=spf1 ip4:199.7.200.0/21 ip4:12.130.135.0/24 -all",,,,
[x],mytime.mercadolibre.com,142.250.186.51,ghs.google.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,,2a00:1450:4001:827::2013
[x],notifications.mercadolibre.com,,d714ux90tscef.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,NOERROR,,,,,,,,
[x],ns2.mercadolibre.com,"35.171.116.237, 34.202.133.125",,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o1.sg.mercadolibre.com,167.89.111.182,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o12.ptr7196.sg.mercadolibre.com,149.72.129.251,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o13.sg.mercadolibre.com,167.89.0.1,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com","ns-1451.awsdns-53.org, ns-1708.awsdns-21.co.uk, ns-368.awsdns-46.com, ns-984.awsdns-59.net",NOERROR,,,,,,,,
[x],o14.sg.mercadolibre.com,167.89.0.102,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o18.sg.a.mercadolibre.com,149.72.205.173,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o19.sg.a.mercadolibre.com,149.72.213.185,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o2.ptr6987.sg.a.mercadolibre.com,149.72.129.241,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o3.ptr3169.sg.a.mercadolibre.com,149.72.129.242,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o4.ptr5260.sg.a.mercadolibre.com,149.72.129.243,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o6.ptr4588.sg.a.mercadolibre.com,149.72.129.245,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o7.ptr3323.sg.r.mercadolibre.com,149.72.129.246,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],o8.ptr9370.sg.r.mercadolibre.com,149.72.129.247,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],partners.mercadolibre.com,"13.32.99.25, 13.32.99.99, 13.32.99.118, 13.32.99.31",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],play.mercadolibre.com,"18.165.242.8, 18.165.242.15, 18.165.242.110, 18.165.242.106",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1916.awsdns-47.co.uk, ns-1174.awsdns-18.org, ns-355.awsdns-44.com",NOERROR,True,cloudfront,,,,,,
[x],pppi.mercadolibre.com,"13.32.99.108, 13.32.99.89, 13.32.99.77, 13.32.99.54",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-1158.awsdns-16.org, ns-183.awsdns-22.com, ns-2019.awsdns-60.co.uk, ns-755.awsdns-30.net",NOERROR,True,cloudfront,,,,,,
[x],prodeng.mercadolibre.com,"52.73.5.35, 54.163.184.232, 3.220.180.145",prodeng-prod-public-alb-tmp-1129379816.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],sellers.mercadolibre.com,"13.32.99.25, 13.32.99.99, 13.32.99.31, 13.32.99.118",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],sellimg.mercadolibre.com,"13.225.78.113, 13.225.78.61, 13.225.78.118, 13.225.78.96","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],sitemaps.mercadolibre.com,"13.225.78.96, 13.225.78.118, 13.225.78.61, 13.225.78.113","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk, ns-484.awsdns-60.com, ns-740.awsdns-28.net",NOERROR,True,cloudfront,,,,,,
[x],spfa.mercadolibre.com,,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,v=spf1 include:spfb.mercadolibre.com ip4:167.89.75.164 ip4:167.89.75.33 ip4:167.89.91.48 ip4:167.89.94.240 ip4:172.217.0.0/19 ip4:172.217.128.0/19 ip4:172.217.160.0/20 ip4:172.217.192.0/19 ip4:172.217.32.0/20 ip4:173.194.0.0/16 ~all,,,,
[x],status.mercadolibre.com,52.215.192.133,rfklm4tt8rm7.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],sustentabilidad.mercadolibre.com,"99.84.108.83, 99.84.108.67, 99.84.108.15, 99.84.108.110, 205.251.193.99, 205.251.195.204, 205.251.196.150, 205.251.199.124",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-972.awsdns-57.net, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-1174.awsdns-18.org",NOERROR,True,cloudfront,,,,,,
[x],test-vendedores.mercadolibre.com,"18.164.68.103, 18.164.68.2, 18.164.68.32, 18.164.68.45",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-183.awsdns-22.com, ns-2019.awsdns-60.co.uk, ns-755.awsdns-30.net, ns-1158.awsdns-16.org",NOERROR,True,cloudfront,,,,,,
[x],tienda.mercadolibre.com,"108.157.214.87, 108.157.214.91, 108.157.214.12, 108.157.214.82","domssl.mercadolibre.com.ar, d3n1b0ot4n5cbd.cloudfront.net","ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com","ns-484.awsdns-60.com, ns-740.awsdns-28.net, ns-1149.awsdns-15.org, ns-1786.awsdns-31.co.uk",NOERROR,True,cloudfront,,,,,,
