new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,has_internal_ips,internal_ips,mx,caa,txt
[x],158-7-252-73.proxy.brave.com,"18.66.112.126, 18.66.112.15, 18.66.112.48, 18.66.112.82","2600:9000:223f:a600:b:dfaf:7b40:93a1, 2600:9000:223f:aa00:b:dfaf:7b40:93a1, 2600:9000:223f:c800:b:dfaf:7b40:93a1, 2600:9000:223f:f800:b:dfaf:7b40:93a1, 2600:9000:223f:200:b:dfaf:7b40:93a1, 2600:9000:223f:1a00:b:dfaf:7b40:93a1, 2600:9000:223f:9200:b:dfaf:7b40:93a1, 2600:9000:223f:9600:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-112-78.proxy.brave.com,"65.9.86.115, 65.9.86.91, 65.9.86.42, 65.9.86.104","2600:9000:2104:e000:b:dfaf:7b40:93a1, 2600:9000:2104:3000:b:dfaf:7b40:93a1, 2600:9000:2104:e800:b:dfaf:7b40:93a1, 2600:9000:2104:7c00:b:dfaf:7b40:93a1, 2600:9000:2104:4a00:b:dfaf:7b40:93a1, 2600:9000:2104:d600:b:dfaf:7b40:93a1, 2600:9000:2104:dc00:b:dfaf:7b40:93a1, 2600:9000:2104:8600:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],17-121-114-18.proxy.brave.com,"52.85.242.86, 52.85.242.26, 52.85.242.106, 52.85.242.11","2600:9000:223f:ae00:b:dfaf:7b40:93a1, 2600:9000:223f:1c00:b:dfaf:7b40:93a1, 2600:9000:223f:c800:b:dfaf:7b40:93a1, 2600:9000:223f:6e00:b:dfaf:7b40:93a1, 2600:9000:223f:8200:b:dfaf:7b40:93a1, 2600:9000:223f:d600:b:dfaf:7b40:93a1, 2600:9000:223f:9e00:b:dfaf:7b40:93a1, 2600:9000:223f:1400:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-114-80.proxy.brave.com,"18.66.112.48, 18.66.112.15, 18.66.112.82, 18.66.112.126","2600:9000:223f:a600:b:dfaf:7b40:93a1, 2600:9000:223f:1c00:b:dfaf:7b40:93a1, 2600:9000:223f:600:b:dfaf:7b40:93a1, 2600:9000:223f:c600:b:dfaf:7b40:93a1, 2600:9000:223f:de00:b:dfaf:7b40:93a1, 2600:9000:223f:ec00:b:dfaf:7b40:93a1, 2600:9000:223f:bc00:b:dfaf:7b40:93a1, 2600:9000:223f:c400:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
[x],17-121-115-24.proxy.brave.com,"108.138.217.84, 108.138.217.26, 108.138.217.52, 108.138.217.34","2600:9000:2487:3c00:b:dfaf:7b40:93a1, 2600:9000:2487:7e00:b:dfaf:7b40:93a1, 2600:9000:2487:d200:b:dfaf:7b40:93a1, 2600:9000:2487:d800:b:dfaf:7b40:93a1, 2600:9000:2487:3200:b:dfaf:7b40:93a1, 2600:9000:2487:f200:b:dfaf:7b40:93a1, 2600:9000:2487:e400:b:dfaf:7b40:93a1, 2600:9000:2487:c800:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,,"ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
[x],17-121-116-71.proxy.brave.com,"18.66.248.84, 18.66.248.71, 18.66.248.76, 18.66.248.63","2600:9000:224a:4000:b:dfaf:7b40:93a1, 2600:9000:224a:5600:b:dfaf:7b40:93a1, 2600:9000:224a:8800:b:dfaf:7b40:93a1, 2600:9000:224a:d200:b:dfaf:7b40:93a1, 2600:9000:224a:7e00:b:dfaf:7b40:93a1, 2600:9000:224a:4800:b:dfaf:7b40:93a1, 2600:9000:224a:5e00:b:dfaf:7b40:93a1, 2600:9000:224a:5a00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],17-121-117-4.proxy.brave.com,"18.66.171.49, 18.66.171.121, 18.66.171.7, 18.66.171.94","2600:9000:223f:ce00:b:dfaf:7b40:93a1, 2600:9000:223f:4400:b:dfaf:7b40:93a1, 2600:9000:223f:d600:b:dfaf:7b40:93a1, 2600:9000:223f:be00:b:dfaf:7b40:93a1, 2600:9000:223f:8200:b:dfaf:7b40:93a1, 2600:9000:223f:f200:b:dfaf:7b40:93a1, 2600:9000:223f:a000:b:dfaf:7b40:93a1, 2600:9000:223f:ac00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
[x],17-121-118-84.proxy.brave.com,"18.66.112.48, 18.66.112.82, 18.66.112.15, 18.66.112.126","2600:9000:223f:9800:b:dfaf:7b40:93a1, 2600:9000:223f:e600:b:dfaf:7b40:93a1, 2600:9000:223f:9000:b:dfaf:7b40:93a1, 2600:9000:223f:fe00:b:dfaf:7b40:93a1, 2600:9000:223f:1800:b:dfaf:7b40:93a1, 2600:9000:223f:1600:b:dfaf:7b40:93a1, 2600:9000:223f:e000:b:dfaf:7b40:93a1, 2600:9000:223f:4600:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],17-121-118-93.proxy.brave.com,"18.66.112.15, 18.66.112.48, 18.66.112.126, 18.66.112.82","2600:9000:223f:7000:b:dfaf:7b40:93a1, 2600:9000:223f:4e00:b:dfaf:7b40:93a1, 2600:9000:223f:9a00:b:dfaf:7b40:93a1, 2600:9000:223f:8000:b:dfaf:7b40:93a1, 2600:9000:223f:f200:b:dfaf:7b40:93a1, 2600:9000:223f:e800:b:dfaf:7b40:93a1, 2600:9000:223f:6800:b:dfaf:7b40:93a1, 2600:9000:223f:7200:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],17-121-119-25.proxy.brave.com,"18.66.112.48, 18.66.112.126, 18.66.112.15, 18.66.112.82","2600:9000:223f:9200:b:dfaf:7b40:93a1, 2600:9000:223f:1800:b:dfaf:7b40:93a1, 2600:9000:223f:0:b:dfaf:7b40:93a1, 2600:9000:223f:7000:b:dfaf:7b40:93a1, 2600:9000:223f:da00:b:dfaf:7b40:93a1, 2600:9000:223f:be00:b:dfaf:7b40:93a1, 2600:9000:223f:b000:b:dfaf:7b40:93a1, 2600:9000:223f:3600:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-119-52.proxy.brave.com,"18.66.112.48, 18.66.112.82, 18.66.112.15, 18.66.112.126","2600:9000:223f:1e00:b:dfaf:7b40:93a1, 2600:9000:223f:5a00:b:dfaf:7b40:93a1, 2600:9000:223f:8c00:b:dfaf:7b40:93a1, 2600:9000:223f:4a00:b:dfaf:7b40:93a1, 2600:9000:223f:8600:b:dfaf:7b40:93a1, 2600:9000:223f:2200:b:dfaf:7b40:93a1, 2600:9000:223f:400:b:dfaf:7b40:93a1, 2600:9000:223f:3000:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com",NOERROR,True,cloudfront,,,,,
[x],17-121-119-84.proxy.brave.com,"52.85.132.40, 52.85.132.122, 52.85.132.8, 52.85.132.51, 205.251.192.253, 205.251.195.14, 205.251.196.120, 205.251.198.88","2600:9000:2073:7c00:b:dfaf:7b40:93a1, 2600:9000:2073:9c00:b:dfaf:7b40:93a1, 2600:9000:2073:4c00:b:dfaf:7b40:93a1, 2600:9000:2073:7600:b:dfaf:7b40:93a1, 2600:9000:2073:6a00:b:dfaf:7b40:93a1, 2600:9000:2073:9e00:b:dfaf:7b40:93a1, 2600:9000:2073:5600:b:dfaf:7b40:93a1, 2600:9000:2073:8400:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-120-20.proxy.brave.com,"18.66.248.71, 18.66.248.84, 18.66.248.63, 18.66.248.76","2600:9000:223f:1400:b:dfaf:7b40:93a1, 2600:9000:223f:7200:b:dfaf:7b40:93a1, 2600:9000:223f:2600:b:dfaf:7b40:93a1, 2600:9000:223f:b200:b:dfaf:7b40:93a1, 2600:9000:223f:7a00:b:dfaf:7b40:93a1, 2600:9000:223f:a200:b:dfaf:7b40:93a1, 2600:9000:223f:e00:b:dfaf:7b40:93a1, 2600:9000:223f:4800:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
[x],17-121-120-28.proxy.brave.com,"18.244.146.76, 18.244.146.7, 18.244.146.75, 18.244.146.107, 205.251.195.14","2600:9000:26de:4a00:b:dfaf:7b40:93a1, 2600:9000:26de:b600:b:dfaf:7b40:93a1, 2600:9000:26de:c200:b:dfaf:7b40:93a1, 2600:9000:26de:8e00:b:dfaf:7b40:93a1, 2600:9000:26de:e00:b:dfaf:7b40:93a1, 2600:9000:26de:6600:b:dfaf:7b40:93a1, 2600:9000:26de:3600:b:dfaf:7b40:93a1, 2600:9000:26de:f800:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],17-121-121-66.proxy.brave.com,"18.66.112.126, 18.66.112.15, 18.66.112.82, 18.66.112.48",,d1v01e3aef8dm5.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],17-121-123-95.proxy.brave.com,"18.66.112.126, 18.66.112.48, 18.66.112.15, 18.66.112.82","2600:9000:223f:3000:b:dfaf:7b40:93a1, 2600:9000:223f:4400:b:dfaf:7b40:93a1, 2600:9000:223f:8600:b:dfaf:7b40:93a1, 2600:9000:223f:4800:b:dfaf:7b40:93a1, 2600:9000:223f:7600:b:dfaf:7b40:93a1, 2600:9000:223f:7c00:b:dfaf:7b40:93a1, 2600:9000:223f:9e00:b:dfaf:7b40:93a1, 2600:9000:223f:1200:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],17-121-124-70.proxy.brave.com,"13.32.145.9, 13.32.145.116, 13.32.145.51, 13.32.145.2",,d1v01e3aef8dm5.cloudfront.net,,,NOERROR,True,cloudfront,,,,,
[x],17-121-124-8.proxy.brave.com,"18.66.112.126, 18.66.112.15, 18.66.112.82, 18.66.112.48","2600:9000:223f:e600:b:dfaf:7b40:93a1, 2600:9000:223f:b200:b:dfaf:7b40:93a1, 2600:9000:223f:2400:b:dfaf:7b40:93a1, 2600:9000:223f:fe00:b:dfaf:7b40:93a1, 2600:9000:223f:e000:b:dfaf:7b40:93a1, 2600:9000:223f:9600:b:dfaf:7b40:93a1, 2600:9000:223f:b000:b:dfaf:7b40:93a1, 2600:9000:223f:e400:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com",NOERROR,True,cloudfront,,,,,
[x],17-121-125-44.proxy.brave.com,"18.66.112.126, 18.66.112.48, 18.66.112.82, 18.66.112.15","2600:9000:223f:e800:b:dfaf:7b40:93a1, 2600:9000:223f:3400:b:dfaf:7b40:93a1, 2600:9000:223f:1000:b:dfaf:7b40:93a1, 2600:9000:223f:1e00:b:dfaf:7b40:93a1, 2600:9000:223f:9400:b:dfaf:7b40:93a1, 2600:9000:223f:f600:b:dfaf:7b40:93a1, 2600:9000:223f:da00:b:dfaf:7b40:93a1, 2600:9000:223f:8c00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
[x],17-121-125-9.proxy.brave.com,"52.85.132.8, 52.85.132.51, 52.85.132.40, 52.85.132.122, 205.251.192.253, 205.251.195.14, 205.251.196.120, 205.251.198.88","2600:9000:2073:8200:b:dfaf:7b40:93a1, 2600:9000:2073:5800:b:dfaf:7b40:93a1, 2600:9000:2073:2200:b:dfaf:7b40:93a1, 2600:9000:2073:9200:b:dfaf:7b40:93a1, 2600:9000:2073:a400:b:dfaf:7b40:93a1, 2600:9000:2073:8a00:b:dfaf:7b40:93a1, 2600:9000:2073:9000:b:dfaf:7b40:93a1, 2600:9000:2073:f200:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-782.awsdns-33.net, ns-253.awsdns-31.com, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],17-121-125-90.proxy.brave.com,"52.85.132.40, 52.85.132.122, 52.85.132.8, 52.85.132.51, 205.251.192.253, 205.251.195.14, 205.251.196.120, 205.251.198.88","2600:9000:2073:9600:b:dfaf:7b40:93a1, 2600:9000:2073:e200:b:dfaf:7b40:93a1, 2600:9000:2073:ae00:b:dfaf:7b40:93a1, 2600:9000:2073:d800:b:dfaf:7b40:93a1, 2600:9000:2073:c200:b:dfaf:7b40:93a1, 2600:9000:2073:a800:b:dfaf:7b40:93a1, 2600:9000:2073:e00:b:dfaf:7b40:93a1, 2600:9000:2073:be00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],17-121-126-5.proxy.brave.com,"18.66.112.15, 18.66.112.48, 18.66.112.82, 18.66.112.126","2600:9000:223f:dc00:b:dfaf:7b40:93a1, 2600:9000:223f:e600:b:dfaf:7b40:93a1, 2600:9000:223f:f000:b:dfaf:7b40:93a1, 2600:9000:223f:c00:b:dfaf:7b40:93a1, 2600:9000:223f:6000:b:dfaf:7b40:93a1, 2600:9000:223f:7600:b:dfaf:7b40:93a1, 2600:9000:223f:8c00:b:dfaf:7b40:93a1, 2600:9000:223f:9200:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-127-99.proxy.brave.com,"18.66.112.15, 18.66.112.48, 18.66.112.82, 18.66.112.126","2600:9000:223f:6600:b:dfaf:7b40:93a1, 2600:9000:223f:ca00:b:dfaf:7b40:93a1, 2600:9000:223f:d000:b:dfaf:7b40:93a1, 2600:9000:223f:f000:b:dfaf:7b40:93a1, 2600:9000:223f:0:b:dfaf:7b40:93a1, 2600:9000:223f:4200:b:dfaf:7b40:93a1, 2600:9000:223f:4e00:b:dfaf:7b40:93a1, 2600:9000:223f:5200:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk",NOERROR,True,cloudfront,,,,,
[x],20-k8s-20.proxy.brave.com,"65.9.86.42, 65.9.86.115, 65.9.86.91, 65.9.86.104","2600:9000:2104:4c00:b:dfaf:7b40:93a1, 2600:9000:2104:c600:b:dfaf:7b40:93a1, 2600:9000:2104:6800:b:dfaf:7b40:93a1, 2600:9000:2104:4a00:b:dfaf:7b40:93a1, 2600:9000:2104:fc00:b:dfaf:7b40:93a1, 2600:9000:2104:c00:b:dfaf:7b40:93a1, 2600:9000:2104:6a00:b:dfaf:7b40:93a1, 2600:9000:2104:5800:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],227-si1.proxy.brave.com,"65.9.86.115, 65.9.86.42, 65.9.86.104, 65.9.86.91","2600:9000:2104:3c00:b:dfaf:7b40:93a1, 2600:9000:2104:3200:b:dfaf:7b40:93a1, 2600:9000:2104:3e00:b:dfaf:7b40:93a1, 2600:9000:2104:d400:b:dfaf:7b40:93a1, 2600:9000:2104:8400:b:dfaf:7b40:93a1, 2600:9000:2104:c800:b:dfaf:7b40:93a1, 2600:9000:2104:5000:b:dfaf:7b40:93a1, 2600:9000:2104:5c00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net, ns-1144.awsdns-15.org",NOERROR,True,cloudfront,,,,,
[x],5-courier.proxy.brave.com,"13.32.145.116, 13.32.145.51, 13.32.145.2, 13.32.145.9","2600:9000:20e1:6a00:b:dfaf:7b40:93a1, 2600:9000:20e1:3e00:b:dfaf:7b40:93a1, 2600:9000:20e1:400:b:dfaf:7b40:93a1, 2600:9000:20e1:7a00:b:dfaf:7b40:93a1, 2600:9000:20e1:fe00:b:dfaf:7b40:93a1, 2600:9000:20e1:c800:b:dfaf:7b40:93a1, 2600:9000:20e1:5600:b:dfaf:7b40:93a1, 2600:9000:20e1:8e00:b:dfaf:7b40:93a1",d1v01e3aef8dm5.cloudfront.net,"ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com","ns-1144.awsdns-15.org, ns-1624.awsdns-11.co.uk, ns-253.awsdns-31.com, ns-782.awsdns-33.net",NOERROR,True,cloudfront,,,,,
