new,host,a,soa,status_code,mx,txt,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,ns,caa
,575643-prod-mail1.originenergy.com.au,119.9.19.168,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,access2.originenergy.com.au,,,NOERROR,,,,,access2.gslb.originenergy.com.au,,,,,
,anmet.originenergy.com.au,"63.140.62.164, 63.140.62.135, 63.140.62.160","ns201.adobe.net, hostmaster.adobe.com",NOERROR,,,,,originenergy.com.au.sc.omtrdc.net,,,,,
,api-braze-dev.jindabyne.originenergy.com.au,"13.210.216.72, 52.62.218.214, 52.62.232.208","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,d-plf3x9whe8.execute-api.ap-southeast-2.amazonaws.com,,,,,
,api-braze-prod.jindabyne.originenergy.com.au,"52.62.170.209, 13.55.35.91, 52.63.37.66","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,d-c8nhjoh7wb.execute-api.ap-southeast-2.amazonaws.com,,,,,
,api-dev.originenergy.com.au,52.65.182.151,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,boomi-dev-elb-328141026.ap-southeast-2.elb.amazonaws.com,,,,,
,api-prod.origindigital-pac.com.au,"18.67.65.42, 18.67.65.120, 18.67.65.79, 18.67.65.124, 205.251.192.52, 205.251.195.251, 205.251.197.236, 205.251.199.242","ns-52.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d2it6lm3v3ssgd.cloudfront.net,,,"2600:9000:2269:7600:13:3bbb:8340:93a1, 2600:9000:2269:e200:13:3bbb:8340:93a1, 2600:9000:2269:200:13:3bbb:8340:93a1, 2600:9000:2269:7a00:13:3bbb:8340:93a1, 2600:9000:2269:6800:13:3bbb:8340:93a1, 2600:9000:2269:e800:13:3bbb:8340:93a1, 2600:9000:2269:e00:13:3bbb:8340:93a1, 2600:9000:2269:7200:13:3bbb:8340:93a1","ns-1019.awsdns-63.net, ns-52.awsdns-06.com, ns-2034.awsdns-62.co.uk, ns-1516.awsdns-61.org",
,api-sm-data-nlb.jindabyne.em.originenergy.com.au,"10.200.240.147, 10.200.241.49","ns-527.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,j17-dev-sm-data-nlb-258cb2cad20f4cf8.elb.ap-southeast-2.amazonaws.com,True,"10.200.240.147, 10.200.241.49",,,
,api.dataportal.originenergy.com.au,"108.156.60.84, 108.156.60.49, 108.156.60.114, 108.156.60.5","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
,api.fe-dev.originenergy.com.au,"52.62.183.177, 13.238.60.48, 13.237.7.127","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,d-425ous4493.execute-api.ap-southeast-2.amazonaws.com,,,,,
,api.originenergy.com.au,"13.32.27.53, 13.32.27.100, 13.32.27.116, 13.32.27.94","ns-52.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"api-prod.origindigital-pac.com.au, d2it6lm3v3ssgd.cloudfront.net",,,"2600:9000:211e:aa00:13:3bbb:8340:93a1, 2600:9000:211e:3600:13:3bbb:8340:93a1, 2600:9000:211e:4400:13:3bbb:8340:93a1, 2600:9000:211e:b000:13:3bbb:8340:93a1, 2600:9000:211e:800:13:3bbb:8340:93a1, 2600:9000:211e:8800:13:3bbb:8340:93a1, 2600:9000:211e:1c00:13:3bbb:8340:93a1, 2600:9000:211e:4600:13:3bbb:8340:93a1","ns-1019.awsdns-63.net, ns-1516.awsdns-61.org, ns-2034.awsdns-62.co.uk, ns-52.awsdns-06.com",
,aplngnoms.originenergy.com.au,203.20.195.78,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,as.im.originenergy.com.au,"108.157.4.59, 108.157.4.40, 108.157.4.67, 108.157.4.49","ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"im.originenergy.com.au, d2j70o93yrzltp.cloudfront.net",,,"2600:9000:2315:800:b:ab23:f40:93a1, 2600:9000:2315:200:b:ab23:f40:93a1, 2600:9000:2315:d800:b:ab23:f40:93a1, 2600:9000:2315:7200:b:ab23:f40:93a1, 2600:9000:2315:7000:b:ab23:f40:93a1, 2600:9000:2315:6c00:b:ab23:f40:93a1, 2600:9000:2315:9e00:b:ab23:f40:93a1, 2600:9000:2315:2e00:b:ab23:f40:93a1","ns-792.awsdns-35.net, ns-1113.awsdns-11.org, ns-190.awsdns-23.com, ns-2018.awsdns-60.co.uk",
,assets-digital.origindigital-pac.com.au,"52.222.214.67, 52.222.214.115, 52.222.214.36, 52.222.214.110","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,dh3rh6e3q0lq3.cloudfront.net,,,,"ns-1273.awsdns-31.org, ns-139.awsdns-17.com, ns-1693.awsdns-19.co.uk, ns-868.awsdns-44.net",
,assets2.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,products.rack.origindigital-pac.com.au,,,,,
,assets3.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,products.rack.origindigital-pac.com.au,,,,,
,assets4.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,products.rack.origindigital-pac.com.au,,,,,
,auth-test.originenergy.com.au,203.20.195.251,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,auth.api.originenergy.com.au,"13.32.145.30, 13.32.145.7, 13.32.145.49, 13.32.145.73","ns-814.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d3rn7ykvezjsdn.cloudfront.net,,,"2600:9000:20e1:8800:f:1480:5ac0:93a1, 2600:9000:20e1:8600:f:1480:5ac0:93a1, 2600:9000:20e1:a600:f:1480:5ac0:93a1, 2600:9000:20e1:5e00:f:1480:5ac0:93a1, 2600:9000:20e1:b800:f:1480:5ac0:93a1, 2600:9000:20e1:d400:f:1480:5ac0:93a1, 2600:9000:20e1:ce00:f:1480:5ac0:93a1, 2600:9000:20e1:8c00:f:1480:5ac0:93a1","ns-228.awsdns-28.com, ns-814.awsdns-37.net, ns-1325.awsdns-37.org, ns-1780.awsdns-30.co.uk",
,auth.dataportal.originenergy.com.au,"13.225.78.116, 13.225.78.7, 13.225.78.36, 13.225.78.50","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
,auth.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,"2606:4700:4400::6812:286f, 2606:4700:4400::ac40:9391",,
,author.odcdn.com.au,,,NOERROR,,,,,,,,,,
,autodiscover.originenergy.com.au,,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:c02::8, 2603:1026:c0d:806::8, 2603:1026:c0d:802::8, 2603:1026:c0d:c07::8",,
,av.originenergy.com.au,203.20.196.73,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,backend-im.originenergy.com.au,"52.63.117.26, 13.237.28.148, 52.62.138.4","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,lb-ext-1262204475.ap-southeast-2.elb.amazonaws.com,,,,,
,bill-download-prod.origindigital-pac.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,diqsu22oxs2jh.cloudfront.net,,,,,
,buyinggroup.originenergy.com.au,"52.65.190.248, 54.66.87.103","ns-1324.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,origin-apps.utilihub.io,,,,,
,click.lpg.originenergy.com.au,128.245.32.230,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
,click.retail.originenergy.com.au,13.111.136.147,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,clientretention-api-prod.origindigital-pac.com.au,"54.79.62.150, 54.66.73.110, 3.24.18.58","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,d-5gza9s0u0h.execute-api.ap-southeast-2.amazonaws.com,,,,,
,clientretention.api.odcdn.com.au,"18.165.83.102, 18.165.83.75, 18.165.83.54, 18.165.83.88, 205.251.192.89, 205.251.194.39, 205.251.196.98, 205.251.198.147","ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,dvqgrh6s6hadr.cloudfront.net,,,,"ns-551.awsdns-04.net, ns-89.awsdns-11.com, ns-1683.awsdns-18.co.uk, ns-1122.awsdns-12.org",
,cloud.lpg.originenergy.com.au,128.245.17.83,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
,cloud.retail.originenergy.com.au,13.111.132.249,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,connect.origindigital-pac.com.au,"18.65.39.7, 18.65.39.92, 18.65.39.23, 18.65.39.123","ns-267.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d10qyg37n429pk.cloudfront.net,,,"2600:9000:211e:e00:1a:e643:6a00:93a1, 2600:9000:211e:1a00:1a:e643:6a00:93a1, 2600:9000:211e:f800:1a:e643:6a00:93a1, 2600:9000:211e:a400:1a:e643:6a00:93a1, 2600:9000:211e:b200:1a:e643:6a00:93a1, 2600:9000:211e:e800:1a:e643:6a00:93a1, 2600:9000:211e:7a00:1a:e643:6a00:93a1, 2600:9000:211e:6a00:1a:e643:6a00:93a1","ns-1181.awsdns-19.org, ns-1931.awsdns-49.co.uk, ns-267.awsdns-33.com, ns-528.awsdns-02.net",
,csc.originenergy.com.au,203.20.192.33,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,"mailbackup.originenergy.com.au, mail.originenergy.com.au",v=spf1 mx -all,,,,,,,,
,dev-iproc.originenergy.com.au,203.20.192.90,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,dev.connect.originenergy.com.au,"13.224.187.63, 13.224.187.48, 13.224.187.43, 13.224.187.55","ns-19.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"dev-connect.origindigital-dac.com.au, dpxuqdzxj3bwi.cloudfront.net",,,"2600:9000:207d:b200:15:58b9:8080:93a1, 2600:9000:207d:1e00:15:58b9:8080:93a1, 2600:9000:207d:7c00:15:58b9:8080:93a1, 2600:9000:207d:ba00:15:58b9:8080:93a1, 2600:9000:207d:3200:15:58b9:8080:93a1, 2600:9000:207d:4e00:15:58b9:8080:93a1, 2600:9000:207d:8200:15:58b9:8080:93a1, 2600:9000:207d:f800:15:58b9:8080:93a1","ns-1204.awsdns-22.org, ns-1743.awsdns-25.co.uk, ns-19.awsdns-02.com, ns-567.awsdns-06.net",
,dev.dataportal.originenergy.com.au,"18.66.147.26, 18.66.147.11, 18.66.147.21, 18.66.147.101","ns-70.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d3f72aphq7et09.cloudfront.net,,,,"ns-70.awsdns-08.com, ns-1561.awsdns-03.co.uk, ns-1392.awsdns-46.org, ns-654.awsdns-17.net",
,dev.digital.api.odcdn.com.au,"13.32.121.4, 13.32.121.36, 13.32.121.51, 13.32.121.108","ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d108qkgkjcdot2.cloudfront.net,,,,"ns-1463.awsdns-54.org, ns-1938.awsdns-50.co.uk, ns-344.awsdns-43.com, ns-716.awsdns-25.net",
,dev.distributorlookup.api.odcdn.com.au,"18.165.83.86, 18.165.83.127, 18.165.83.52, 18.165.83.89, 205.251.192.243, 205.251.195.14, 205.251.197.235, 205.251.199.163","ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d3odhudb9nnosm.cloudfront.net,,,,"ns-243.awsdns-30.com, ns-1955.awsdns-52.co.uk, ns-1515.awsdns-61.org, ns-782.awsdns-33.net",
,dev.ftr.api.odcdn.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,d3cifbak70rqwh.cloudfront.net,,,,,
,developer.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,"2606:4700:4400::6812:286f, 2606:4700:4400::ac40:9391",,
,digital.origindigital-pac.com.au,"108.157.229.84, 108.157.229.111, 108.157.229.96, 108.157.229.82","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,d3px07g4cxomjr.cloudfront.net,,,"2600:9000:2395:8800:8:258e:49c0:93a1, 2600:9000:2395:7a00:8:258e:49c0:93a1, 2600:9000:2395:4200:8:258e:49c0:93a1, 2600:9000:2395:5a00:8:258e:49c0:93a1, 2600:9000:2395:ba00:8:258e:49c0:93a1, 2600:9000:2395:7600:8:258e:49c0:93a1, 2600:9000:2395:4a00:8:258e:49c0:93a1, 2600:9000:2395:f400:8:258e:49c0:93a1","ns-1041.awsdns-02.org, ns-1904.awsdns-46.co.uk, ns-343.awsdns-42.com, ns-565.awsdns-06.net",
,docs.origindigital-pac.com.au,"10.200.23.22, 10.200.24.219, 10.200.22.48","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"s3assetsproxy-service-prod.origindigital-pac.com.au, internal-ecs-alb-prodb-int-1314878435.ap-southeast-2.elb.amazonaws.com",True,"10.200.23.22, 10.200.24.219, 10.200.22.48",,,
,docs.originenergy.com.au,119.9.38.128,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,download.im.originenergy.com.au,"108.138.51.112, 108.138.51.129, 108.138.51.45, 108.138.51.62","ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"im.originenergy.com.au, d2j70o93yrzltp.cloudfront.net",,,"2600:9000:2436:e600:b:ab23:f40:93a1, 2600:9000:2436:c000:b:ab23:f40:93a1, 2600:9000:2436:5c00:b:ab23:f40:93a1, 2600:9000:2436:be00:b:ab23:f40:93a1, 2600:9000:2436:2a00:b:ab23:f40:93a1, 2600:9000:2436:fa00:b:ab23:f40:93a1, 2600:9000:2436:9a00:b:ab23:f40:93a1, 2600:9000:2436:ce00:b:ab23:f40:93a1, 2600:9000:5307:e200::1","ns-1113.awsdns-11.org, ns-2018.awsdns-60.co.uk, ns-190.awsdns-23.com, ns-792.awsdns-35.net",
,download.originenergy.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,"bill-download-prod.origindigital-pac.com.au, diqsu22oxs2jh.cloudfront.net",,,,,
,ecomms.originenergy.com.au,,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,"v=spf1 redirect=__spf.campaign.adobe.com, google-site-verification=NnfDZUs4GWPh0HxvejWXaB5yJqTx7LBZwqACxQvy5O4, google-site-verification=DpeKwxoTIvFXQf-XktoKoLeaLYYUuNgY770TbbZ_s-s",,,,,,,,
,email.originenergy.com.au,208.70.139.62,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,"spf2.0/pra include:na.epidm.net ~all, v=spf1 include:na.epidm.net ip4:180.92.216.0/21 ~all",,,,,,,,
,enehwgtm01.originenergy.com.au,203.20.195.136,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,enekwgtm01.originenergy.com.au,203.20.195.16,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,energymanager.originenergy.com.au,119.9.38.130,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,575643-prod-mail1.originenergy.com.au,v=spf1 mx -all,,,,,,,,
,feedback.originenergy.com.au,207.189.168.138,"pdns09.domaincontrol.com, dns.jomax.net",NOERROR,,,,,webhost.mcxplatform.com.au,,,,,
,files.originenergy.com.au,"52.222.174.93, 52.222.174.44, 52.222.174.30, 52.222.174.90","ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"files-cdn-prod.originrx-pac.com.au, d753uvqt5tdg0.cloudfront.net",,,"2600:9000:238d:c200:1:6140:9400:93a1, 2600:9000:238d:a000:1:6140:9400:93a1, 2600:9000:238d:8e00:1:6140:9400:93a1, 2600:9000:238d:6a00:1:6140:9400:93a1, 2600:9000:238d:7800:1:6140:9400:93a1, 2600:9000:238d:2e00:1:6140:9400:93a1, 2600:9000:238d:3400:1:6140:9400:93a1, 2600:9000:238d:de00:1:6140:9400:93a1","ns-1469.awsdns-55.org, ns-463.awsdns-57.com, ns-1947.awsdns-51.co.uk, ns-568.awsdns-07.net",
,ftr.api.odcdn.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,ddsrag1ok9bkw.cloudfront.net,,,,,
,greenflux.api.fe-dev.originenergy.com.au,13.54.170.91,"ns-1750.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,greenflux.api.fe-stg.originenergy.com.au,52.64.109.172,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1014.awsdns-62.net, ns-1254.awsdns-28.org, ns-1940.awsdns-50.co.uk, ns-225.awsdns-28.com",
,greenflux.api.fe.originenergy.com.au,"54.79.241.112, 52.64.147.233, 13.210.55.101","ns-527.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,vppdmz-prod-greenflux-88f1b00b4e25a076.elb.ap-southeast-2.amazonaws.com,,,,"ns-1110.awsdns-10.org, ns-13.awsdns-01.com, ns-1571.awsdns-04.co.uk, ns-527.awsdns-01.net",
,gslb6.originenergy.com.au,203.20.195.54,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gslb8.originenergy.com.au,203.20.195.138,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gsumrsds01.originenergy.com.au,,,NOERROR,,,,,,,,,,
,gsumrsus01.upstream.originenergy.com.au,"203.20.196.15, 203.20.196.145",,NOERROR,,,,,,,,,,
,gtm-access.originenergy.com.au,"203.20.195.122, 203.20.195.222","slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,,,,,"slen.gtm.idc.telstra.com, exhi.gtm.idc.telstra.com",
,gtm-iproc.originenergy.com.au,"203.20.195.179, 203.20.195.79","slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,,,,,"exhi.gtm.idc.telstra.com, slen.gtm.idc.telstra.com",
,haas-admin.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,"2606:4700:4400::ac40:9391, 2606:4700:4400::6812:286f",,
,id-be.dev.originenergy.com.au,"99.86.4.51, 99.86.4.87, 99.86.4.117, 99.86.4.25","ns-1133.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,"id-be.dev.non-prod.etrm.io, d3myo99wg8tgy9.cloudfront.net",,,,"ns-1133.awsdns-13.org, ns-746.awsdns-29.net, ns-1715.awsdns-22.co.uk, ns-391.awsdns-48.com",
