input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_mismatched,tls_subject_org_,final_url,csp_domains_
click.retail.originenergy.com.au,403 - Forbidden: Access is denied.,403,1233,,80,http://click.retail.originenergy.com.au:80,http,,text/html,GET,13.111.136.147,/,1631801191,13.111.136.147,HSTS,30,False,,click.retail.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-30T23:59:59Z,"CN=click.retail.originenergy.com.au, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.retail.originenergy.com.au,click.retail.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d4987f8aef6f91ebf688567fc0cb0501,f9e05537b35968262cdc2bdee5f4da6e023240da0c705b0a91577a2ac3229bf7,,ctls,click.retail.originenergy.com.au,,"SALESFORCE.COM, INC.",https://click.retail.originenergy.com.au/,
clientretention-api-prod.origindigital-pac.com.au,,403,23,,443,https://clientretention-api-prod.origindigital-pac.com.au:443,https,,application/json,GET,54.66.1.87,/,968070783,13.238.168.44,,1,False,,clientretention-api-prod.origindigital-pac.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-02T23:59:59Z,CN=origindigital-pac.com.au,origindigital-pac.com.au,*.api.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3decb24a8bd7e2dcb5ce8fa68e3be611,f3293b4f0ac42f785edc0849c2748bef1220f3c11d48369d0a65795d117b56d3,True,ctls,clientretention-api-prod.origindigital-pac.com.au,,,,
clientretention.api.odcdn.com.au,,403,23,cloudfront,443,https://clientretention.api.odcdn.com.au:443,https,,application/json,GET,13.225.78.5,/,968070783,13.225.78.31,Amazon Web Services,1,False,True,clientretention.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-06T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ae86826cf478a4917a8ba581bd5a4fd3,0856cec073596ccc964e386a8536b6d852620a5a381645913997d450958b744a,True,ctls,clientretention.api.odcdn.com.au,,,,
cloud.lpg.originenergy.com.au,403 - Forbidden: Access is denied.,403,1233,,443,https://cloud.lpg.originenergy.com.au:443,https,,text/html,GET,128.245.17.83,/,1631801191,128.245.17.83,,30,False,,cloud.lpg.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-10-14T23:59:59Z,"CN=cloud.lpg.originenergy.com.au, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",cloud.lpg.originenergy.com.au,cloud.lpg.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f879ea163279a6731d08f697fdd2db3,c602e0d0914c9486b822738e1ab077784ef6057b1e889d3b6336ce7980bea9df,,ctls,cloud.lpg.originenergy.com.au,,"SALESFORCE.COM, INC.",,
connect.origindigital-pac.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://connect.origindigital-pac.com.au:80,http,CloudFront,text/html,GET,13.32.27.14,/,-1934904283,2600:9000:211e:d200:1a:e643:6a00:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
dev.digital.api.odcdn.com.au,ERROR: The request could not be satisfied,502,951,cloudfront,443,https://dev.digital.api.odcdn.com.au:443,https,CloudFront,text/html,GET,13.32.121.108,/,968070783,13.32.121.36,Amazon Web Services,20,False,True,dev.digital.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-05T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c37698734a5845697c7fa72790a47469,6f916c63b7fea01e94023ffc43ff410b60c00915e5f854d04d74bc593b0548bf,True,ctls,dev.digital.api.odcdn.com.au,True,,,
dev.distributorlookup.api.odcdn.com.au,,403,23,cloudfront,443,https://dev.distributorlookup.api.odcdn.com.au:443,https,,application/json,GET,18.66.97.56,/,968070783,18.66.97.51,Amazon Web Services,1,False,True,dev.distributorlookup.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-05T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c37698734a5845697c7fa72790a47469,6f916c63b7fea01e94023ffc43ff410b60c00915e5f854d04d74bc593b0548bf,True,ctls,dev.distributorlookup.api.odcdn.com.au,,,,
digital.origindigital-pac.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://digital.origindigital-pac.com.au:80,http,CloudFront,text/html,GET,18.66.112.54,/,206219353,2600:9000:223f:9200:8:258e:49c0:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
enterpriseenrollment.originenergy.com.au,Microsoft Intune admin center,200,39885,,443,https://enterpriseenrollment.originenergy.com.au:443,https,,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,,Microsoft Corporation,https://intune.microsoft.com/,
enterpriseregistration.originenergy.com.au,Service,404,1565,azure,443,https://enterpriseregistration.originenergy.com.au:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,enterpriseregistration.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.originenergy.com.au,True,Microsoft Corporation,,
feedback.originenergy.com.au,Not Found,404,315,,443,https://feedback.originenergy.com.au:443,https,,text/html,GET,207.189.168.138,/,225052475,207.189.168.138,HSTS,7,False,,feedback.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T07:08:45Z,2023-07-29T07:08:45Z,CN=*.mcxplatform.com.au,*.mcxplatform.com.au,mcxplatform.com.au,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c90ee2333c66a5b613eff6d65f1a66a4,6cf25489118f6a61473a9dd1328509561526dfbcd7c8cb118c040abcd2c3925b,True,ctls,feedback.originenergy.com.au,True,,,
id-be.originenergy.com.au,"Award Winning Electricity, Gas and internet provider in Australia - Origin Energy",200,223156,cloudfront,443,https://id-be.originenergy.com.au:443,https,nginx,text/html,GET,18.66.112.59,/,209041854,2600:9000:223f:7c00:12:d2e5:5a40:93a1,WordPress,1537,False,True,www.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-03T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9839b6289e3550c383c7ec28aef2660,1a92257df55bb777fe2f3898746ec9f03e7987b5ea90e53c6fe613e6c9708949,True,ctls,www.originenergy.com.au,,,https://www.originenergy.com.au/,collectors.au.sumologic.com
id-preprod.origindigital-pac.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://id-preprod.origindigital-pac.com.au:80,http,CloudFront,text/html,GET,108.138.17.127,/,-986345406,2600:9000:2491:e600:12:c1dd:7b00:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
id.dev.originenergy.com.au,ERROR: The request could not be satisfied,403,919,cloudfront,443,https://id.dev.originenergy.com.au:443,https,CloudFront,text/html,GET,13.32.99.68,/,761162076,2600:9000:2251:fa00:13:94cc:9680:93a1,Amazon Web Services,20,False,True,id.dev.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-03T23:59:59Z,CN=*.dev.originenergy.com.au,*.dev.originenergy.com.au,*.test.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f282c22b034fdc175a9b05cebce36d64,80cb862b31deb272c7fc41a51fc21004a436d0f28ce63fd4bde5c3c78a415272,True,ctls,id.dev.originenergy.com.au,,,,
id.test.originenergy.com.au,ERROR: The request could not be satisfied,403,919,cloudfront,443,https://id.test.originenergy.com.au:443,https,CloudFront,text/html,GET,18.66.147.93,/,-2053058066,2600:9000:225e:ac00:13:cc04:940:93a1,Amazon Web Services,20,False,True,id.test.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-03T23:59:59Z,CN=*.dev.originenergy.com.au,*.dev.originenergy.com.au,*.test.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f282c22b034fdc175a9b05cebce36d64,80cb862b31deb272c7fc41a51fc21004a436d0f28ce63fd4bde5c3c78a415272,True,ctls,id.test.originenergy.com.au,True,,,
im-ds.originenergy.com.au,Apache Tomcat/9.0.21,200,11383,,443,https://im-ds.originenergy.com.au:443,https,,text/html,GET,52.62.138.4,/,-297069493,52.63.117.26,,200,False,,im-ds.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-21T23:59:59Z,CN=*.originenergy.com.au,*.originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2111dbe242574fed46db7c40b98ed452,0092acb39ff8d6772fd8dd9839be0ddcc26851783fe150fb929c8255030dedec,True,ctls,im-ds.originenergy.com.au,,,,
im-pp-ds.originenergy.com.au,Apache Tomcat/9.0.21,200,11383,,443,https://im-pp-ds.originenergy.com.au:443,https,,text/html,GET,54.253.145.73,/,-297069493,54.252.79.5,,200,False,,im-pp-ds.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,CN=*.originenergy.com.au,*.originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76ace46df220c695b8e3fbadd37cff3b,dbd574b6ae885ea824f39ce70b36dce4629e1430757a6f2e8344136e16c07419,True,ctls,im-pp-ds.originenergy.com.au,,,,
im-pp.originenergy.com.au,,200,281,,443,https://im-pp.originenergy.com.au:443,https,Microsoft-IIS/10.0,text/html,GET,54.252.79.5,/,1631801191,3.106.65.85,Windows Server,2,False,,im-pp.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,CN=*.originenergy.com.au,*.originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76ace46df220c695b8e3fbadd37cff3b,dbd574b6ae885ea824f39ce70b36dce4629e1430757a6f2e8344136e16c07419,True,ctls,im-pp.originenergy.com.au,,,,URL=/otcs/cs.dll/app
im-stage.originenergy.com.au,ERROR: The request could not be satisfied,502,960,cloudfront,443,https://im-stage.originenergy.com.au:443,https,CloudFront,text/html,GET,18.66.147.82,/,1117471222,18.66.147.78,Amazon Web Services,20,False,True,im-stage.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-23T23:59:59Z,CN=im-stage.originenergy.com.au,im-stage.originenergy.com.au,im-stage.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f0d5cdd36e9fe0d2651f445e4e3a0278,fb58c6f8ceb0ac57be8af81f0737da12016a7e1bf378ebb4245c1e0ace441c9e,,ctls,im-stage.originenergy.com.au,,,,
im.originenergy.com.au,,200,281,cloudfront,443,https://im.originenergy.com.au:443,https,Microsoft-IIS/10.0,text/html,GET,143.204.215.54,/,1631801191,2600:9000:214f:1800:b:ab23:f40:93a1,Windows Server,2,False,True,im.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-08-08T23:59:59Z,CN=im.originenergy.com.au,im.originenergy.com.au,im.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b1308ff230b51bc1ed4e460dbd072531,edd5bfe28534e1ccc8b4e01c6490bffc58ce251749979ff7934b37de61242334,,ctls,im.originenergy.com.au,,,,URL=/otcs/cs.dll/app
image.retail.originenergy.com.au,Access Denied,403,290,,80,http://image.retail.originenergy.com.au:80,http,AkamaiGHost,text/html,GET,104.70.87.52,/,-934684671,104.70.87.52,,10,False,,,,,,,,,,,,,,,,,,,,,,,
int-dev.originenergy.com.au,503 Service Temporarily Unavailable,503,162,,443,https://int-dev.originenergy.com.au:443,https,awselb/2.0,text/html,GET,52.65.182.151,/,1862162275,52.65.182.151,,7,False,,int-dev.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-01T23:59:59Z,CN=int-dev.originenergy.com.au,int-dev.originenergy.com.au,int-dev.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcde4aacf0e5d8498c95821ddde3f953,762dd6257ad17c30105cb60d161fb776f265a6b628e293bf34f66716c92ea4f4,,ctls,int-dev.originenergy.com.au,,,,
jb.originenergy.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://jb.originenergy.com.au:80,http,CloudFront,text/html,GET,13.224.189.44,/,-2079984672,13.224.189.79,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
jbhifi.api.fe.originenergy.com.au,,403,23,,443,https://jbhifi.api.fe.originenergy.com.au:443,https,,application/json,GET,3.27.79.183,/,968070783,13.210.162.60,,1,False,,jbhifi.api.fe.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-09T23:59:59Z,CN=jbhifi.api.fe.originenergy.com.au,jbhifi.api.fe.originenergy.com.au,jbhifi.api.fe.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d63a2025d9aac6abaa22d6fef446da13,45f2521f88c9b67a817d906ad17c7a0d6920014397f4427174c3e9506e3e7b35,,ctls,jbhifi.api.fe.originenergy.com.au,,,,
jbhifi.fe-dev.originenergy.com.au,Solar Monitoring,200,759,cloudfront,443,https://jbhifi.fe-dev.originenergy.com.au:443,https,AmazonS3,text/html,GET,13.224.189.7,/,-1709960720,13.224.189.64,HSTS,1,False,True,jbhifi.fe-dev.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-02-12T23:59:59Z,CN=solarportal.fe-dev.originenergy.com.au,solarportal.fe-dev.originenergy.com.au,jbhifi.fe-dev.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2d1e1043f67c47805bb1ff721f13c91c,4d9c2fd8cef62f348b97e1e4fafb64ca8603be0de96ee2b9107172766ecb2e5e,,ctls,jbhifi.fe-dev.originenergy.com.au,,,,
jbhifi.fe-stg.originenergy.com.au,Solar Monitoring,200,759,cloudfront,80,http://jbhifi.fe-stg.originenergy.com.au:80,http,AmazonS3,text/html,GET,13.32.121.27,/,-1375172248,13.32.121.68,HSTS,1,False,True,,,,,,,,,,,,,,,,,,,,,,
mail-tracking.oe.originenergy.com.au,,400,,,443,https://mail-tracking.oe.originenergy.com.au:443,https,,,GET,35.167.160.200,/,-1098974868,52.42.148.35,,1,False,,mail-tracking.oe.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-01-06T23:59:59Z,CN=r.us-west-2.awstrack.me,r.us-west-2.awstrack.me,r.us-west-2.amazonses.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a154562d5a14173d2ebe1b581e91b01f,09e77a29b249041fffbe1eaeed3986949371e0229aa0ef7169730adc3b87dbef,True,ctls,mail-tracking.oe.originenergy.com.au,True,,,
mi.originenergy.com.au,Movable Ink Domain,200,79,cloudfront,80,http://mi.originenergy.com.au:80,http,,,GET,13.32.27.43,/,-1542678720,13.32.27.120,Amazon Web Services,1,False,True,,,,,,,,,,,,,,,,,,,,,,
